i,treat_shannon,control_shannon,
200,3.198143945,5.273981504,1
201,3.0156881,5.27195642,1
202,3.609959136,5.273371587,1
203,2.755376233,5.272785238,1
204,2.342696018,5.271306968,1
205,3.636978091,5.275605017,1
206,3.299113994,5.274175911,1
207,2.794868317,5.273055838,1
208,2.878474937,5.273334681,1
209,2.265099111,5.272055571,1
210,3.459627102,5.272560526,1
211,1.286595843,5.27307288,1
212,2.708826448,5.274367298,1
213,4.903873317,5.271160907,1
214,3.069408097,5.274373732,1
215,1.275686217,5.273110577,1
216,3.768615158,5.271665453,1
217,3.605666954,5.272620216,1
218,3.6725751,5.2728569,1
219,3.894638777,5.271777506,1
220,0.745731621,5.272400806,1
221,0.901993456,5.272730388,1
222,1.619639637,5.27375532,1
223,4.047930852,5.273483481,1
224,2.930215251,5.274608462,1
225,2.843920611,5.27247857,1
226,3.59916812,5.273102108,1
227,1.784124616,5.271161069,1
228,3.290436927,5.271749326,1
229,0.232536361,5.272343582,1
230,4.21545476,5.272807153,1
231,2.834458204,5.272081383,1
232,2.287196491,5.271769872,1
233,1.306004996,5.273589074,1
234,2.991951345,5.271835838,1
235,2.070090968,5.273185909,1
236,2.837915368,5.272803306,1
237,2.067167655,5.275580274,1
238,1.564223948,5.273750063,1
239,3.600561931,5.273224199,1
240,3.721978461,5.274120158,1
241,3.628226054,5.27125715,1
242,0.931221673,5.271940237,1
243,1.113476304,5.272507834,1
244,3.465553978,5.2741717,1
245,3.470006112,5.274079714,1
246,3.892721207,5.2723469,1
247,3.215596814,5.273109532,1
248,3.704688313,5.273595834,1
249,2.821395009,5.273261083,1
250,3.254151659,5.272802958,1
251,2.906704342,5.272630821,1
252,2.701632971,5.270256656,1
253,1.344869718,5.271361818,1
254,1.923510984,5.27437157,1
255,2.428965706,5.274358185,1
256,5.11215383,5.271827531,1
257,2.788836766,5.272786802,1
258,0.928071331,5.273152628,1
259,2.033706932,5.273593139,1
260,3.061794838,5.271533104,1
261,3.622194457,5.273635465,1
262,2.640068205,5.271274483,1
263,2.287368415,5.268692577,1
264,2.078784399,5.272324207,1
265,1.145602703,5.27123779,1
266,3.266268411,5.271822961,1
267,3.810144629,5.268920858,1
268,2.248999589,5.272208937,1
269,1.3717243,5.273543588,1
270,1.02509241,5.272607162,1
271,3.008156591,5.275765247,1
272,2.127135458,5.27382197,1
273,2.169918779,5.274659694,1
274,2.47727957,5.272656363,1
275,4.063126678,5.273080761,1
276,1.356976207,5.272849942,1
277,1.266206695,5.27148327,1
278,3.399998983,5.270358907,1
279,1.642136741,5.271994512,1
280,2.422962481,5.27361996,1
281,3.74160527,5.271431637,1
282,3.389111582,5.272650109,1
283,2.821855051,5.272670888,1
284,2.411003544,5.274087719,1
285,3.252589163,5.274362395,1
286,1.123533459,5.271330306,1
287,3.851924962,5.272932059,1
288,2.934666818,5.274670042,1
289,1.232281257,5.272079976,1
290,2.84667119,5.273721735,1
291,3.352411696,5.273066375,1
292,3.255384373,5.273065937,1
293,1.268409337,5.273218522,1
294,3.090298292,5.268074538,1
295,0.583160996,5.273504047,1
296,1.793786413,5.273572782,1
297,3.540800963,5.270672579,1
298,3.498579187,5.269227391,1
299,1.754572342,5.272952437,1
300,1.18676144,5.275884744,1
301,1.636859409,5.274081583,1
302,1.594152217,5.273704629,1
303,2.60258703,5.275740864,1
304,3.940794608,5.27011385,1
305,3.295002371,5.272677281,1
306,3.863572972,5.273573902,1
307,2.50017162,5.273001435,1
308,0.97650623,5.271171017,1
309,1.813746871,5.273765405,1
310,3.18549891,5.272683345,1
311,1.174546347,5.273671237,1
312,2.844488182,5.273714164,1
313,3.401260624,5.271386763,1
314,3.715699709,5.27140938,1
315,1.006446351,5.27312152,1
316,1.570095334,5.270710627,1
317,3.273855111,5.271210301,1
318,4.043317843,5.273392903,1
319,4.688021846,5.268547923,1
320,3.137002154,5.272652975,1
321,3.342798366,5.272466588,1
322,2.72399486,5.272535677,1
323,3.025224821,5.273568153,1
324,4.23298887,5.270098765,1
325,2.511661464,5.27233918,1
326,2.927936109,5.273065947,1
327,2.866142105,5.273838308,1
328,2.728709586,5.270484683,1
329,2.812627758,5.27308329,1
330,3.097286144,5.273605401,1
331,3.478804437,5.271656892,1
332,3.850287801,5.27154116,1
333,3.413136817,5.268480354,1
334,3.459173525,5.272827418,1
335,1.434853792,5.271475875,1
336,3.113309829,5.271678982,1
337,3.469087211,5.271680202,1
338,2.162020187,5.271349976,1
339,3.337440858,5.272360812,1
340,2.523269694,5.272666506,1
341,3.146061503,5.272259662,1
342,2.259932388,5.270610607,1
343,4.062212804,5.273499759,1
344,2.625863526,5.273312558,1
345,3.209287971,5.274400184,1
346,3.298377911,5.271666474,1
347,2.661636099,5.273994676,1
348,3.377984051,5.271567797,1
349,3.293220797,5.271995795,1
350,3.952578152,5.271522825,1
351,3.012456062,5.271944147,1
352,5.20717815,5.272843393,1
353,3.524365183,5.272420589,1
354,3.539477757,5.272473488,1
355,3.548594993,5.273917286,1
356,1.469996508,5.273485999,1
357,3.792972543,5.273857144,1
358,1.353254364,5.274476544,1
359,2.933474598,5.272750227,1
360,2.768374653,5.272629503,1
361,3.064805972,5.273803686,1
362,3.367007539,5.273233893,1
363,1.206464505,5.273249378,1
364,2.995626294,5.270341736,1
365,3.038949704,5.273254871,1
366,3.539631196,5.272900233,1
367,4.04924586,5.271212343,1
368,2.876348375,5.271986501,1
369,2.247361415,5.273336012,1
370,2.801475994,5.271895201,1
371,1.987272607,5.273637768,1
372,1.63992384,5.272380994,1
373,2.445431674,5.268429551,1
374,3.554193632,5.272053792,1
375,3.206566033,5.272990281,1
376,2.643924752,5.271842806,1
377,3.719889388,5.275038309,1
378,1.473551906,5.273824818,1
379,1.527684317,5.272542215,1
380,3.588533888,5.27330577,1
381,2.955610797,5.274641768,1
382,2.809086504,5.272904802,1
383,2.562441486,5.273934859,1
384,2.975571829,5.27291676,1
385,1.311420258,5.27620615,1
386,3.285598832,5.276159878,1
387,4.172906003,5.271611297,1
388,5.125147617,5.272877091,1
389,3.025195456,5.272516475,1
390,2.569567392,5.274893273,1
391,3.132892838,5.272450592,1
392,3.297724651,5.271362316,1
393,3.310130282,5.270179728,1
394,3.374492638,5.2711569,1
395,2.639128752,5.268910001,1
396,3.668002872,5.273055769,1
397,2.826794542,5.274676036,1
398,3.681194356,5.273294936,1
399,3.044579413,5.273742699,1
400,0.94498438,5.27332282,1
401,2.940245876,5.272995827,1
402,0.494567522,5.272261302,1
403,1.662878516,5.271549284,1
404,3.037581446,5.273296749,1
405,2.849879096,5.273044303,1
406,2.50994596,5.272710484,1
407,0.81954942,5.270941011,1
408,3.227597149,5.273470348,1
409,2.787456327,5.273861819,1
410,2.871133384,5.273014832,1
411,3.442894925,5.270554461,1
412,2.026030063,5.274229215,1
413,3.842221927,5.270236558,1
414,3.372798246,5.273245254,1
415,4.078020004,5.273364462,1
416,3.235877912,5.268983387,1
417,2.307558414,5.273698408,1
418,2.674464041,5.273508144,1
419,2.610702684,5.272434972,1
420,3.608570002,5.271914758,1
421,2.747463894,5.274113439,1
422,2.690148335,5.273690315,1
423,2.141240714,5.274269035,1
424,2.371318597,5.273909521,1
425,3.778742389,5.271468846,1
426,2.616654958,5.270913143,1
427,3.159796599,5.271447034,1
428,1.668815057,5.271571668,1
429,2.366241543,5.272941031,1
430,3.701800874,5.274312541,1
431,3.805948885,5.273798913,1
432,3.515668047,5.275072142,1
433,3.571420904,5.271290907,1
434,1.43074952,5.275107227,1
435,4.780467953,5.270951375,1
436,2.271462042,5.271941655,1
437,2.788608577,5.271746393,1
438,3.832217722,5.272342593,1
439,2.605219531,5.273742687,1
440,3.914632331,5.272544647,1
441,4.477047185,5.27201879,1
442,4.391460111,5.273310976,1
443,3.559081584,5.271449592,1
444,2.1737852,5.27131402,1
445,2.984790171,5.27291098,1
446,3.372707877,5.271602277,1
447,1.958652601,5.274929372,1
448,2.821461805,5.274048661,1
449,2.781621855,5.27151767,1
450,3.382390026,5.274362462,1
451,2.274121642,5.27301589,1
452,1.712644217,5.273616959,1
453,1.896759273,5.271812959,1
454,2.074738577,5.272967198,1
455,2.891292932,5.266894252,1
456,3.073423597,5.273796975,1
457,2.804528907,5.26818704,1
458,3.438434873,5.272923409,1
459,3.26301484,5.270978965,1
460,3.140746252,5.273952171,1
461,2.748402111,5.271576162,1
462,2.871116619,5.274995014,1
463,2.433884738,5.270925422,1
464,2.226833826,5.272000874,1
465,2.985215927,5.273916582,1
466,3.448972755,5.273696184,1
467,2.880395384,5.273048035,1
468,1.878225736,5.273313834,1
469,2.765107807,5.273479101,1
470,1.645906978,5.274877926,1
471,3.218584885,5.273566577,1
472,3.763177236,5.272290515,1
473,2.91745271,5.272804076,1
474,3.076678557,5.272590597,1
475,3.272374129,5.272813617,1
476,2.714681903,5.273278796,1
477,1.438498261,5.273851322,1
478,2.485867517,5.272575226,1
479,2.925412349,5.268721864,1
480,2.356671802,5.273835767,1
481,3.470621654,5.272313279,1
482,0.681437798,5.272652612,1
483,0.839430309,5.274150338,1
484,2.449155408,5.272722059,1
485,2.863543616,5.273777826,1
486,1.121872914,5.272269042,1
487,1.955514717,5.272756446,1
488,2.129018355,5.272537232,1
489,3.366250253,5.271856934,1
490,2.562123412,5.271606693,1
491,3.175695578,5.272374253,1
492,1.547140853,5.273804167,1
493,3.619202244,5.272762939,1
494,2.452416714,5.272690229,1
495,0.875443808,5.273132989,1
496,3.424189834,5.27251516,1
497,2.334885642,5.27653364,1
498,3.713838799,5.272534974,1
499,3.684006164,5.271851344,1
500,2.698996611,5.270093238,1
