i,treat_shannon,control_shannon,type,qmd_MAE
222,2.180990149,2.742721057,1,0.644725352
223,1.014951232,2.7848265,1,1.118364637
224,1.557745006,2.771784414,1,0.622871408
225,2.059351821,2.771374272,1,0.777630114
226,1.026728027,2.821730212,1,0.635873713
227,1.742596735,2.732135556,1,0.775781019
228,1.625842993,2.738009936,1,0.620459845
229,0.373840163,2.703160276,1,0.651139781
230,2.51825214,2.487923375,0,0.777710524
231,2.165926932,2.92680223,1,0.675198615
232,2.858262419,2.816421958,0,0.476918713
233,1.044719501,2.724433983,1,0.599400773
234,0.78710031,2.796014551,1,0.772723972
235,2.353629143,2.689283277,1,0.637543183
236,0.896907795,2.684735844,1,0.551526019
237,2.409433265,2.846651228,1,0.870354323
238,1.942515944,2.748770362,1,0.559356557
239,0.278500332,2.677311177,1,0.738885403
240,2.033655527,2.809558119,1,0.650894152
241,1.625123967,2.718745612,1,0.725222089
242,1.249241608,2.783497397,1,0.742838952
243,0.671140161,2.643027254,1,0.68539867
244,1.88319694,2.523312985,1,1.123262142
245,1.21845164,2.848668437,1,0.618722238
246,1.548867284,2.845796748,1,1.15494106
247,1.51863693,2.807117788,1,0.74079819
248,2.451718258,2.750960266,1,0.592169074
249,0.955142392,2.715315021,1,0.699473215
250,1.527992567,2.788485679,1,0.723843091
251,1.425470914,2.716063387,1,1.189470412
252,0.912530551,2.812541872,1,0.940417073
253,1.006183521,2.801511948,1,0.801333497
254,1.974566978,2.829852502,1,0.941446152
255,2.152563302,2.767329058,1,0.68058482
256,2.776793514,2.77344231,0,0.724628676
257,1.811804912,2.714476105,1,0.85342901
258,1.210805753,2.695458717,1,0.858264615
259,1.811062164,2.703858159,1,0.850652318
260,1.066048964,2.784900383,1,0.855059586
261,2.568817612,2.561691031,0,0.905726898
262,1.620587233,2.697666044,1,0.609720992
263,0.982936194,2.183114202,1,1.018655779
264,0.92476718,2.761958326,1,0.646645529
265,1.603189576,2.784704871,1,0.744485053
266,1.594040154,2.651697386,1,1.02658406
267,2.394129692,3.001004036,1,1.338930822
268,1.342242265,2.720158002,1,0.804530937
269,0.836886479,2.688285103,1,0.670865626
270,1.43298472,2.774187689,1,0.681334091
271,1.197855341,2.645450615,1,0.667225915
272,0.81330276,2.796772156,1,0.452295493
273,1.228888447,2.627295301,1,0.81427152
274,1.410726828,2.863486671,1,0.772977234
275,1.397209684,2.853685597,1,0.576135789
276,2.329434059,2.775542953,1,0.737013587
277,1.177023325,2.760148002,1,0.651523918
278,2.446885067,2.724403865,1,0.567965193
279,1.762714625,2.663435987,1,0.839166091
280,1.177884971,2.824539538,1,1.023582332
281,1.247020692,2.971617546,1,1.040483478
282,1.126281283,2.751917783,1,0.87659995
283,1.31686282,2.723828344,1,0.680820512
284,0.400047779,2.736741934,1,1.174807899
285,1.599374439,2.659212492,1,1.209556415
286,1.626280537,2.737601716,1,0.841485538
287,2.245177958,2.747151852,1,0.625497695
288,0.835463184,2.725932842,1,0.914634116
289,0.459263196,2.831339512,1,0.839414035
290,0.929366323,2.715444631,1,0.740385907
291,1.328749616,2.785875056,1,0.629983053
292,2.127994753,2.775745934,1,0.719854095
293,1.814486808,2.672401815,1,0.829065194
294,1.075042958,2.718170853,1,1.16327285
295,2.165149973,2.707361086,1,0.605825439
296,2.519249106,2.800444302,1,0.88077589
297,1.448139872,2.824212931,1,0.60882234
298,2.225615139,2.768216922,1,0.66068692
299,1.354757369,2.772977097,1,0.842570938
300,1.548039174,2.375482427,1,1.419232647
301,1.178919057,2.740007089,1,0.653356263
302,2.478592552,2.625117709,1,0.962658029
303,1.337897414,2.664015348,1,1.261374828
304,0.848642965,2.487188676,1,0.987782061
305,1.935684587,2.855133261,1,0.812084467
306,1.892358303,2.986456062,1,1.251814363
307,1.241152699,2.878736431,1,0.694393109
308,2.0486543,2.904163269,1,0.803127135
309,1.019327144,2.757888512,1,1.27289056
310,1.48034783,2.758759102,1,0.973655913
311,2.718015844,2.746874669,1,0.567531318
312,1.103006385,2.747517467,1,0.582728022
313,1.352241847,2.847900884,1,0.646468589
314,1.102325137,2.931724196,1,1.089430916
315,1.281118538,2.832551399,1,0.905328351
316,2.745324959,2.735582634,0,0.532683759
317,1.630811388,2.700718582,1,1.492760422
318,2.481994881,2.829192638,1,0.760834814
319,2.517660691,2.849312921,1,0.904326672
320,0.872829579,2.72553695,1,0.706992643
321,0.922101806,2.787991525,1,0.804916854
322,0.885248489,2.704987029,1,0.814835219
323,1.278323013,2.768573557,1,0.840612668
324,1.436338591,2.919597728,1,1.027231226
325,0.261886555,2.539843963,1,1.000561058
326,1.701525986,2.613858303,1,0.662278033
327,1.824059787,2.895537449,1,0.973243145
328,1.262375837,2.822868757,1,0.813987424
329,0.884810486,2.752512709,1,0.589088492
330,0.818210158,2.951933568,1,0.826128739
331,1.620830815,2.844743811,1,0.75276978
332,2.716886351,2.728172618,1,0.674032166
333,1.424117657,2.625013406,1,0.922111739
334,1.788498349,2.798145848,1,0.754799014
335,1.714644767,2.862491189,1,0.941490882
336,1.810498869,2.716214627,1,0.80192634
337,2.013382917,2.776723824,1,0.733436809
338,1.468173699,2.824569615,1,0.708697628
339,0.410606801,2.590824139,1,0.982550065
340,0.912798022,2.68182366,1,0.856622465
341,1.18247266,2.726193974,1,0.829458184
342,0.558073681,2.840978836,1,0.726689514
343,1.338066871,2.671397441,1,0.603457724
344,0.847453034,2.966492473,1,1.062753534
345,1.571506376,2.774705379,1,0.616642769
346,1.736001017,2.824703816,1,0.667539682
347,1.666886933,2.710296402,1,0.684674299
348,1.853944649,2.749882128,1,1.019789561
349,1.501693509,2.633406577,1,0.839330173
350,1.687735783,2.811531804,1,1.686261942
351,1.79412244,2.786612919,1,1.173701232
352,2.628592591,2.820062268,1,0.624180758
353,1.243520915,2.76548418,1,0.809296087
354,1.570006697,2.819662514,1,1.127477255
355,1.5806968,2.863017811,1,2.275299626
356,1.72488679,2.437804808,1,0.829899229
357,1.890290083,2.762081817,1,1.112191911
358,1.087965074,2.758816,1,0.842640456
359,0.778479097,2.982381291,1,1.214223163
360,2.067463959,2.827272589,1,0.984030264
361,2.038710558,2.76560573,1,1.333136569
362,1.768741849,2.629419998,1,1.364207497
363,0.654045091,2.662188195,1,0.688328724
364,1.786623114,2.69719282,1,0.846564024
365,1.487174211,2.759365263,1,0.670610247
366,1.429317823,2.727203129,1,0.614456797
367,1.516190566,2.641348721,1,1.707618407
368,2.029650216,2.671655128,1,1.00581126
369,1.411680832,2.790699781,1,0.744451001
370,2.202241044,2.783869599,1,0.947737303
371,1.821148987,2.862190152,1,0.758001576
372,1.38914645,2.878190306,1,0.815836754
373,2.553249485,2.660769422,1,0.944383308
374,1.560466698,2.699203929,1,1.262647827
375,1.377942626,2.697701185,1,0.857262689
376,2.265800376,2.783642889,1,0.748531555
377,1.178095462,2.830080898,1,1.701121971
378,1.366239267,2.807084907,1,0.687007001
379,0.642418266,2.954918889,1,0.989484966
380,1.503879306,2.717085839,1,0.509859232
381,1.632784822,2.813607965,1,0.866436033
382,1.929214976,2.841226938,1,0.856850717
383,1.374225974,2.707401704,1,0.845693991
384,1.557562103,2.834451936,1,0.995934941
385,2.293756687,2.720702793,1,0.686297313
386,1.26875803,2.794365109,1,0.859567087
387,1.400375283,2.77269343,1,0.836120811
388,2.488649175,2.705235269,1,0.592408448
389,0.894195678,2.847103459,1,1.279968129
390,1.696284531,2.747166958,1,0.908507165
391,1.606012045,2.707420891,1,0.746496411
392,1.510769949,2.831036633,1,2.20208741
393,2.611042136,2.933340417,1,0.717512319
394,1.808754435,2.784456558,1,0.559861516
395,1.354922865,2.889533406,1,1.014395862
396,2.181324436,2.62580234,1,0.945825254
397,0.827787168,2.926228667,1,0.638104002
398,2.592376759,2.816940571,1,0.711720494
399,1.94582615,2.798951952,1,0.910091678
400,2.725046389,2.708838973,0,0.603631554
401,1.102386034,2.818296617,1,0.629634101
402,2.084628371,2.497541603,1,0.728169184
403,1.154828425,2.702723954,1,0.712169552
404,1.242593038,2.758899271,1,0.696075203
405,1.262349546,2.832466474,1,0.791288615
406,1.286361638,2.697513637,1,0.814707183
407,1.377215336,2.719153965,1,0.736340262
408,0.950429349,2.705704152,1,0.985702508
409,1.3907523,2.693236271,1,0.859149101
410,2.550483107,2.663296488,1,0.554719349
411,0.238381666,2.829149307,1,0.813147646
412,1.21985898,2.739202768,1,0.891759004
413,2.206786557,2.842280163,1,1.124639714
414,1.470694241,2.672721899,1,1.105211858
415,1.438355932,2.762616532,1,0.750398795
416,1.027546436,2.949850598,1,0.991792825
417,0.492248484,2.814406099,1,0.833048159
418,1.823891802,2.66740903,1,0.799295986
419,1.910309562,2.815541681,1,0.888128328
420,1.314767972,2.79890717,1,0.83264443
421,1.465120677,2.765640335,1,0.6461555
422,1.666976853,2.70063572,1,0.777611354
423,1.247104186,2.814075895,1,1.027594925
424,1.447890398,2.726187652,1,0.788140893
425,2.018830535,2.68440754,1,0.90736764
426,1.569514599,2.752972211,1,1.1589128
427,0.971398089,2.658940674,1,0.56457817
428,2.222407555,2.697418019,1,0.723905951
429,1.691756308,2.840247198,1,0.947785447
430,1.353441287,2.735608304,1,0.619287193
431,1.283902917,2.851964533,1,0.685193278
432,1.517884454,2.665588244,1,0.958240788
433,0.900744481,2.625880051,1,1.22234629
434,2.553834072,3.006882471,1,#N/A
435,2.078897289,2.699268256,1,0.809413185
436,0.461587515,2.734148078,1,0.70521456
437,1.129699587,2.743824747,1,0.673397632
438,1.302912204,2.784159506,1,0.486267975
439,1.967645502,2.85472546,1,0.948331812
440,1.493591023,2.662363395,1,0.635311951
441,1.816881444,2.627130262,1,0.68313935
442,2.692692804,2.739237584,1,0.653852203
443,1.519014162,2.913773915,1,0.848634938
444,2.641428701,2.749601157,1,0.616256965
445,1.500723949,2.819699979,1,0.633146565
446,2.116846153,2.631909552,1,0.960003173
447,1.612072938,2.859131488,1,0.738363792
448,1.666569,2.739158277,1,0.578447294
449,0.913100933,2.790875308,1,0.835202362
450,1.180571017,2.750286553,1,0.538631993
451,1.514404088,2.76514373,1,0.821328082
452,0.685127354,2.93766126,1,0.729238895
453,2.729912961,2.757568796,1,0.595563211
454,1.495079334,2.815451773,1,0.676496246
455,2.500602704,2.852773969,1,1.162469828
456,0.856531629,2.861068214,1,0.664463307
457,1.649818841,2.918037458,1,0.956356667
458,1.736892329,2.746515196,1,0.59721398
459,1.372749131,2.723167349,1,1.069834288
460,0.933088003,2.810342516,1,1.335965467
461,1.645251605,2.746592364,1,0.756085079
462,2.610983775,2.640499022,1,0.921302671
463,1.293940793,2.686909868,1,0.909662526
464,1.784294788,2.854405853,1,0.717542017
465,2.627476247,2.695231062,1,0.483942368
466,1.570685711,2.767751294,1,0.67696332
467,2.216729588,2.837448742,1,0.75655016
468,1.749725835,2.72211826,1,0.654887653
469,0.77876326,2.732011553,1,0.581296849
470,2.180141592,2.796671219,1,1.1199318
471,1.746233303,2.723320015,1,0.555468799
472,0.931178346,2.754473557,1,0.790414745
473,1.097051476,2.465534306,1,0.867306642
474,1.73161016,2.826869149,1,0.914614296
475,1.087214842,2.72000286,1,0.698052013
476,0.814105289,2.787114671,1,0.933918277
477,2.772604181,2.882402972,1,0.618656701
478,1.738063318,3.101931351,1,1.187601498
479,1.180812436,2.335597715,1,0.621270054
480,0.499629331,2.849101045,1,0.815210629
481,1.873681482,2.753613479,1,0.705190237
482,1.094288764,2.733201403,1,1.997277861
483,0.61160292,2.728258191,1,1.068173089
484,1.607650117,2.820957054,1,1.07812989
485,1.083863726,2.764880378,1,0.530974419
486,1.358009961,2.686287701,1,0.898017989
487,0.912327205,2.692605836,1,0.633232784
488,1.247755394,2.683184288,1,0.580866237
489,1.630377383,2.765375394,1,0.941484139
490,0.277714711,2.765769122,1,0.815259833
491,1.663762618,2.813311496,1,0.903616295
492,1.226885886,2.739224967,1,0.722805894
493,1.830596673,2.756303127,1,0.77316183
494,2.52673895,2.797398239,1,0.717944239
495,1.026800183,2.810947074,1,1.126821195
496,1.121835918,2.75956161,1,0.586054866
497,1.651213814,2.490152338,1,1.134799865
498,1.18342567,2.548999745,1,0.992688169
499,0.268047581,2.870497398,1,0.776164414
500,1.045359147,2.455107946,1,1.20439585
