i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
1.0,35.0,0.5737704918032787,1.4164345038032096,1.3399999999999999,-0.1160345336095574,1.490572827069096,0.28,0.07142857142857142,0.04,0.6071428571428571,0.04,0.6071428571428571,0.04,0.07142857142857142,0.03571428571428571,0.12,0.125,0.9444444444444444,0.6278954121578469,1.789232528278663,2.657773645559489,79.0,2.4100840080709047
2.0,28.0,0.45901639344262296,7.52668419616915,6.440000000000001,0.2313740842734404,0.9153679600099681,0.7142857142857143,0.0,0.14285714285714285,0.9285714285714286,0.14285714285714285,0.9285714285714286,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.0,1.0,1.4445737091912314,7.7512176637246055,3.955322481435901,11.0,2.7841843950435883
3.0,11.0,0.18032786885245902,0.21409239320706064,0.3000000000000007,0.09084474134915156,-1.4798794475452204,0.4444444444444444,0.0,0.0,0.10256410256410256,0.0,0.10256410256410256,0.1111111111111111,0.02564102564102564,0.0,0.1111111111111111,0.058823529411764705,0.875,0.788681785216309,0.910979739580551,2.621680726900435,50.0,0.829943873287347
4.0,34.0,0.5573770491803278,3.1794230100429743,2.66,-0.2626359093908306,0.2129526475857853,0.5,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142,0.0,1.0,0.9274120530830156,2.8115251094515155,3.201889630224082,16.0,2.7282587940063983
5.0,51.0,0.8360655737704918,3.7113779939979983,5.630000000000001,0.01853193004230746,-0.39333323374756235,0.4411764705882353,0.23076923076923078,0.23529411764705882,0.9230769230769231,0.23529411764705882,0.9230769230769231,0.08823529411764706,0.6923076923076923,0.6923076923076923,0.08823529411764706,0.0,0.6428571428571429,1.9855267724298846,3.644473227570116,2.1979307422784005,52.0,3.861525680791854
6.0,32.0,0.5245901639344263,3.235918754068855,3.2799999999999994,0.1415872419973141,-1.3670973456092268,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.9629629629629629,0.3333333333333333,0.9629629629629629,0.041666666666666664,0.18518518518518517,0.07407407407407407,0.08333333333333333,0.0,0.75,0.7192566454901022,3.5604593207157857,2.447849846873249,83.0,2.5602799716961306
7.0,44.0,0.7213114754098361,3.5593896163629846,3.619999999999999,-0.001585488468428764,0.46533806983784454,0.3,0.6086956521739131,0.16666666666666666,0.782608695652174,0.16666666666666666,0.782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.0,0.06666666666666667,0.7407407407407407,0.7228338653578823,4.110432167158555,2.853948885284565,79.0,3.2062978495521874
8.0,6.0,0.09836065573770492,2.1709270774351097,2.1999999999999993,0.5488903344592657,1.357460082957029,0.6,0.037037037037037035,0.6,0.5185185185185185,0.6,0.5185185185185185,0.6,0.037037037037037035,0.0,0.6,0.0,1.0,1.212452164242602,2.7611947706909423,2.950853544769377,15.0,0.7499543320807365
9.0,43.0,0.7049180327868853,5.3264325413331255,5.390000000000001,-0.2500133882003652,-0.4541453828914519,0.625,0.06666666666666667,0.25,0.9333333333333333,0.25,0.9333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.041666666666666664,0.0,0.9583333333333334,1.0968294378563477,5.302180293478109,4.0713172374243705,22.0,4.565149311168564
10.0,8.0,0.13114754098360656,1.2139741054819453,1.5,-0.2479164665929545,-1.154642352842851,0.5714285714285714,0.0,0.14285714285714285,0.575,0.14285714285714285,0.575,0.14285714285714285,0.025,0.0,0.2857142857142857,0.0,1.0,0.7135703915657664,1.5100819797514686,1.622034201290122,53.0,0.6370723810624763
