i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
396.0,4.008508969098166,3.9399999999999995,1.0,0.0,True
397.0,2.9076890024022006,4.539999999999999,0.998,0.0020000000000000018,True
398.0,1.1791971511297916,0.9700000000000006,1.0,0.0,True
399.0,3.9748489488392025,3.9299999999999997,1.0,0.0,True
400.0,-0.5019085658540305,-0.3800000000000008,0.0,0.0,True
401.0,4.942632539579684,4.76,1.0,0.0,True
402.0,-0.10618853678391817,-0.02999999999999936,0.456,0.456,False
403.0,5.174775317927789,4.99,1.0,0.0,True
404.0,7.627800700599806,8.0,1.0,0.0,True
405.0,2.528666424702777,2.49,1.0,0.0,True
406.0,0.014725721036064954,0.08999999999999986,0.692,0.30800000000000005,False
407.0,2.0732378616828626,2.0500000000000007,1.0,0.0,True
408.0,5.455351451544665,5.0600000000000005,1.0,0.0,True
409.0,2.189073190531964,2.4399999999999995,1.0,0.0,True
410.0,0.4559732517492208,0.41000000000000014,0.998,0.0020000000000000018,True
411.0,0.09203913780160633,0.2699999999999996,0.876,0.124,False
412.0,4.400219634895108,4.24,1.0,0.0,True
413.0,5.371277747454285,6.32,1.0,0.0,True
414.0,6.0003510788153696,5.93,1.0,0.0,True
415.0,5.139365499785099,5.050000000000001,1.0,0.0,True
416.0,5.553109278206293,4.3100000000000005,1.0,0.0,True
417.0,6.013588830924995,6.030000000000001,1.0,0.0,True
418.0,6.696937084403629,6.219999999999999,1.0,0.0,True
419.0,5.186401312540312,4.619999999999999,1.0,0.0,True
420.0,3.744496848273904,3.710000000000001,1.0,0.0,True
421.0,3.028645751882351,3.2699999999999996,1.0,0.0,True
422.0,4.008013551834345,3.8499999999999996,1.0,0.0,True
423.0,6.603579841767192,5.609999999999999,1.0,0.0,True
424.0,3.701595800503192,6.050000000000001,1.0,0.0,True
425.0,4.991832519215421,4.9,1.0,0.0,True
426.0,3.4951230571685765,3.51,1.0,0.0,True
427.0,0.07304789797179723,0.28999999999999915,0.976,0.02400000000000002,True
428.0,5.173512781625718,5.130000000000001,1.0,0.0,True
429.0,4.38486167429879,4.130000000000001,1.0,0.0,True
430.0,6.022859977530601,6.41,1.0,0.0,True
431.0,7.325408650542712,7.620000000000001,1.0,0.0,True
432.0,5.184591072166633,4.57,1.0,0.0,True
433.0,4.917536979081582,5.25,1.0,0.0,True
434.0,4.7819783711175665,4.66,1.0,0.0,True
435.0,0.4424048942680869,0.2400000000000002,0.864,0.136,False
436.0,2.7950173261168634,2.4700000000000006,1.0,0.0,True
437.0,0.6319746833615909,0.5099999999999998,1.0,0.0,True
438.0,4.425849280379005,4.32,1.0,0.0,True
439.0,5.653518785661447,5.140000000000001,1.0,0.0,True
440.0,4.5956557854390425,4.26,1.0,0.0,True
441.0,0.22907310227097355,0.41000000000000014,1.0,0.0,True
442.0,0.2425152225496348,0.17999999999999972,0.966,0.03400000000000003,True
443.0,4.611824125269244,4.779999999999999,1.0,0.0,True
444.0,-0.14071363236040213,0.16999999999999993,0.924,0.07599999999999996,False
445.0,0.979752936755382,0.9600000000000009,1.0,0.0,True
446.0,3.9438753394802646,3.9000000000000004,1.0,0.0,True
447.0,1.843143434081682,2.09,1.0,0.0,True
448.0,5.14168010338048,5.199999999999999,1.0,0.0,True
