,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa1016,64,91,0.14988290398126464,0.3137931034482759,1.8601650438602745e-05,-15.187384231284888,-15.632380263744627,0.444996032459739,0.10962199255468744,0.7959413731472058,0
1,taxa102106,381,258,0.892271662763466,0.8896551724137931,0.004381220057187657,-10.334651982339489,-8.292362645844658,-2.042289336494828,-2.316079993791246,-1.763955591060386,1
2,taxa114627,90,114,0.2107728337236534,0.3931034482758621,3.3674328616855525e-05,-14.476316757811576,-14.806071934404208,0.32975517659263287,0.007967454000410351,0.6395275575863809,2
3,taxa117563,137,94,0.32084309133489464,0.32413793103448274,3.760210350137727e-05,-14.88999858544199,-14.24854537804698,-0.6414532073950124,-1.0838910589521547,-0.2584232604599348,3
4,taxa1263,408,280,0.955503512880562,0.9655172413793104,0.030020269367458503,-5.2355984353844764,-5.20266104788693,-0.032937387497546176,-0.2509867871755745,0.20587480832320157,4
5,taxa1279,62,128,0.1451990632318501,0.4413793103448276,2.1439310531994225e-05,-13.878775155829192,-15.516874597025975,1.6380994411967817,1.1851960263551997,2.108313058741375,5
6,taxa1301,336,257,0.7868852459016393,0.8862068965517241,0.0015731972938730929,-9.36103582870337,-9.301302411342949,-0.059733417360423646,-0.3368046420584672,0.22346253922237408,6
7,taxa1350,177,85,0.41451990632318503,0.29310344827586204,9.148873061077383e-05,-14.932595463107711,-12.561230790967029,-2.371364672140681,-2.9307445162661625,-1.7998344135002524,7
8,taxa1357,203,86,0.47540983606557374,0.296551724137931,0.00014890434255624845,-14.380039686990099,-12.284931736615587,-2.095107950374511,-2.6984988466516406,-1.4948491020223107,8
9,taxa1378,149,89,0.34894613583138173,0.30689655172413793,3.517523718956414e-05,-15.359261543480894,-14.494222601423878,-0.865038942057017,-1.2302214632398818,-0.48335446115704156,9
10,taxa1386,185,138,0.4332552693208431,0.47586206896551725,7.334064126478773e-05,-13.558155337264031,-13.553088775884378,-0.005066561379654058,-0.27589368685830273,0.28822732847726845,10
11,taxa1485,304,232,0.711943793911007,0.8,0.0026700351330684324,-5.390709960697429,-8.655453840496042,3.2647438797986124,2.9723339603117997,3.5470256161515272,11
12,taxa1486726,127,74,0.297423887587822,0.25517241379310346,4.494857836670351e-05,-15.482551759128448,-14.24241439654907,-1.2401373625793795,-1.672471806651078,-0.7858930640152277,12
13,taxa1501226,103,78,0.24121779859484777,0.2689655172413793,3.0222429885724707e-05,-15.628782343765696,-15.07464264139072,-0.5541397023749743,-0.8871956615232652,-0.20632584593591216,13
14,taxa1505652,66,136,0.15456674473067916,0.4689655172413793,3.13892166291249e-05,-12.726097936571106,-14.98601914487144,2.259921208300331,1.9067954059324017,2.613117662295323,14
15,taxa1505657,126,140,0.29508196721311475,0.4827586206896552,7.113738410708942e-05,-9.934052510510632,-13.24212464865388,3.308072138143248,2.8944359489727747,3.708907646976198,15
16,taxa1505663,203,140,0.47540983606557374,0.4827586206896552,0.0012649196039655043,-12.094522601194436,-9.972716841166742,-2.121805760027693,-2.541669335166014,-1.6555499196716639,16
17,taxa1506553,205,141,0.48009367681498827,0.4862068965517241,0.001857412869186636,-8.469933280198813,-9.1362824028693,0.666349122670485,0.4704528619737845,0.8607355277223686,17
18,taxa1508657,205,141,0.48009367681498827,0.4862068965517241,0.03435303867395901,-5.093785755422664,-4.883372348762968,-0.21041340665969654,-0.4554765464334335,0.033490681180422574,18
19,taxa1562,143,109,0.33489461358313816,0.3758620689655172,0.0001472470705447316,-14.190101546628108,-12.381039580507098,-1.8090619661210086,-2.1367967682509597,-1.4916344045214562,19
20,taxa1573,187,123,0.4379391100702576,0.4241379310344828,0.0015605822661363044,-11.169955950411246,-9.616767962532453,-1.5531879878787949,-2.2293589008079393,-0.8376579575547908,20
21,taxa1573535,147,140,0.3442622950819672,0.4827586206896552,0.00010548525758982052,-5.85892844631675,-11.975370845694373,6.116442399377623,5.502528617569241,6.710942325737922,21
22,taxa1578,240,90,0.5620608899297423,0.3103448275862069,0.0004994517762783282,-14.372490116737387,-10.958095283422113,-3.4143948333152734,-3.9333138767973552,-2.8240323445872093,22
23,taxa162289,186,70,0.43559718969555034,0.2413793103448276,7.008415586207016e-05,-15.668544515959017,-13.609383183027305,-2.059161332931713,-2.422865088324366,-1.700455522221228,23
24,taxa1649459,71,60,0.16627634660421545,0.20689655172413793,1.7725476197995204e-05,-15.917332998824739,-15.835068542827546,-0.08226445599719136,-0.4244103574716238,0.30575433521733925,24
25,taxa1654,203,132,0.47540983606557374,0.45517241379310347,0.0001504447989791494,-13.974556531663668,-12.633365235325941,-1.3411912963377282,-1.6046526721769852,-1.0802207327987903,25
26,taxa1663,72,67,0.1686182669789227,0.23103448275862068,1.7222263554659466e-05,-15.571199096328568,-15.731087832844379,0.15988873651580843,-0.195138621691599,0.5114719787763593,26
27,taxa166484,89,66,0.20843091334894615,0.22758620689655173,3.561442884004383e-05,-15.877608758814327,-14.418699903292184,-1.458908855522143,-1.8575544537547661,-1.0492047945564793,27
28,taxa1678,353,278,0.8266978922716628,0.9586206896551724,0.017071967785042247,-4.857765802262921,-7.013517086186783,2.1557512839238635,1.7413254101357039,2.533148237202102,28
29,taxa1730,427,288,1.0,0.993103448275862,0.026706728631412328,-4.428277355277465,-5.229124361607933,0.8008470063304672,0.5562930891443537,1.0504143308650216,29
30,taxa1849828,67,69,0.15690866510538642,0.23793103448275862,1.797946019167612e-05,-15.000818260976466,-15.804494010783255,0.8036757498067885,0.35591426480430877,1.2502996238482533,30
31,taxa1870884,84,135,0.19672131147540983,0.46551724137931033,2.829741106923397e-05,-13.63445860258419,-15.183411032526735,1.5489524299425448,1.172759869246659,1.8986815257678382,31
32,taxa189330,423,285,0.990632318501171,0.9827586206896551,0.0026492520591222504,-9.747565969779778,-8.690476379020096,-1.057089590759684,-1.328983842242096,-0.8170696376992821,32
33,taxa2039240,205,141,0.48009367681498827,0.4862068965517241,0.000589826426691949,-10.617047731759586,-11.116395372667409,0.49934764090782285,0.23778827107928144,0.7760166515376404,33
34,taxa204475,201,141,0.4707259953161593,0.4862068965517241,0.000255605621984468,-10.899148396621536,-11.9341720933668,1.035023696745265,0.7465291810186264,1.3477034827691936,34
35,taxa2048137,204,141,0.477751756440281,0.4862068965517241,0.0010938006041688528,-9.543144394992858,-9.98500394625738,0.4418595512645237,0.08715561577656068,0.8172029743594499,35
36,taxa207244,305,234,0.7142857142857143,0.8068965517241379,0.00016575231958938953,-12.62836379847612,-12.385848002659165,-0.24251579581695468,-0.6490709069522815,0.15436000505487613,36
37,taxa2132,150,116,0.351288056206089,0.4,9.902202569366005e-05,-13.511670008031237,-13.31245170775431,-0.19921830027692938,-0.6765062718796481,0.2907749581048173,37
38,taxa2147,141,133,0.33021077283372363,0.4586206896551724,6.652766450986695e-05,-13.382112335854348,-13.873741285707343,0.4916289498529981,0.17341002028207875,0.8341749792340305,38
39,taxa216851,426,289,0.9976580796252927,0.996551724137931,0.020570469360163476,-4.5246888389983875,-5.747408938445257,1.2227200994468679,1.0273429756964987,1.4107073208462833,39
40,taxa2172,207,51,0.4847775175644028,0.17586206896551723,0.013718850070282573,-13.194019279573242,-7.206256796600574,-5.987762482972666,-7.220239586688703,-4.761052527856221,40
41,taxa237,195,116,0.4566744730679157,0.4,0.00011536214217210186,-14.5550116260688,-13.166329970126423,-1.3886816559423785,-1.7424322478960284,-1.0543712919178165,41
42,taxa239759,415,284,0.9718969555035128,0.9793103448275862,0.03695048341948711,-6.426813580452005,-4.983089311945843,-1.4437242685061618,-1.6931952310044032,-1.2095866638752901,42
43,taxa239934,297,174,0.6955503512880562,0.6,0.024044730110172233,-11.34002429831517,-7.036637588293537,-4.303386710021632,-4.828708088206619,-3.7617351422155143,43
44,taxa241189,195,141,0.4566744730679157,0.4862068965517241,0.00018885765719535324,-11.8850223094886,-12.567737990732276,0.6827156812436774,0.48294700594244394,0.8931791449182597,44
45,taxa244127,247,185,0.5784543325526932,0.6379310344827587,0.002076792977774286,-13.220415762013012,-8.433293820671487,-4.787121941341523,-5.185124096214927,-4.380327050782772,45
46,taxa253238,140,76,0.32786885245901637,0.2620689655172414,0.00030022163884166407,-14.447614803757824,-12.017174816610545,-2.4304399871472797,-2.9644107267036386,-1.9342420764442627,46
47,taxa283168,276,226,0.6463700234192038,0.7793103448275862,0.0015253979945221339,-9.747474974631265,-10.086405447243862,0.3389304726125962,-0.02501446873927556,0.6857678539558043,47
48,taxa292632,387,263,0.9063231850117096,0.906896551724138,0.009400366173331405,-9.112954516324276,-8.860252947399358,-0.252701568924917,-0.8100615100894913,0.2926353099938131,48
49,taxa29465,270,274,0.6323185011709602,0.9448275862068966,0.00025016951014555564,-9.190618854948424,-11.90805756072461,2.7174387057761864,2.3784469793450693,3.092619603045351,49
