,taxa100883,taxa1016,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa123375,taxa1236988,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1649459,taxa1654,taxa1663,taxa166484,taxa1678,taxa1716,taxa1730,taxa1849822,taxa1849828,taxa1870884,taxa189330,taxa2005359,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa212791,taxa2132,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa264995,taxa278993,taxa283168,taxa28453,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa44249,taxa447020,taxa44748,taxa459786,taxa46123,taxa46205,taxa46255,taxa52225,taxa559173,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa579,taxa588605,taxa61170,taxa644652,taxa698776,taxa724,taxa762551,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa1647,condition
790,,,,0.0014064703322918192,,,,,,,0.008119908299109357,,,,,,,,,,,,,,,,,,0.0001856605840142581,,,,,,0.00264038194891612,,0.05279311520178299,,,,0.0060852592402703895,,,,,,1.056274657411534e-05,,,,0.08275942410280641,0.01431861550018058,,0.036937416945326824,0.0003410548364988395,,0.0017594082586865386,,,0.01189131665042306,,,0.10562340314631719,0.0005703883150022283,,0.053942423280943466,0.004792846258004835,0.005115111593386258,0.010904106105226893,0.06368015840869784,0.006909661297405912,,,,0.000899966321088808,,,,0.0004032125374926721,,,,0.010641560913937585,,0.0007244622241650453,0.0007060789825312485,,,0.00015244887122833772,,,0.0006656561639110763,,,0.05776126242696979,,0.0019032241158879553,,0.43956971433051883,0.014941614418311577,,,,,,0.0008441056420910826,,,,,UC
791,,,,0.0005349180881780346,,,,,,,0.01840498191880849,,,,,,,,,,,,,,,,,,,,,,,,0.000789047590447836,,0.10385806989868732,,,,0.015742546385784113,,,,,,,,,,0.03336614137036271,0.053077826955785966,,0.020119641064549307,0.00013646182276224063,,0.0017084284786835604,,,0.009954154547508531,,,0.13129445478803276,0.002189721973336014,,0.10718994464307675,0.002265307114686357,0.0065109449327516965,0.010711129523923927,0.20256307171477356,0.0010362314310800383,,,,5.015176270678155e-05,,,,,,,,0.019003943092968503,,0.00020111776124165552,0.00010152923040843353,,,0.00013932180108360497,,,0.00024217887856981476,,,0.056245661515028585,0.000902629586639162,0.0019170026119773441,,0.17397554555107902,0.02576789396507803,,,,,,,,,,,UC
792,,,,0.006944525492647782,,,,,,,,,0.009387327103153563,3.5853972762125934e-05,,,,,,,,,,,,,,,0.0009756276048673504,,,,,,0.07927323892067556,,0.14674368646762773,,,,0.014620955690272568,,,,,,,,,,0.3156779329101724,,,0.0022562768372506167,,,0.0002963998510745835,,,,,,0.029134875180334443,0.000970685854955855,,0.009050762391096189,,0.0017667281651671612,0.0016247842847305922,,,,0.0006610379083738585,,0.015137105696985986,,,,0.004732408973755208,,0.00014488790166043852,,0.03556440724603533,,,0.0013017830990260442,,,0.0007567185981496198,,,0.006378116837898302,,,0.2761439336182095,0.0005973208776001097,,,0.0007096142585677064,0.032604719623510164,,0.00011881228510616509,,,,,0.006389472348333227,,,,UC
793,,,,,,,,,,,,,0.03745008441384714,,,,,,,,,,,,,,,,,,,,,,,,0.39660314988904494,,,,0.06876943132956599,,,,,,,,,,0.03842160653850711,,,,,,,,,,,,0.013990675563888519,0.00010869598643322695,,0.025781528873509804,,,,,,,,,,,,,,,,,0.12593713326932215,,,,,,,,,0.009784886030070111,,,0.19661554525289499,0.0038146495695804516,,,,0.08272261328333555,,,,,,,,,,,UC
794,0.0005558423207092152,,3.934602231919067e-06,0.019754574400457012,,0.0003523064106580505,,0.00015578898026382253,,,0.07293859276930705,,0.01898328602240001,3.200852085966593e-05,,0.002593434573838979,4.094113133213083e-05,7.46511018055996e-05,,0.00028318502009731013,,,,,,,,,0.006376288768327006,,,0.001254287387175281,,,0.22192645356435614,,0.09089994561741672,,,,0.021679764638474923,,,,,,,,,,0.22988073050888444,,,0.0045367027140035465,,,5.359566283478946e-05,,,0.00048321169032000645,,,0.016101349398420586,0.0005897649723844094,9.294168515398014e-05,0.04283516377409598,0.00010134259262213164,0.004498313757092121,0.002210821091935065,,,,0.000639000670583829,,0.0025477081154680276,,,0.0013989106043485224,0.004374639638288827,,0.0014722856189437698,,0.042152457116557594,,,0.0006245383488665048,,,8.836903931688499e-05,,,0.0026015164595045424,,,0.1647332882023823,9.910944000401542e-05,,,,0.01054547836574914,,9.602556257899777e-05,,,,,0.009239190424752007,9.8258715197114e-05,,,UC
795,,,1.315525620039224e-05,0.017009390719642293,,,,,,,0.01284747061163171,,0.007091038639476293,8.556842321336213e-05,,,,,,0.003292132493103565,,,,,,,,,0.0022559486646348314,,,,,,0.021126274815435313,,0.24387830226559587,,,,0.05236230476296125,,,,,,8.805725546749041e-05,,,,0.07993939574945377,0.02102138831329705,,0.006311441564826023,,,0.003053678659993752,,,0.014770626849143108,,,0.1038167783322738,,,0.04389600852934665,0.0012668156173512855,0.022564345795034947,0.00045901177715422655,,,,,,0.008692661452918643,,,,0.010147680195010673,,0.004758884301536487,,0.06471414220855656,,0.05456053622246464,0.0047297294094166996,,,,,,,,,0.10892919532971815,,,,0.05385726333694097,0.012522618744557163,,,,,,,0.019938153703643133,,,,UC
796,,,,,,,,,,,,,0.02629966115507277,,,,,,,,,,,,,,,,,,,,,,,,0.10712052894286428,,,,0.0615446548807886,,,,,,,,,,,0.2705568161338096,,,,,,,,0.024688272741621504,,,0.05388790132190939,,,0.04601202356578596,,0.03446630524700306,,,,,,,,,,,,,0.004106549770577245,,0.04846296829051782,,0.014426515874890437,,,,,,,,,,0.25477735526329043,,,,0.027075830964851694,0.024153755223439516,,,,,,,0.0024208606235776517,,,,UC
797,,,3.3426913583156643e-05,0.011720269083254999,,,,1.5863620005565864e-06,,,0.04804184007114154,,0.0016123103504228334,1.8243163006400747e-05,8.996938774585213e-05,0.003427788348488378,1.7789916720527436e-05,,,0.0467729770938392,,,,,,,,,0.0003829931115629473,0.0001729134580606679,,3.931911529950969e-05,,,0.015784415217109504,,0.1297009571655065,,,,0.03950573945771801,,,,,,0.0006318253225073947,,,,0.0500042831774015,0.023433626160650426,,0.029584064948379778,0.0021675370506176387,,0.0010652420833737479,,,0.007530687039785052,,,0.08458436862339133,0.00015025114376700238,,0.09174690636747576,0.002520389284170011,0.005184004394675988,0.005766425872023192,0.2035721699528533,1.1671091861237745e-05,,0.0013511271781883386,,0.0004223122268624569,,,,0.00023818092322642462,,0.0013782086437692687,,0.026064494227002057,,0.0013322041457531277,,,,0.0004005564051405381,1.835647457786907e-05,,0.00039398433399537514,,,0.026495531444867576,0.00015784301905538036,0.03229957675861825,,0.05342515952003032,0.05022558067647914,,6.470090730841506e-05,8.849633731676385e-05,,,0.00036769604941472306,,,,,UC
798,,,4.503391904233992e-05,0.011574866018346723,,0.00017209390491179898,,,,,0.05409848872141581,,0.000942495591386114,0.0002245951829790167,0.0014422342338202433,,2.332113664692603e-05,0.0004311538218517901,,0.00045240707446105765,,,,,,,,,,0.0001422244688122878,,0.00013889287786272693,,,0.002970515420096385,,0.17006508090596295,,,,0.03581264970618813,,,,,,0.0001612949549373603,,,,0.09410676025756642,0.019730485780425175,,0.004563360541326087,,,0.0037914653830467973,,,0.005523892676818446,,,0.07236927813614717,5.2845925406827455e-05,,0.047779264867224606,0.0003742870108161822,0.014907720674819488,0.003145021856385453,3.320102704907203e-05,,,4.69869206334618e-05,,0.003961491403920938,,,,0.014026457427437371,,0.010432589852433496,,0.03417821713931219,,0.03223095967051714,0.0021265889678386586,,,0.00015991636557892132,,,0.0002164385292749194,,,0.04150748746345302,0.0006767724925470012,1.194777443980447e-05,,0.2783624656070675,0.02183398337650998,,,,0.0014640618986621935,,,0.013117277745546866,0.000571425289072956,,,UC
799,,,,0.0012251615446518974,,,,,,,0.04834126416248583,,0.001715662903175323,,,4.8665388125707696e-05,,,,0.13832616645372095,,,,,,,,,,,,,,,0.002498572533941249,,0.2508232821455946,,,,0.011997162017579643,,,,,,3.0363874642535566e-05,,,,0.04200384518957717,0.004937353191445998,,0.02132656648737076,,,0.0011124408593350872,,,0.008264277182244912,,,0.11875394561393311,0.0011178481246823882,,0.010254462787667817,0.0008444692670275047,0.01322232356223154,0.012971821596430623,0.03735370097677049,0.0007822857155335447,,,,0.0009501189130439983,,,,0.006309030829835336,,,,0.01386838778536193,6.343138195872156e-06,0.008485871075612182,0.00043757254964311526,,,,,,0.0006022861709916645,,,0.19713329668177962,0.0007600327389119605,,,,0.04349541853845569,,,,,,,,,,,UC
