,taxa100883,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1378,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa447020,taxa459786,taxa46255,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa946234,condition
2632,,0.003405293412670724,,0.006312204422994921,0.0002924476037265315,,,,,,,0.01386647833727436,0.07776612832887546,0.004851985372976185,,0.03737565172306857,0.17519297302011863,0.004641003152821387,4.219644403095967e-05,0.020492026689149897,0.0506845918776085,0.0006114446447261309,,0.000599532729903994,0.01684899972218992,0.05669748420358956,,,,0.013869405841764545,,0.0006355713196624931,0.005824219709010091,,9.307445310178187e-05,,,,0.48260921005026425,,0.027288076940471116,,,,,H2029
2633,,0.0010177146495390444,,0.0045072975123895374,,,,,,,,0.00478347199741953,0.023211749909946414,0.0002644007840878838,,0.041687224123663644,0.19185854669698463,0.09114854178146449,,0.012467029831208773,0.16943776619601975,0.006988198996251397,,0.02102711940065367,0.00040801963609723334,0.11644900713699423,0.010004499380713482,,0.0011618409886579677,0.0035534247412348607,,0.0004360329245457002,0.0025089147723103265,,5.460561299012724e-05,,,,0.27072813337004836,,0.016330224704127403,,0.0049802754985122,0.004985959354139425,,H2029
2634,,,,0.0005551042214192017,,,,,,,,0.0006704166951605461,0.0028832129303987945,0.00023774423933976287,,0.015935682512472297,0.15122478893305077,,0.00028868227121854796,0.00175916699071143,0.03567717801699044,,,,,0.03319354787603447,,0.03251641297588204,,0.007845559898212175,,0.00036308388471078927,0.002111622073494756,,0.010055147438528925,0.0005516949830651098,,,0.7017275412913915,,0.0018642517493904984,0.0005391610185280072,,,,H2029
2635,0.0006791198366343403,,,0.000823865082995962,,,,,,0.02481047795201114,,0.004164032049243857,0.019872700364910383,0.001569844392845816,,0.018310674621106263,0.11919630703153161,,3.137483525705513e-05,0.005190079377330809,0.04512122314143696,,,,,0.023884769953292594,,0.0612817692760773,,0.01344105961539464,,0.0003851185848485808,0.021254496224394428,,0.007480843307456946,0.0008283758420584779,,,0.6205782031301059,,0.010072424747507755,0.0010232406335591653,,,,H2029
2636,,,,0.0006965853689818311,,,,,,0.001580342986130817,,0.0028558797736939227,0.008691986622995815,0.0019623026274655036,,0.017965429646480922,0.15749222052818646,,,0.006354738303538077,0.025915140030492643,7.87566311881069e-05,,,,0.015578883283073375,,0.061809526786873736,,0.012101266999809223,,0.0026371447534857327,0.00808217382730775,,0.005980995002861692,0.0004186325764680797,,,0.6682119399060852,,0.0008839580157016275,0.0007020963291794722,,,,H2029
2637,,0.005303338974498962,,0.007130466558740594,,0.0017257588363822293,,,,,,0.025543679399183176,0.06675272115947586,0.0007496307096050986,,0.04523287265024492,0.19626110140827854,,,0.016053510248255902,0.09510110884129502,0.005451916299918272,,0.0027118474542489218,0.013712898597324217,0.06157990612029637,0.014422376077224516,,0.00024870101189251507,0.025534445193902227,,0.016608185095805916,0.062291147437160445,0.03492438690324078,0.00117845060203387,0.0011092459399845134,,,0.25924045652665845,,0.03817441214167262,,,0.002097098394814983,0.0008603374178609659,H2029
2638,,0.0022356271321295022,,0.0030408915651460155,,,,,,7.777359379467434e-05,,0.0052627544497406325,0.002629642705872018,0.00022112319617018203,,0.015240043441308072,0.20079239542109364,,,0.009465661839295137,0.01463900463228477,,,,0.012992890150673748,0.033252183955251646,0.02141392393518718,,,0.013385450966546723,,,0.019783476076786596,,0.00028311826230291524,0.000585036472458356,,0.0003021420190584472,0.613756749936634,,0.030582143742386995,,,,5.796650587862059e-05,H2029
2639,,0.0004513477382122832,,0.0023486761755815047,,,,,,0.0027171294605379697,,,0.04129952378392581,0.0009770492890419059,,0.010605365632361592,0.036334196272964914,,0.0030217791360187454,,0.032854136408097936,,,,,0.43850964816077304,,0.012532234638527434,,0.01823748306315603,,0.0012300532081911779,0.00923675308957675,,,0.004348693256862782,,,0.38124816941415723,,0.002925621570241996,,,,0.0011221397017708767,H2029
2640,,,,0.002457750912037517,0.0023325486156813157,,,,,,,0.005186790612482022,0.07225355594582826,0.003532515406723827,,0.03630876882110979,0.07535799677971876,,,,0.022891547548735538,0.005041630020732967,,0.01409199683671306,0.003470068575262681,0.0466292650954413,0.01129320598020487,0.04746113507764035,,0.00435769833118816,,,0.009767939549821102,,0.0138368598646807,,,0.02712959898537788,0.5519806087671031,,0.04461851827351692,,,,,H2029
2641,,0.005165819394168821,,0.012894481372525985,,,,,,6.665508353918931e-05,,0.010840778753223219,0.016061051619572313,0.000457308326551019,,0.017120776692058456,0.3665969090797434,,6.625172448600209e-05,0.02358884078944224,0.025520023096339387,7.512562365612109e-05,,,0.005681715623195284,0.07831810972233469,,,,0.031689803173891216,,0.0010890694436055139,0.002136492064969446,0.009416921295472305,,9.166334483679742e-05,,,0.37863213482921726,,0.014490068947171359,,,,,H2029
2642,,0.007047880054727723,,0.04847640092139938,2.251350862874722e-05,,,,,0.0016586696589737488,,0.058723188767288034,0.035259819502394915,0.0016983562625565172,,0.008908543007398463,0.051845154810215316,0.0747473617832877,0.0018574168188684565,0.0009208548599125724,0.02251445105468982,0.00036639426368365827,,0.0011119578982728686,0.0071957362137221,0.05082901021610666,0.053648539208374785,0.1912203180331529,6.670281393726503e-05,0.05486416396033352,,0.00040524315531745,0.0013278781531215974,,,0.0015811813036934095,0.0002700573895513445,,0.3174614144640602,3.937246160190212e-05,0.004825430254092695,,,,0.00110598920063641,H2029
2643,,0.004396884269236204,,0.05893098932761484,0.001169313768212255,,,,,0.00032654822763552416,,0.001259464443273294,0.027526042854853675,0.0030217007442830926,,0.026452720820111058,0.05754842182316406,0.259087309275667,0.0021658203744493155,0.0004550515126247315,0.23213798828217566,,,0.0021439990619039786,0.004110231572617912,0.015720051515930995,0.0083073075608203,,,0.012826964265286329,,,0.0205630603972052,0.011360307561481549,,0.0010604276227840074,,,0.10719752850491611,0.10745332277975309,0.028040827455355036,,0.00020267370591350962,0.006347467151761058,0.00018757512097052385,H2029
2644,,,,0.03938371894786793,,,,,,0.0187734753955594,,0.022368611081852646,0.01241433754184715,,,0.04492388515285408,0.1900216198959509,0.18729388616272366,0.013763979363912472,0.0020213679714977885,0.08048367323226674,,,,0.013651699241294763,0.053679997307014476,0.06205974301534025,,0.0018720592978040222,0.02023246546083172,,0.003663329029623927,0.003676685369161624,,0.0008190802368524212,,,,0.14160000260611505,,0.07144468900903563,,0.0011871939850865065,0.01466450069550695,,H2029
2645,,0.0021199695038446173,,0.00014420879992140624,0.00012708400493073924,,,,,0.004359812572623903,,0.003437577268126521,0.006161921846641753,,0.000316858779827312,0.04302058951155379,,,,,0.005783774326847843,0.012121751083393648,,0.0008174836345544715,0.011498148168733511,0.02742560954005305,,0.0823108779201406,,0.034467705791215116,,0.0030604311983320654,0.009019759710084233,,0.0022741928037605654,0.0009338521244910507,,,0.7384481991475458,,0.006193367376624615,,,,0.005956824886753531,H2029
2646,,0.007870095453869547,,0.024736357241200317,0.0009096024628231811,0.001608175413821802,,,,0.0013788711813856303,,0.012277022573739858,0.002863583452980177,0.0008836044971911862,0.00015218056033121626,0.025359003079181642,0.3127446487430092,0.0016717018235669272,0.0014416361444386054,0.005818975621413925,0.2606747483717822,,,,0.0004437058653259693,0.06365835757906509,0.021316265034357015,0.03199185643640555,,0.027235316506739292,,0.004913071613952619,0.010312490107991632,,,0.0037441421634027616,,,0.16682970690720259,,0.0006335236478691948,,,0.0075803105984568525,0.0009510469184959425,H2029
2647,,0.01307783591599385,,0.04684098602331599,0.0032091508081294896,0.0003566183465897374,,,,0.006920653919761805,,0.013538860679476548,0.002415123435211416,0.000898640945400105,0.0002926072695660784,0.008955646849023658,0.18529342398047596,0.004632102549474193,0.0006675588857888054,0.0011833763025813969,0.477659357285284,,,,0.001218178441545716,0.04211732070347138,0.018895386323940173,0.005961834275735897,,0.032506026415030635,,0.0014473961008553556,0.009029601394322838,,,0.005329906151267704,,,0.10820461461861774,,0.0020475258424007925,,,0.0069033564280741805,0.0003969101086645,H2029
2648,,0.010154520971582353,,0.009713120387861122,0.00039579907955286794,0.0012854130018349387,,,,0.0003332755714280535,,0.0038714028791800785,0.0008471990292483653,0.0006206199892600217,,0.012442617649408386,0.2881125009985631,4.779916701984941e-05,6.0435728415901544e-05,0.008379908219006334,0.08153680805074227,,,,0.0009975191682900985,0.06581384894606135,0.03202994711214465,0.0005966654641788098,,0.026588314125576877,,0.01052944225404609,0.018204669879723013,,3.032774735052514e-05,0.003092221515185246,,,0.4167296205504333,0.0004909578810222693,0.0009319189321732019,,,0.0049958370771435705,0.0011672886235674946,H2029
2649,,,,0.03629134032497679,0.004855014924838839,,,,,,,0.003661494745891227,0.06130299407286621,0.0007299643085326187,,0.07806389807685275,0.18161818093620646,0.009737656430650925,,0.0024821121130754664,0.09554464961324086,0.0028831514950908997,,0.09040013924834428,,0.022251459993468194,,,5.188090323614916e-05,0.00709886398980229,,,0.003090934512551677,,,0.0004316491149247611,,0.02920376043162836,0.3461571685270727,,0.023997122685106523,0.00014656355164212139,,,,H2029
2650,,,,0.010793666270544604,0.008208808956153198,,,,,,,0.01147718718029559,0.04843359379060107,0.001568979930420442,0.000587996264144948,0.06435948250389399,0.1176358788589111,0.0002463595458570268,,0.003638226884396866,0.047839534433665065,0.036511573577982015,0.0002913996637334496,0.08634202970569005,,0.02605942028913776,,,,0.007469235372231826,,,0.00631613411264286,,,0.00034510134273995366,,0.025537004416406286,0.4636484178297493,,0.03268996907080257,,,,,H2029
2651,,,,0.019623027287890768,0.0032517414500287654,,,0.0005470615746929957,,,,0.00914069840113572,0.038723205675285276,0.0007919820867600131,,0.04510738424479221,0.1799146554971048,0.06085731491790454,,0.008219168160126484,0.08235641056417599,0.0025695441808873017,,0.02797929712883212,0.00026220049749802366,0.022522236340533672,,,,0.009663857720531932,,,0.003440062249336738,,,0.0004219627580098424,,0.00782741950837924,0.46722390308308054,,0.009556866673013009,,,,,H2029
2652,,0.0022856306959041666,,0.005149628175072481,0.0005438811566704555,0.0036158066785360334,,,,,,2.8174531530794424e-05,0.04909930530621095,0.001108836862925945,,0.07304314918234127,0.09948224226896489,,,0.02063029357185666,0.0419625837713346,0.0028019008116744433,,,,0.05294298759576804,,,0.0017380305010716464,0.003190371252421037,,,0.002759639014378252,,,,0.0002141264396340376,,0.6055123809034377,,0.03389103128026649,,,,,H2029
2653,,0.008563382197870653,,,0.002471148591120365,,,,,0.00046706044565907604,,0.0046760707036790986,0.03228902032401282,0.0021302167356847847,,0.009375221117286734,0.23263841473975552,,,0.007321126933646948,0.0658988479074447,,,,0.003141067539835529,0.05807199189132858,0.11620431495422474,0.16210965554848883,,0.056467547144103535,,,0.0017725824585903946,,,0.00034872631887635826,,,0.231485441511308,,0.0025046546612359165,0.000692593751451972,5.2334254530936784e-05,,0.0013185802698645695,H2029
