i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
1.0,33.0,0.5689655172413793,4.212690351118162,3.8900000000000006,0.0038349255663376884,1.9911245130054023,0.2413793103448276,0.5909090909090909,0.27586206896551724,0.9090909090909091,0.27586206896551724,0.9090909090909091,0.10344827586206896,0.09090909090909091,0.045454545454545456,0.13793103448275862,0.0625,0.6521739130434783,0.6851874231906477,4.0129133609338306,2.766936740092859,79.0,2.6028965885075452
2.0,26.0,0.4482758620689655,0.8434413443709374,1.8800000000000008,-0.559457788658392,1.3048708528793065,0.25,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.5,0.9197024581285582,1.7326794561358299,2.0352946002050785,11.0,2.1182990258770045
3.0,11.0,0.1896551724137931,3.0002980697064032,2.7799999999999994,0.32242822823464223,-1.4798794475452204,0.5,0.02702702702702703,0.1,0.7297297297297297,0.1,0.7297297297297297,0.3,0.02702702702702703,0.0,0.3,0.09375,0.7,0.6575166220883271,2.6982467918454742,2.239888462896808,50.0,1.3435514756337408
4.0,32.0,0.5517241379310345,0.8750832471585781,0.7400000000000002,0.06911627558510247,-0.04518576678760388,0.6153846153846154,0.0,0.07692307692307693,0.1111111111111111,0.07692307692307693,0.1111111111111111,0.07692307692307693,0.05555555555555555,0.05555555555555555,0.23076923076923078,0.0,0.7692307692307693,0.806406362421619,1.0029020817905825,2.627629091680649,16.0,1.896798890231519
5.0,49.0,0.8448275862068966,3.3398793817232995,3.2799999999999994,0.03991401665072658,-0.36311645211580207,0.41935483870967744,0.125,0.16129032258064516,0.875,0.16129032258064516,0.875,0.0,0.0625,0.0625,0.0,0.0,0.6206896551724138,0.6362413477544885,3.248779025272699,2.6447522881120924,52.0,3.3025227122664744
6.0,30.0,0.5172413793103449,2.0113003060087,1.7200000000000006,0.1261044486705316,-1.2951581553085476,0.44,0.0,0.12,0.72,0.12,0.72,0.08,0.12,0.04,0.12,0.05555555555555555,0.8181818181818182,0.5245922950295282,1.9823045892314115,2.6309314855083095,83.0,2.4485423191530686
7.0,42.0,0.7241379310344828,4.217975768763991,3.8900000000000006,-0.3250570175282732,0.580272096353235,0.23529411764705882,0.4666666666666667,0.2647058823529412,0.9333333333333333,0.2647058823529412,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.7290090690085921,4.398182004917849,3.016124310600542,79.0,3.090130013818156
8.0,6.0,0.10344827586206896,0.8795994568768606,0.6899999999999995,0.3216448383265629,1.357460082957029,0.75,0.038461538461538464,0.5,0.15384615384615385,0.5,0.15384615384615385,0.5,0.038461538461538464,0.0,0.75,0.0,1.0,0.9050778945604375,1.1261361550754196,2.671387673236553,15.0,0.5230607354362387
9.0,41.0,0.7068965517241379,5.91830357605761,6.07,-0.03582458714840442,-0.5905453474264121,0.375,0.09090909090909091,0.25,0.9090909090909091,0.25,0.9090909090909091,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.7916666666666666,0.8867767459513063,5.553725797458222,4.39597878326662,22.0,4.151655667215825
10.0,8.0,0.13793103448275862,-0.04610248793868976,-0.05000000000000071,-0.05848027073360385,-1.154642352842851,0.7142857142857143,0.0,0.2857142857142857,0.02631578947368421,0.2857142857142857,0.02631578947368421,0.2857142857142857,0.02631578947368421,0.0,0.2857142857142857,0.030303030303030304,1.0,0.4850172617752413,0.49257057593766057,2.177951563245728,53.0,0.7190470822442876
