,taxa,genus,family,order,class
1254,88,Leptothrix,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
358,28067,Rubrivivax,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
401,32012,Thiomonas,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1071,34102,Sphaerotilus,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1514,36862,Ideonella,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1526,54066,Xylophilus,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1389,65047,Mitsuaria,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
35,114248,Tepidimonas,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1050,316612,Methylibium,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1052,318147,Paucibacter,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1388,644355,Inhella,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
1452,1114981,Piscinibacter,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
299,233191,Caldilinea,Caldilineaceae,Caldilineales,Caldilineae
663,693074,Caldisericum,Caldisericaceae,Caldisericales,Caldisericia
772,1007,Saprospira,Saprospiraceae,Chitinophagales,Chitinophagia
301,2349,Haliscomenobacter,Saprospiraceae,Chitinophagales,Chitinophagia
670,70994,Lewinella,Saprospiraceae,Chitinophagales,Chitinophagia
697,79328,Chitinophaga,Chitinophagaceae,Chitinophagales,Chitinophagia
391,296051,Terrimonas,Chitinophagaceae,Chitinophagales,Chitinophagia
444,354354,Niastella,Chitinophagaceae,Chitinophagales,Chitinophagia
1085,365032,Aureispira,Saprospiraceae,Chitinophagales,Chitinophagia
468,379899,Niabella,Chitinophagaceae,Chitinophagales,Chitinophagia
1137,460073,Segetibacter,Chitinophagaceae,Chitinophagales,Chitinophagia
560,504481,Sediminibacterium,Chitinophagaceae,Chitinophagales,Chitinophagia
1201,649460,Filimonas,Chitinophagaceae,Chitinophagales,Chitinophagia
643,649461,Lacibacter,Chitinophagaceae,Chitinophagales,Chitinophagia
1447,1004300,Hydrotalea,Chitinophagaceae,Chitinophagales,Chitinophagia
1,1004301,Flavihumibacter,Chitinophagaceae,Chitinophagales,Chitinophagia
156,1648511,Cnuella,Chitinophagaceae,Chitinophagales,Chitinophagia
193,1789690,Flaviaesturariibacter,Chitinophagaceae,Chitinophagales,Chitinophagia
1233,810,Chlamydia,Chlamydia/Chlamydophila group,Chlamydiaceae,Chlamydiales
1343,34093,Simkania,Simkaniaceae,Chlamydiales,Chlamydiia
1222,71666,Waddlia,Waddliaceae,Chlamydiales,Chlamydiia
1239,83551,Parachlamydia,Parachlamydiaceae,Chlamydiales,Chlamydiia
1020,282132,Candidatus Protochlamydia,Parachlamydiaceae,Chlamydiales,Chlamydiia
793,1101,Prosthecochloris,Chlorobiaceae,Chlorobiales,Chlorobia
773,100715,Chloroherpeton,Chlorobiaceae,Chlorobiales,Chlorobia
325,256319,Chlorobaculum,Chlorobiaceae,Chlorobiales,Chlorobia
26,1091,Chlorobium,Chlorobium/Pelodictyon group,Chlorobiaceae,Chlorobiales
792,1099,Pelodictyon,Chlorobium/Pelodictyon group,Chlorobiaceae,Chlorobiales
794,1107,Chloroflexus,Chloroflexaceae,Chloroflexineae,Chloroflexales
51,120961,Roseiflexus,Roseiflexaceae,Roseiflexineae,Chloroflexales
1196,64,Herpetosiphon,Herpetosiphonaceae,Herpetosiphonales,Chloroflexia
1282,118004,Chrysiogenes,Chrysiogenaceae,Chrysiogenales,Chrysiogenetes
1097,393029,Desulfurispirillum,Chrysiogenaceae,Chrysiogenales,Chrysiogenetes
22,1077265,Chthonomonas,Chthonomonadaceae,Chthonomonadales,Chthonomonadetes
706,830,Butyrivibrio,Lachnospiraceae,Clostridiales,Clostridia
718,841,Roseburia,Lachnospiraceae,Clostridiales,Clostridia
732,862,Syntrophomonas,Syntrophomonadaceae,Clostridiales,Clostridia
1272,973,Sporohalobacter,Halobacteroidaceae,Halanaerobiales,Clostridia
62,1257,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia
63,1263,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia
103,1485,Clostridium,Clostridiaceae,Clostridiales,Clostridia
128,1562,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia
184,1730,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia
908,1754,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
297,2330,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia
342,2697,Heliobacterium,Heliobacteriaceae,Clostridiales,Clostridia
1007,2733,Symbiobacterium,Symbiobacteriaceae,Clostridiales,Clostridia
1008,2740,Peptococcus,Peptococcaceae,Clostridiales,Clostridia
356,28050,Lachnospira,Lachnospiraceae,Clostridiales,Clostridia
1015,28063,Heliobacillus,Heliobacteriaceae,Clostridiales,Clostridia
1017,28186,Acetohalobium,Halobacteroidaceae,Halanaerobiales,Clostridia
1031,28895,Thermoanaerobacterium,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia
1053,31980,Acetitomaculum,Lachnospiraceae,Clostridiales,Clostridia
410,32636,Halothermothrix,Halanaerobiaceae,Halanaerobiales,Clostridia
413,33042,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia
427,33951,Acetobacterium,Eubacteriaceae,Clostridiales,Clostridia
447,35829,Acetivibrio,Ruminococcaceae,Clostridiales,Clostridia
458,36853,Desulfitobacterium,Peptococcaceae,Clostridiales,Clostridia
1110,42417,Halobacteroides,Halobacteroidaceae,Halanaerobiales,Clostridia
1111,42418,Halanaerobacter,Halobacteroidaceae,Halanaerobiales,Clostridia
1112,42447,Anaerobranca,Proteinivoraceae,Clostridiales,Clostridia
1357,43994,Johnsonella,Lachnospiraceae,Clostridiales,Clostridia
510,43996,Catonella,Lachnospiraceae,Clostridiales,Clostridia
511,44000,Caldicellulosiruptor,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia
1123,44259,Filifactor,Peptostreptococcaceae,Clostridiales,Clostridia
515,44261,Oxobacter,Clostridiaceae,Clostridiales,Clostridia
523,44748,Sporobacter,Ruminococcaceae,Clostridiales,Clostridia
533,46205,Pseudobutyrivibrio,Lachnospiraceae,Clostridiales,Clostridia
1140,46466,Halocella,Halanaerobiaceae,Halanaerobiales,Clostridia
1363,46468,Orenia,Halobacteroidaceae,Halanaerobiales,Clostridia
553,49082,Candidatus Arthromitus,Clostridiaceae,Clostridiales,Clostridia
1158,51196,Syntrophobotulus,Peptococcaceae,Clostridiales,Clostridia
1372,52003,Natroniella,Halobacteroidaceae,Halanaerobiales,Clostridia
574,52784,Anaerofilum,Ruminococcaceae,Clostridiales,Clostridia
1173,56112,Dehalobacter,Peptococcaceae,Clostridiales,Clostridia
1212,68034,Sporotomaculum,Peptococcaceae,Clostridiales,Clostridia
1214,68335,Coprothermobacter,Thermodesulfobiaceae,Thermoanaerobacterales,Clostridia
1217,69894,Tindallia,Clostridiaceae,Clostridiales,Clostridia
696,79206,Desulfosporosinus,Peptococcaceae,Clostridiales,Clostridia
1440,79598,Heliorestis,Heliobacteriaceae,Clostridiales,Clostridia
711,83660,Desulfonispora,Peptococcaceae,Clostridiales,Clostridia
717,84036,Syntrophococcus,Lachnospiraceae,Clostridiales,Clostridia
1261,89958,Natronincola,Clostridiaceae,Clostridiales,Clostridia
0,100175,Papillibacter,Ruminococcaceae,Clostridiales,Clostridia
33,113286,Pseudoramibacter,Eubacteriaceae,Clostridiales,Clostridia
37,114627,Alkaliphilus,Clostridiaceae,Clostridiales,Clostridia
1286,129001,Syntrophothermus,Syntrophomonadaceae,Clostridiales,Clostridia
831,129957,Carboxydothermus,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
94,140458,Thermacetogenium,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
95,140625,Lachnobacterium,Lachnospiraceae,Clostridiales,Clostridia
852,142841,Selenihalanaerobacter,Halobacteroidaceae,Halanaerobiales,Clostridia
1297,150059,Halonatronum,Halobacteroidaceae,Halanaerobiales,Clostridia
110,150333,Thermobrachium,Clostridiaceae,Clostridiales,Clostridia
117,150818,Heliophilum,Heliobacteriaceae,Clostridiales,Clostridia
171,166484,Caminicella,Clostridiaceae,Clostridiales,Clostridia
192,177971,Shuttleworthia,Lachnospiraceae,Clostridiales,Clostridia
222,189330,Dorea,Lachnospiraceae,Clostridiales,Clostridia
258,204475,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia
266,207244,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia
1443,214904,Tepidibacter,Peptostreptococcaceae,Clostridiales,Clostridia
279,216851,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia
281,218204,Garciella,Eubacteriaceae,Clostridiales,Clostridia
289,227388,Thermodesulfobium,Thermodesulfobiaceae,Thermoanaerobacterales,Clostridia
304,236752,Fastidiosipila,Ruminococcaceae,Clostridiales,Clostridia
311,241189,Hespellia,Lachnospiraceae,Clostridiales,Clostridia
312,244127,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia
317,248744,Marvinbryantia,Lachnospiraceae,Clostridiales,Clostridia
995,249529,Caldanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
319,252965,Mahella,Thermoanaerobacterales Family IV. Incertae Sedis,Thermoanaerobacterales,Clostridia
321,253238,Ethanoligenens,Ruminococcaceae,Clostridiales,Clostridia
332,264995,Anaerofustis,Eubacteriaceae,Clostridiales,Clostridia
336,265975,Oribacterium,Lachnospiraceae,Clostridiales,Clostridia
1004,270497,Catabacter,Catabacteriaceae,Clostridiales,Clostridia
1009,274470,Alkalibacter,Eubacteriaceae,Clostridiales,Clostridia
354,278993,Thermincola,Peptococcaceae,Clostridiales,Clostridia
376,291988,Thermosediminibacter,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia
377,292632,Subdoligranulum,Ruminococcaceae,Clostridiales,Clostridia
1039,293136,Desulfitibacter,Peptococcaceae,Clostridiales,Clostridia
462,375928,Natranaerobius,Natranaerobiaceae,Natranaerobiales,Clostridia
497,420345,Lactonifactor,Clostridiaceae,Clostridiales,Clostridia
531,459786,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia
1143,471826,Candidatus Desulforudis,Peptococcaceae,Clostridiales,Clostridia
557,499228,Tepidanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
602,572511,Blautia,Lachnospiraceae,Clostridiales,Clostridia
610,580596,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia
617,588605,Robinsoniella,Lachnospiraceae,Clostridiales,Clostridia
645,653683,Anaerosporobacter,Lachnospiraceae,Clostridiales,Clostridia
666,698776,Cellulosilyticum,Lachnospiraceae,Clostridiales,Clostridia
673,715222,Caldicoprobacter,Caldicoprobacteraceae,Clostridiales,Clostridia
733,862261,Caldanaerobius,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
1557,937253,Thermohydrogenium,Syntrophomonadaceae,Clostridiales,Clostridia
758,946234,Flavonifractor,unclassified Clostridiales,Clostridiales,Clostridia
767,990721,Christensenella,Christensenellaceae,Clostridiales,Clostridia
6,1017280,Pseudoflavonifractor,unclassified Clostridiales,Clostridiales,Clostridia
40,1164882,Lachnoanaerobaculum,Lachnospiraceae,Clostridiales,Clostridia
47,1200657,Saccharofermentans,Ruminococcaceae,Clostridiales,Clostridia
53,1213720,Stomatobaculum,Lachnospiraceae,Clostridiales,Clostridia
96,1408818,Youngiibacter,Clostridiaceae,Clostridiales,Clostridia
866,1481960,Peptoclostridium,Peptostreptococcaceae,Clostridiales,Clostridia
105,1486726,Pseudobacteroides,Ruminococcaceae,Clostridiales,Clostridia
107,1501226,Romboutsia,Peptostreptococcaceae,Clostridiales,Clostridia
111,1505652,Terrisporobacter,Peptostreptococcaceae,Clostridiales,Clostridia
112,1505657,Intestinibacter,Peptostreptococcaceae,Clostridiales,Clostridia
868,1505660,Asaccharospora,Peptostreptococcaceae,Clostridiales,Clostridia
114,1505664,Gottschalkia,unclassified Clostridiales,Clostridiales,Clostridia
115,1506553,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia
116,1506577,Tyzzerella,Lachnospiraceae,Clostridiales,Clostridia
118,1508657,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia
153,1637257,Mageeibacillus,Ruminococcaceae,Clostridiales,Clostridia
157,1649459,Hungatella,Clostridiaceae,Clostridiales,Clostridia
191,1769729,Hathewaya,Clostridiaceae,Clostridiales,Clostridia
204,1843210,Anaerocolumna,Lachnospiraceae,Clostridiales,Clostridia
206,1849822,Paraclostridium,Peptostreptococcaceae,Clostridiales,Clostridia
207,1849828,Paeniclostridium,Peptostreptococcaceae,Clostridiales,Clostridia
214,1870884,Clostridioides,Peptostreptococcaceae,Clostridiales,Clostridia
1013,28033,Sulfobacillus,Clostridiales Family XVII. Incertae Sedis,Clostridiales incertae sedis,Clostridiales
1226,73918,Thermaerobacter,Clostridiales Family XVII. Incertae Sedis,Clostridiales incertae sedis,Clostridiales
734,86331,Mogibacterium,Clostridiales Family XIII. Incertae Sedis,Clostridiales incertae sedis,Clostridiales
915,178898,Carboxydocella,Clostridiales Family XVI. Incertae Sedis,Clostridiales incertae sedis,Clostridiales
213,186831,Acetoanaerobium,Clostridiales Family XIX. Incertae Sedis,Clostridiales incertae sedis,Clostridiales
91,1380,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia
422,33870,Coriobacterium,Coriobacteriaceae,Coriobacteriales,Coriobacteriia
1232,79603,Denitrobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia
719,84108,Slackia,Eggerthellaceae,Eggerthellales,Coriobacteriia
720,84111,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia
721,84162,Cryptobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia
8,102106,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia
79,133925,Olsenella,Atopobiaceae,Coriobacteriales,Coriobacteriia
522,447020,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia
595,553372,Asaccharobacter,Eggerthellaceae,Eggerthellales,Coriobacteriia
1182,580024,Enterorhabdus,Eggerthellaceae,Eggerthellales,Coriobacteriia
641,644652,Gordonibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia
1394,670516,Mycobacterium chelonae group,Mycobacterium,Mycobacteriaceae,Corynebacteriales
785,1073531,Mycobacterium terrae complex,Mycobacterium,Mycobacteriaceae,Corynebacteriales
211,1866885,Mycobacterium fortuitum complex,Mycobacterium,Mycobacteriaceae,Corynebacteriales
802,1125,Microcystis,Chroococcales,Oscillatoriophycideae,Cyanobacteria
32,1129,Synechococcus,Chroococcales,Oscillatoriophycideae,Cyanobacteria
806,1142,Synechocystis,Chroococcales,Oscillatoriophycideae,Cyanobacteria
807,1152,Pseudanabaena,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
808,1154,Spirulina,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
810,1158,Oscillatoria,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
811,1163,Anabaena,Nostocaceae,Nostocales,Cyanobacteria
813,1177,Nostoc,Nostocaceae,Nostocales,Cyanobacteria
816,1186,Calothrix,Rivulariaceae,Nostocales,Cyanobacteria
1568,1198,Phormidium,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
48,1203,Scytonema,Scytonemataceae,Nostocales,Cyanobacteria
819,1205,Trichodesmium,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
821,1218,Prochlorococcus,Prochlorococcaceae,Prochlorales,Cyanobacteria
822,1222,Prochlorothrix,Prochlorotrichaceae,Prochlorales,Cyanobacteria
833,13034,Dactylococcopsis,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1016,28070,Gloeothece,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1331,28073,Lyngbya,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1059,33071,Gloeobacter,Gloeobacterales,Gloeobacteria,Cyanobacteria
1080,35823,Arthrospira,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1118,43988,Cyanothece,Chroococcales,Oscillatoriophycideae,Cyanobacteria
519,44471,Microcoleus,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
540,47251,Leptolyngbya,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1167,54304,Planktothrix,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1172,56106,Cylindrospermum,Nostocaceae,Nostocales,Cyanobacteria
1194,63132,Geitlerinema,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
667,70190,Chroococcus,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1276,102231,Gloeocapsa,Chroococcales,Oscillatoriophycideae,Cyanobacteria
776,102234,Cyanobacterium,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1449,105591,Symploca,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
860,146785,Thermosynechococcus,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1303,155977,Acaryochloris,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1474,165798,Cyanospira,Nostocaceae,Nostocales,Cyanobacteria
900,167375,Cyanobium,Chroococcales,Oscillatoriophycideae,Cyanobacteria
957,217161,Chamaesiphon,Chroococcales,Oscillatoriophycideae,Cyanobacteria
987,241421,Crinalium,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1089,373984,Rivularia,Rivulariaceae,Nostocales,Cyanobacteria
1210,669357,Geminocystis,Chroococcales,Oscillatoriophycideae,Cyanobacteria
1393,669368,Coleofasciculus,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
800,1120752,Nodosilinea,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
858,1453359,Candidatus Atelocyanobacterium,Chroococcales,Oscillatoriophycideae,Cyanobacteria
867,1501433,Kamptonema,Oscillatoriales,Oscillatoriophycideae,Cyanobacteria
1454,1123,Chlorogloeopsis,Stigonematales,Cyanobacteria,Cyanobacteria/Melainabacteria group
44,1190,Fischerella,Stigonematales,Cyanobacteria,Cyanobacteria/Melainabacteria group
1358,44474,Pleurocapsa,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
1161,52605,Myxosarcina,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
1444,52607,Xenococcus,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
589,54298,Chroococcidiopsis,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
1377,54302,Dermocarpella,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
775,102115,Stanieria,Pleurocapsales,Cyanobacteria,Cyanobacteria/Melainabacteria group
887,162985,Hapalosiphon,Stigonematales,Cyanobacteria,Cyanobacteria/Melainabacteria group
1322,221282,Mastigocladopsis,Stigonematales,Cyanobacteria,Cyanobacteria/Melainabacteria group
3,101,Flectobacillus,Cytophagaceae,Cytophagales,Cytophagia
781,105,Runella,Cytophagaceae,Cytophagales,Cytophagia
19,107,Spirosoma,Cytophagaceae,Cytophagales,Cytophagia
763,978,Cytophaga,Cytophagaceae,Cytophagales,Cytophagia
768,992,Flexibacter,Cytophagaceae,Cytophagales,Cytophagia
4,1011,Sporocytophaga,Cytophagaceae,Cytophagales,Cytophagia
777,1023,Microscilla,Cytophagaceae,Cytophagales,Cytophagia
1019,28194,Thermonema,Thermonemataceae,Cytophagales,Cytophagia
1188,59739,Flammeovirga,Flammeovirgaceae,Cytophagales,Cytophagia
1189,59740,Persicobacter,Persicobacteraceae,Cytophagales,Cytophagia
1213,68288,Cyclobacterium,Cyclobacteriaceae,Cytophagales,Cytophagia
1221,70992,Flexithrix,Flammeovirgaceae,Cytophagales,Cytophagia
746,89966,Hymenobacter,Hymenobacteraceae,Cytophagales,Cytophagia
50,120831,Dyadobacter,Cytophagaceae,Cytophagales,Cytophagia
132,156993,Reichenbachiella,Flammeovirgaceae,Cytophagales,Cytophagia
978,232244,Belliella,Cyclobacteriaceae,Cytophagales,Cytophagia
315,246875,Algoriphagus,Cyclobacteriaceae,Cytophagales,Cytophagia
1006,273135,Candidatus Cardinium,Amoebophilaceae,Cytophagales,Cytophagia
355,280472,Aquiflexum,Cyclobacteriaceae,Cytophagales,Cytophagia
361,281119,Candidatus Amoebophilus,Amoebophilaceae,Cytophagales,Cytophagia
375,290180,Roseivirga,Flammeovirgaceae,Cytophagales,Cytophagia
1044,299566,Adhaeribacter,Hymenobacteraceae,Cytophagales,Cytophagia
1049,312278,Emticicia,Cytophagaceae,Cytophagales,Cytophagia
397,319458,Leadbetterella,Cytophagaceae,Cytophagales,Cytophagia
407,323449,Pontibacter,Hymenobacteraceae,Cytophagales,Cytophagia
1061,332157,Larkinella,Cytophagaceae,Cytophagales,Cytophagia
465,379074,Sediminitomix,Flammeovirgaceae,Cytophagales,Cytophagia
1095,390846,Echinicola,Cyclobacteriaceae,Cytophagales,Cytophagia
476,396811,Fulvivirga,Flammeovirgaceae,Cytophagales,Cytophagia
1353,413963,Rapidithrix,Flammeovirgaceae,Cytophagales,Cytophagia
1122,442431,Persicitalea,Cytophagaceae,Cytophagales,Cytophagia
1128,451373,Rudanella,Cytophagaceae,Cytophagales,Cytophagia
1159,518746,Limibacter,Flammeovirgaceae,Cytophagales,Cytophagia
1198,643701,Marinoscillum,Cytophagaceae,Cytophagales,Cytophagia
1446,700450,Siphonobacter,Cytophagaceae,Cytophagales,Cytophagia
1250,861914,Fibrella,Cytophagaceae,Cytophagales,Cytophagia
739,869806,Marivirga,Flammeovirgaceae,Cytophagales,Cytophagia
52,1210119,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia
98,1433993,Chryseolinea,unclassified Cytophagales,Cytophagales,Cytophagia
1570,1769735,Mongoliibacter,Cyclobacteriaceae,Cytophagales,Cytophagia
1326,2351,Flexistipes,Deferribacteraceae,Deferribacterales,Deferribacteres
1361,46200,Geovibrio,Deferribacteraceae,Deferribacterales,Deferribacteres
584,53572,Deferribacter,Deferribacteraceae,Deferribacterales,Deferribacteres
814,117999,Denitrovibrio,Deferribacteraceae,Deferribacterales,Deferribacteres
215,187144,Caldithrix,Deferribacteraceae,Deferribacterales,Deferribacteres
1565,248038,Mucispirillum,Deferribacteraceae,Deferribacterales,Deferribacteres
592,545865,Calditerrivibrio,Deferribacteraceae,Deferribacterales,Deferribacteres
630,61434,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia
343,270,Thermus,Thermaceae,Thermales,Deinococci
74,1298,Deinococcus,Deinococcaceae,Deinococcales,Deinococci
647,65551,Meiothermus,Thermaceae,Thermales,Deinococci
1478,186191,Marinithermus,Thermaceae,Thermales,Deinococci
952,208447,Oceanithermus,Thermaceae,Thermales,Deinococci
417,332248,Truepera,Trueperaceae,Deinococcales,Deinococci
335,265570,Sulfurovum,unclassified Epsilonproteobacteria,Epsilonproteobacteria,delta/epsilon subdivisions
341,269258,Nitratiruptor,unclassified Epsilonproteobacteria,Epsilonproteobacteria,delta/epsilon subdivisions
126,1551504,Candidatus Babela,unclassified Deltaproteobacteria,Deltaproteobacteria,delta/epsilon subdivisions
195,18,Pelobacter,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria
740,872,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria
741,890,Desulfuromonas,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria
743,893,Desulfobulbus,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria
745,896,Desulfococcus,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
1260,898,Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,Deltaproteobacteria
759,958,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria
972,2289,Desulfobacter,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
973,2295,Desulfobacterium,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
295,2299,Desulfosarcina,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
302,2357,Desulfomonile,Syntrophaceae,Syntrophobacterales,Deltaproteobacteria
1021,28222,Desulfobacula,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
366,28231,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria
388,29526,Syntrophobacter,Syntrophobacteraceae,Syntrophobacterales,Deltaproteobacteria
1429,33001,Desulfurella,Desulfurellaceae,Desulfurellales,Deltaproteobacteria
448,35832,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria
449,35836,Desulfacinum,Syntrophobacteraceae,Syntrophobacterales,Deltaproteobacteria
1090,37817,Desulfuromusa,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria
1108,41707,Lawsonia,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria
509,43773,Syntrophus,Syntrophaceae,Syntrophobacterales,Deltaproteobacteria
1132,45654,Desulfonema,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
1133,45662,Desulfohalobium,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria
1150,48001,Desulfobotulus,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
1157,51194,Desulfofustis,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria
1163,53244,Desulfonatronovibrio,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria
627,60892,Desulfobacca,Syntrophaceae,Syntrophobacterales,Deltaproteobacteria
1209,66848,Desulfonatronum,Desulfonatronaceae,Desulfovibrionales,Deltaproteobacteria
1244,84404,Hippea,Desulfurellaceae,Desulfurellales,Deltaproteobacteria
1257,89342,Desulfocella,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
790,109168,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria
1279,109169,Desulfofaba,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
1281,115780,Desulfotignum,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
859,146784,Bacteriovorax,Bacteriovoracaceae,Bdellovibrionales,Deltaproteobacteria
948,206664,Desulfonauticus,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria
278,215802,Enhygromyxa,unclassified Myxococcales,Myxococcales,Deltaproteobacteria
959,218207,Desulfatibacillum,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
285,224474,Desulfothermus,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria
1005,271087,Geopsychrobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria
472,392332,Geoalkalibacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria
503,427922,Desulfurivibrio,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria
1518,429014,Desulfopila,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria
525,453229,Desulfarculus,Desulfarculaceae,Desulfarculales,Deltaproteobacteria
1152,497742,Desulfatirhabdium,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
875,1549126,Desulfatiglans,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria
162,1652133,Halobacteriovorax,Halobacteriovoraceae,Bdellovibrionales,Deltaproteobacteria
832,13,Dictyoglomus,Dictyoglomaceae,Dictyoglomales,Dictyoglomia
501,423604,Elusimicrobium,Elusimicrobiaceae,Elusimicrobiales,Elusimicrobia
