,taxa100175,taxa102106,taxa117563,taxa1236988,taxa1257,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1386,taxa1485,taxa150022,taxa1501226,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1508657,taxa1573,taxa1573535,taxa1578,taxa158846,taxa162289,taxa1649459,taxa1654,taxa166484,taxa1678,taxa1716,taxa1730,taxa1870884,taxa189330,taxa195950,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa2147,taxa216851,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa253238,taxa2723,taxa283168,taxa286,taxa29465,taxa33042,taxa346096,taxa35832,taxa375288,taxa390876,taxa397864,taxa39948,taxa40544,taxa44249,taxa44748,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa590,taxa620,taxa644652,taxa698776,taxa724,taxa762551,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,condition
2632,,0.0035871043317477606,,,,0.006649217287518327,,0.0003080615791383293,,,,,,,,,,,,,,,,,,,,0.014606818996754983,,0.08191811453127638,,0.005111036154540787,,,,,,,,0.0393711630542184,,0.18454664437252205,0.004888789450916655,,4.444934072482625e-05,,,0.02158610985750264,,0.0006440900879671593,0.0006315421879539309,,0.01774857921616884,0.05972460124262491,,,,,,,0.014609902802690438,,0.0006695049024007323,,0.006135178739518781,,9.804376112031053e-05,,,,,,,0.5083760422732371,,,0.028745005829456598,,,,,,,,H2029
2633,,0.001234461202683091,,,,0.005467233777675348,,,,,,,,,,,,,,,,,,,,,,0.005802226191408338,,0.028155244422579453,,0.0003207112229968538,,,,,,,,0.05056551053040835,,0.2327193898681354,0.11056079281291692,,,,,0.015122180511296178,,0.0084765022704631,0.02550534485874672,,0.000494917127235068,0.1412495943403149,,0.012135195600605327,,,,,0.004310211100621824,,0.000528896512090013,,0.0030432478776426983,,6.623517772449417e-05,,,,,,,0.3283861318803946,,,0.019808134664734273,,,,0.006047838049327233,,,,H2029
2634,,,,,,0.0005759710016911864,,,,,,,,,,,,,,,,,,,,,,0.0006956181570280477,,0.0029915950474400962,,0.00024668122200321584,,,,,,,,0.016534716662531035,,0.1569094411489456,,,0.0002995340523607163,,,0.0018252953854173005,,,,,,0.03444131801225498,,,0.033738729107916005,,,,0.008140480326106123,,0.0003767324778041521,,0.0021909995167295328,,0.010433127904369668,,,,,,,0.7281060011371682,,,0.0019343303582808054,0.0005594284819533073,,,,,,,H2029
2635,,,,,,0.0008641597447495645,,,,,,0.026023940978488744,,,,,,,,,,,,,,,,0.0043676919280498435,,0.020844660162530164,,0.0016466243779684792,,,,,,,,0.019206236838228852,,0.12502611457313567,,,3.2909356382359624e-05,,,0.0054439225092953155,,,,,,0.025052957252638612,,,0.06427901750956501,,,,0.014098452387573806,,0.0004039544639649381,,0.022294038685631852,,0.007846726092062295,,,,,,,0.6509302465688841,,,0.010565059957587936,0.0010732866132623865,,,,,,,H2029
2636,,,,,,0.000715425213881472,,,,,,0.0016230849357506583,,,,,,,,,,,,,,,,0.0029331198857954137,,0.008927070055894139,,0.0020153750559054585,,,,,,,,0.01845132257958951,,0.16175175444861317,,,,,,0.006526608528420143,,8.088668269718597e-05,,,,0.016000229693480635,,,0.0634812269830564,,,,0.012428557815145734,,0.002708468959169514,,0.008300764265951296,,0.006142756968037824,,,,,,,0.6862843971647262,,,0.0009078655404002224,0.0007210852234849647,,,,,,,H2029
2637,,0.0057627322345351045,,,,0.00774813182467016,,,,,,,,,,,,,,,,,,,,,,0.02775635978958146,,0.07253506891005168,,0.0008145662713643255,,,,,,,,0.049151097928228187,,0.21326190554841953,,,,,,0.01744411990821388,,0.005924179833233198,0.002946756904449741,,0.014900756515036327,0.06691416703806001,,0.01567169134736702,,0.021001378730924912,,,0.02774632568603109,,0.01804684257765522,,0.06768701849691156,0.03794965608391938,0.0012805320014056762,,,,,,,0.281696746616675,,,0.04148120956270361,,,,0.0022787561905627334,,,,H2029
2638,,0.002052311655102339,,,,0.002791546546989236,,,,,,7.139636601742543e-05,,,,,,,,,,,8.927113966783123e-05,,,,,0.004831222586235253,,0.002414019000062562,,0.00020299168237472326,,,,,,,,0.013990400424721059,,0.1843279531976789,,,,,,0.008689502751533764,,,,,0.011927507725446354,0.030525593337188395,,0.019658039143494267,,0.05769227015686347,,,0.012287879598812007,,,,0.018161283671733277,,0.0002599033180202682,,,,,0.0002773671773338831,,0.5634303293201042,,,0.02807448931823045,,,,,0.030521484193820482,0.007723237688569875,,H2029
2639,,0.00046933498722023407,,,,0.002442276341556761,,,,,,0.002825413340251462,,,,,,,,,,,,,,,,,,0.042945405119575425,,0.0010159869580876127,,,,,,,,0.011028013928341159,,0.03778219784810119,,,0.003142204008384087,,,,,,,,,0.45598526965186154,,,0.013031673111315875,,,,0.018964288852489547,,0.001279073667308572,,0.009604859017182029,,,,,,,,,0.39644178882663017,,,0.003042214341694469,,,,,,,,H2029
2640,,,,,,0.002515330724928002,,0.002387195208300234,,,,,,,,,,,,,,,,,,,,0.005308305950552326,,0.07394630121617136,,0.0036152746380013726,,,,,,,,0.037159405110069675,,0.07712347241564509,,,,,,,,0.0051597445586363195,0.014422141985734107,,0.003551364811712913,0.047721688394428294,,0.011557781484617896,0.048573047299483446,,,,0.004459789821954805,,,,0.009996781345321849,,0.014161027703698884,,,,,0.027765187085750882,,0.5649123261418459,,,0.04566383410314667,,,,,,,,H2029
2641,,0.0052678340058490356,,,,0.013149121616341101,,,,,,6.797138826161888e-05,,,,,,,,,,,,,,,,0.01105486247362381,,0.01637822529893014,,0.00046633925229416285,,,,,,,,0.017458877824257455,,0.3738364655700752,,,6.75600636730463e-05,,,0.024054673264313067,,7.660920462164307e-05,,,0.005793918154633365,0.07986473590904788,,,,0.0034106006572966916,,,0.032315613470057625,,0.0011105763891459668,0.0029588634278968555,0.002178683514521814,0.0096028866759626,,,,,,,,0.3861093629816096,,,0.014776218857587084,,,,,,,,H2029
2642,,0.007230584817297369,,,,0.049733072324970456,,2.3097134515777707e-05,,,,0.0017016679568833436,,,,,,,,,,,,,,,,0.060245491385628264,,0.03617387265034999,,0.0017423833707506913,,,,,,,,0.009139482413626923,,0.05318915564825921,0.07668506487716514,,0.0019055673118179763,,,0.000944726515961624,,0.00037589243567770324,0.0011407835880141558,,0.007382273905373082,0.05214666916760291,,0.05503928983723933,0.196177392009079,,,,0.0562864276725587,,0.00041574842128399875,,0.0013623012223003585,,,,,0.0002770581856567009,,,,0.32569108237899197,,4.039312826945311e-05,0.0049505216407259,,,,,,,,H2029
2643,,0.005736977086459449,,,,0.07689211604235437,,0.0015256999921629928,,,,0.0004260743710441986,,,,,,,,,,,,,,,,0.0016433270038113742,,0.03591549548940675,,0.003942661864762011,,,,,,,,0.034515043818937816,,0.07508816633437276,0.3380525539657056,,0.00282592424561613,,,0.0005937431920491044,,,0.002797452181671901,,0.005362957701010256,0.02051124610576222,,0.010839228464586436,,,,,0.01673639686030786,,,,0.02683031872174813,0.014822729047329055,,,,,,,,0.13986944552093455,,0.1402032013816141,0.03658717736154561,,,,0.008282063246807499,,,,H2029
2644,,,,,,0.042946460468460984,,,,,,0.020471767026325072,,,,,,,,,,,,,,,,0.024392126930236707,,0.013537366981234067,,,,,,,,,,0.048987802811627935,,0.20721141134022245,0.20423692055895326,,0.015009100497173343,,,0.0022042255530782605,,,,,0.01488666325721187,0.058536012948507805,,0.06767380966787656,,0.0006381182651377247,,,0.022062740678280995,,0.003994722173443362,,0.004009286758080947,,0.0008931761131812688,,,,,,,0.15440946352240573,,,0.07790773939529502,,,,0.015991085053266713,,,,H2029
2645,,0.0021471838814641707,,,,0.00014606003067260643,,0.0001287154020302344,,,,0.004415780163424946,,,,,,,,,,,,,,,,0.0034817059811582556,,0.006241023393948245,,,,,,,,0.0003209263451723102,,0.043572851497521034,,,,,,,,,,0.012277359883801131,0.0008279777988753377,,0.011645751681718964,0.027777676347200922,,,0.0833675154377338,,,,0.03491017308113635,,0.0030997184287186474,,0.009135547765687252,,0.0023033869698223745,,,,,,,0.7479277733148323,,,0.0062728725950810214,,,,,,,,H2029
