,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa102106,381,129,0.892271662763466,0.8269230769230769,0.004381220057187657,-8.531494435702475,-7.96617712650891,-0.5653173091935645,-0.9119496299494438,-0.2411108138240249,0
1,taxa1263,408,113,0.955503512880562,0.7243589743589743,0.030020269367458503,-9.062174833444306,-4.886609549666172,-4.175565283778132,-4.6186503870377145,-3.7191526122739345,1
2,taxa1301,336,58,0.7868852459016393,0.3717948717948718,0.0015731972938730929,-12.097709275758898,-8.94040567133282,-3.157303604426079,-3.745109127156346,-2.55450994065101,2
3,taxa1485,304,119,0.711943793911007,0.7628205128205128,0.0026700351330684324,-9.80027338192053,-8.283209667036473,-1.5170637148840571,-1.9623543434656534,-1.0490894387774787,3
4,taxa1654,203,58,0.47540983606557374,0.3717948717948718,0.0001504447989791494,-12.44959193422666,-12.129740627123828,-0.3198513071028314,-0.9619667688087103,0.3222604030893809,4
5,taxa1678,353,117,0.8266978922716628,0.75,0.017071967785042247,-8.146314286359761,-6.680420488132603,-1.465893798227157,-2.012305537897737,-0.943191710113371,5
6,taxa1730,427,140,1.0,0.8974358974358975,0.026706728631412328,-7.4833147408388765,-4.926284056479022,-2.5570306843598547,-2.983952119460556,-2.115925952574261,6
7,taxa189330,423,127,0.990632318501171,0.8141025641025641,0.0026492520591222504,-11.365123749016389,-8.386027611790151,-2.9790961372262363,-3.3626864671718026,-2.6381530617761406,7
8,taxa216851,426,153,0.9976580796252927,0.9807692307692307,0.020570469360163476,-3.757458269015199,-5.444634440684141,1.687176171668944,1.2425164190753188,2.1279993633435197,8
9,taxa239759,415,144,0.9718969555035128,0.9230769230769231,0.03695048341948711,-5.5226937159184875,-4.675264995730221,-0.8474287201882655,-1.3315951469000034,-0.42765015469831413,9
10,taxa283168,276,61,0.6463700234192038,0.391025641025641,0.0015253979945221339,-9.394439851385915,-9.726287449816503,0.3318475984305913,-0.2901946247776472,0.9925870559692246,10
11,taxa292632,387,153,0.9063231850117096,0.9807692307692307,0.009400366173331405,-6.982007731900963,-8.555048102364733,1.573040370463769,1.0813446252432009,2.067046791336102,11
12,taxa29465,270,95,0.6323185011709602,0.6089743589743589,0.00025016951014555564,-11.263423617818063,-11.532591610075317,0.26916799225725296,-0.2669616014198157,0.8324899569612495,12
13,taxa33042,400,109,0.936768149882904,0.6987179487179487,0.007116410098313602,-10.889895431990782,-6.829121125963157,-4.060774306027625,-4.523076542414769,-3.5901996906768225,13
14,taxa35832,257,125,0.6018735362997658,0.8012820512820513,0.00020015493555043643,-7.637099311961833,-11.57366097405543,3.9365616620935957,3.461920458999501,4.364545256935187,14
15,taxa375288,422,149,0.9882903981264637,0.9551282051282052,0.017105784092577538,-7.419881007179616,-6.030300849064804,-1.389580158114813,-1.729518439084801,-1.0682763506565387,15
16,taxa397864,329,78,0.7704918032786885,0.5,0.02251616538273646,-9.084237499232302,-5.632817741238157,-3.451419757994145,-3.894364431079795,-2.944321744340119,16
17,taxa40544,153,54,0.3583138173302108,0.34615384615384615,0.0007839338023933751,-4.8849517991725495,-9.935606706265336,5.050654907092786,4.041739128319863,5.900572348963792,17
18,taxa459786,347,136,0.8126463700234192,0.8717948717948718,0.004586702746076996,-8.441412143948309,-7.532954873469815,-0.908457270478495,-1.318599775065655,-0.5099964871536584,18
19,taxa561,208,149,0.48711943793911006,0.9551282051282052,0.0008119073296721639,-7.0733884791012125,-10.197293145163016,3.123904666061803,2.6143377019923113,3.6353796725551812,19
20,taxa570,87,95,0.20374707259953162,0.6089743589743589,0.00011716655613060626,-7.989461721420129,-12.457072574456197,4.467610853036067,3.6202435434113394,5.252766016571975,20
21,taxa572511,427,148,1.0,0.9487179487179487,0.013860005604347015,-9.369945565640966,-5.932364145225594,-3.437581420415371,-3.7796035057499773,-3.093179920605745,21
22,taxa577309,85,63,0.1990632318501171,0.40384615384615385,0.00042423575716867625,-7.979648253793537,-11.099696297395415,3.1200480436018765,2.241367680263707,4.058099885802359,22
23,taxa577310,277,113,0.6487119437939111,0.7243589743589743,0.0006596374808286239,-10.252189144590549,-9.97345529769121,-0.27873384689934133,-0.7729672788374352,0.229629466279776,23
24,taxa61170,279,94,0.6533957845433255,0.6025641025641025,0.0002937229939260293,-11.851652829776604,-11.449534469046792,-0.4021183607298123,-0.7835157541938141,-0.04588138033308398,24
25,taxa724,246,66,0.5761124121779859,0.4230769230769231,0.00046683967980498697,-10.972954936834311,-10.95636872713569,-0.016586209698621002,-0.6690455640745627,0.5859449383682592,25
26,taxa816,420,156,0.9836065573770492,1.0,0.2782361355976045,-3.5253130073880654,-1.8476862822770168,-1.677626725111048,-2.024025584736073,-1.355617975759988,26
27,taxa838,290,123,0.6791569086651054,0.7884615384615384,0.0023466091312196544,-5.396022209126238,-7.633356684869589,2.2373344757433506,1.2446000715928902,3.127317328998252,27
28,taxa841,427,145,1.0,0.9294871794871795,0.010569763562453097,-6.844398435181227,-6.362186479152724,-0.4822119560285024,-0.8642932256204113,-0.12016372278245639,28
29,taxa84111,247,71,0.5784543325526932,0.4551282051282051,0.0006234454734493562,-11.573494560335886,-10.092763549590234,-1.4807310107456537,-2.0123770766898423,-0.985458980442465,29
30,taxa872,193,55,0.4519906323185012,0.3525641025641026,0.0002371446086425934,-11.065326633858438,-11.262604762567328,0.19727812870888833,-0.4304305266599206,0.8439830229821172,30
