,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa1236988,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1486726,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1562,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1637257,taxa1654,taxa1663,taxa166484,taxa1678,taxa1716,taxa1730,taxa1870884,taxa189330,taxa2005359,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa2132,taxa2147,taxa216851,taxa2172,taxa2282742,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa246875,taxa253238,taxa264995,taxa278993,taxa283168,taxa28453,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa33986,taxa35832,taxa36853,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa44261,taxa44748,taxa459786,taxa46205,taxa46255,taxa52225,taxa52784,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa588605,taxa61170,taxa644652,taxa653683,taxa66831,taxa698776,taxa724,taxa762551,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa1647,taxa184869,condition
1815,0.00012423911953127873,0.0014287484626760883,6.211955976563936e-05,,,,,,,0.018697980173074162,,6.211955976563936e-05,,,,,,0.0006833155424948377,0.0003105971570401891,,,0.000434837046717077,0.0010560326443734707,0.01584048324772198,0.001304511140151231,0.0012423911953127872,,,,,,,,,,0.0006211955976563936,,0.009442164869490685,,,,0.0015529857852009457,,0.0006211955976563936,,,,,0.010622438687117059,6.211955976563936e-05,,,0.22468613075739938,0.027705346503128232,,0.0020499479110605277,,,,,0.018076729381649108,6.211955976563936e-05,0.0003105971570401891,,,,0.00012423911953127873,,,,0.14753422720329676,6.211955976563936e-05,,0.005714993850704353,,,,0.002546897201159957,0.025344721853314562,,,,0.000434837046717077,6.211955976563936e-05,,0.0013666362192937367,,,0.00012423911953127873,,0.00018635855093931654,,,,,,,,0.4711763672873967,,,6.211955976563936e-05,0.0003727171018786331,0.00646043062161365,,,6.211955976563936e-05,,,0.00012423911953127873,,,0.0011802712504743432,,,IBS
1816,,,,,,,,,,0.0029173448318837005,,0.01156130939793933,,,,,,0.0048622413864728336,0.0019448945424884146,,,0.00032414942576485553,0.004970291195061118,0.006807137941061967,,0.012965956909587035,,,,,,,0.00043219923435314076,,,0.0005402490429414259,0.00021609961717657038,0.008427864948879059,,0.0006482988515297111,0.00021609961717657038,0.004105892726354836,,0.0021609961717657038,,0.0011885458823704185,,,0.04937876252484633,,,,0.05132365907943546,0.00021609961717657038,,0.0005402490429414259,,,,,0.005942739472355686,0.00010804960737821333,0.012749857292410465,,,,0.0007563466480172778,,0.007347366862996207,,0.05899519548920371,0.027336601572836152,0.00021609961717657038,0.00032414942576485553,,,,0.0006482988515297111,0.008319815140290775,,,,0.0005402490429414259,0.0009724462651938481,,0.03803353262307639,,0.01804429791323644,0.02182606133483361,,0.0009724462651938481,,,0.00021609961717657038,,,,,0.6117772113865833,0.00010804960737821333,0.00021609961717657038,0.00010804960737821333,0.0006482988515297111,0.006807137941061967,,,,,,0.0007563466480172778,0.010264711694879906,,0.00021609961717657038,,,IBS
1817,,0.0005526389701226253,,,,0.00027631901556697313,,,,0.007460621871206386,,0.014092248197176008,,0.0013815997727782612,,0.0008289579856895986,,0.047526911993021254,0.0033158319427583943,,,,0.011329086211166652,0.031224096647490596,,0.038684737298470565,,,,0.00027631901556697313,,,,0.008565905445383713,,0.002763190155669731,,0.10527753272416392,,0.0008289579856895986,,0.0005526389701226253,,0.00027631901556697313,0.00027631901556697313,,,,0.031224096647490596,,,,0.19176590197938867,0.07488256308032518,,0.006631663885516789,,,,,0.0019342321699801325,0.00027631901556697313,0.1392651669531355,,0.00027631901556697313,,0.006907989474004513,0.00027631901556697313,0.014921281301959936,,0.02763190155669731,,0.0005526389701226253,,,0.0011052741842905343,,0.0005526389701226253,0.042000588021002545,,,,0.009671207799334619,0.0005526389701226253,0.0008289579856895986,0.028460934661481235,,,,,0.0005526389701226253,0.0005526389701226253,,,,,,,0.1356725962668706,0.00027631901556697313,,,0.0011052741842905343,0.004697431715536655,,0.0016579159713791972,,,,0.00027631901556697313,,,,,,IBS
1818,,,,0.0004278071483585757,,0.00021390304878936815,,,0.0014973297477642923,0.005775401231350049,0.0029946489877301905,0.011550802462700098,,0.0025668449917111333,0.0004278071483585757,,,0.00705881321940722,0.0032085562396389168,,0.00021390304878936815,0.005561493979441324,0.0021390304878936817,0.019251337437833495,,0.004064164231677031,,,,0.004705875479604814,,,0.0008556142967171514,,,0.0012834224958555667,0.001711226491874624,0.007486627723224674,,0.0010695152439468409,0.0004278071483585757,0.0008556142967171514,,0.007700524467335005,0.0010695152439468409,0.00021390304878936815,,,0.19401073564949445,,,,0.1240645248593179,,,0.004278071483585758,,,,,,,0.023101604925400195,,0.0012834224958555667,0.001711226491874624,,,,,0.12470550056135811,0.00021390304878936815,0.0010695152439468409,,,,,0.00021390304878936815,0.0038502674875667,,,,0.0025668449917111333,,0.0008556142967171514,0.027593583660894684,,,0.009625658211118354,,0.0027807417358214643,,,,,0.0008556142967171514,,,0.29967925786025873,,0.00021390304878936815,,0.0006417101971479439,,,0.0006417101971479439,,0.0004278071483585757,,0.00192513374378335,0.07935825596774122,,,,,IBS
1819,6.911337598897337e-05,,0.0006911337598897336,,6.911337598897337e-05,,,,,0.018729795216435655,6.911337598897337e-05,0.0020042822454737095,,0.0002073393196517032,6.911337598897337e-05,0.0001382267519779467,,0.0037321206867741282,0.006911337598897336,,,0.0008984730795414369,0.0019351712944303866,0.0019351712944303866,0.0002073393196517032,0.00995231644262956,,,,0.0001382267519779467,,,6.911337598897337e-05,0.0015896068394311705,,0.003040995010036563,0.0002073393196517032,0.015274053668617463,,0.00048379282360759665,,0.0013822675197794673,,0.0042159135103817255,0.0001382267519779467,6.911337598897337e-05,0.012233058658580901,0.0002073393196517032,0.03227586494701366,0.0011749265834973303,,,0.19759427139698627,,,0.025848465668462956,,,,,0.017070970728352532,0.0002073393196517032,0.10456850634702325,,,,0.007049559500983982,,,,0.09489264987487132,0.042297357005903896,,,,0.00034556607162965,,0.07305278102996446,0.027714380515110982,,,,0.0008984730795414369,,0.0002073393196517032,0.01651808312000595,,,0.00048379282360759665,,0.00048379282360759665,0.0001382267519779467,,0.0002073393196517032,,6.911337598897337e-05,,0.0001382267519779467,0.26193939592157883,0.002695424088515612,6.911337598897337e-05,,0.0002764535039558934,0.0012440407678015206,0.0001382267519779467,0.00034556607162965,,6.911337598897337e-05,,0.0007602463275634901,0.0020733931965170324,,0.00048379282360759665,,,IBS
1820,0.0001063433939216925,0.00031902985082468184,0.001063433939216925,0.0001063433939216925,,,,,,0.00021268711878378067,0.00026585765745324206,0.0010102617458454851,,0.0001063433939216925,,,0.00037220204419612156,0.0020736890662544968,0.0036688383203779054,,,0.00026585765745324206,0.010687504966732776,0.0031902985082468186,5.317169696084625e-05,0.008986008016462533,,,,0.00021268711878378067,,,,,,0.00015951492541234092,0.0001063433939216925,0.03009522317115002,,0.0004785447762370227,5.317169696084625e-05,0.001329291596670167,,0.0018610102209806081,,0.00015951492541234092,0.0001063433939216925,,0.08395808914834188,,,,0.06300840381138455,0.00015951492541234092,,0.005423500845211678,,,,,,,0.011857279983288624,,0.00031902985082468184,0.0001063433939216925,,,0.001382463790041607,,,0.00021268711878378067,,,,,,0.0008507468204331444,0.01685545623199209,,,,0.00037220204419612156,0.0007975746270617046,,0.02031163225411589,,,5.317169696084625e-05,,0.00021268711878378067,,,,,0.00015951492541234092,,,0.7222310818827113,,0.0001063433939216925,0.00015951492541234092,0.00042537258286558303,0.0015419787154539477,,,,0.00015951492541234092,,0.00031902985082468184,0.0017546625248337719,5.317169696084625e-05,0.00015951492541234092,,,IBS
1821,,,0.00015879239466158146,,,,,,,0.00230249586852298,7.939650462729316e-05,0.00047637872046725656,,7.939650462729316e-05,,0.00015879239466158146,,,0.00015879239466158146,,,7.939650462729316e-05,0.00047637872046725656,0.00516078355615164,,0.002858272322803539,,,,0.00023819012847488432,,,,,,7.939650462729316e-05,,0.003493454193309962,,0.00015879239466158146,0.00015879239466158146,0.0021437004008963744,,0.0011115513720786065,,,,7.939650462729316e-05,0.02905918645504081,,,,0.010242161696077414,0.07820557703215641,,0.0007939650462729314,,,,,0.0011909491058919093,0.00023819012847488432,0.15394940178340963,,,,0.0011115513720786065,,0.004128620698991264,,0.010083366228450812,0.01937273975394347,7.939650462729316e-05,0.0008733627800862344,,,,7.939650462729316e-05,0.008177851346581786,,,,0.00023819012847488432,,0.000317586325805675,0.00801905587895518,,0.11099641856435967,,,,7.939650462729316e-05,,,,,,,0.4700284382447044,7.939650462729316e-05,7.939650462729316e-05,,0.0007939650462729314,0.00778087035992783,,,7.939650462729316e-05,7.939650462729316e-05,,0.00063517265161135,0.06351726516113501,7.939650462729316e-05,0.00015879239466158146,,,IBS
1822,,,,0.00019116815306055766,,,,0.00012744543537370512,,0.0004460602332660446,0.0007646738217003074,0.0070732131970340974,6.372271768685256e-05,0.00012744543537370512,6.372271768685256e-05,0.001210734054966352,0.003823369108501537,0.0005735038544526346,0.0009558407653027883,,,,0.0008283971441161983,0.003632184023027905,,0.0009558407653027883,,,0.0008921174428868974,0.0006372271768685256,0.013318068557339488,,0.0019116815306055765,,,0.00019116815306055766,0.019881495175046456,0.0003186135884342628,6.372271768685256e-05,0.0011470107325504608,,0.00012744543537370512,,0.0005735038544526346,,6.372271768685256e-05,,6.372271768685256e-05,0.055884824620827764,,,,0.010004486028165078,0.10539731700006642,,0.00019116815306055766,,,,0.00012744543537370512,0.0019116815306055765,0.00019116815306055766,0.0006372271768685256,,6.372271768685256e-05,6.372271768685256e-05,0.0009558407653027883,6.372271768685256e-05,0.0034410291740061914,,0.01357296184700305,0.0002548911731119294,0.009112359514342604,6.372271768685256e-05,,,,6.372271768685256e-05,0.009239806159174387,0.0006372271768685256,,,0.0004460602332660446,0.002421465086287512,6.372271768685256e-05,0.003823369108501537,,0.00019116815306055766,0.0008921174428868974,,0.0005097835556819355,,,0.0011470107325504608,,0.00019116815306055766,,6.372271768685256e-05,0.5138594294003991,6.372271768685256e-05,0.012298495398685234,,0.09048621073700756,0.0015293476434006148,6.372271768685256e-05,6.372271768685256e-05,,0.004970388911987573,0.0013381776761529417,0.00331358252917441,0.08035427806401069,0.0075829997763612236,,,0.002421465086287512,IBS
1823,,0.0014792326322226157,0.00029584545434259733,,,0.0007607453008664037,,,,0.006297280129132259,0.00012679106216138822,0.00038037318648416474,,,8.452730330079711e-05,,,4.226365165039856e-05,0.0010988508689230442,,,0.00012679106216138822,0.0012256483636959876,0.014285114901095866,0.0011833861057780925,0.02303368103660084,,,,0.0007184819708465828,0.00016905439218120906,,,,,0.0009298007651495385,8.452730330079711e-05,0.002324499232619032,,0.00012679106216138822,4.226365165039856e-05,0.0013946973953675673,,0.000845273033007971,,8.452730330079711e-05,,,0.03689617335851777,,,4.226365165039856e-05,0.008664052340688443,0.6967161575475188,,0.01644057582306258,,,4.226365165039856e-05,8.452730330079711e-05,0.00029584545434259733,,0.0011833861057780925,,8.452730330079711e-05,,,,0.006804448666185515,0.00016905439218120906,0.012510035742428729,8.452730330079711e-05,0.006170493355378574,0.00012679106216138822,,4.226365165039856e-05,,0.024639689721557882,0.01398921476955505,,,,0.0020286527061745088,,,0.002366761490536927,,,8.452730330079711e-05,,4.226365165039856e-05,0.0003381087843624181,,,,4.226365165039856e-05,,,0.09534674151631745,,0.002789405511754393,0.00029584545434259733,0.0019441281903387186,0.0013524351374496724,,0.0004226365165039855,,0.0002113177222010298,4.226365165039856e-05,0.0032965633277883912,4.226365165039856e-05,,0.007184819708465829,,4.226365165039856e-05,IBS
1824,,0.0002655573881248869,8.85190422013575e-05,,,,,,0.0002655573881248869,0.042843255130537564,,0.005311147762497738,,8.85190422013575e-05,0.0005311147762497738,,,0.0023900125703117665,0.0002655573881248869,8.85190422013575e-05,,,0.0008851904220135752,0.014074527186974214,,0.009028953811454299,,,,0.0009737099872565612,0.0007081525991316745,,0.00017703782288190065,,,0.0008851904220135752,0.004337440390449321,0.04178095758262628,,0.0006196330338886883,,0.0013277804026040755,,0.0012392673753814482,,0.00017703782288190065,,,0.22891047640927695,,,,0.13357567874419124,0.006727452960761087,,0.005399659482116293,,,,,0.009560063357287785,0.00017703782288190065,0.00017703782288190065,,0.0004425952110067876,,0.0031866834270823556,,,,0.14269229433261746,0.05523594196039276,0.0019474147440968358,,,,,0.0007966721643746606,0.011153405070828962,,0.002212976055033938,,0.0004425952110067876,,,0.031866834270823555,,0.00017703782288190065,0.00035407695336787313,,0.0015048299939226222,,,,,0.0015048299939226222,,,0.20616078076850827,8.85190422013575e-05,8.85190422013575e-05,,0.005930782103990498,0.0038948425642343887,,,,,0.00017703782288190065,0.0016818665092004513,0.015136824734885495,,0.0004425952110067876,,,IBS
