,taxa1016,taxa102106,taxa114627,taxa117563,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1378,taxa1386,taxa1485,taxa1486726,taxa1501226,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1508657,taxa1562,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1649459,taxa1654,taxa1663,taxa166484,taxa1678,taxa1730,taxa1849828,taxa1870884,taxa189330,taxa2039240,taxa204475,taxa2048137,taxa207244,taxa2132,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa253238,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa447020,taxa44748,taxa459786,taxa46205,taxa52225,taxa553372,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa653683,taxa698776,taxa724,taxa762551,taxa816,taxa830,taxa83681,taxa838,taxa841,taxa84111,taxa848,taxa872,taxa904,taxa906,taxa990721,condition
2632,,0.0034027381081954316,,,0.006307467796144788,,0.0002922281534237146,,,,,,,,,,,,,,,,,,,,,,0.01385607304473189,0.07770777325879381,,,0.004848344482622512,,,,,,,0.03734760533806117,0.0007503918651429109,,0.17506150963833414,0.004637520581809408,,4.2164780162620885e-05,,0.02047664963902207,0.05064655857217546,0.0006109858216387433,0.0005990828454205872,0.016836356369862596,0.056654938872669126,,,,,,,,0.01385899835244652,,,,0.0006350943921145003,,0.005819849261919646,,9.300461078932167e-05,,,,,,,0.4822470640249995,,,,0.027267600189519594,,,,,,,H2029
2633,,0.0010228085177396125,,,0.004529857450461825,,,,,,,,,,,,,,,,,,,,,,,,0.004807414244794076,0.023327929425294228,,,0.0002657241636293698,,,,,,,0.041895877134043,,,0.19281883762968333,0.09160475871684913,,,,0.012529429843669528,0.17028583657566115,0.0070231763493457736,0.02113236439728711,0.00041006185711710806,0.11703185803209684,0.010054573928899559,,,,,0.00116765623841282,,0.0035712103526542175,,,,0.0004382153577549991,,0.0025214723995218395,,5.4878925156468685e-05,,,,,,,0.2720831825777978,,,,0.016411960790334044,,,0.005010915091796223,,,,H2029
2634,,,,,0.0005551042214192017,,,,,,,,,,,,,,,,,,,,,,,,0.0006704166951605461,0.0028832129303987945,,,0.00023774423933976287,,,,,,,0.015935682512472297,,,0.15122478893305077,,,0.00028868227121854796,,0.00175916699071143,0.03567717801699044,,,,0.03319354787603447,,0.03251641297588204,,,,,,0.007845559898212175,,,,0.00036308388471078927,,0.002111622073494756,,0.010055147438528925,0.0005516949830651098,,,,,,0.7017275412913915,,,,0.0018642517493904984,0.0005391610185280072,,,,,,H2029
2635,,,,,0.000824424966344423,,,,,,,0.024827338690206497,,,,,,,,,,,,,,,,,0.004166861847781199,0.019886205481528273,,,0.0015709112298235807,,,,,,,0.01832311821415449,,,0.11927731061923352,,,3.139615701007476e-05,,0.0051936064585004485,0.045151886683345084,,,,0.023901001597592945,,0.061323415223805945,,,,,,0.013450193908884741,,,,0.00038538030425785047,,0.0212689403837132,,0.007485927149079485,0.0008289387908346893,,,,,,0.6209999365055354,,,,0.010079269779553838,0.001023936008814195,,,,,,H2029
2636,,,,,0.0006965853689818311,,,,,,,0.001580342986130817,,,,,,,,,,,,,,,,,0.0028558797736939227,0.008691986622995815,,,0.0019623026274655036,,,,,,,0.017965429646480922,,,0.15749222052818646,,,,,0.006354738303538077,0.025915140030492643,7.87566311881069e-05,,,0.015578883283073375,,0.061809526786873736,,,,,,0.012101266999809223,,,,0.0026371447534857327,,0.00808217382730775,,0.005980995002861692,0.0004186325764680797,,,,,,0.6682119399060852,,,,0.0008839580157016275,0.0007020963291794722,,,,,,H2029
2637,,0.005211028082602858,,,0.007006352348648098,,,,,,,,,,,,,,,,,,,,,,,,0.02509906142567913,0.06559081103901154,,,0.0007365824998396849,,,,,,,0.04444554096402897,0.0009564867838748684,,0.19284494464314897,,,,,0.01577407990141111,0.09344576148000781,0.0053570192438167595,0.002664644539558456,0.013474209366617551,0.060508034968145476,0.014171337551240908,,0.018990779006593357,,,0.00024437207641740135,,0.025089987952670725,,,,0.01631909997672501,,0.06120689628806258,0.034316486612600325,0.0011579382744884626,0.0010899382014928818,,,,,,0.2547280695431751,,,,0.03750994131501946,,,0.0020605959151224515,,,,H2029
2638,,0.002024202687757769,,,0.0027533128359760544,,,,,,,7.041850375371154e-05,,,,,,,,,,,,,,,,,0.004765052968393238,0.002380955999580529,,,0.00020021145815443745,,,,,,,0.013798784444907149,,,0.18180335202210032,,,,,0.00857048917556144,0.013254586195034942,,,0.011764145633571494,0.030107507271090475,0.01938879778389423,,0.05690210257493619,,,,,0.012119581764748501,,,,,,0.01791254224476966,,0.00025634361798113704,0.0005297092627689266,,,,0.0002735682879640593,,0.5557134483637325,,,,0.02768997417819327,,,,0.030103454407565077,0.007617458317565164,,H2029
2639,,0.0004518547824030527,,,0.0023513146791343175,,,,,,,0.002720181884626747,,,,,,,,,,,,,,,,,,0.04134591968190711,,,0.0009781469065198761,,,,,,,0.01061727970344163,,,0.03637501412046196,,,0.0030251738036485764,,,0.03289104475525052,,,,0.4390022700371492,,0.012546313354853773,,,,,,0.01825797105735327,,,,0.0012314350503513291,,0.009247129660896665,,,0.00435357858023244,,,,,,0.3816764637273372,,,,0.0029289082144322537,,,,,,,H2029
2640,,,,,0.002457750912037517,,0.0023325486156813157,,,,,,,,,,,,,,,,,,,,,,0.005186790612482022,0.07225355594582826,,,0.0035325154067238265,,,,,,,0.03630876882110979,,,0.07535799677971876,,,,,,0.022891547548735538,0.005041630020732967,0.014091996836713059,0.0034700685752626806,0.0466292650954413,0.01129320598020487,0.04746113507764034,,,,,,0.00435769833118816,,,,,,0.009767939549821102,,0.013836859864680699,,,,,0.027129598985377878,,0.5519806087671031,,,,0.04461851827351692,,,,,,,H2029
2641,,0.005133753376203469,,,0.01281444089108522,,,,,,,6.624133250703702e-05,,,,,,,,,,,,,,,,,0.010773486310391855,0.015961355147342367,,,0.00045446965645902103,,,,,,,0.017014502141769684,,,0.36432131595973166,,,6.584047724224406e-05,,0.02344241674035723,0.02536161153436973,7.465929306768923e-05,,0.005646447259873667,0.07783196227470932,,,0.0033237916418470447,,,,,0.03149309366464289,,,,0.0010823092149409984,0.002883552347288174,0.0021232301237921226,0.009358467225672695,,9.10943589242007e-05,,,,,,0.3762818349229917,,,,0.014400124104789979,,,,,,,H2029
