,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa1236988,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1486726,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1562,taxa1573535,taxa1578,taxa162289,taxa1637257,taxa1654,taxa1663,taxa1678,taxa1716,taxa1730,taxa1870884,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa2057233,taxa207244,taxa2132,taxa2147,taxa216851,taxa2282742,taxa239759,taxa239934,taxa244127,taxa253238,taxa264995,taxa278993,taxa283168,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa36853,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa447020,taxa44748,taxa459786,taxa46123,taxa46205,taxa46255,taxa52225,taxa52784,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa588605,taxa61170,taxa644652,taxa698776,taxa724,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa1647,condition
2632,,,,0.003405293412670724,,,,,,0.006312204422994921,,0.0002924476037265315,,,,,,,,,,,,,,,,,,,,,,0.01386647833727436,,0.07776612832887546,,0.004851985372976185,,,,,,,,0.03737565172306857,,0.17519297302011863,0.004641003152821387,4.219644403095967e-05,,,,0.020492026689149897,,0.0506845918776085,0.0006114446447261309,,0.000599532729903994,0.01684899972218992,,0.05669748420358956,,,,,,,,0.013869405841764545,,,,,,0.0006355713196624931,,0.005824219709010091,,9.307445310178187e-05,,,,,,,0.48260921005026425,,,,,0.027288076940471116,,,,,,,,,,,H2029
2633,,,,0.0010177146495390444,,,,,,0.004507297512389537,,,,,,,,,,,,,,,,,,,,,,,,0.004783471997419529,,0.02321174990994641,,0.0002644007840878838,,,,,,,,0.04168722412366364,,0.1918585466969846,0.09114854178146448,,,,,0.012467029831208773,,0.16943776619601975,0.006988198996251396,,0.021027119400653667,0.0004080196360972333,,0.11644900713699421,0.01000449938071348,,,,,0.0011618409886579677,,0.0035534247412348603,,,,,,0.00043603292454570013,,0.002508914772310326,,5.4605612990127235e-05,,,,,,,0.27072813337004836,,,,,0.0163302247041274,,,0.0049802754985122,,,0.004985959354139425,,,,,H2029
2634,,,,,,,,,,0.0005551042214192017,,,,,,,,,,,,,,,,,,,,,,,,0.0006704166951605461,,0.0028832129303987945,,0.00023774423933976287,,,,,,,,0.015935682512472297,,0.15122478893305077,,0.00028868227121854796,,,,0.00175916699071143,,0.03567717801699044,,,,,,0.03319354787603447,,0.03251641297588204,,,,,,0.007845559898212175,,,,,,0.00036308388471078927,,0.002111622073494756,,0.010055147438528925,,0.0005516949830651098,,,,,0.7017275412913915,,,,,0.0018642517493904984,,0.0005391610185280072,,,,,,,,,H2029
2635,,0.0006791198366343404,,,,,,,,0.0008238650829959621,,,,,,,,,0.024810477952011144,,,,,,,,,,,,,,,0.004164032049243858,,0.019872700364910387,,0.0015698443928458161,,,,,,,,0.018310674621106266,,0.11919630703153163,,3.137483525705514e-05,,,,0.00519007937733081,,0.04512122314143697,,,,,,0.023884769953292598,,0.06128176927607731,,,,,,0.013441059615394641,,,,,,0.00038511858484858085,,0.02125449622439443,,0.007480843307456947,,0.000828375842058478,,,,,0.620578203130106,,,,,0.010072424747507757,,0.0010232406335591655,,,,,,,,,H2029
2636,,,,,,,,,,0.0006965853689818311,,,,,,,,,0.001580342986130817,,,,,,,,,,,,,,,0.0028558797736939227,,0.008691986622995815,,0.0019623026274655036,,,,,,,,0.017965429646480922,,0.15749222052818646,,,,,,0.006354738303538077,,0.025915140030492643,7.87566311881069e-05,,,,,0.015578883283073375,,0.061809526786873736,,,,,,0.012101266999809223,,,,,,0.0026371447534857327,,0.00808217382730775,,0.005980995002861692,,0.0004186325764680797,,,,,0.6682119399060852,,,,,0.0008839580157016275,,0.0007020963291794722,,,,,,,,,H2029
2637,,,,0.005216017134056047,,,,,,0.007013060248089914,,,,,,,,,,,,,,,,,,,,,,,,0.02512309133050684,,0.06565360784723112,,0.0007372877057861829,,,,,,,,0.0444880932372502,,0.19302957488041908,,,,,,0.015789182045365696,,0.09353522668816179,0.005362148067576577,,0.0026671956769734892,0.013487109608710956,,0.06056596551371196,0.014184905225619732,,0.019008960826399003,,,0.0002446060388608277,,0.025114009170532452,,,,,,0.016334723924276828,,0.06126549592522259,0.03434934130359202,0.0011590468875182652,,0.00109098171108098,,,,,0.254971946840587,,,,,0.037545853427612276,,,,,,0.0020625687348581768,,,,,H2029
2638,,,,0.0020242026877577684,,,,,,0.0027533128359760535,,,,,,,,,7.041850375371153e-05,,,,,,,,,,,,,,,0.004765052968393237,,0.0023809559995805287,,0.0002002114581544374,,,,,,,,0.013798784444907146,,0.1818033520221003,,,,,,0.008570489175561436,,0.01325458619503494,,,,0.01176414563357149,,0.030107507271090468,0.019388797783894223,,0.05690210257493618,,,,,0.012119581764748498,,,,,,,,0.017912542244769656,,0.000256343617981137,,0.0005297092627689265,,,0.00027356828796405925,,0.5557134483637324,,,,,0.02768997417819326,,,,,,,0.03010345440756507,0.007617458317565162,,,H2029
2639,,,0.00010229058492110047,0.00045180856191306127,,,,,,0.0023510741617804557,,,,,,,,,0.0027199036356306775,,,,,,,,,,,,,,,,,0.04134169038359874,,0.0009780468513006695,,,,,,,,0.010616193655690494,,0.03637129329899107,,0.0030248643568507134,,,,,,0.032887680311043846,,,,,,0.43895736423816545,,0.012545029985122103,,,,,,0.01825610343881434,,,,,,0.0012313090861397365,,0.009246183766594812,,,,0.004353133250132968,,,,,0.38163742181861193,,,,,0.002928608614697819,,,,,,,,,,,H2029
2640,,,,,,,,,,0.0024577509120375166,,0.0023325486156813152,,,,,,,,,,,,,,,,,,,,,,0.005186790612482021,,0.07225355594582825,,0.003532515406723826,,,,,,,,0.03630876882110978,,0.07535799677971874,,,,,,,,0.022891547548735534,0.005041630020732966,,0.014091996836713057,0.00347006857526268,,0.04662926509544129,0.011293205980204868,0.04746113507764033,,,,,,0.0043576983311881595,,,,,,,,0.0097679395498211,,0.013836859864680697,,,,,0.027129598985377874,,0.551980608767103,,,,,0.04461851827351691,,,,,,,,,,,H2029
2641,,,,0.005133753376203469,,,,,,0.01281444089108522,,,,,,,,,6.624133250703702e-05,,,,,,,,,,,,,,,0.010773486310391855,,0.015961355147342367,,0.00045446965645902103,,,,,,,,0.017014502141769684,,0.36432131595973166,,6.584047724224406e-05,,,,0.02344241674035723,,0.02536161153436973,7.465929306768923e-05,,,0.005646447259873667,,0.07783196227470932,,,0.0033237916418470447,,,,,0.03149309366464289,,,,,,0.0010823092149409984,0.002883552347288174,0.0021232301237921226,0.009358467225672695,,,9.10943589242007e-05,,,,,0.3762818349229917,,,,,0.014400124104789979,,,,,,,,,,,H2029
