,W,reject
Anaeroglobus,166,False
Victivallis,115,False
Methylophaga,58,False
Aeromicrobium,63,False
Desulfovibrio,17,False
Celeribacter,79,False
Cellulosilyticum,103,False
Paraprevotella,25,False
Luteolibacter,73,False
Faecalibacterium,56,False
Clostridium_XlVa,207,False
Sandaracinobacter,83,False
Methylophilus,92,False
Sphingorhabdus,69,False
Kocuria,109,False
Achromobacter,58,False
Lysinibacillus,63,False
Actinobacillus,57,False
Mitsuokella,39,False
Gluconobacter,103,False
Anaerococcus,42,False
Bacteroides,22,False
Clostridium_IV,25,False
Methylobacterium,186,False
Prevotella,8,False
Phascolarctobacterium,49,False
Solobacterium,230,False
Sutterella,75,False
Fusicatenibacter,15,False
Tissierella,103,False
Sediminibacterium,103,False
Ralstonia,43,False
Peptostreptococcaceae_incertae_sedis,97,False
Megasphaera,20,False
Oxalobacter,164,False
Raoultella,188,False
Romboutsia,273,True
Bradyrhizobium,62,False
Mycoplasma,104,False
Butyrivibrio,111,False
Coprobacter,58,False
Cloacibacterium,117,False
Butyricimonas,31,False
Pyramidobacter,43,False
Slackia,30,False
Lactonifactor,42,False
Peptoniphilus,49,False
