,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,7,4,0.1891891891891892,0.10810810810810811
1,taxa1017280,5,2,0.13513513513513514,0.05405405405405406
2,taxa102106,32,27,0.8648648648648649,0.7297297297297297
3,taxa117563,4,2,0.10810810810810811,0.05405405405405406
4,taxa1253,2,1,0.05405405405405406,0.02702702702702703
5,taxa1263,33,37,0.8918918918918919,1.0
6,taxa1301,22,24,0.5945945945945946,0.6486486486486487
7,taxa1348911,9,4,0.24324324324324326,0.10810810810810811
8,taxa1350,7,4,0.1891891891891892,0.10810810810810811
9,taxa1357,4,2,0.10810810810810811,0.05405405405405406
10,taxa135858,2,3,0.05405405405405406,0.08108108108108109
11,taxa1485,18,13,0.4864864864864865,0.35135135135135137
12,taxa1578,12,9,0.32432432432432434,0.24324324324324326
13,taxa1678,29,22,0.7837837837837838,0.5945945945945946
14,taxa1730,37,37,1.0,1.0
15,taxa189330,37,37,1.0,1.0
16,taxa191303,2,4,0.05405405405405406,0.10810810810810811
17,taxa207244,23,20,0.6216216216216216,0.5405405405405406
18,taxa216851,36,37,0.972972972972973,1.0
19,taxa2172,16,17,0.43243243243243246,0.4594594594594595
20,taxa239759,36,34,0.972972972972973,0.918918918918919
21,taxa239934,22,22,0.5945945945945946,0.5945945945945946
22,taxa244127,7,4,0.1891891891891892,0.10810810810810811
23,taxa283168,21,17,0.5675675675675675,0.4594594594594595
24,taxa292632,37,37,1.0,1.0
25,taxa29465,14,15,0.3783783783783784,0.40540540540540543
26,taxa32207,2,4,0.05405405405405406,0.10810810810810811
27,taxa33024,2,5,0.05405405405405406,0.13513513513513514
28,taxa33042,31,34,0.8378378378378378,0.918918918918919
29,taxa35832,21,15,0.5675675675675675,0.40540540540540543
30,taxa375288,36,37,0.972972972972973,1.0
31,taxa397864,28,24,0.7567567567567568,0.6486486486486487
32,taxa39948,7,6,0.1891891891891892,0.16216216216216217
33,taxa40544,11,10,0.2972972972972973,0.2702702702702703
34,taxa447020,18,18,0.4864864864864865,0.4864864864864865
35,taxa459786,25,24,0.6756756756756757,0.6486486486486487
36,taxa46255,5,3,0.13513513513513514,0.08108108108108109
37,taxa547,4,4,0.10810810810810811,0.10810810810810811
38,taxa561,21,20,0.5675675675675675,0.5405405405405406
39,taxa570,6,5,0.16216216216216217,0.13513513513513514
40,taxa572511,37,37,1.0,1.0
41,taxa574697,2,2,0.05405405405405406,0.05405405405405406
42,taxa577309,3,0,0.08108108108108109,0.0
43,taxa577310,8,11,0.21621621621621623,0.2972972972972973
44,taxa61170,14,11,0.3783783783783784,0.2972972972972973
45,taxa644652,3,1,0.08108108108108109,0.02702702702702703
46,taxa713,2,3,0.05405405405405406,0.08108108108108109
47,taxa724,13,20,0.35135135135135137,0.5405405405405406
48,taxa816,36,35,0.972972972972973,0.9459459459459459
49,taxa838,15,12,0.40540540540540543,0.32432432432432434
50,taxa841,37,37,1.0,1.0
51,taxa84111,10,7,0.2702702702702703,0.1891891891891892
52,taxa846,7,11,0.1891891891891892,0.2972972972972973
53,taxa848,5,1,0.13513513513513514,0.02702702702702703
54,taxa872,18,8,0.4864864864864865,0.21621621621621623
55,taxa904,10,7,0.2702702702702703,0.1891891891891892
56,taxa906,4,1,0.10810810810810811,0.02702702702702703
57,taxa946234,9,4,0.24324324324324326,0.10810810810810811
