"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa102106",-1.79910072734794,2.49833029149373,-0.720121247968488,0.471450346137268,1,FALSE
"2","taxa117563",8.5478088927475,0,Inf,0,0,TRUE
"3","taxa1263",0.450626147588444,2.12299972273187,0.212259164597808,0.831904851462032,1,FALSE
"4","taxa1301",0.562258348968458,2.9430799208925,0.191044199981478,0.848490964267353,1,FALSE
"5","taxa1348911",7.9785744566604,0,Inf,0,0,TRUE
"6","taxa1350",8.94467917793807,0,Inf,0,0,TRUE
"7","taxa1485",2.21045624712549,2.64867575773743,0.834551469982011,0.403970296202218,1,FALSE
"8","taxa1578",0.758982808101278,2.43051894975209,0.312271915501294,0.754833881798594,1,FALSE
"9","taxa1678",-4.08615510473399,2.31396561801809,-1.76586681881374,0.0774181951227128,1,FALSE
"10","taxa1730",-2.95501535070531,0.999641096782064,-2.95607629600041,0.00311580005182473,0.0997056016583915,FALSE
"11","taxa189330",-4.41180117266219,1.25741605360079,-3.50862481835536,0.000450429820354818,0.0144137542513542,TRUE
"12","taxa207244",1.69634045802201,3.03635041242316,0.558677434291338,0.576381882515933,1,FALSE
"13","taxa216851",2.80457312035147,0.948248271569738,2.95763588971141,0.00310008072316742,0.0992025831413576,FALSE
"14","taxa2172",0.853399242896669,2.71078108011215,0.31481673277038,0.752900806352752,1,FALSE
"15","taxa239759",-0.414847622736563,1.81775382860526,-0.228219914164543,0.819475280647207,1,FALSE
"16","taxa239934",-0.47511666654129,2.87892094054944,-0.165032898211722,0.868918088044406,1,FALSE
"17","taxa283168",7.10126800462071,2.58560548958507,2.74646230185731,0.00602418088470392,0.192773788310525,FALSE
"18","taxa292632",0.295998174535711,0.996533770293618,0.29702774091489,0.766445330172192,1,FALSE
"19","taxa29465",0.783528000652928,3.02224995268426,0.259253209668189,0.795439878693492,1,FALSE
"20","taxa33042",6.29503834413616,2.31933862997418,2.71415232893622,0.0066445605008406,0.212625936026899,FALSE
"21","taxa35832",5.16280964932064,2.82671417277159,1.8264349820196,0.0677847665542498,1,FALSE
"22","taxa375288",0.587165471653975,1.21236130472975,0.484315582626469,0.628161918676465,1,FALSE
"23","taxa397864",4.98262816492061,3.19971586654479,1.55720956882996,0.119420737264782,1,FALSE
"24","taxa39948",-2.36070428747753,3.34186515300743,-0.706403214789524,0.479937422238603,1,FALSE
"25","taxa40544",-0.484664150672491,2.66937396755998,-0.181564725123738,0.855924333926966,1,FALSE
"26","taxa447020",0.340049451521873,2.59431591163333,0.13107480472869,0.895716132097685,1,FALSE
"27","taxa459786",3.84086524371406,3.16168581133779,1.21481559930488,0.224436429878079,1,FALSE
"28","taxa561",1.84131701207533,3.00451497984729,0.612850002221964,0.539975525099099,1,FALSE
"29","taxa572511",4.76079221666482,0.891007380989109,5.34315687865554,9.1341644835913e-08,2.92293263474922e-06,TRUE
"30","taxa577310",0.640654767008837,2.36510074028879,0.27087842648538,0.786484538086216,1,FALSE
"31","taxa61170",4.98159334266333,2.89306979889891,1.72190568805471,0.085086604430958,1,FALSE
"32","taxa724",-2.80523494756741,2.59916653109869,-1.07928249844831,0.2804618124376,1,FALSE
"33","taxa816",5.58846378882388,1.39280960233575,4.012367361233,6.01128560665978e-05,0.00192361139413113,TRUE
"34","taxa838",-0.64640564242391,2.79905804603444,-0.230936847965588,0.817363863818611,1,FALSE
"35","taxa841",-0.739042504974552,0.938996756643277,-0.787055439484668,0.431249413110992,1,FALSE
"36","taxa846",11.0160993700859,0,Inf,0,0,TRUE
"37","taxa872",7.38782144235878,0,Inf,0,0,TRUE
