,taxa1263,taxa1730,taxa189330,taxa216851,taxa239759,taxa239934,taxa292632,taxa33042,taxa375288,taxa572511,taxa816,taxa841,condition
0,0.003999335063694719,0.5618873733477379,0.040162939471940155,0.07358732558291535,0.008101626514254195,,0.07221418815360676,0.03138214784837925,0.002693986895849897,0.027055897336055547,0.17571878885808292,0.003196390927483189,Control
1,0.11523504904713502,0.26509456607261445,0.007000396705925139,0.1297108828610142,0.013007770213834247,0.005499929687728575,0.0032469483373114036,0.004779818773659608,0.02455046549240455,0.02291598045350314,0.38313896001386744,0.02581923234100225,Control
2,0.0026401807351318354,0.22118560731825396,0.022464647481769368,0.05451014392745209,0.06041593661789262,0.06901860396093747,0.0114520655572076,0.008646562820192384,0.04497012304589763,0.00847965423479765,0.4494336267067275,0.04678284759373985,Control
3,0.1659147977794882,0.5189873430661756,0.008189985165714944,0.052279942004089336,0.00433170119736428,,0.08441312364490583,0.007470198789233648,0.002906031433636381,0.0036198885941205296,0.14942748819293755,0.002459500132333968,Control
4,0.06424206478408755,0.1715741325014432,0.08248344289846674,0.4062401445824207,,,0.08261115163436265,0.035509212370486536,0.0030771083838499807,0.062228568524878076,,0.09203417432000477,Control
5,0.08119626842354172,0.21346172725463022,0.028020294943224167,0.033657601226882855,0.22235649972606217,0.1181734743279154,0.08001483636517383,0.01737283269996382,0.011232653071683316,0.012848253804340952,0.16922008348017825,0.01244547467640341,Control
6,0.17757705190238066,0.24359919349464976,0.058014460392915364,0.08348235981798315,0.09650921700185726,0.1193943337261921,0.10808890288464332,0.03118763495676366,0.010403425049261708,0.020611835725861245,0.032453427454782004,0.018678157592709653,Control
7,,0.0020822754503885097,1.4250504219362137e-05,2.6154471181530872e-05,0.002830832696521599,0.0023656153463933504,9.366609528852128e-05,,0.007586782821521989,0.97678136952012,0.0038253163867530628,0.004393736707612162,Treat
8,0.003277383783807298,0.018284862958748,0.00014681350365052488,0.00018997201626836836,0.0033020155615600126,,0.0018277516853786044,0.0026424268548657657,,0.9477041800409597,6.723470037209454e-05,0.022557358894389524,Treat
9,0.03542845419519389,0.08255988891630568,2.019504401321826e-05,5.843418279016177e-05,0.35083858005560375,0.004955375783977478,0.000898301269882657,,0.03605925102624029,0.46536233548669353,0.0015334755016548284,0.02228570853764447,Treat
10,0.007219269987199006,0.04082201812564928,6.7409963365661e-05,5.98867510351151e-05,0.062936702233538,0.006571497800442349,0.00018929690183253786,0.002832995265004733,0.024526938378822416,0.8133148655478109,0.004105803804739832,0.037353315240560174,Treat
11,0.005264324440555861,8.525073333008396e-06,2.430920386561341e-06,3.7842568395652227e-07,0.008835608140825943,,3.214345283179502e-05,,0.014490377363211437,0.9633259156319102,0.0008427102578483107,0.007197586293412829,Treat
12,0.1505159070731173,0.002273873325866146,5.3325641203260825e-05,9.58486347697762e-07,0.025839997619297127,0.005407758525557676,0.00359288299558314,0.0066191087569564535,0.03749904269258222,0.7624329498130615,0.0015254238231250069,0.004238771247302465,Treat
13,0.050672144548786845,0.017721020106911935,0.0002483015837314808,0.00011946947747798235,0.004444185660596541,,6.740787110915532e-05,0.008332703618297674,,0.8865458525919245,0.000361755274352208,0.03148715926681164,Treat
