item,value,type
0,MicrobiotaLoads_ori,-0.18695814070880346,MicrobiotaLoadsFoldChange_ori
1,taxa39948,-8.421914588877389,TaxaFoldChange
2,taxa61170,5.2419523298135795,TaxaFoldChange
3,taxa572511,4.2552254743849325,TaxaFoldChange
4,taxa547,6.4224613389822105,TaxaFoldChange
5,taxa46255,-2.0684351459730284,TaxaFoldChange
6,taxa244127,-9.689788108531063,TaxaFoldChange
7,taxa1017280,-9.44516480559538,TaxaFoldChange
8,taxa33042,-3.1384695872711283,TaxaFoldChange
9,taxa29465,2.902646697547592,TaxaFoldChange
10,changedTaxaCount,10.0,changedTaxaCount
11,totalTaxaCount,58.0,totalTaxaCount
12,MicrobiotaLoads,0.14265344872848829,MicrobiotaLoadsFoldChange
13,taxa100883,0.3016995824783478,ranksums_on_loads
14,taxa1017280,0.22067136191984693,ranksums_on_loads
15,taxa102106,0.8203787883386215,ranksums_on_loads
16,taxa117563,0.3545394797735013,ranksums_on_loads
17,taxa1253,,ranksums_on_loads
18,taxa1263,0.45490378537466497,ranksums_on_loads
19,taxa1301,0.7339495039452824,ranksums_on_loads
20,taxa1348911,0.03389485352468927,ranksums_on_loads
21,taxa1350,0.8551321405847059,ranksums_on_loads
22,taxa1357,0.22067136191984693,ranksums_on_loads
23,taxa135858,0.22067136191984693,ranksums_on_loads
24,taxa1485,0.6930819368648844,ranksums_on_loads
25,taxa1578,0.4642143127710315,ranksums_on_loads
26,taxa1678,0.8788868427825751,ranksums_on_loads
27,taxa1730,0.8825500755319481,ranksums_on_loads
28,taxa189330,0.7855084540051878,ranksums_on_loads
29,taxa191303,0.0832645166635504,ranksums_on_loads
30,taxa207244,0.2341438173854236,ranksums_on_loads
31,taxa216851,0.6664791180957661,ranksums_on_loads
32,taxa2172,0.2135243540361822,ranksums_on_loads
33,taxa239759,0.5445712640780266,ranksums_on_loads
34,taxa239934,0.31663929919603084,ranksums_on_loads
35,taxa244127,0.04550026389635839,ranksums_on_loads
36,taxa283168,0.7425568219265776,ranksums_on_loads
37,taxa292632,0.4507063771905322,ranksums_on_loads
38,taxa29465,0.08897301170181332,ranksums_on_loads
39,taxa32207,1.0,ranksums_on_loads
40,taxa33024,0.07709987174354177,ranksums_on_loads
41,taxa33042,8.940668240224498e-06,ranksums_on_loads
42,taxa35832,0.576737654794811,ranksums_on_loads
43,taxa375288,1.0,ranksums_on_loads
44,taxa397864,0.03908858242795348,ranksums_on_loads
45,taxa39948,0.04154006700988516,ranksums_on_loads
46,taxa40544,0.6103845138746781,ranksums_on_loads
47,taxa447020,0.09175167101794644,ranksums_on_loads
48,taxa459786,0.34278171114791145,ranksums_on_loads
49,taxa46255,0.06407750645105953,ranksums_on_loads
50,taxa547,0.17971249487899976,ranksums_on_loads
51,taxa561,0.3548685054869629,ranksums_on_loads
52,taxa570,0.624206114766406,ranksums_on_loads
53,taxa572511,2.238596349989105e-09,ranksums_on_loads
54,taxa574697,0.12133525035848212,ranksums_on_loads
55,taxa577309,,ranksums_on_loads
56,taxa577310,0.31487864133642,ranksums_on_loads
57,taxa61170,0.0004867660221606486,ranksums_on_loads
58,taxa644652,0.22067136191984693,ranksums_on_loads
59,taxa713,1.0,ranksums_on_loads
60,taxa724,0.7855940423214982,ranksums_on_loads
61,taxa816,0.4093954862099187,ranksums_on_loads
62,taxa838,0.6830913983096087,ranksums_on_loads
63,taxa841,0.6688981872698434,ranksums_on_loads
64,taxa84111,0.4573905431688553,ranksums_on_loads
