,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa872,taxa904,condition
0,0.01081717599698379,0.039126701470401724,0.00589221885458268,,,0.005765069611783921,,0.02563443050512005,0.29371043706554645,0.0193795289503404,0.001857306411772877,0.02120426617523861,0.061231257619248525,0.1099641436978408,0.01760547887057825,0.0012539136946744418,0.06330242064549971,0.001049223904316474,0.0034149115973050826,,0.013084724749389815,0.0590174156716888,,,0.00026357315470752014,0.011474059828949218,,,0.007444323945642674,,,0.003833350157151719,0.19415980556842505,0.008311289817448629,0.020066825069387468,,0.0011361469659753373,,Control
1,0.003634607909868784,0.01420361673640598,0.0013352146216849008,,,,,,0.11350537781499168,0.007856658771580483,0.0024216623219790443,0.1514190746311796,0.006234433681092206,,,,0.025226216098841917,0.0008827272650384476,0.006877954911593053,,0.001527535538000296,,,,,0.00017044119447836727,0.29310553417226437,0.007617085010625453,0.004825857639130208,,,0.003704475929180305,,0.31709968290951024,0.03835184284255462,,,,Control
2,0.013771451096219722,0.004005796168088874,0.02466558219843548,,0.001961258945474936,0.0019029641514776345,0.016016411372481523,0.0020117811002725978,0.08967926759531199,0.0592462760730406,0.009517818775365177,0.03101638361305582,0.0060960809242778385,0.07496088696917036,,0.0005037780578395394,0.07483385983710768,,0.04253665632165402,,0.011860603267839595,0.06822767170592774,,0.001424724765294055,0.002776830872922901,,0.0030798527640060183,,0.06799371526601858,,0.0021258168211016047,,0.29310067233329073,0.009999167217228613,0.08668469178709631,,,,Control
3,,0.03379767464557768,0.004521415118862292,,,,,0.003409904595145398,0.05709071723230256,0.0006798066971830781,,0.07269993902515623,,0.16913875690557015,0.009068558529568933,0.002311560192607066,0.08897954588719366,0.0026850431897090694,0.08418852725942717,,0.020722508414238543,,,0.06871241615958981,4.831604102225147e-05,0.006611083893074669,,,0.0028785489340031863,,0.0004019894613051322,0.027197099491425347,0.32237187310661514,,0.022348222404534743,0.00013649281588786039,,,Control
4,0.0004968142524115841,,0.004114532976678621,,,,,,0.34690856487949195,0.005660329613904052,,0.009175564583216916,,0.015425175788107459,0.02925426198516938,,0.08359247735499127,,0.0004231145150525652,,0.008461973993165641,0.0028246294189529578,0.2431585240230568,,,,,,0.003469581197815789,,,,0.2457817707548055,,0.001252684663179548,,,,Control
5,0.014214667424418393,0.02611107077507676,,,,,0.005474589876723461,0.050490113366432866,0.09339530984812144,0.004997414024591359,0.0002830876800954433,0.02477770743580707,0.05476382086496729,0.11611686388950862,0.03716330259048649,,0.1384655161019356,,0.04255490093509563,0.0006698384027582108,0.027821409147336856,0.05574566669643499,,0.0016396682823369888,0.0004905155953308456,0.0011859133533782492,,,0.029483581881940422,,,,0.22080533557142323,,0.04267343117237301,,,0.010676275083426858,Control
6,0.00675393116747072,0.046389495972059505,0.4867200800465916,,,0.020608206287802043,0.22013771106234564,0.022576146119958496,0.0010562767962748857,0.007850674258995575,0.001822580640008536,0.001257969331020791,2.5557660157876057e-05,0.0,,,3.418337046115923e-05,0.0738828294161427,0.0034805273525000875,0.0,0.00016261061275448638,,1.5334596094725632e-05,,,,0.0062720627832441,0.0008828041779533021,0.07153035328886087,,,0.02268231689986434,0.0035769010293454106,8.199749300651901e-05,7.699245122560163e-05,0.0021224571858609485,,,Control
7,0.00796190183565244,0.07316263231848098,,,,,0.0011342646268089902,0.03990662930498806,0.07119705222468162,0.004007666644343737,,0.009387219175922903,0.030235946527934956,0.1317941656340175,0.03374334709184702,0.01241640310739281,0.1621906116322016,,0.03007503683539758,0.0012452297557608283,0.031867298012442244,0.07894799724863912,,0.008453655803604439,0.001566536362975346,0.00016716558243206638,,,0.027643444222229304,,,,0.2347907266380202,,0.003270907414778114,,,0.004834161999448045,Control
8,0.0172183025929964,0.05455093460811785,0.0005745921528423365,,,,,0.031650142165219754,0.05171422051734713,0.002560951046808048,,0.030015437787733718,0.004780853848058065,0.1445943647132044,0.03064645942081935,0.02297143226670632,0.11701909005197693,,0.005492194814336713,0.004242920262673052,0.09072202549706343,0.12835132417747855,,0.0010578468075536419,0.0003014034464819926,0.002579589251048991,,,0.013057967080606423,,0.0005827270596657316,,0.22275846246553996,,0.010044035589290592,,0.0006388476193967482,0.011873874757034018,Control
9,,0.007160794930159225,,,,,,,0.03839209852863041,0.0025621734378827375,,0.023917350189382243,,0.03729729526196867,0.005271908200980153,,0.07906814107229049,,,,0.03378584455401523,0.012156509036909974,0.12906629401156455,,,0.009727446091013994,,,0.0013732362223771557,0.0014105845026211466,,,0.6138469715785694,,0.0049633523816347,,,,Control
