,taxa100883,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,0.00045134773821228324,,0.002348676175581505,,,,,0.0027171294605379706,,,0.04129952378392582,0.000977049289041906,,,0.010605365632361597,,0.036334196272964914,,0.003021779136018746,,0.03285413640809794,,,,,,0.43850964816077315,,0.012532234638527436,,,0.018237483063156038,,,0.001230053208191178,,0.00923675308957675,,,,0.0043486932568627835,,0.3812481694141573,,0.002925621570241997,,,,,,,0.0011221397017708772,Control
1,,0.017387182967080216,,0.1439904907039472,0.004941699686268313,,,,0.07086398659688643,,0.03371360622940958,0.008019321541585054,0.004201677921050666,0.0010653432343392798,,0.0002608246599130177,0.07431003692578743,0.024719738991998905,0.02756654739304116,,0.020028059931613745,0.23531404380370097,,,,0.006332146126415492,,0.035873321718814855,0.011737437091056398,,,0.00047646881388294375,0.0022849986314890233,,,0.024903298438849825,,0.00893253524625122,,,,,,0.2389252103294423,,0.004055004974220918,,9.70180429550932e-05,,,,,,Control
2,,0.004630247940912409,,0.08571737202816003,0.007911177218918127,,,,0.007961690629451493,,0.006477706544617386,0.22482575371281888,0.0618023251489396,,0.004458835400553028,0.0780070272480438,0.002300969113658393,0.05751579043662348,0.03128045722740881,,,0.05028993032368882,0.007804044381193511,6.472377657352326e-05,,0.011261159994400227,,0.02037355721765029,0.01453787056998777,,,4.252007963577942e-05,0.0019196206187526426,,,,,0.020953295744694785,,,0.000772022542525353,,0.010122554415432722,0.17143696442601392,0.07546947774351376,0.042062905515831285,,,,,,,,Control
3,0.0006956918493468906,0.03427989140327261,,0.0015134700735905434,,,0.12222671619201939,0.0021316048913478753,,0.0012850197696566712,0.002825924983673454,0.08333740463782609,0.04812292462395655,,0.0060472325487973535,0.0282056457931325,0.0323046668123543,0.04876353515290923,,,,0.15341730526352665,,,,0.15370431904029344,,0.0009139067355063584,0.04368423546230374,,,0.005437117233626154,,0.002502823445269058,0.0009612851126270549,0.0009374376444104016,0.0038691989582666153,0.04490847584393921,,,,0.0006173961793612404,,0.08224886268152962,0.03132259430486582,0.06204013824356222,,0.0016951751190289392,,,,,,Control
4,,0.0010249973342764565,,0.006817353347920496,,,,,,8.349725884485041e-05,0.040013347386845234,0.06692432114851646,0.01195471749874272,,,0.013623343763896128,,0.07531097656182231,0.0670287180857599,,,0.050947835924538366,,,,0.004598030702439206,0.005487281581874337,0.1541716518994206,0.011372367236568431,,0.024214712338754163,,,,,,,0.006228104162779681,,,,,,0.4397921354510186,,0.011946601118782105,,,,,0.00846000719719993,,,Control
5,,0.014214667424418388,,0.026111070775076753,,,,,,0.0054745898767234605,0.05049011336643286,0.09339530984812143,0.00499741402459136,,0.00028308768009544324,0.02477770743580706,0.05476382086496727,0.11611686388950862,0.03716330259048648,,,0.13846551610193558,,,,0.042554900935095626,0.0006698384027582108,0.02782140914733685,0.055745666696434985,,0.0016396682823369881,0.0004905155953308453,0.001185913353378249,,,,,0.02948358188194042,,,,,,0.2208053355714232,,0.042673431172373,,,,,0.010676275083426856,,,Control
6,,,,0.009690085233559149,0.007369512495323307,,,,,,0.010303720647920794,0.0434815789403525,0.0014085621024811134,,0.0005278775324124803,0.057779150792571676,,0.10560838774293252,0.00022117091057096973,,0.003266242231802222,0.04294825822631372,0.032778506497603666,0.00026160597408067987,0.03710505829314266,0.07751412783345374,,0.02339501680054672,,,0.06513833235133894,,0.006705555422253148,,,,,0.0056703511452009785,,,,0.00030981701134225737,0.02292601449796981,0.4162434315238864,,0.02934763579294048,,,,,,,,Control
7,,0.011081053869470937,,0.15268851606097605,,,,,0.0003042976290441201,,,0.2536638119385456,0.023836409103988127,,,0.06974201142061608,,0.002911832905132633,,,,0.3300285132091441,,,,0.010518864766433428,,0.0024753697287744226,,,,,,,,0.00463223377662796,,0.014030604552607356,,,,,,0.1174791236187397,,0.006607357419899553,,,,,,,,Control
8,,0.004551350807748098,,0.02617601850250195,0.0019975287784258135,,,,,,,0.06990945390691936,0.03360863531888103,,0.00025382659754374286,0.1655262728056406,0.007470849653039748,,,,,0.03366067141462263,0.004665720668704364,0.00042702463410682355,0.10280437309157618,0.01446855425869433,,0.0012537960331843493,,,,,0.0004241763425504413,,0.0009266807029013901,0.0012396641250776847,,0.025355600984588663,,,,,0.0007282862410318528,,0.46685360953581717,0.03750016843262567,,7.799936877477127e-05,,0.00011973779504329348,,,,Control
9,,0.013444649563324095,,0.10519059007668416,0.00894437381643971,,,,0.0024846986186677672,,0.09234581852445382,0.21671919117133706,0.03147692629088238,,0.00045569946349776936,0.02974645899327221,0.05534096548753078,0.07713346636293919,0.025916093930375403,,,0.08516221980842223,0.001404117206767949,,,0.006011227958515114,,0.007850803346197912,0.0476853227429211,,,0.0002481992564846521,0.003825710650324267,,,0.0021057428415405246,,0.012994903418233068,,,,,0.008522878873242486,0.10996428550166723,0.0075013976767986735,0.04582561431480823,,0.0016986441046723266,,,,,,Control
10,,0.00017466536554799542,,0.0040944152317913644,0.007856703157830398,,,,,,,0.3701165167759203,0.02693115280254425,,0.003325017332451034,0.012898015159860807,,0.01142105049579766,0.03723681415635465,,,0.0314219551935775,,,,0.009492445318153572,,0.0043949691922070926,0.00499223164149114,0.3374482240145043,,,,,,,,0.021274059369830442,,,,,,0.09012186400530353,,0.026799900786834082,,,,,,,,Control
11,,,,0.09156348618626005,0.00445034524379961,,,,0.00013732856170265329,,0.032240512927801994,0.24832337471187077,0.010111595050281886,,5.215008672252657e-05,0.07491104320010927,,0.0122646778464182,,,0.009812703474811401,0.22053555889452447,,,,0.012386054616888076,0.0020549179270115563,0.020689473228906363,0.0018834361712592486,0.05062249820184455,,0.0002088048570341161,0.0025504460059475632,,,0.005122979107448198,,0.008533288013885422,,,,0.00011421891542953369,0.00026903309444503416,0.1811530404625365,,0.010009033213060917,,,,,,,,Control
12,,0.010484517213804232,,0.0018286972872169135,0.0005365582566016106,0.0010522671540968834,0.015922447055919338,,,0.0018150409570022623,0.0020352101891651926,0.012561843108364229,0.003974409079645699,,8.131250051471855e-05,0.022147335957503168,,0.14707867641179612,,,0.016541673021377577,0.07034511214401153,,,,0.0010434061764766898,,0.028648270373654916,0.03225990060485033,,0.0005371837373748009,0.005576995067354376,,,,,,0.0028642849540287266,,,,0.0009642828586681366,,0.5663321838734168,0.02612664463653885,0.028083669729055277,0.0011188808564416336,,,3.919679511991562e-05,,,,Control
