taxaId,microbiota_loads_foldChange,logged_relative_abundance_diff,qml_logged_loads_diff,ranksums_on_loads,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,ancomP,qml_diff_qvalue,ANCOM_BC_diff_qval,ANCOM_BC_diff,DR_inferred_foldchange
0,taxa100883,0.0,-1.9848195367399064,-1.4248195367399057,0.7284541890106647,0.009217797347054926,0.009217797347054926,0.27158867424337474,0.0,0.9174563787697512,1.0,-1.0134121278606163,0.048471435363362875
1,taxa102106,6.107168903367933,5.3112796390992365,5.871279639099237,1.501542112684164e-11,2.0263828960819053e-12,2.0263828960819053e-12,5.489502108340724e-13,1.0,2.634961012003547e-11,1.0,2.964154361336297,4.988203224795384
2,taxa117563,0.0,-0.5203109324882015,0.03968906751179901,0.935283063107044,1.0,1.0,0.6261174799167386,0.0,0.9694722269678532,,,0.12904404966945426
3,taxa1263,0.0,-0.9151025985589544,-0.355102598558954,0.6913676230055688,0.02723904780672533,0.02723904780672533,0.4012611729802985,0.0,0.9174563787697512,1.0,-0.6390377412462065,-0.9070858426444107
4,taxa1301,0.0,-1.6976764012473815,-1.1376764012473808,0.4420120677924225,0.002061638765240449,0.002061638765240449,0.05536590133001218,0.0,0.4429272106400975,1.0,-2.433944184339846,-0.7213912730022864
5,taxa1348911,0.0,-0.414244763997725,0.14575523600227552,0.5005813519490322,0.7362769783410712,0.7362769783410712,0.9616265663061374,0.0,0.9722771751108849,1.0,0.17968130652036451,0.1417489562833897
6,taxa1350,0.0,1.3443630491205358,1.9043630491205363,0.09328995618360462,0.4776750239859037,0.4776750239859037,0.4013871657117661,0.0,0.9174563787697512,,,0.11972364876088457
7,taxa1357,0.0,-0.5097674886404666,0.05023251135953388,0.3271868777903057,0.5402913746074199,0.5402913746074199,0.9025232501776794,0.0,0.9722771751108849,,,0.12331879021789408
8,taxa1485,0.0,0.13570396906378512,0.6957039690637856,0.2894202622238061,0.6988234237689908,0.6988234237689908,0.31090082403638364,0.0,0.9174563787697512,1.0,-3.123887011371169,0.24420048325489702
9,taxa1578,0.0,-1.4878040978643012,-0.9278040978643008,0.6634588985101145,0.1826551205854452,0.1826551205854452,0.6053433393365069,0.0,0.9694722269678532,1.0,-1.0812097266918272,-0.2575542356079425
10,taxa1678,0.0,-0.8762397307918901,-0.3162397307918896,0.9098926261741804,0.1846243183890932,0.1846243183890932,0.6105539436349011,0.0,0.9694722269678532,1.0,-3.1442355278904257,-1.018754521814934
11,taxa1730,0.9900740998571288,0.670412527033657,1.2304125270336574,0.007687701923765506,0.2037350610563028,0.2037350610563028,0.008877715770359283,0.0,0.1065325892443114,1.0,0.9424689218217522,0.6121827537147096
12,taxa189330,0.0,-0.3033961627964121,0.2566038372035884,0.5750235779704929,0.17736833873550914,0.17736833873550914,0.8716173638128186,0.0,0.9722771751108849,1.0,0.4939249003539436,-0.1204326508065918
13,taxa207244,0.0,-1.0100718035633474,-0.4500718035633469,0.8851705446321927,0.0924781980797783,0.0924781980797783,0.32253493241945297,0.0,0.9174563787697512,1.0,-1.8923539581784568,0.09025406950855364
14,taxa216851,0.0,-0.2055800573351627,0.3544199426648378,0.35921714906735625,0.3371898786281833,0.3371898786281833,0.29885791635403536,0.0,0.9174563787697512,1.0,-0.5273239891232759,0.07928734855122593
15,taxa2172,0.0,-1.0189614650323495,-0.458961465032349,0.7138676734749971,0.2112995473337107,0.2112995473337107,0.5596689271994115,0.0,0.9694722269678532,1.0,-3.360594937174441,-1.1730516807415674
16,taxa239759,0.0,-0.7803921096772761,-0.22039210967727565,0.6104853150076031,0.024444458340867926,0.024444458340867926,0.6182113026610103,0.0,0.9694722269678532,1.0,0.7116514332902358,-0.5519989388354483
17,taxa239934,0.0,-0.9856251896724516,-0.4256251896724512,0.2828195257994319,0.006853919434205611,0.006853919434205611,0.19681026664882284,0.0,0.9174563787697512,1.0,-1.1766245561935371,-0.7379927582900734
18,taxa244127,0.0,-0.6982896612364013,-0.13828966123640085,0.5145391427581526,0.9134951530400164,0.9134951530400164,0.7999031953816227,0.0,0.9722771751108849,1.0,-2.8191341701787045,0.11662970236969385
19,taxa283168,0.0,-0.551281177665504,0.008718822334496501,0.8083651559145103,0.361803488317166,0.361803488317166,0.5869371700692589,0.0,0.9694722269678532,1.0,-0.4548260253464931,0.03552927868256228
20,taxa292632,-2.4497477028257,-2.662300542449306,-2.102300542449305,1.2126638143951214e-05,1.4542769200793955e-09,1.4542769200793955e-09,1.5780934632391013e-07,1.0,3.7874243117738435e-06,0.678012473415228,-2.4027459249785794,-2.423013676010521
21,taxa29465,0.0,-1.9925336512305505,-1.4325336512305498,0.10279782407051567,0.02616565859070014,0.02616565859070014,0.08834787356546801,0.0,0.6058139901632092,1.0,1.7229124998029042,-0.06949446381091208
22,taxa33042,0.0,-0.7688999198319575,-0.208899919831957,0.9541925528075672,0.1279511003251185,0.1279511003251185,0.9378615067319308,0.0,0.9722771751108849,1.0,-1.0332772976736055,-1.099828949249496
23,taxa35832,0.0,-1.062117295697231,-0.5021172956972304,0.1429440619959734,0.0807663909568753,0.0807663909568753,0.4492229332287441,0.0,0.9507028044299058,1.0,-0.7243750045634055,0.02016951082123369
24,taxa375288,0.0,-0.2857067973242549,0.27429320267574564,0.6109319815915404,0.3300683728396877,0.3300683728396877,0.5357882540723944,0.0,0.9694722269678532,1.0,1.1039803873330705,-0.04190569489010364
