,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa904,condition
0,0.0009882040869763566,0.017863706568396632,0.001195045347612541,,,0.005692914848885532,,0.00855393776721214,0.10816335758141268,0.00868845769528222,0.00013879397260742362,0.012039533562272152,0.0017959985045343113,0.2593085315777658,0.014097261057290644,0.014459992468683623,0.05896573071089957,0.00016286359184404327,0.0021293739784471184,0.0008836024706676825,0.06190526107888581,0.11058145451584299,,,,0.0021333105984157243,0.005843068781973789,,0.0010970797478223745,0.001146568684570564,,0.0014169582389856748,0.2602791895871678,0.018167951054541758,0.02056512766571033,0.0016644029227266246,7.232133256610484e-05,,Control
1,0.006768296587198258,0.046488165112159315,0.48775531983010684,,,0.020652039357138285,0.22060593772010328,0.022624164941412502,0.001058523467013852,0.007867372420122512,0.0018264572172539647,0.0012606449960514804,2.5612020574989864e-05,0.0,,,3.4256077519048945e-05,0.07403997609544746,0.003487930335304036,0.0,0.000162956480908373,,1.536721234499392e-05,,,,0.006285403282607304,0.0008846818773611081,0.07168249631827203,,,0.02273056154355111,0.0035845089962222277,8.217189934475914e-05,7.715621198215696e-05,,,,Control
2,0.013945478886992891,0.018491844551011317,0.001295190081568356,0.0007281284425672053,0.037942435922423044,0.000671333536626558,0.003480684684776625,0.003902209377304867,0.057406116744813274,0.07332865736731431,0.009798119622717653,0.039583830889617894,,0.03678202281491305,,0.009177258121643819,0.10882968882714414,1.5197074441149773e-05,0.15234124243071995,,0.014201277818827135,0.03992792815178173,,0.00044437576796529926,0.0018784471429666443,,,,0.0360368115295434,0.00037504604879946997,0.001041165990544758,0.00022019118807067376,0.2521349948357679,0.045443135043311114,0.04057718710582589,,,,Control
3,,0.035062973447832026,0.00012353034159633103,,8.648442271845588e-05,0.009958760377636343,,6.776370926415599e-05,0.0014428132960835082,9.452641934319036e-05,9.716313954802135e-05,0.08705790936300663,,0.055676060993139126,,0.0035368964827602665,0.006638074951672214,0.0032597771892325304,,0.015547948031826792,0.1015155735901358,,,,0.0,0.014309216879597205,0.06500978684622027,0.0013496052368427334,0.008138632420241522,,0.0007087503910585653,2.280762977178791e-05,0.5880189279596624,0.0020296153776686405,2.6499038058551273e-05,,0.00021990246508290305,,Control
4,0.009743745925837223,0.05294896944578014,0.0010089030271751346,0.0002873316916116371,,,0.006208735329214644,0.03986109194553344,0.02946081944647921,0.0041944753288863795,,0.008334746689150678,0.10073407370888682,0.059835203724856206,0.05682713675590363,,0.1862914414669073,,0.017990449159412964,,0.034464605619016424,0.047074069773779995,,,0.00012390925911178849,0.0017390862082206449,,,0.07260829294377803,,,,0.2539967574882024,,0.011922137569469731,,,0.004344017492785808,Control
5,0.010496261279614201,0.0018307456735040112,0.0005371592738299593,0.001053445834474375,0.015940282332667633,,0.00181707404636748,0.0020374898976068183,0.012575914057855823,0.0039788609509942095,8.140358142361922e-05,0.022172143944909396,,0.14724342426043804,,0.01656020191427827,0.07042390810662784,,0.001044574931370519,,0.028680360279727757,0.03229603602129351,,0.0005377854552255255,0.005583242050001002,,,,0.002867493337429951,,0.0009653629848313819,,0.5669665518945745,0.026155909983502208,0.028115127206663235,,3.924070078882158e-05,,Control
6,0.02260515672856203,0.24102267516293302,0.001322759568953914,,,0.003183800421202293,,7.205018126497021e-05,0.21942703856279003,0.01692055072501389,0.0002785940342245515,0.05598871397784759,,0.0318423987620859,,,0.11594049452178455,,0.014123368510514267,0.0018573616940561256,0.01759036191368143,,,,0.0022494986380471762,0.00014921030446362626,0.013694133388084659,,0.011214176368828249,0.00038672040554134363,,,0.22794939971979125,,0.002181536410329155,,,,Control
7,0.0004532258694303894,0.002358449398471806,,,,0.0027284358773678966,,,0.04147137780765203,0.0009811149497642713,,0.010649496280611796,,0.036485388762763,,,0.0329908478037867,,,,0.44033435800182286,,0.012584383301552704,,,0.018313372191162445,0.001235171659298047,,0.009275188718832775,,0.004366788875544804,,0.382834604945348,,0.0029377955565905267,,,,Control
8,0.00566791459870184,0.0026764365903823592,5.803394540946942e-05,,,0.0013111223067421593,,0.057807572580598696,0.061914636919315535,0.0030888415787538336,,0.05179428523360635,0.000748577233121449,0.1760834831448292,,0.00688824512325288,0.14713526145556213,,0.00017865153578141543,0.02111333574568514,0.03401931681104885,,,,0.002042107368258647,0.014373613036729323,,,0.0011740246935448763,1.9917573598720346e-05,,,0.40502638674084096,,0.0068782357842362635,,,,Control
9,,0.007583349706207037,0.009064379620204522,,,,,,0.2576804258710655,0.03267655393042864,0.0005842743276503812,0.03525010717248985,,0.06619867507946313,0.010402748461976332,,0.05471925451967034,,0.06587690520176798,,0.025664959108874116,0.02949429325422122,0.03218405519701262,,0.0002424127632086686,,,,0.043895186415515874,,,,0.26416731468245946,,0.06431510468778427,,,,Control
10,0.023085735599722924,0.054169490979341525,,0.0004594284128126932,,,0.00721247877376708,0.06221924679763217,0.044063098552919254,0.007718583213235502,,0.0061735241184943225,0.00588231527962451,0.13449304671774595,0.021199693673085242,0.011823285389205778,0.14038847672167418,,0.01562283787763694,0.009231733254355846,0.05430022516019584,0.07956765194389129,,0.0012403224693848637,0.0010789184214580847,0.0005971846507745122,,,0.01921038620074905,,,,0.2752574100257627,,0.004820848735389475,0.0013222120471237861,,0.01886186498401656,Control
11,0.0004968142524115841,,0.0041145329766786205,,,,,,0.3469085648794919,0.005660329613904052,,0.009175564583216913,,0.015425175788107455,0.02925426198516937,,0.08359247735499127,,0.0004231145150525649,,0.008461973993165641,0.0028246294189529578,0.24315852402305677,,,,,,0.0034695811978157883,,,,0.24578177075480548,,0.0012526846631795475,,,,Control
