,taxa102106,taxa1263,taxa1301,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa946234,condition
0,0.03449381297264357,,0.0026113257456018084,0.015566943900721034,,0.006609704178131573,0.06520123475822605,0.06645156501504516,0.023145332205918294,0.0013410632894046341,0.036630399407017074,,0.007197911686860995,,,0.05924503680449469,,0.49803403111603184,,0.003155827754653311,0.006553644867380799,,0.0007266947689915189,0.0006190401296423467,,,0.02789096048804821,0.0009610019252220697,,,0.05570426844935273,0.010254286071700897,0.07760591446491127,,,,Control
1,0.01081717599698379,0.03912670147040173,0.00589221885458268,,0.005765069611783921,,0.02563443050512005,0.29371043706554645,0.019379528950340404,0.001857306411772877,0.021204266175238615,0.061231257619248525,0.10996414369784076,0.01760547887057825,0.0012539136946744418,0.06330242064549972,0.0010492239043164745,0.0034149115973050835,,0.013084724749389813,0.0590174156716888,,,0.00026357315470752014,0.011474059828949218,,0.007444323945642675,,,0.003833350157151719,0.19415980556842508,0.008311289817448629,0.020066825069387468,,0.0011361469659753373,,Control
2,0.0015746557870734068,0.003135296368386206,,0.003949232077370679,0.0001777718204371838,0.0003419499450614472,0.0016473662530494928,0.027946531041625897,0.004314681202015703,0.00030738612935107595,0.019859757317755168,,0.12719273426442773,,0.018344007545871083,0.02367157715217973,,0.011376026600649776,0.0004590243330316375,0.03577923964452801,0.05309687046778015,,0.006531718149364789,0.0006907494267728154,0.0013132142420202637,0.0013814988535456308,0.003835635146468911,3.9305802621855104e-05,0.000248690869135598,,0.6304840420022018,0.004006241297795408,0.016986324004369793,,0.0013084722551087796,,Control
3,0.010357456290829724,0.06479313832945012,0.0036902456227981086,,,0.024067217962595373,0.09803430052242679,0.10872093945738752,0.017728159633079322,,0.03183757685307161,0.08131130704776436,0.0867024842110816,0.013028317537717942,,0.11162228007044818,,0.02863528396974281,,0.019070956941673784,0.045385889634898854,,,0.0005525529015569773,0.0010737845124047765,,0.020343693468418765,,,,0.19627940157377124,,0.03667960112336282,8.54123355194358e-05,,,Control
4,,0.0006970747826278779,,,0.0015814533187006453,,0.002857886285163949,0.008698093522528842,0.001963681320912595,,0.017978051970775403,,0.15760287292673647,,0.006359203076674718,0.02593334773874335,7.881196477927386e-05,,,0.01558982884467776,,0.06185295351848798,,,0.012109769224328834,0.002638997584002174,0.008087852278703574,0.0059851971878366874,0.00041892670336871014,,0.6686814186755278,,0.0008845790754233512,,,,Control
5,,0.008442541151924809,0.03412444384843717,,,,0.05501766357108537,0.17364310536603988,0.031149218096974404,0.007102039003007822,0.13920243258719073,,0.008505992615360312,,,0.3223416613464791,,0.006806892001290007,,,,0.09730143085621012,,,,,0.029897877080632098,,,,0.028356942351106047,,0.05810776012426202,,,,Control
6,0.0001584787960182428,0.00029530584001881296,,,0.0003983521412881068,,0.0003542467205113663,0.025610414011570454,0.00046831937697484525,2.1451272832323816e-05,0.047029910893016474,,0.08781559683956593,,0.010726338093310632,0.01535470080586618,2.345606468581203e-05,0.0007450808923488923,,0.026004756569151584,0.009969529168618834,,0.018471951658854995,0.00024368244979149157,0.002579164719512579,0.0012404649593458282,0.0012784557649694302,6.956627731604081e-05,0.0004997946090746102,,0.736080379322657,5.3327463302786326e-05,0.014327244980953474,,,0.00018003030844324102,Control
7,0.004340060775645532,0.058169389865518596,0.0011542020460597326,,0.0003223280548986793,,0.0012431876514958173,0.027170307787937505,0.0029826495474897037,,0.026110856918326226,0.026274903731281746,0.056804690085328256,0.25573897323665445,0.0004491706171706537,0.22913793399791876,,0.0021162909146131993,0.004057112658604875,0.015516892144006991,0.008199947391884123,,,,0.01266119394314799,,0.02029731200376655,,0.001046723099640598,,0.10581215247476802,0.10606464097136599,0.027678439527536472,0.00020005443569310534,0.006265435140698425,0.000185150978547942,Control
8,0.0003056785884321846,0.0005831036986808635,,,,,,0.11776490541296569,0.008107646152637716,5.560524961647408e-05,0.015421089037329864,,0.02977465747166237,0.02846618078699363,,0.008906558333613866,,0.0004809102669532894,,0.007554198587085637,0.006079106532845372,0.017428188074387202,,,,0.0020792355771003363,0.0012252190947024534,,,,0.7266173413036195,,0.02915037583137363,,,,Control
9,0.0016780060345346216,0.024596121399617463,,,,,0.0007659425478050153,0.2113019343138684,0.0011547673311303182,,0.0115396518354275,0.0013226763329064247,0.2435688630154137,0.01833178233400017,0.021983505027243208,0.04269625651812665,,,0.0012482066852497525,0.02503405062310066,0.1910834791742433,,,,0.002717979541984568,0.0016137258292065187,0.0039566471748416175,4.88876435126043e-05,,,0.17430558679534994,0.004201952578985793,0.01547180098935149,,0.0013781762741003345,,Control
10,0.0003136897949374124,0.042722941969700966,0.00018272871130658961,,0.0007284916796755779,0.0003749297970389578,0.0002839509449960145,0.4421373950287438,0.004083364384731283,,0.04409577539810684,,0.003790051209198161,0.00016554626467378192,0.00635398064970135,0.0009343506076032546,1.4869424970698972e-05,0.001627816530681186,0.0017889570398080944,0.01324359103001388,,,,,0.0005405862056014116,0.008738816127224124,0.032650173206772146,,0.0004802273546092409,,0.2232506479489611,0.09550400356513739,0.07578064756455892,,0.00010463669423825204,0.0001078308670097355,Control
11,0.012148810061381816,0.085196824665566,0.0005339578739506288,,,,0.0011358020682495985,0.32572242105551563,0.0076274187672696605,,0.04906384865713958,,0.03797869242220218,,,0.11034520549057254,,0.005644610546632018,0.0014358616336756736,0.012363225300389358,,,,,8.188977656369393e-05,0.006829120288674146,0.004542193529794382,0.00042253907015021234,,,0.3230018945255619,,0.015925684266711045,,,,Control
12,0.0002943770933045588,0.009187850815002705,3.437610562529984e-05,,,,,0.2701748952821685,0.032575568364288564,0.0016489376211592942,0.0217767051891999,,0.025582515278353674,0.0634867856323292,,0.02100207666155487,,0.006452567413419113,,0.0054299036221767865,0.008324087783391191,0.03400222744995919,,,,,0.01859503943669427,,0.00013770723138394446,0.014090654150924897,0.44349232434291697,,0.023711400526147085,,,,Control
13,0.014368064837035092,0.026392848081429193,,,,0.005533668847560608,0.051034976817816186,0.094403184211515,0.005051343557957004,0.00028614261739181,0.02504509576771395,0.055354803979440974,0.117369937630173,0.037564349923600956,,0.13995976505426674,,0.04301413163692619,0.0006770669558285346,0.02812164354967122,0.05634724538839485,,0.0016573627428931388,0.000495808988480701,0.0011987111230737481,,0.029801753601357017,,,,0.22318815369564,,0.04313394099183413,,,,Control
14,0.013444649563324095,0.10519059007668416,0.008944373816439708,,0.0024846986186677664,,0.0923458185244538,0.216719191171337,0.03147692629088238,0.00045569946349776936,0.02974645899327221,0.05534096548753077,0.07713346636293919,0.025916093930375403,,0.08516221980842223,0.0014041172067679488,0.006011227958515112,,0.007850803346197912,0.047685322742921095,,,0.0002481992564846521,0.003825710650324267,0.0021057428415405238,0.012994903418233065,,,0.008522878873242485,0.1099642855016672,0.0075013976767986735,0.04582561431480822,0.0016986441046723266,,,Control
15,0.016913238938825143,0.055074977085828,0.0008634772834511003,,,4.000338326486124e-05,0.05498933154452957,0.03811886218036526,0.001338304675767791,4.585494198711487e-05,0.00962783554566583,0.08519529045275638,0.10390783050268614,0.03086771700372532,0.013583170065978983,0.21681408161647714,,0.004966483867518583,0.0014538463625381082,0.046133901750201205,0.08911509005282894,,0.004001827814160879,0.0014993821285949182,0.006635986766965929,,0.01792374993416997,,,,0.18996287451970667,,0.010693351192999833,,0.00023353038900630424,,Control
16,0.013704936285444568,0.003986448550160841,0.024546449761256205,0.0019517862496255384,0.001893773013988704,0.01593905361516937,0.0020020643871774615,0.08924612518549042,0.058960122143828855,0.009471848607776275,0.030866577403634764,0.006066637427995906,0.07459883295050121,,0.0005013448573034631,0.07447241934751353,,0.042331208280886615,,0.01180331767196974,0.06789813848234502,,0.0014178434789642346,0.002763419041535157,,0.0030649773654454824,0.06766531202998921,,0.002115549326223231,,0.29168502371194316,0.009950872182034705,0.08626601289617654,0.004829905745619808,,,Control
17,0.013919100920247748,0.02330007869303045,,,0.05261204459946612,,0.038214360310780654,0.04583863858784747,0.001088562818173235,3.295231913050503e-05,0.002036329363697949,0.07212270989129455,0.0647375683502375,0.08028992669296929,0.007857320383519543,0.033108403626449213,,0.007342685731769776,,0.03765313789750155,0.023812234173434983,,,0.00032229227488142845,0.003455035166012545,0.009191631061289868,0.0034815829591678424,,,,0.47127291193342935,0.0009913586416785479,0.006173549844876183,,0.0011455837591137954,,Control
18,0.023619480496869343,0.07716401777224367,,,,0.015318187224432579,0.09148749299642622,0.04734636136154299,0.007577389621474537,,0.005462525347640516,0.07228558680771079,0.04850783760477043,0.06367079773511083,,0.20739703251944694,,0.017846500961044506,0.0007179253101762477,0.026304804341492058,0.04886150365968851,,0.000452046469957579,0.002439477690195668,,,0.03296593457513611,,,,0.20013911703892154,,0.009637924412376297,0.000798056053342742,,,Control
19,0.003982851768683245,,,0.000271889992791031,,,0.011581788652917147,0.06304750876262606,0.009097180215937624,0.005275080168706445,0.07605907625763365,,0.0520401589287638,,0.00739488991821549,0.028807909979035987,0.0005624238708020188,0.06393723639617843,,0.00842817546796152,0.014037706222085965,,0.005901411134956872,0.00040167214934995,0.0007526950771856849,0.0012702700463196972,0.010791702228151439,,0.0007401622432322699,0.0002368809194335574,0.39257393336261115,0.1998023748166685,0.042645090857867315,,0.0003599305618852698,,Control
20,,0.0002173575438356929,,,,,,0.06086833336190663,0.014150697955325205,,0.01963115587794251,,0.027844022702634533,0.007045672855441495,,0.019941151046549508,,,,0.04414864569106216,0.03245344633519442,0.036197049050519486,,,,0.0025123444146580402,0.0072575162549455615,0.00015319295524951056,,,0.7032489037630426,,0.024330510191692706,,,,Control
21,0.0009882040869763566,0.017863706568396632,0.001195045347612541,,0.00569291484888553,,0.008553937767212139,0.10816335758141268,0.00868845769528222,0.00013879397260742362,0.012039533562272156,0.0017959985045343109,0.2593085315777658,0.014097261057290644,0.014459992468683623,0.05896573071089957,0.00016286359184404327,0.0021293739784471184,0.0008836024706676821,0.06190526107888581,0.11058145451584299,,,,0.0021333105984157243,0.005843068781973789,0.0010970797478223745,0.001146568684570564,,0.0014169582389856748,0.2602791895871678,0.018167951054541755,0.02056512766571033,0.0016644029227266246,7.232133256610485e-05,,Control
22,0.00017466536554799545,0.004094415231791365,0.007856703157830398,,,,,0.3701165167759202,0.02693115280254425,0.0033250173324510333,0.012898015159860807,,0.01142105049579766,0.03723681415635466,,0.0314219551935775,,0.009492445318153573,,0.004394969192207093,0.00499223164149114,0.3374482240145043,,,,,0.021274059369830442,,,,0.09012186400530352,,0.02679990078683408,,,,Control
23,0.004330285177140207,0.00039314726571848833,,0.0038648791970047262,,0.0006079993603607289,0.00334827214555898,0.06538398184638759,0.059357540929056776,0.006134294531009411,0.005791920770243692,0.18946320433406916,0.10271415916991412,,0.018137578668201343,0.0330705474869627,,0.054590389826144045,,0.025837407417186004,0.07881458937649387,,,,,0.0012152504795958387,0.031095725373273438,,0.004893924527910622,,0.2633883586294061,0.026947904139195077,0.020416828028428455,0.0002018113207385824,,,Control
