"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa102106",-2.94165318218656,4.39150967488076,-0.669850097111863,0.502953354224394,1,FALSE
"2","taxa1263",6.61870965345345,2.4910415632305,2.65700490555846,0.00788382958191424,0.197095739547856,FALSE
"3","taxa1301",11.7948577056554,0,Inf,0,0,TRUE
"4","taxa135858",0,0,Inf,0,0,TRUE
"5","taxa1485",2.30984293801203,4.8586536268443,0.475408027699286,0.634496173709574,1,FALSE
"6","taxa1578",0,0,Inf,0,0,TRUE
"7","taxa1678",-5.75930550298242,4.07361616746103,-1.41380661953039,0.157418689455707,1,FALSE
"8","taxa1730",1.29067145466883,1.77765636928347,0.726052277015197,0.467806723396229,1,FALSE
"9","taxa189330",-4.74411874260043,1.91144452500132,-2.48195471045499,0.0130663881350398,0.326659703375995,FALSE
"10","taxa207244",-1.90739423419927,3.96699114343747,-0.48081635809917,0.630647023095541,1,FALSE
"11","taxa216851",-0.436177979883265,1.92938318858706,-0.22607120372117,0.821146040928092,1,FALSE
"12","taxa2172",5.05925036767154,4.83373695421898,1.04665405163509,0.295259162883224,1,FALSE
"13","taxa239759",-1.37997378109621,3.67346870529841,-0.375659599088407,0.707169976792,1,FALSE
"14","taxa239934",0.845772406399458,5.12001958638652,0.165189291198858,0.868794993858995,1,FALSE
"15","taxa244127",7.88450611588084,0,Inf,0,0,TRUE
"16","taxa283168",-1.09539132206334,3.93797024265694,-0.27816140157633,0.780888463096503,1,FALSE
"17","taxa292632",3.83715654741313,1.71230243076754,2.24093389022004,0.0250303576022095,0.625758940055237,FALSE
"18","taxa29465",1.88579485462957,4.03434710691597,0.467434954071454,0.64018871939433,1,FALSE
"19","taxa33024",7.82953666632336,0,Inf,0,0,TRUE
"20","taxa33042",-2.20880033497621,3.45130543313845,-0.639989817698525,0.522179219171235,1,FALSE
"21","taxa35832",9.63372524391508,0,Inf,0,0,TRUE
"22","taxa375288",-2.44555886422745,2.18124406098814,-1.12117617095978,0.262212880696091,1,FALSE
"23","taxa397864",-2.03163566159271,4.67239709783858,-0.434816566111757,0.663695579308428,1,FALSE
"24","taxa39948",-9.41526956250221,0,Inf,0,0,TRUE
"25","taxa40544",-6.78800912811169,0,Inf,0,0,TRUE
"26","taxa447020",2.42728465085184,3.94765480019955,0.614867503290597,0.538642225317489,1,FALSE
"27","taxa459786",1.63164329426196,3.8349899439862,0.425462209313117,0.670499764771103,1,FALSE
"28","taxa561",3.6084018503431,6.01162246606708,0.600237601531186,0.548347897436563,1,FALSE
"29","taxa570",6.04676180416683,0,Inf,0,0,TRUE
"30","taxa572511",0.304357689651873,1.60571804837413,0.189546159713438,0.849664780520244,1,FALSE
"31","taxa577310",0.908459254761042,4.7403634741999,0.191643374965962,0.848021563887061,1,FALSE
"32","taxa61170",-0.748837731391523,3.89294161653603,-0.19235781194629,0.847461936430992,1,FALSE
"33","taxa724",7.66265900927531,0,Inf,0,0,TRUE
"34","taxa816",-5.41073405701083,3.19792621860405,-1.69195087289184,0.0906553409650905,1,FALSE
"35","taxa838",14.3568710199639,0,Inf,0,0,TRUE
"36","taxa841",-5.58588769435813,1.74256850671401,-3.20554840331158,0.00134805371982344,0.033701342995586,TRUE
"37","taxa84111",0,0,Inf,0,0,TRUE
"38","taxa846",4.25260699228336,0,Inf,0,0,TRUE
"39","taxa904",0,0,Inf,0,0,TRUE
"40","taxa946234",5.45628217029386,0,Inf,0,0,TRUE
