item,value,type
114,taxa1301,-0.15847968452991879,qml_logged_loads_diff
115,taxa1301,0.5241242167798236,qml_diff_pvalue
116,taxa1301,1.482162042146245e-06,mwu_diff_pvalue
117,taxa1301,1.482162042146245e-06,mwu_logged_pvalue
118,taxa1348911,-1.548884441698318,logged_relative_abundance_diff
119,taxa1348911,1.7211155583016815,qml_logged_loads_diff
120,taxa1348911,0.016095680379275525,qml_diff_pvalue
121,taxa1348911,0.022914171535340932,mwu_diff_pvalue
122,taxa1348911,0.022914171535340932,mwu_logged_pvalue
123,taxa1350,-2.3556040659605646,logged_relative_abundance_diff
124,taxa1350,0.914395934039435,qml_logged_loads_diff
125,taxa1350,0.5707503880581739,qml_diff_pvalue
126,taxa1350,0.08897301170181328,mwu_diff_pvalue
127,taxa1350,0.08897301170181328,mwu_logged_pvalue
128,taxa1357,-4.123863497818408,logged_relative_abundance_diff
129,taxa1357,-0.8538634978184083,qml_logged_loads_diff
130,taxa1357,0.43203489200500755,qml_diff_pvalue
131,taxa1357,0.008220971320688577,mwu_diff_pvalue
132,taxa1357,0.008220971320688577,mwu_logged_pvalue
133,taxa1485,0.8650904392421843,logged_relative_abundance_diff
134,taxa1485,4.135090439242184,qml_logged_loads_diff
135,taxa1485,2.6226746432714672e-05,qml_diff_pvalue
136,taxa1485,0.3607653505845012,mwu_diff_pvalue
137,taxa1485,0.3607653505845012,mwu_logged_pvalue
138,taxa1578,-6.756114156991339,logged_relative_abundance_diff
139,taxa1578,-3.4861141569913396,qml_logged_loads_diff
140,taxa1578,0.00037130595894270004,qml_diff_pvalue
141,taxa1578,1.2277876903076576e-06,mwu_diff_pvalue
142,taxa1578,1.2277876903076576e-06,mwu_logged_pvalue
143,taxa1678,-3.9024612304183366,logged_relative_abundance_diff
144,taxa1678,-0.632461230418337,qml_logged_loads_diff
145,taxa1678,0.16035132098380078,qml_diff_pvalue
146,taxa1678,5.080735091372872e-09,mwu_diff_pvalue
147,taxa1678,5.080735091372872e-09,mwu_logged_pvalue
148,taxa1730,-2.869720537653219,logged_relative_abundance_diff
149,taxa1730,0.4002794623467807,qml_logged_loads_diff
150,taxa1730,0.5100857542096671,qml_diff_pvalue
151,taxa1730,5.843897297279456e-11,mwu_diff_pvalue
152,taxa1730,5.843897297279456e-11,mwu_logged_pvalue
153,taxa189330,-3.13448186905908,logged_relative_abundance_diff
154,taxa189330,0.1355181309409197,qml_logged_loads_diff
155,taxa189330,0.7692350572945792,qml_diff_pvalue
156,taxa189330,1.7325669427168694e-12,mwu_diff_pvalue
157,taxa189330,1.7325669427168694e-12,mwu_logged_pvalue
158,taxa207244,-3.338424183044019,logged_relative_abundance_diff
159,taxa207244,-0.06842418304401932,qml_logged_loads_diff
160,taxa207244,0.9633695581448508,qml_diff_pvalue
161,taxa207244,6.1725760545289345e-06,mwu_diff_pvalue
162,taxa207244,6.1725760545289345e-06,mwu_logged_pvalue
163,taxa216851,-2.3763415957635114,logged_relative_abundance_diff
164,taxa216851,0.8936584042364881,qml_logged_loads_diff
165,taxa216851,0.023205381540244638,qml_diff_pvalue
166,taxa216851,1.0114739744419691e-11,mwu_diff_pvalue
167,taxa216851,1.0114739744419691e-11,mwu_logged_pvalue
168,taxa2172,0.10493151763001851,logged_relative_abundance_diff
169,taxa2172,3.374931517630018,qml_logged_loads_diff
170,taxa2172,0.0001529030848371429,qml_diff_pvalue
171,taxa2172,0.8360344433759592,mwu_diff_pvalue
172,taxa2172,0.8360344433759592,mwu_logged_pvalue
173,taxa239759,-6.150200222378413,logged_relative_abundance_diff
174,taxa239759,-2.8802002223784138,qml_logged_loads_diff
175,taxa239759,8.044750402957751e-11,qml_diff_pvalue
176,taxa239759,2.1042944052117055e-18,mwu_diff_pvalue
177,taxa239759,2.1042944052117055e-18,mwu_logged_pvalue
