item,value,type
0,MicrobiotaLoads_ori,-0.021529573727100626,MicrobiotaLoadsFoldChange_ori
1,taxa547,8.363499893502734,TaxaFoldChange
2,taxa1350,-3.628199429895924,TaxaFoldChange
3,taxa61170,-6.044738517446955,TaxaFoldChange
4,taxa713,-2.7960000793066424,TaxaFoldChange
5,taxa577309,-1.6992476871792042,TaxaFoldChange
6,taxa872,7.203635260707777,TaxaFoldChange
7,taxa117563,-1.7062149342168826,TaxaFoldChange
8,taxa1017280,-9.395320666740432,TaxaFoldChange
9,taxa1253,4.078248259983868,TaxaFoldChange
10,taxa33042,-7.3299384993246,TaxaFoldChange
11,taxa946234,-3.988584511701912,TaxaFoldChange
12,taxa561,-5.61920840854367,TaxaFoldChange
13,taxa244127,-5.58089374007912,TaxaFoldChange
14,taxa848,1.4984634203538256,TaxaFoldChange
15,taxa816,7.8629658728821745,TaxaFoldChange
16,taxa216851,-7.665668176574032,TaxaFoldChange
17,changedTaxaCount,17.0,changedTaxaCount
18,totalTaxaCount,58.0,totalTaxaCount
19,MicrobiotaLoads,6.013588830924995,MicrobiotaLoadsFoldChange
20,taxa100883,0.3271868777903057,ranksums_on_loads
21,taxa1017280,0.025347318677468245,ranksums_on_loads
22,taxa102106,0.6133563975597105,ranksums_on_loads
23,taxa117563,0.0832645166635504,ranksums_on_loads
24,taxa1253,0.6547208460185769,ranksums_on_loads
25,taxa1263,0.7361667812883859,ranksums_on_loads
26,taxa1301,0.6206907170753546,ranksums_on_loads
27,taxa1348911,0.2482130789899237,ranksums_on_loads
28,taxa1350,0.4385780260809998,ranksums_on_loads
29,taxa1357,0.1416446902951368,ranksums_on_loads
30,taxa135858,1.0,ranksums_on_loads
31,taxa1485,0.8882745344091312,ranksums_on_loads
32,taxa1578,0.4949079044100178,ranksums_on_loads
33,taxa1678,0.553774875999816,ranksums_on_loads
34,taxa1730,0.2542432999451269,ranksums_on_loads
35,taxa189330,0.7739488662107923,ranksums_on_loads
36,taxa191303,0.22067136191984693,ranksums_on_loads
37,taxa207244,0.8543619603061329,ranksums_on_loads
38,taxa216851,2.7437733725404517e-16,ranksums_on_loads
39,taxa2172,0.8002021171656789,ranksums_on_loads
40,taxa239759,0.2552832396781426,ranksums_on_loads
41,taxa239934,0.8155293715520162,ranksums_on_loads
42,taxa244127,0.00028511808363161265,ranksums_on_loads
43,taxa283168,0.5038220896105987,ranksums_on_loads
44,taxa292632,0.5954139423239262,ranksums_on_loads
45,taxa29465,0.9106076008202096,ranksums_on_loads
46,taxa32207,0.15729920705028516,ranksums_on_loads
47,taxa33024,1.0,ranksums_on_loads
48,taxa33042,5.0407370386823754e-14,ranksums_on_loads
49,taxa35832,0.3972374396492462,ranksums_on_loads
50,taxa375288,0.23712194389910635,ranksums_on_loads
51,taxa397864,0.8622984116059038,ranksums_on_loads
52,taxa39948,0.6274908007735847,ranksums_on_loads
53,taxa40544,0.019845528312516986,ranksums_on_loads
54,taxa447020,0.011589899942379944,ranksums_on_loads
55,taxa459786,0.3169769851551182,ranksums_on_loads
56,taxa46255,0.22067136191984693,ranksums_on_loads
57,taxa547,0.020819004906484046,ranksums_on_loads
58,taxa561,6.882392835774267e-08,ranksums_on_loads
59,taxa570,0.3236781609070164,ranksums_on_loads
