,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa713,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.009124637485255549,,0.01136070441239414,,0.0007069665960356589,,,,0.001659816588815685,0.04083737601780644,0.040309016965021434,0.007960008496038447,5.0690126900504e-05,0.017007107709470733,0.0108538031433891,0.11683193133840905,0.027675047054224654,,0.014148454070339447,0.06927028711654967,,,0.01261261578780802,0.0009140808568683928,0.07946978334583656,0.056970830578979725,,0.01363440020674108,,0.00027480475749128044,,,,,0.02626857743912028,,,,,0.4224301634658115,,0.00852889891818562,,,,0.0004701016881263509,0.010629895834380737,,,Control
1,,,,,0.007160794930159225,,,,,,,,0.03839209852863041,0.0025621734378827375,,0.023917350189382243,,0.03729729526196868,0.005271908200980153,,,0.0790681410722905,,,,,0.03378584455401524,0.012156509036909974,0.12906629401156455,,,0.009727446091013994,,,,,0.0013732362223771563,0.0014105845026211466,,,,0.6138469715785694,,0.004963352381634701,,,,,,,,Control
2,,,0.011081053869470931,,0.15268851606097605,,,,,0.0003042976290441201,,,0.2536638119385456,0.02383640910398812,,0.06974201142061608,,0.002911832905132633,,,,0.3300285132091441,,,0.010518864766433426,,0.0024753697287744226,,,,,,,,0.004632233776627959,,0.014030604552607354,,,,,0.11747912361873973,,0.006607357419899552,,,,,,,,Control
3,,,0.0035765575404992536,0.0012114470366733794,0.06104019795446163,0.07027709117957236,,,,0.0004939491232403062,0.0007752814829539586,0.0035217858558761754,0.10643923142944282,0.009365065660206283,0.003225282520380977,0.12154517280745374,0.0032183663402452736,0.00121312030606105,0.0025877668836785514,,0.0020035727647965537,0.007746233303281415,0.031025760986184814,,0.04328792526420365,0.001494898870944748,0.004165102159789194,,,,0.00010240408652542931,0.0001416701414894284,,,0.00041820579562509196,,0.03185637191022441,,4.305879890938532e-05,0.0016818588371937887,0.06562049402497812,0.04824738417796624,0.2793880206851792,0.09370732465865861,,,0.00010407735591309975,0.00017547018312037075,,0.00029984987427053816,,Control
4,,,,,0.0021165491161896192,,,,,,,,0.06312496647229271,0.009247141838014936,,0.015672351631388182,,0.035355217551784786,0.005056478673976175,,,0.008096891270946309,,,,,0.008533452044769798,0.012039749649110023,0.006687726737375768,,,,,,,,0.006509279268387394,,,,,0.81055484252186,,0.017005353223904236,,,,,,,,Control
5,,,0.009596293878743238,,0.06386089979715012,0.0017022816017189175,,,,,0.0025717543534828735,0.03144554186758604,0.03315879217123119,0.007133414048083741,,0.00605502814944694,0.12230610458027603,0.11317364460613577,0.07663405475230692,,0.012590241694331325,0.15379237283186598,,,0.04802981293183551,0.0023034274045095793,0.03836567560043741,0.1068615628958064,,0.0014023688536802588,0.0016649067655258166,,,,,,0.012314805401516953,,,,,0.1344539419635825,,0.0068719933188417836,,0.00016219460163147253,,,0.013548885930273386,,,Control
6,,,0.0002940052005398029,,0.009176243610096241,3.433267756906413e-05,,,,,,,0.2698335776624916,0.032534414964591266,0.0016468544836299465,0.021749194220159564,,0.02555019634949451,0.06340658144263077,,,0.020975544297002983,,,0.00644441574948286,,0.005423043910886954,0.008313571788464121,0.033959271721874934,,,,,,,,0.01857154793282341,,0.00013753326294628054,,0.014072853131590877,0.4429320511749321,,0.02368144541585329,0.0012633210029395455,,,,,,,Control
7,,0.00011578607456001812,0.0011981476713639088,,0.0459271989360109,0.00039530898622145707,,,,0.013803916386297974,,0.0004090831793489012,0.15009727894439556,0.0037427486122759337,0.0003498437923647059,0.007068853773787153,0.006671266349604766,0.14828902772631156,0.04544572356872153,,0.016677026655031443,0.13636347630807713,,,0.00166760945667747,0.0004554804614623968,0.051124523055617294,0.09436306163236823,,,0.00030313581416562875,0.004586702746076997,,,0.0008397079539647825,,0.004411884415256504,,4.152971010605301e-05,,0.0005392648392075263,0.25824333675996597,,0.0054011407517478216,0.00023498980606143207,,,0.0012329456329490298,,,,Control
8,,,,,0.0045476717789823705,,,,,,,,0.03278070367917448,0.010109837299914276,0.001213862421170146,0.011823826282087026,,0.02471790535322955,0.016657714464739227,,,0.002889642416027477,0.0006072320687529109,,,,0.0109288735188251,0.013587958292232766,,,,,,,,,0.005830430720587405,,,,0.000585971424892363,0.8432593128640133,,0.020459057415371608,,,,,,,,Control
9,,,,,0.0024577509120375174,0.0023325486156813152,,,,,,0.005186790612482022,0.07225355594582823,0.0035325154067238273,,0.03630876882110979,,0.07535799677971874,,,,0.022891547548735534,0.005041630020732967,,0.014091996836713059,0.003470068575262681,0.0466292650954413,0.011293205980204871,0.047461135077640354,,,0.004357698331188161,,,,,0.009767939549821102,0.013836859864680704,,,0.027129598985377874,0.5519806087671031,,0.04461851827351692,,,,,,,,Control
