,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,3,4,0.07894736842105263,0.10526315789473684
1,taxa1017280,0,3,0.0,0.07894736842105263
2,taxa102106,29,30,0.7631578947368421,0.7894736842105263
3,taxa117563,5,0,0.13157894736842105,0.0
4,taxa1253,1,2,0.02631578947368421,0.05263157894736842
5,taxa1263,34,38,0.8947368421052632,1.0
6,taxa1301,24,21,0.631578947368421,0.5526315789473685
7,taxa1348911,6,8,0.15789473684210525,0.21052631578947367
8,taxa1350,3,5,0.07894736842105263,0.13157894736842105
9,taxa1357,3,6,0.07894736842105263,0.15789473684210525
10,taxa135858,0,2,0.0,0.05263157894736842
11,taxa1485,18,10,0.47368421052631576,0.2631578947368421
12,taxa1578,6,11,0.15789473684210525,0.2894736842105263
13,taxa1678,25,26,0.6578947368421053,0.6842105263157895
14,taxa1730,38,38,1.0,1.0
15,taxa189330,38,38,1.0,1.0
16,taxa191303,2,2,0.05263157894736842,0.05263157894736842
17,taxa207244,26,21,0.6842105263157895,0.5526315789473685
18,taxa216851,37,38,0.9736842105263158,1.0
19,taxa2172,16,15,0.42105263157894735,0.39473684210526316
20,taxa239759,36,36,0.9473684210526315,0.9473684210526315
21,taxa239934,23,26,0.6052631578947368,0.6842105263157895
22,taxa244127,6,5,0.15789473684210525,0.13157894736842105
23,taxa283168,19,15,0.5,0.39473684210526316
24,taxa292632,38,38,1.0,1.0
25,taxa29465,19,6,0.5,0.15789473684210525
26,taxa32207,3,2,0.07894736842105263,0.05263157894736842
27,taxa33024,5,3,0.13157894736842105,0.07894736842105263
28,taxa33042,32,32,0.8421052631578947,0.8421052631578947
29,taxa35832,17,13,0.4473684210526316,0.34210526315789475
30,taxa375288,37,38,0.9736842105263158,1.0
31,taxa397864,29,28,0.7631578947368421,0.7368421052631579
32,taxa39948,8,10,0.21052631578947367,0.2631578947368421
33,taxa40544,9,11,0.23684210526315788,0.2894736842105263
34,taxa447020,18,22,0.47368421052631576,0.5789473684210527
35,taxa459786,23,26,0.6052631578947368,0.6842105263157895
36,taxa46255,1,3,0.02631578947368421,0.07894736842105263
37,taxa547,4,2,0.10526315789473684,0.05263157894736842
38,taxa561,21,16,0.5526315789473685,0.42105263157894735
39,taxa570,9,2,0.23684210526315788,0.05263157894736842
40,taxa572511,38,38,1.0,1.0
41,taxa574697,3,0,0.07894736842105263,0.0
42,taxa577309,4,0,0.10526315789473684,0.0
43,taxa577310,12,9,0.3157894736842105,0.23684210526315788
44,taxa61170,11,12,0.2894736842105263,0.3157894736842105
45,taxa644652,0,1,0.0,0.02631578947368421
46,taxa713,3,0,0.07894736842105263,0.0
47,taxa724,21,9,0.5526315789473685,0.23684210526315788
48,taxa816,36,36,0.9473684210526315,0.9473684210526315
49,taxa838,16,10,0.42105263157894735,0.2631578947368421
50,taxa841,38,38,1.0,1.0
51,taxa84111,6,6,0.15789473684210525,0.15789473684210525
52,taxa846,9,5,0.23684210526315788,0.13157894736842105
53,taxa848,5,1,0.13157894736842105,0.02631578947368421
54,taxa872,13,8,0.34210526315789475,0.21052631578947367
55,taxa904,7,13,0.18421052631578946,0.34210526315789475
56,taxa906,5,3,0.13157894736842105,0.07894736842105263
57,taxa946234,6,5,0.15789473684210525,0.13157894736842105
