,taxa102106,taxa1263,taxa1678,taxa1730,taxa189330,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa572511,taxa816,taxa841,condition
0,,0.0012618506273689382,,0.30180484952665965,0.03406610131340703,0.021585100863006433,,0.02704292235990476,0.008497859879246693,,0.017136759868003244,0.010899959598690634,,0.02120682179090676,0.014327444108024572,,,0.015831724680870518,0.45044477887627804,0.07589382650763261,Control
1,0.004905345616861719,0.06574584466962935,0.0014051105301156937,0.03070918982615384,0.003371134101742396,0.029511747451915416,0.029697161057044435,0.06420339528213358,0.2890484986907931,0.0005076742543618919,0.2589827235832335,0.002391933868819629,0.004585544034009871,0.017537938476126398,0.009267975283431991,,0.01431029089771661,0.022940999128506872,0.1195939884679623,0.03128350477944141,Control
2,,0.0019923523222463053,,0.13678464970097926,0.02556595772707612,0.09641351666758924,,0.03266929172156595,0.020332349759226737,,0.046769149173913664,0.0069225360374525835,,0.017986959365090437,0.01886917539990851,,0.003708145516681889,0.008976526488850594,0.5540758673291809,0.028933522790237875,Control
3,0.008022349945579049,0.07371809543925248,0.040209607207105175,0.07173759232780831,0.0040380935296366076,0.009458488536983153,0.030465502965226297,0.13279476930590114,0.03399953230944994,0.012510670546934445,0.16342199028059262,0.03030337161899568,0.0012546837513907492,0.0321092399470557,0.07954738384177719,0.008517837393109823,0.00016843473190305725,0.027853317942049982,0.23657329768028182,0.0032957406989669374,Control
4,0.0052046520006181225,0.01299141203972515,0.010922271283798923,0.016181786095386314,0.0004607460143437804,0.01724947735552717,,0.3693526990928231,,0.023766163320695588,0.02571186275194095,,0.005724426335652913,0.07890684426774554,,0.0033696941692922073,0.031928022430355474,0.0021525525481591343,0.38147839629501284,0.014598993998922862,Control
5,0.020679289537139343,0.5229189590440969,,0.04368796012047117,0.011656590465756372,0.24451770567622055,0.02654870597876109,,,,0.12463600343218452,,,,,,,0.0016418935323479452,,0.003712892213021978,Control
6,0.04921009272845344,0.000693840708881385,0.002814371391508733,0.09653850224411108,0.08588836710504397,0.032730096923471924,0.15828712791193278,0.04495656141497462,,,0.12570906843411664,0.12505567512139815,,0.007599154473561954,0.025387535615291227,,,0.0622346339063008,0.14437114530719075,0.038523826713762574,Control
7,0.00554686555541255,0.007457893892674651,0.026716631936810405,0.06981797156658963,0.0007840533638113956,0.0473099427516247,0.001018129918239241,0.20527330960807752,,0.016790679130203216,0.0994681025387702,0.0028363740858046295,0.014342587803667395,0.06440762353805246,0.015084644122247642,0.020214686290753684,0.0267069737016022,0.06515152468807697,0.27114464411790684,0.039927361389674634,Control
8,0.0016295887649980228,0.03729825069155654,0.01601126874366641,0.2001543906934213,0.008088507799344386,0.056644983410506555,,0.07978091595000471,0.0040544152133349925,0.016424155086768935,0.05686301762829629,0.030319215370932368,0.0002948312818543141,0.07506759826679647,0.05857195655124401,0.0371651834382638,0.0003034096773083364,0.009329822046292492,0.27875802399111677,0.033240465394293185,Control
9,0.0027521671481001834,,0.968315817691766,0.0012557445172509368,3.971984623217043e-06,0.0022178789613832876,,0.0003312305025491106,,,0.008477152076541462,0.010985142426417828,,8.81867575519341e-05,0.00024279110475069552,,,0.0010636652001575042,0.0017270181018834534,0.0025392335270245066,Treat
10,0.0007169683299201326,0.0010494535432314408,0.890151166998234,0.023432900565375725,2.8915555401935035e-06,0.004562170226229683,0.0008701755836332169,0.014657716227146882,0.001325504049628999,0.0015173390005939183,0.007635164989645037,0.0010464637833822272,6.343074496090845e-05,0.00883258772733374,0.006639957649117722,0.005688448638546507,9.660512024777875e-05,0.0010582553962275244,0.02970422082508546,0.0009485790459189849,Treat
11,,0.011575302193843506,0.0260893378998482,0.10274719960027391,1.0883520534035543e-05,0.04500604062116213,,0.025208155158761188,,0.005684382541507738,0.03558975306060542,0.001283938952069777,0.0011858839547931694,0.018964718767750015,,,0.00021606188050213727,0.007607283147610054,0.6837290741081811,0.035101984592557665,Treat
12,0.000545432468713757,0.008348541667032895,0.9415267935549451,0.009645503140612261,1.0346901290336016e-05,0.0020168438245666124,0.004119953266615819,0.006377811538117607,0.003476757998847863,,0.008041558097704125,0.0004709433760890351,,0.00043017395857233626,0.0038572309058820826,,0.00014246507599596493,0.00046866452296422855,0.0033218180397783623,0.00719916166227164,Treat
13,0.000978667007020223,0.004399796958229659,0.880923508866565,0.019004671593282455,4.405722926601768e-06,0.0013259647666673763,0.001825967375081902,0.023652170479662393,0.0018742279936950982,0.0015256688620395413,0.00729772031178664,0.00015149603392598647,0.0001997040953721655,0.0022554251260681005,0.015011378043344403,,0.0009537943277295129,0.0004416772923176091,0.0370185091953803,0.0011552459489049874,Treat
14,0.00025034024702394534,0.0014038902939451066,0.9697345721083162,0.004027028911879311,6.844827918431599e-07,0.0007095451659280287,0.003724628157650928,0.0028233617588272327,0.0011398669939258524,,0.005552994981996029,0.0006097222754468043,,0.0008208624247004038,0.0013632335887682001,1.963778482834808e-05,2.629440520444454e-05,0.0009512514291534996,0.006168845574614478,0.0006732394149992167,Treat
15,0.0003895804619548046,0.0017518706830938354,0.935302114341715,0.009789820743140889,3.869859194568613e-06,0.0019827702838119054,0.001856053547015895,0.011437537600808635,0.002272523656240389,0.0007999597466492579,0.006114846625832765,0.002651301797693762,,0.0022773004888277147,0.006004224475429008,0.0002439887027772627,7.614619606149274e-05,0.0020384370805894367,0.013363515846124113,0.0016441378630392492,Treat
16,0.00010353482606971348,0.0006886198329783693,0.9050960286372774,0.006760015580759011,6.38674472473187e-06,0.0013760918979155822,,0.007607150378564295,0.00677056069963714,,0.0051462332190345675,0.0004644463874399174,0.0005542694845893817,0.01557285529484285,0.0011487210985481932,0.002445924439492118,,0.0006290998617012344,0.04442333724008297,0.0012067243763423708,Treat
17,0.004572364934971214,0.08936930538230672,0.5039008495491449,0.19494103339455487,2.8246728683413953e-05,0.031187467584206815,,0.01009630319785109,,,0.036776375623134634,0.004267162915008374,0.00017463875801688374,0.003803954399696926,,,0.00014984629147698686,0.0044087970267929,0.10499063833527529,0.011333015878878987,Treat
