,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa574697,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
0,,5.263576364743817e-05,0.01328411502157005,,0.012543476282031915,0.002416799880948207,,,,0.0009821974936283949,,0.12391024521294905,0.0565543497599011,0.010283068266968997,,,0.024450575068449224,0.003947581245220729,0.2042560611698293,,0.001619181159265819,0.009958161134742197,0.056067999344932264,4.09164765397552e-05,,0.0007717554673757778,0.024791949819629056,0.08192397961126924,,,,0.0035530655887077794,0.01506120347177819,,,0.0009674473564066562,,0.01044137967125985,,1.919538405568763e-05,,,0.3356787735321517,,0.005741036286044764,0.0004161357206598806,,,0.00013578208510970618,,,0.00013093272492721662,Control
1,,,0.03405402203287549,,,0.0025780317341624363,,0.015368467701732981,0.0028681807299250923,,0.006525431441615176,0.06436992879819486,0.06560431753184567,0.022850232693140224,,0.0013239649336849147,0.0361633673107954,,0.007106139392866045,,,,0.05848967147467433,,,0.49168417194694797,,0.0031155914242984766,0.006470086878665041,,0.0007174295197239826,0.0006111474608734438,,0.009503686357852204,0.0003779828669631496,,,0.027535354926732005,,0.000948749294869272,,,0.05499404738478492,0.010123545462893728,0.07661645069988325,,,,,,,,Control
2,,,0.02328750521181477,,0.07607946611162217,,,,,,0.01510288784174614,0.09020162277711964,0.04668090126341008,0.00747088829178221,,,0.005385748747509911,0.0712696022144422,0.04782605278658364,0.06277589527395946,,,0.20448203661175787,,,0.017595665755564233,0.0007078347639627,0.025935086433397973,0.04817474801289222,,0.00044569289009192657,0.0024051904711480557,,,,,,0.032502593498302444,,,,,0.1973261322047135,,0.0095024619620249,,0.0007868392577052131,,,0.014055147618448829,,,Control
3,,,0.008253754116061355,,0.02713391325824695,0.002088497451758908,,,,,,0.06874604439699752,0.015813373533227874,0.002691638048209001,,6.95658037663434e-05,0.0030426153004958364,0.2556396032332155,0.08083221418711799,0.06645088065229772,,,0.12852612302565142,,,0.02308010568315041,,0.04358353461716264,0.031404542718075086,,,0.002076107629774245,,,,,,0.02166604108221236,,,,,0.20969875264959387,,0.004919876443008038,,0.00304941954699561,,0.0006959627054171553,0.000537433917564218,,,Control
4,,,,,0.015436698171856767,6.721725948064642e-05,,,,0.007101861886920414,,,0.0038190208014042683,0.0018727331057158151,,,0.05070737075170297,,0.0006416287396483343,,0.00014118741210849845,0.0019562611994135577,0.004144094688444367,1.0492957044119456e-05,,0.0002691807099139952,6.846394744628438e-05,0.010162896405216806,,,,,0.0001454469293244281,,0.00010160506919949336,0.04189152069335797,0.0026321738581169363,0.0017812054309052283,,0.00012466879656379554,0.00017692580045678647,7.895690449040383e-05,0.027891630401898956,0.805918318666742,0.022413164027566764,,,,,,,0.00044527538506035634,Control
5,,,0.0005838571812583697,,0.019715712313981584,,,,0.00021866386513865016,,,0.0025074415587938628,0.031446597105252126,0.00010953744372077118,,,0.035553429200175256,,0.2907222401701961,0.09695132427275767,0.0007777569526477645,0.007224539017936192,0.260893324093552,0.0018486755628333907,,,0.004687709364485536,0.12247745337157485,0.009851279800144516,,,0.0009219230253872037,0.006535871149440312,,,,,0.0025694031709548623,,0.00024404449234224345,,0.0009863507713655556,0.07714806420826006,,0.012065662456976241,,0.007278896717493684,,0.006680242733331197,,,,Control
6,,,,,0.0021118656866643097,,,,,,,,0.1061551265346755,0.014263881558456128,,0.0005197791489442676,0.005829238027803678,,0.03276671730924657,0.01295752332746788,,0.0006589878227462966,0.03225144491592898,,,0.004151022382551444,,0.011642652335851442,0.013093226746893595,0.22308039751587633,,,,,,,,0.008385770269634184,,,,0.0033955899893941027,0.5143299806409809,,0.014406795786884544,,,,,,,,Control
7,,,0.0025618183953160516,,0.061027374694993385,,,,,,,,0.14970881818621481,0.0030160658615410517,,,0.03189586576245272,,0.023193881683427578,,,,0.08580339858685522,,,0.0019283557140322893,0.0004803977426758277,0.03912788121272261,,,,,0.0007779454828325455,,,0.0034292200362004647,,0.002882083557099936,,0.00032793860197795046,,0.001443919318622743,0.5879359586797362,0.001946529651334023,0.0025125468319646847,,,,,,,,Control
8,,,4.1985813651176395e-05,2.9035972332259334e-05,0.029163649674013036,0.0011378661352645324,0.00094220212658652,,,0.047468756231478816,,,0.055585271619380684,0.002661394732308063,,0.000230466707222602,0.09644343736945826,0.00014689976246146533,0.048624630739827465,0.011581811988335834,,0.00803679292728229,0.0710408060628729,0.0007919637331600213,3.5915575532934025e-05,0.005992842582234781,0.006158560082862797,0.02022309946155976,,,,0.00014851849262633002,0.0017829301059630882,,,0.0030133673725308173,,0.011419534289308154,6.727847247718627e-05,0.0010996236351196057,0.00026779867164979256,0.0011720618099972974,0.5131465676192658,,0.060253082391038465,,0.0009428091503983439,,0.00025747926684878056,,,9.155942495015576e-05,Control
9,,,,,0.006485487651885584,,,,,,,,0.135195978264289,0.004987796254659435,,0.0009919487941625602,0.015303522705618734,,0.05653967865307361,0.031457730918886616,,,0.011642499290177034,,,0.0025450434519858115,,0.022033966907522243,0.058296052182056926,0.0081120191813502,,,,,,,,0.008948077426707899,,,,,0.6039035554466415,,0.033556642870982936,,,,,,,,Control
