"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa102106",0.273534304493856,1.32702644713679,0.206125737044681,0.836692695173779,1,FALSE
"2","taxa1263",-0.878384931223728,1.12799935223924,-0.778710492590272,0.436150273837885,1,FALSE
"3","taxa1301",-0.186339641108063,1.48836097698087,-0.125197881421247,0.900366894430109,1,FALSE
"4","taxa1348911",-8.71830724770384,0,Inf,0,0,TRUE
"5","taxa1485",0.717734924746088,1.46234658836141,0.490810407367467,0.623560548440184,1,FALSE
"6","taxa1578",-2.66322695164434,1.25888099751891,-2.11555099877844,0.034383013141005,1,FALSE
"7","taxa1678",5.02094889861614,1.49332738687932,3.36225595454233,0.00077308428207502,0.0293772027188508,TRUE
"8","taxa1730",-0.41645834424871,0.596311620731781,-0.698390455208035,0.484933043863993,1,FALSE
"9","taxa189330",-0.59907930932938,0.753920325013038,-0.794618860181306,0.426835244012383,1,FALSE
"10","taxa207244",1.47112404261165,1.48313393302113,0.99190235612436,0.321245159664955,1,FALSE
"11","taxa216851",0.0800203491184952,0.610897060158178,0.13098827009869,0.895784586556941,1,FALSE
"12","taxa2172",-1.04061608169869,1.70019834604513,-0.612055695807076,0.540500908710711,1,FALSE
"13","taxa239759",-0.350053365391464,0.963766293376383,-0.363213953213817,0.716445065209261,1,FALSE
"14","taxa239934",1.3885068839559,1.76080367847106,0.788564279444013,0.430366715381534,1,FALSE
"15","taxa244127",1.22903130804649,1.10937795521023,1.10785625608866,0.267923899980016,1,FALSE
"16","taxa283168",0.15378263930733,1.50151846122598,0.102418080948381,0.918424832615512,1,FALSE
"17","taxa292632",-0.0585969990431678,0.520191028419337,-0.112645155033184,0.910311884313794,1,FALSE
"18","taxa29465",2.12428287705451,1.38181967739091,1.53730831295259,0.124217826743264,1,FALSE
"19","taxa33042",-1.41472189217708,1.2297769046492,-1.15038905579434,0.249983665722911,1,FALSE
"20","taxa35832",0.212865801422108,1.49523831021592,0.142362458189938,0.886793714330129,1,FALSE
"21","taxa375288",0.530628396247373,0.659509185855213,0.804580751304146,0.42106165351565,1,FALSE
"22","taxa397864",-3.35583835630309,1.43998082224539,-2.33047433997785,0.0197810946910618,0.751681598260348,FALSE
"23","taxa39948",-2.31096949412133,1.6289619148246,-1.41867619684047,0.155993439912242,1,FALSE
"24","taxa40544",0.904714820247864,1.44734617285391,0.625085302477378,0.531915073702667,1,FALSE
"25","taxa447020",4.31193636275013,1.62298829245978,2.6567883346928,0.00788889570907527,0.29977803694486,FALSE
"26","taxa459786",1.53804678271122,1.405570918314,1.09425057296726,0.273845096575862,1,FALSE
"27","taxa561",-1.2284893931989,1.58889003105203,-0.773174586780873,0.439419063984734,1,FALSE
"28","taxa572511",-0.121564047786272,0.49766557175832,-0.244268550377656,0.807022838987749,1,FALSE
"29","taxa577310",1.88055390440123,1.40710762372144,1.33646771057046,0.181396447634205,1,FALSE
"30","taxa61170",-0.192060058173254,1.3007780010167,-0.147650143239768,0.882618880173261,1,FALSE
"31","taxa724",1.61038965644142,1.51010044160416,1.06641228098094,0.286237312522135,1,FALSE
"32","taxa816",0.762528283851982,0.875800920232139,0.870663944552452,0.383937670704597,1,FALSE
"33","taxa838",0.572705437929914,1.68894197877069,0.339091244772519,0.73454099379864,1,FALSE
"34","taxa841",-0.0438122497737865,0.54527977136076,-0.0803482030232882,0.935960321640168,1,FALSE
"35","taxa84111",0.0265398794106004,1.13644461762186,0.0233534296340266,0.981368352631555,1,FALSE
"36","taxa846",-0.446886797366735,1.16414095423855,-0.383876879977167,0.701069703061739,1,FALSE
"37","taxa872",0.0203880719693403,1.23657005662294,0.0164875995986997,0.986845394831572,1,FALSE
"38","taxa904",-0.0988601859858953,1.37615359769701,-0.0718380463862009,0.942730794386359,1,FALSE
"39","taxa946234",0.546462166014675,1.09932063618149,0.497090792284973,0.619125027462179,1,FALSE
