taxaId,microbiota_loads_foldChange,logged_relative_abundance_diff,qml_logged_loads_diff,ranksums_on_loads,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,ancomP,qml_diff_qvalue,ANCOM_BC_diff_qval,ANCOM_BC_diff,DR_inferred_foldchange
0,taxa1017280,0.0,-3.2426498342961234,0.217350165703877,0.12482245661031345,0.0010329755096068162,0.0010329755096068162,1.0,0.0,1.0,,,0.22158973185452924
1,taxa102106,1.1037828459245151,-3.021825352856201,0.4381746471438,0.0015609800642214526,4.6190449469752006e-07,4.6190449469752006e-07,0.3705727756608277,0.0,0.6624666476251886,1.0,-0.9606110532358904,0.11123941256648373
2,taxa1263,-0.245623243368474,-3.4881540494354555,-0.02815404943545463,0.2640398289381373,2.143250021101939e-10,2.143250021101939e-10,0.8659281966657288,1.0,0.950408996340434,1.0,-2.7587620310035943,-1.5121514416004085
3,taxa1301,0.0,-3.653996050944389,-0.19399605094438852,0.12919877789920506,0.0011733937730744515,0.0011733937730744515,0.7254235474231112,0.0,0.8161014908510001,1.0,1.5548241884671208,-0.21318275349195276
4,taxa1348911,0.0,-2.33366032284216,1.126339677157841,0.11046513041143856,0.013971191653540695,0.013971191653540695,0.25488855203843164,0.0,0.5213629473513375,1.0,0.6284932052234866,0.12210588376173205
5,taxa135858,0.0,-3.856144982081634,-0.3961449820816334,0.3981027163512083,0.002764671934543766,0.002764671934543766,0.5974062696275562,0.0,0.7359162289732148,1.0,1.090280085033148,-0.021100398857024368
6,taxa1485,0.0,-2.785081250935312,0.6749187490646893,0.04538293834242435,0.011807288243607677,0.011807288243607677,0.6363669624557315,0.0,0.7359162289732148,1.0,0.249069470081446,0.007702778526345511
7,taxa1578,0.0,-4.873466830115404,-1.4134668301154028,0.8473896596867143,0.014137969455911484,0.014137969455911484,0.4704864220587897,0.0,0.6624666476251886,1.0,-0.04511575609087135,0.10246495445970455
8,taxa1678,0.0,-4.1922341704108765,-0.7322341704108766,0.3716284888018343,7.149794778490184e-08,7.149794778490184e-08,0.5981088726291092,1.0,0.7359162289732148,1.0,-2.0911658676387046,-0.1750908750959646
9,taxa1730,0.0,-3.7000540950662457,-0.2400540950662449,0.8950654958662406,7.104264855269741e-13,7.104264855269741e-13,0.4749527325822534,1.0,0.6624666476251886,1.0,0.4719110084649234,-2.4397675582357556
10,taxa189330,0.0,-3.5809222308586426,-0.12092223085864172,0.4143710730572939,1.5633697117780752e-12,1.5633697117780752e-12,0.3859443677586111,1.0,0.6624666476251886,1.0,-0.3627673382467849,-0.6772421429560309
11,taxa207244,0.0,-3.189484401313456,0.2705155986865453,0.02687924469707248,0.0002850937688431303,0.0002850937688431303,0.4005631908703319,0.0,0.6624666476251886,1.0,0.7511848569797867,0.11398324527618056
12,taxa216851,0.0,-3.952388605301281,-0.4923886053012802,0.8625279265868939,2.1901872744560128e-09,2.1901872744560128e-09,0.2343153343151688,1.0,0.5021042878182189,1.0,2.3267009633802083,-1.4300266301257016
13,taxa2172,0.0,-2.8554001069673753,0.604599893032626,0.3965366901532017,0.0024793513162138874,0.0024793513162138874,0.21405256058767785,0.0,0.5021042878182189,1.0,-0.3467762322933755,-0.03636056995290091
14,taxa239759,0.0,-3.7942908167043865,-0.3342908167043852,0.8696968297333533,5.269120052696688e-10,5.269120052696688e-10,0.2343153343151688,1.0,0.5021042878182189,1.0,2.4643945076175364,-1.3807879111923542
15,taxa239934,0.0,-4.798079748689713,-1.3380797486897125,0.5094310833845379,1.223652996559216e-05,1.223652996559216e-05,0.15086142558629534,0.0,0.45258427675888596,1.0,-0.387292589366396,-0.44939049800381187
16,taxa244127,3.918064216991686,-0.4185805525714379,3.0414194474285634,8.238009354569592e-06,0.6058007953177948,0.6058007953177948,0.00011326912934846399,1.0,0.0007281586886686973,1.0,-2.9444894470653367,0.21137980980340765
17,taxa283168,7.031395386783887,2.7532819300051705,6.213281930005173,9.728889096142723e-14,3.840132676827152e-09,3.840132676827152e-09,1.0127435974081954e-13,1.0,2.1806784096857537e-12,1.0,3.94404822494938,2.615415840755167
18,taxa292632,2.3861023353156074,-0.7357642392870405,2.7242357607129604,2.5744015491871773e-10,0.008855038479831889,0.008855038479831889,1.211516987525165e-10,0.0,1.3629566109658111e-09,0.0516662189630732,5.296818494739386,0.5133234510586528
19,taxa29465,0.0,-3.4716779614162245,-0.01167796141622368,0.06033905743269007,0.002125245696138811,0.002125245696138811,0.9365638916667738,0.0,0.9578494346592004,1.0,-0.9889554677171464,0.1729881978937128
20,taxa33024,0.0,-3.2860635082345397,0.17393649176546155,0.242908260904324,0.0002801503699595396,0.0002801503699595396,0.46747163209637393,0.0,0.6624666476251886,1.0,-2.0058020920529316,-0.862720616397346
21,taxa33042,0.0,-4.203880220973439,-0.7438802209734376,0.7595029920292983,4.683649117658638e-10,4.683649117658638e-10,0.171210669945561,1.0,0.4532047145617791,1.0,1.5022834626221566,-0.8557689916581459
22,taxa35832,-2.087716587232549,-6.350465384490531,-2.8904653844905286,0.06356030411185562,9.526002607574445e-08,9.526002607574445e-08,7.677223792630804e-05,0.0,0.0005757917844473104,1.0,-1.18748762055856,0.17720133213430853
23,taxa375288,5.571210060506008,2.0621238287760906,5.522123828776091,2.1068709111519115e-16,3.120066564542261e-07,3.120066564542261e-07,2.8356763519063955e-16,1.0,1.2760543583578779e-14,0.120067551827294,5.398808168572844,3.4135013320840315
