,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,6,11,0.06521739130434782,0.11956521739130435
1,taxa1017280,19,12,0.20652173913043478,0.13043478260869565
2,taxa102106,47,41,0.5108695652173914,0.44565217391304346
3,taxa117563,7,6,0.07608695652173914,0.06521739130434782
4,taxa1263,78,82,0.8478260869565217,0.8913043478260869
5,taxa1301,46,51,0.5,0.5543478260869565
6,taxa133925,6,6,0.06521739130434782,0.06521739130434782
7,taxa1348911,40,43,0.43478260869565216,0.4673913043478261
8,taxa1350,7,8,0.07608695652173914,0.08695652173913043
9,taxa1357,7,10,0.07608695652173914,0.10869565217391304
10,taxa135858,19,19,0.20652173913043478,0.20652173913043478
11,taxa1485,51,44,0.5543478260869565,0.4782608695652174
12,taxa1578,19,19,0.20652173913043478,0.20652173913043478
13,taxa158846,6,6,0.06521739130434782,0.06521739130434782
14,taxa1678,50,49,0.5434782608695652,0.532608695652174
15,taxa1730,88,90,0.9565217391304348,0.9782608695652174
16,taxa189330,88,85,0.9565217391304348,0.9239130434782609
17,taxa191303,9,7,0.09782608695652174,0.07608695652173914
18,taxa207244,56,48,0.6086956521739131,0.5217391304347826
19,taxa216851,75,78,0.8152173913043478,0.8478260869565217
20,taxa2172,28,34,0.30434782608695654,0.3695652173913043
21,taxa2316,3,1,0.03260869565217391,0.010869565217391304
22,taxa239759,75,74,0.8152173913043478,0.8043478260869565
23,taxa239934,40,40,0.43478260869565216,0.43478260869565216
24,taxa244127,32,25,0.34782608695652173,0.2717391304347826
25,taxa283168,68,68,0.7391304347826086,0.7391304347826086
26,taxa292632,90,87,0.9782608695652174,0.9456521739130435
27,taxa29465,43,41,0.4673913043478261,0.44565217391304346
28,taxa29521,2,7,0.021739130434782608,0.07608695652173914
29,taxa32207,6,2,0.06521739130434782,0.021739130434782608
30,taxa33024,22,22,0.2391304347826087,0.2391304347826087
31,taxa33042,80,74,0.8695652173913043,0.8043478260869565
32,taxa35832,40,37,0.43478260869565216,0.40217391304347827
33,taxa375288,82,83,0.8913043478260869,0.9021739130434783
34,taxa397864,63,69,0.6847826086956522,0.75
35,taxa39948,35,43,0.3804347826086957,0.4673913043478261
36,taxa40544,40,33,0.43478260869565216,0.358695652173913
37,taxa447020,25,12,0.2717391304347826,0.13043478260869565
38,taxa459786,48,40,0.5217391304347826,0.43478260869565216
39,taxa52225,16,18,0.17391304347826086,0.1956521739130435
40,taxa561,47,41,0.5108695652173914,0.44565217391304346
41,taxa570,7,2,0.07608695652173914,0.021739130434782608
42,taxa572511,78,87,0.8478260869565217,0.9456521739130435
43,taxa577309,37,39,0.40217391304347827,0.42391304347826086
44,taxa577310,27,29,0.29347826086956524,0.31521739130434784
45,taxa61170,36,26,0.391304347826087,0.2826086956521739
46,taxa644652,7,5,0.07608695652173914,0.05434782608695652
47,taxa674963,4,3,0.043478260869565216,0.03260869565217391
48,taxa724,32,31,0.34782608695652173,0.33695652173913043
49,taxa816,89,92,0.967391304347826,1.0
50,taxa830,30,25,0.32608695652173914,0.2717391304347826
51,taxa836,4,4,0.043478260869565216,0.043478260869565216
52,taxa838,38,38,0.41304347826086957,0.41304347826086957
53,taxa841,90,92,0.9782608695652174,1.0
54,taxa84108,3,5,0.03260869565217391,0.05434782608695652
55,taxa84111,14,7,0.15217391304347827,0.07608695652173914
56,taxa846,14,11,0.15217391304347827,0.11956521739130435
57,taxa872,22,14,0.2391304347826087,0.15217391304347827
58,taxa904,11,12,0.11956521739130435,0.13043478260869565
59,taxa906,10,16,0.10869565217391304,0.17391304347826086
60,taxa946234,22,13,0.2391304347826087,0.14130434782608695
