,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,,,,0.01912614043232404,0.12716348951761666,,,0.05249337165232867,0.03998481684787194,,,0.011951886831043363,0.013748893065173814,,,,,0.2067638474091171,,,0.012616175239118836,,0.0028388332475940206,,,,,,0.00634929961539211,,0.012058793196470744,0.003922892355797033,,,0.001984704432972412,0.005073869952282833,0.21233460753887778,0.2555868011850694,0.0020442782091266007,,,0.013957299271822796,,Control
1,,,,,0.010543936791836888,,,,,,0.19986023404605927,0.01822524332304298,,0.004236476881942855,0.0007647650940298051,,0.012667943250746955,,,0.011479519885003713,0.03970576546731052,,,0.0014718500086731941,,0.030833813031338968,0.02566725648618908,,,,,,0.024634093346427268,0.005311233251977821,0.005527031207517091,,,,0.17918109597209247,0.4110183747884486,,0.018871367167362374,,,,,Control
2,,,0.03607901895415662,0.0005113198336935276,,,,0.007524862825701979,,,0.09777473648861124,0.004511699173902688,,0.0013163550587921658,0.0018913368432761186,,0.003686624097839816,,,0.008823303472268541,0.001401372608337408,0.004392472181802337,,,5.698200046901348e-05,0.00015029888223176734,,0.07517605970580081,,,,,0.00038288260705910836,0.001807230196047433,,3.927001098042136e-05,0.00022468923808385426,0.00012408513778865103,0.7341396978010717,,,0.019985702882084806,,,,,Control
3,,0.001890433441820516,0.015622948306641085,,5.81217690760023e-05,,,0.0356516488565687,,0.0003156490471185345,0.12423197324322119,0.008150992823641045,,,0.025411936765958192,0.007298302701837768,0.05133638335205242,0.07701745139198073,0.002221045536319387,0.003529955919065996,0.2559495417541292,,,0.0028511221573009186,,0.0333830676527213,0.039108519959178356,,0.002002401823578139,,0.00095844934784525,,0.014859120364178177,0.006279492217281363,0.007016753116436326,,,,0.10328370691074958,0.11403776103137943,0.012751570051185834,0.05457430537360693,0.00020734508512752488,,,,Control
4,4.025396704366146e-05,0.0014778377069555814,0.00955854275366742,0.00037496012626564245,0.00013242237017385857,,,0.004749663925003107,,0.009776035850162769,0.005001834242478136,0.0018725699329026188,,0.004086031143389092,0.04928515241044201,,0.008038828753540473,0.0001608130774086828,,0.007934290113686533,0.07512890902015355,0.00015047074834456827,0.03985730830543777,0.0011562115521382159,0.0046542508696175025,0.062189134430201555,0.010830750623936488,,0.020746914893379716,,0.006105421590848944,,0.000570957401568911,0.0036045044696098776,,6.377769589537294e-05,0.00044441596360798017,,0.6039433475604575,,0.0,0.06786839122637918,1.5006516681264218e-05,,,0.00018099075862200429,Control
5,,,0.11354169482784078,,,,0.06296096809278319,,,,0.0792657160147485,0.03569249453586573,,,,0.034671205728034796,0.005229660007112215,0.003267874633731437,,0.010011999259664396,0.13290271865375378,,,0.0065513462254321924,,0.023598717306176607,0.024455094278411936,,,,,,,0.0018035282398520998,,,,,0.4454428808205248,,0.0024380124900439414,0.01816608888602367,,,,,Control
6,,,0.06432635959573083,,0.008614379137834109,,,,,,0.057492386587452135,0.018044293277144397,,,,,0.0009245291412717737,,,,0.005375696126764837,,,0.010325728683455944,,0.032204431754300114,,0.08479642968361367,,,,,,0.008717913459866295,,,,,0.6982712599237244,,,0.010906592628841591,,,,,Control
7,,,,,0.005248501334125008,,,,,,0.10786051778100894,0.022336220379642887,,,0.0016043321665937524,,0.0014844952658682898,,,0.004328638294758482,0.021091503302769703,,,0.004706938754888338,,0.04657406865172108,,0.042608907785818065,,,,,,0.012025027540043844,0.005794656965305861,,,,0.6376784544213188,,0.04962792625688084,0.03702981109925617,,,,,Control
8,,0.001840669653744765,0.0013436441076513429,6.045045892406922e-05,0.0001266234225655633,,,,,0.0009073811571029391,0.11550927794892113,0.0042791849821499466,,0.00046414715535330963,0.038724085377273294,0.003990874789932054,0.042073727502232816,0.02199012899149906,,0.005311420787633064,0.04741292844913046,,0.09374846532828032,0.012032762692099278,,0.09352809687388933,0.013817976072855183,,0.005004798580319412,,,,,0.01472931096049016,0.005788261498905025,,,,0.20434960300383637,,0.2172866254868291,0.05519865623103771,0.00048089848734431665,,,,Control
9,,,0.08320548446409079,0.0011628559694148082,,,,,,,0.17312500328119632,0.0018819932389183397,,0.0014203036792609415,0.012429979270916162,,0.009749696211702382,,,0.006595911286144143,0.21854079849577848,,,0.08020142304978818,,0.03923896841611304,0.06783353410889373,,,,,,,0.000567697440182277,0.01918853693375133,,,0.001037867630281666,0.2567420002414961,,,0.02707794628207142,,,,,Control
