"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa1017280",-1.55072817796673,0.88920593675738,-1.74394717113753,0.0811683021824093,1,FALSE
"2","taxa102106",-2.66821574058773,1.22889384606123,-2.17123370675157,0.029913510622205,1,FALSE
"3","taxa1263",0.110526189818867,1.1320866687627,0.097630502035383,0.922225703079354,1,FALSE
"4","taxa1301",3.0004333391457,1.61722279046328,1.85529993569171,0.0635534074009541,1,FALSE
"5","taxa1348911",3.1580113439326,1.77164846022659,1.78252707285321,0.0746633203969637,1,FALSE
"6","taxa135858",-7.68070052721292,0,Inf,0,0,TRUE
"7","taxa1485",-2.273751294744,1.6089655844821,-1.4131758420898,0.157604027796777,1,FALSE
"8","taxa1578",-0.491239569549651,1.35637360798266,-0.362171282793001,0.717224037951037,1,FALSE
"9","taxa1678",-3.88173228136556,1.14658804615318,-3.3854637630218,0.000710580907950515,0.0277126554100701,TRUE
"10","taxa1730",0.00967425463709759,0.850872548574884,0.0113698046238545,0.990928403882956,1,FALSE
"11","taxa189330",-6.37550966142117,0.886092478266582,-7.19508382905277,6.24224015578322e-13,2.43447366075545e-11,TRUE
"12","taxa207244",0.251793745189534,1.36613349743454,0.184311229951083,0.853769304619552,1,FALSE
"13","taxa216851",-1.84382918165595,1.01957452953712,-1.80843001491322,0.070539599990248,1,FALSE
"14","taxa2172",0.538968779869714,1.68143383382064,0.320541176838961,0.748558121009728,1,FALSE
"15","taxa239759",-1.97283257786891,1.21110075950389,-1.62895825338022,0.103321856773698,1,FALSE
"16","taxa239934",2.30880766163954,1.48596304332907,1.55374500866927,0.120245252421874,1,FALSE
"17","taxa244127",-3.44728550492329,1.14791789711889,-3.00307671269476,0.00267265052888379,0.104233370626468,FALSE
"18","taxa283168",-4.27671040520246,1.11757784871562,-3.82676733447919,0.000129837129493685,0.00506364805025371,TRUE
"19","taxa292632",2.60348910174887,1.02529177465427,2.53926654451779,0.0111085155392637,0.433232106031285,FALSE
"20","taxa29465",1.57235968738437,1.31723814801726,1.19367913065009,0.232603507022962,1,FALSE
"21","taxa33024",1.24346961818349,1.85860291689851,0.669034578003619,0.503473420867673,1,FALSE
"22","taxa33042",-0.892654374334663,1.18291848141745,-0.754620363412553,0.450476801773874,1,FALSE
"23","taxa35832",-3.2037815237699,1.19263241317884,-2.6863109608354,0.0072245816746915,0.281758685312969,FALSE
"24","taxa375288",-0.744395196714727,1.16359138247577,-0.63973935173951,0.52234206734567,1,FALSE
"25","taxa397864",-0.249856457325308,1.59049939699976,-0.157093085226329,0.875171487111553,1,FALSE
"26","taxa39948",4.83397845098479,2.01297159865686,2.40141413530635,0.0163318414386881,0.636941816108836,FALSE
"27","taxa40544",-1.4711199158553,1.50021843015159,-0.980603814943571,0.326788152324045,1,FALSE
"28","taxa447020",-0.74674217883561,1.17552722614947,-0.635240224321832,0.525271752620609,1,FALSE
"29","taxa459786",-2.51448238174455,1.24620786689717,-2.01770703631101,0.0436217815918718,1,FALSE
"30","taxa52225",-7.77778877018859,0,Inf,0,0,TRUE
"31","taxa561",1.077046926751,1.50936099262982,0.713578085037444,0.475488112809196,1,FALSE
"32","taxa572511",0.532068296615847,0.986928862581395,0.539115144757422,0.589807406197715,1,FALSE
"33","taxa577309",-3.12538233512288,1.78445363917028,-1.75145056532603,0.079868329466561,1,FALSE
"34","taxa577310",-1.28884648515218,1.24879897495514,-1.03206882052292,0.302039878946852,1,FALSE
"35","taxa61170",-2.68679136593412,1.20146341021846,-2.23626565993016,0.025334374455748,0.988040603774174,FALSE
"36","taxa724",-0.336102860057975,1.35101493121878,-0.248778049961867,0.803532470993299,1,FALSE
"37","taxa816",-0.00472893406356434,0.847785221842223,-0.0055779859588593,0.99554943420216,1,FALSE
"38","taxa830",1.07427460710645,1.73163674005633,0.620381043123115,0.535006950005923,1,FALSE
"39","taxa838",-3.27427389516797,1.81871543122076,-1.80032227085147,0.0718097663137616,1,FALSE
"40","taxa841",0.264514556896074,0.812583841967222,0.325522786984908,0.744785439396579,1,FALSE
"41","taxa846",-6.06583069140786,0,Inf,0,0,TRUE
"42","taxa872",-8.36291957910107,0,Inf,0,0,TRUE
"43","taxa946234",-2.02799307348795,1.11543191619762,-1.81812358427142,0.0690452460863382,1,FALSE
