,taxa1263,taxa1485,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa39948,taxa459786,taxa572511,taxa816,taxa841,condition
0,,,0.09422198501279219,0.011467983530135718,,0.0011005805534987493,0.0008493014440758042,,0.041362187344047854,,0.05454248987092813,,0.053624937070493775,,0.008340710770941864,0.6886265588631738,0.04586326553991213,Control
1,0.008915809157252624,,0.29860321098955617,0.01084140459028487,,0.004774384636105934,0.007462531795934689,0.007106213449101841,0.10714086104369522,0.0012261991120045305,0.08416822865959504,0.015034033030394389,0.0008240667324154667,,0.01975147234701306,0.3757793511819025,0.058372233274743716,Control
2,0.03995307989206404,,0.2072191548436588,0.019733515932508272,,0.010129397125523515,,,0.06960099057335155,0.015447733958164884,,,,,0.015008558487184851,0.5861498050288478,0.0367577641586962,Control
3,,0.02339919077429559,0.13530940544735864,0.008147407736313672,0.00011402506256785647,0.032498652431078745,0.019973004339997172,0.0003424777475008081,0.15663299790709162,0.044907558180961094,0.019742337576179412,0.014691419800225678,0.07205085698942434,0.0002176842103568169,0.02759688306000194,0.38719509617757397,0.05718100255907264,Control
4,0.02197111052507553,,0.0473495956257057,0.017609212635212926,,,0.030428266613962442,,0.26004386690703213,0.013285673437716531,0.0631185266052031,0.0034314657055163414,0.09402347014015539,,,0.39425952812961024,0.0544792836748095,Control
5,,0.03604698820454069,0.0812152604091029,0.00666300915990297,0.0008155164345763479,,,0.030204766591902923,0.02902339190722842,0.0017112828704973673,0.3683044766807051,0.0848008003485389,0.06952490062876845,0.012424980771196062,0.012031476072913473,0.2486867937112398,0.01854635620888667,Control
6,0.016415356768600554,0.0047830808802515005,0.01839654867377074,0.007550674342329102,4.8340342138570196e-05,0.054034486043631515,0.060018454252235336,0.008756569904326406,0.01221127124756733,0.005923216156997237,0.07905638345649778,0.07125616842907499,0.07947620408552103,0.008463479361450213,0.02200334789531703,0.515082676683134,0.03652374147715674,Control
7,0.0056876515464666915,0.00021001798504167562,0.07053107529738155,0.005352597626839152,0.0004585004143669679,0.08334853014430949,0.03540509046720736,0.0074627379669602095,0.20018041201883546,0.08802667546297997,0.03819784224004209,0.00278989078111114,0.12739572294452844,0.0026276619541188055,0.010861490171910631,0.21920706660717215,0.10225703637072817,Control
8,0.0004115146041033578,,0.9943045015207433,4.796721524091036e-05,8.508695714895639e-07,0.0003930906049919024,0.00019876818281805547,,0.001143729077404349,0.0005936363309182076,0.00037494614549097574,,,2.090644449738494e-05,0.00017196252232384504,0.0023302689222538015,7.857559642321749e-06,Treat
9,0.0013386542086834935,,0.8659223985471994,0.00010642040560206088,,,2.4141666477597755e-05,6.233233114504574e-05,,0.00012855532712729038,0.0005914035210354533,,0.11692959632504807,,3.75117275930883e-05,0.014856437304672445,2.5486354159558566e-06,Treat
10,0.00035161139007321683,0.0010184771435640567,0.9667313039017067,3.0939042956265176e-05,3.5395358051268594e-07,0.00030635726754017225,0.0001669710917540896,4.099708273935055e-05,0.00015451174601949713,4.0879662731780146e-05,0.00020033038781970712,7.091378130277922e-05,0.029474567245224032,1.074280165415696e-05,4.049974126497785e-05,0.0013508607351706966,9.683024897865022e-06,Treat
11,0.003627575234853077,,0.9664453805649139,0.00011537594739806519,,0.00015383286470524216,6.950441453494343e-05,0.00018736966573440012,0.003375033511471929,0.002184645927924188,0.001567137564435331,,,,0.00021277554598731765,0.022017754140579028,4.361461746253128e-05,Treat
12,0.0003207523004897304,0.0029365691755806967,0.8336929563420443,9.153088638416814e-05,1.923302364736239e-05,0.0007052954754523263,0.0006046512733363749,0.00017633348345198738,0.0007896154201570694,0.0001119465044669562,0.004665575412477041,0.000242572232260295,0.1500523857252144,0.00012603572304966212,0.00013629833524781977,0.005326693774824537,1.554911915337994e-06,Treat
13,0.00036980680672545573,0.24010423977777745,0.7534498102165232,5.468050093399338e-05,7.469566883993513e-06,0.0010801724314227215,0.00024414190628295907,9.0687084658003e-05,0.002443627914308968,9.40598394568631e-05,0.00034149442211581964,0.0001921510641356421,2.2532411496402552e-05,1.2499802217696004e-05,0.00013857300584686297,0.0013483495106170538,5.7037385969079795e-06,Treat
14,0.0018826091711931605,0.08135822230197642,0.9150302127886037,0.00020491510616747378,1.7874182167029727e-05,,,5.292332482349477e-05,0.00023620104825219847,3.3689771738639714e-06,0.00011507066071830798,,,,0.00024388665499866776,0.0008530271198369026,1.6886640886307649e-06,Treat
15,0.004786467116695882,,0.9810506497808292,0.00043060261692769115,1.60620170457047e-05,8.281875726203115e-05,0.00023725354275151535,0.0002755257273461684,0.0022338770325237268,0.00045493301220628316,0.00041182946544874303,0.00043330909705289463,,4.658962347942743e-06,0.0003693728675087492,0.009211643571794305,9.96432259248438e-07,Treat
