,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,,0.04917652273067768,0.0019758252459507603,,,,,0.017889068300234717,,0.004943152497794351,,,0.15353195279077125,0.00924125647129326,,0.008315403758760175,0.010232654437101526,,0.003733270354402145,,,0.00285475588034558,0.056031931982754316,0.004414732908294908,,,0.018695170875434892,0.26363341268123786,,0.012152818237810666,,,,,,,,,0.03067861185557572,0.008030333927055417,,,,,,0.14056543705158725,,0.15081858738534784,0.05308510062756978,,,,,,,,Control
1,,,,,0.05098808967168815,,,,,,,,,,,0.27633024218584384,0.01410274819057906,,,0.01756979187593606,0.005270320539441544,0.028691899016914487,,,0.005968184394182954,0.1934577329077476,,,,,0.006520577153173535,,0.018502542920509516,,0.04084851376333306,0.002651631655472573,,,,0.005951660718317656,,,0.004554468885656895,,,,,,0.21128029519233196,0.08219953551737982,,0.0351117654114913,,,,,,,,Control
2,,,,,0.022875016776709254,,,,,,,,,,,0.06169369242012498,0.02379000482580201,,,,,0.0020412890066378968,,,,0.02599317066972623,,,,0.00912610910351577,,,0.0887191303290507,,,,,,,,,0.00562046055906096,,,,,,,0.461078665621567,,0.16270042119532632,0.13583454609482384,,,,,0.0005274933976549211,,,Control
3,,0.00012151292007176885,0.002523999804296023,,0.03714886575910284,4.120611398473349e-05,,,,,,0.026021610852266758,,,,0.09465074459748744,0.00718269688100797,,0.002527208066212109,0.029578771251727438,,0.06614513695669087,9.925560302892008e-05,0.00030709082028038603,0.02161666724148026,0.07116205652797082,,,,,0.0006740357769327572,0.003916485734062357,0.09831117092737217,0.045770768884030165,,,0.00031471044233109097,0.010637794448263169,,,,0.01438775133724367,,0.00015439760471165344,0.0005313683798517944,,,,0.4180365276660457,,,0.04764068429018408,,,,0.00017414846713255977,,,0.000323332646230573,Control
4,,,,,0.08625596677538137,,,,,,,,,,,0.05932427262704263,0.13107366490061723,,,0.03456352806698299,,0.015445767546260102,,,,0.2600233348486571,,,,,0.029473565292578052,,0.024425540632966546,0.0076820994581455115,0.19266751191699627,,,,0.011145505493240889,,,0.017985832742972434,,,,,,,0.03392462396410098,,0.013126830591185953,0.08288195514287203,,,,,,,,Control
5,,,0.00029943649019660877,,0.014184630501224592,0.0011450645155951207,,0.0002666367398380319,,,0.009048694206615414,0.041368357142251615,0.005133211392271693,,0.0008975020921194614,0.01955026597065259,0.008962506554903956,0.00010384905575069447,,0.009137001226811586,0.000615525161344495,,,,0.001884118582905457,0.004572890733838404,,,,,0.003900243545715586,,0.0011157970460443903,0.00014310783387219117,0.04171956677686038,,,,0.0022710547148278686,,,0.004248728277986866,0.0027831345096568515,,,,0.0006922261160291673,,0.014913895104581751,0.006655220731218458,0.7685526489482079,0.007307178846038174,,,,,0.0026453755581508287,0.02588213162448989,,Control
6,,,,,,,,,,,0.019058902339046647,0.12671644529560447,,,,0.05230883080196248,0.039844249917789544,,,0.011909869881286561,0.013700558726228216,,,,,0.20603696751886016,,0.0035155076642519414,,,0.01257182297837217,,0.0028288533075545704,,,,,,0.006326978603931567,,,0.012016400416566923,0.003909101397654195,,,,,0.0019777271893270235,0.005056032723578166,0.2115881435986889,0.2546882838266216,0.002037091533414553,,,,,,0.013908232279260446,,Control
7,,,0.0002175408240727762,0.00020528217255458744,0.08287109676246,0.006703774207696724,,0.0002474840876172046,,,,,0.0024467062661303013,,0.0003832335810686229,0.13270492672190096,0.00964062557305428,,0.001615328539396744,0.008392956098453048,,0.02678615837474397,,,0.012988242245021306,0.08502108337340004,0.004239081887289739,,,,0.08011068959436424,0.00016599419924629393,0.021440984389813064,0.004629248640118649,0.037658075060125175,0.0004698479876971371,,,,,,0.017556700031299756,,,0.00022326822683127427,,,0.00017332929400717742,0.4407356999564416,,,0.02237264190519541,,,,,,,,Control
8,,,,,0.10475718236738207,,,,,,0.06594834337430737,,,,,0.06559229421542677,0.075366404497603,,,,0.030896612381287526,0.0009821472714045996,0.005634052092858618,,,0.10257331725226436,,,,,,,0.013137569999804736,0.02021306031522607,,,,,,0.006543390011761671,,,,,,,0.0026680836619967585,,0.4336113729662717,,,0.07207616959240475,,,,,,,,Control
9,,,,,0.023331601312596626,,,,,,,,,,,0.037285652418292216,0.008703604512762001,,,,,0.006401131996405621,,,,0.05116779194598337,,,,0.01677582937686114,0.001366920914490924,,0.0812896289883383,,,,,,,,,0.004367376421255219,,0.0009844274376121988,,,,,0.3614107649428854,,0.2651484042640561,0.1303422390180604,,,,,0.011424626450400441,,,Control
10,,,0.0006814685920676325,0.004713488861719217,0.008717141509203089,0.03844625360797726,2.8394666795909133e-05,,0.0003123410911097014,,,0.16653424199499442,0.028621744214618317,,0.00244193500967041,0.0041172157213683665,5.678908994651922e-05,,,0.048725161484053606,,0.0011357817989303843,,0.00014197284668894758,0.0004543132068627517,,0.010789929526291642,,5.678908994651922e-05,,0.07692101371594269,,0.015162704801827461,0.0021011994954100986,0.016440453843604916,2.8394666795909133e-05,,0.001192573081684595,0.00011357817989303844,0.0005962853226158023,0.0001987619366354667,0.40430988213991237,2.8394666795909133e-05,2.8394666795909133e-05,2.8394666795909133e-05,0.0001987619366354667,,0.07510366343037204,0.05213254099118664,,0.0002555522448084812,0.0022147771880125385,0.00017036751348485673,0.0015333061594919157,,2.8394666795909133e-05,0.03466975147279229,0.0005678908994651921,,Control
11,,,,,0.0723880975467266,0.00010751074093157043,,,,,,,,,,0.16367090353649486,0.000999647040209017,,0.0034147845525321838,0.014557360023043812,,0.01007659633165238,0.0003813588546251933,,0.0021708041397720773,0.20646017842725986,0.00035458259461959465,,,,0.06983147184232841,,0.08196791311509331,0.0649103198140267,,,,,,,,0.02213575158121929,0.019536932982266816,,,,,0.0010345373183981306,0.24941071942942225,,,0.016590530129378018,,,,,,,,Control
12,,0.00015688603174767688,0.0017604970116970524,,0.04427264882047411,0.0001938721169524401,1.2701265523613734e-05,0.0004308269265609779,,,,0.0001978349117958075,,,0.008081662837489137,0.1484696651611095,0.0030063387443772767,,2.784117402776131e-05,0.09264242106849346,0.0006931842672167432,0.0315739235499651,0.00033002968336557937,0.00042147879513559824,0.008369727539564697,0.18865240487285573,,,,,0.07525449017679044,0.000297616053749317,0.01589619265848563,0.008031365826015628,0.012479044182012587,0.0021759808095055053,,0.0013497888897254788,3.647803458381864e-05,0.00022293261247046832,,0.008496028923931509,0.044042705109434616,0.00011451460996090144,0.00018777550950110547,,,,0.28150373635668163,0.01412797327735022,3.617320421125192e-05,0.005691691106441788,,,8.453962332517304e-05,0.0006770282574707065,,,,Control
13,,,0.005633442921124958,,0.07655810500307839,,,,,,,0.0005931422454900668,,,0.022875713762590184,0.033925905507691936,0.0353170132028474,,,0.10410873737963117,,0.057107646867090266,,,0.0036230367756240273,0.1915368581166728,,,,,0.03457085715895327,0.0006477684733226831,0.015638593681465716,0.00981592067829075,0.25006438450425944,0.00044747230460308963,3.0482038735327368e-05,0.00043479660532701295,0.014595464111674918,,,0.012819256600417696,,,,,,,0.03242624956238657,,0.015765048871862763,0.03101763733013557,,,0.00012444317463894378,0.0015928122749057374,0.01337588075989811,0.03535333008728124,,Control
