,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,3,6,0.04838709677419355,0.0967741935483871
1,taxa1017280,11,5,0.1774193548387097,0.08064516129032258
2,taxa102106,32,23,0.5161290322580645,0.3709677419354839
3,taxa117563,5,3,0.08064516129032258,0.04838709677419355
4,taxa1263,54,53,0.8709677419354839,0.8548387096774194
5,taxa1301,32,25,0.5161290322580645,0.4032258064516129
6,taxa133925,3,1,0.04838709677419355,0.016129032258064516
7,taxa1348911,30,27,0.4838709677419355,0.43548387096774194
8,taxa1350,4,3,0.06451612903225806,0.04838709677419355
9,taxa1357,6,6,0.0967741935483871,0.0967741935483871
10,taxa135858,13,14,0.20967741935483872,0.22580645161290322
11,taxa1485,27,27,0.43548387096774194,0.43548387096774194
12,taxa1578,14,10,0.22580645161290322,0.16129032258064516
13,taxa158846,10,2,0.16129032258064516,0.03225806451612903
14,taxa1678,36,26,0.5806451612903226,0.41935483870967744
15,taxa1730,61,61,0.9838709677419355,0.9838709677419355
16,taxa189330,60,58,0.967741935483871,0.9354838709677419
17,taxa191303,9,4,0.14516129032258066,0.06451612903225806
18,taxa207244,38,34,0.6129032258064516,0.5483870967741935
19,taxa216851,53,50,0.8548387096774194,0.8064516129032258
20,taxa2172,17,19,0.27419354838709675,0.3064516129032258
21,taxa2316,2,0,0.03225806451612903,0.0
22,taxa239759,52,51,0.8387096774193549,0.8225806451612904
23,taxa239934,29,22,0.46774193548387094,0.3548387096774194
24,taxa244127,17,14,0.27419354838709675,0.22580645161290322
25,taxa283168,46,45,0.7419354838709677,0.7258064516129032
26,taxa292632,61,61,0.9838709677419355,0.9838709677419355
27,taxa29465,26,22,0.41935483870967744,0.3548387096774194
28,taxa29521,2,3,0.03225806451612903,0.04838709677419355
29,taxa32207,3,0,0.04838709677419355,0.0
30,taxa33024,13,10,0.20967741935483872,0.16129032258064516
31,taxa33042,48,50,0.7741935483870968,0.8064516129032258
32,taxa35832,26,18,0.41935483870967744,0.2903225806451613
33,taxa375288,56,58,0.9032258064516129,0.9354838709677419
34,taxa397864,47,46,0.7580645161290323,0.7419354838709677
35,taxa39948,25,26,0.4032258064516129,0.41935483870967744
36,taxa40544,27,24,0.43548387096774194,0.3870967741935484
37,taxa447020,11,9,0.1774193548387097,0.14516129032258066
38,taxa459786,30,23,0.4838709677419355,0.3709677419354839
39,taxa52225,7,7,0.11290322580645161,0.11290322580645161
40,taxa561,31,29,0.5,0.46774193548387094
41,taxa570,5,3,0.08064516129032258,0.04838709677419355
42,taxa572511,58,55,0.9354838709677419,0.8870967741935484
43,taxa577309,23,27,0.3709677419354839,0.43548387096774194
44,taxa577310,13,17,0.20967741935483872,0.27419354838709675
45,taxa61170,20,17,0.3225806451612903,0.27419354838709675
46,taxa644652,5,2,0.08064516129032258,0.03225806451612903
47,taxa674963,5,6,0.08064516129032258,0.0967741935483871
48,taxa724,19,17,0.3064516129032258,0.27419354838709675
49,taxa816,62,61,1.0,0.9838709677419355
50,taxa830,18,19,0.2903225806451613,0.3064516129032258
51,taxa836,2,2,0.03225806451612903,0.03225806451612903
52,taxa838,32,21,0.5161290322580645,0.3387096774193548
53,taxa841,62,61,1.0,0.9838709677419355
54,taxa84108,3,3,0.04838709677419355,0.04838709677419355
55,taxa84111,6,5,0.0967741935483871,0.08064516129032258
56,taxa846,9,6,0.14516129032258066,0.0967741935483871
57,taxa872,12,12,0.1935483870967742,0.1935483870967742
58,taxa904,5,7,0.08064516129032258,0.11290322580645161
59,taxa906,7,3,0.11290322580645161,0.04838709677419355
60,taxa946234,11,12,0.1774193548387097,0.1935483870967742
