,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,condition
0,0.0029529607969820265,0.05745629861766792,0.007513610120596347,0.000383563365902337,0.0058854883913997584,0.0004139538651477086,0.012859848663611504,0.1844080973151498,0.011762264148203574,0.0003308726709649688,0.051062469486331065,0.0015349795164923432,0.025371399387066156,0.02600368772631458,0.0010599334873326073,0.007544519229043856,0.11278298040767039,0.0002078585682174914,0.15670917982888175,0.004916104070760699,0.0323215924704582,0.007970815993202486,0.0,0.0026674145702840447,5.3624191501219105e-05,0.001721678829262545,0.009551225675802242,0.04312422215102294,0.0007642225202726929,0.00026417952756983566,0.0005585421107041873,0.18625227163795768,,,0.04359014065822502,Control
1,,0.0076953218963007435,,,,,,0.28954325353179,0.013359543117597097,0.00016347624009375948,0.0021112430399961224,,0.005401926371861755,,,0.003019050360256479,0.09231088381780259,,,,0.07575273834522564,0.012400198819259462,,,,,0.007390118966494461,,,,,0.43231604933601814,,,0.05853619615730363,Control
2,0.012592350341703746,0.032710726379616285,0.00019339360059813802,0.0006441737320992565,,0.023234331118793406,0.003988783824154392,0.05485848366139687,0.0112632998912229,7.259061992062919e-05,0.003982253933306959,,0.17288103681606876,0.0010024470765950754,0.0003067960383152228,0.004073890068199268,0.16050036376933602,0.00037329209344491473,0.004350213282559805,0.0017518608828521254,0.03460297991568823,0.016226996418899027,0.005762411009831296,0.011184397043483087,,0.013280927331565547,0.019597399579801524,0.014873785372282677,0.00011340243771708486,0.0008229839098047945,,0.38838375950847337,4.9736001954613994e-05,0.0035153667377155057,0.00280556760259955,Control
3,0.006199999928542616,0.03062544385456374,0.0012737278709879806,0.000327751201585687,,0.006242993454622716,0.03116292247838503,0.09207343484807505,0.008233915270359608,0.0005508173355137364,0.14430461425339006,,0.048726909290686606,0.0008189016214037733,0.0011441518145471278,0.0047607291178002374,0.11274700882367691,0.0007157647970675795,0.04259646121596887,,0.07772288659725059,0.02110791577508693,0.0005634414733655108,0.00044494131145498796,,,0.008632885664731721,,,0.00027237172893403557,0.0005147313565600797,0.32530616809420654,0.0001109971365835248,,0.0328181136846488,Control
4,,0.0012671839921628836,,,,0.0018432771505243247,,0.060476825557967226,0.021084648031285,,0.032069487119406666,,0.014013245120909764,,,,0.039607208114557375,,0.0016827825781635187,,0.023861766567172756,,,,0.005093141588854085,,0.009151002794795035,0.006210677950968407,,,,0.0938649192108689,,0.6495570882106493,0.04021674601171489,Control
5,0.0003727327712595052,0.018206515324068917,0.02440631392830018,,,,0.0014058629450508658,0.11297578122265306,0.03349222216704778,0.0019718306419510487,0.019352900090929298,,0.0011213527543761249,,,0.011918392383104574,0.07259059756908633,0.004355061391519399,0.07178540116750934,,0.014967108342620277,0.0009756379499962146,,,0.002088850212507541,,0.01603656546135831,0.030986171746469265,,,,0.09686676538369804,0.22829602410236832,0.1887983575743614,0.047029554869764345,Control
6,0.0019298461923361251,0.08819109724529407,,,0.01124194044101201,,0.03131272118984009,0.03571271979522881,0.015703323073431676,,0.041137335085894844,0.005669834441679522,0.08356193864914782,0.0519167294505876,,0.023470779671173905,0.19021018799465786,0.0002469095889351541,0.007560166647596413,0.0007756997013101845,0.025691803795519136,0.034271410162257744,0.0067819312894037125,0.003149074543346685,0.01287426955913273,0.008637820822666408,0.007921920362835597,,,0.000924141281307571,0.00015847855515735177,0.28811506979976664,,0.012369568187141623,0.010463282473338888,Control
7,2.6295738551091972e-05,0.09746558251260701,0.0002883979780928706,,,0.07975315784027757,0.0014069289057295634,0.11031062322183081,0.03518808080445292,0.0012318377685479026,0.009597730784656287,,0.027434686088741913,,0.00044467590395342525,0.0013712265615179184,0.07668211487859922,0.0004191284181253319,0.015003001562351686,0.0003482581959327547,0.06957018653299026,0.07157903130774908,,0.0001017623703278031,,,0.040540546318553854,0.018965747983352016,0.00015841579078340774,7.268740737700221e-05,2.0416610013246214e-05,0.31433348640446185,,,0.027685992110423285,Control
8,0.0011121951410153796,0.031212679176591294,0.0003803935357850551,3.083098292321793e-05,,0.0015496911310878025,0.0012983751963439667,0.11553910850475921,0.006730056180781594,,0.08151386205501747,0.0003105895850117132,0.0273192905443438,0.001704497404498045,0.00011561618596206728,0.00227953865993567,0.27157210764398854,0.00015610899099854716,0.14380048098504558,0.0009312259560400121,0.010106808729467136,0.003556419016072604,0.006892244520525565,0.004055034172996337,6.850123318503704e-05,0.00011007963621177107,0.006519015931476187,0.019803587098015277,0.0002871406684222234,0.00031623469456103464,0.00023079813272803282,0.1946466340545793,,,0.06585085425163054,Control
9,,0.02770227408202955,,,,,,0.05062273010592768,0.01258194152846408,,,,0.006590080196191978,,,,0.021624634032063172,,0.000328446391171361,,0.0989709955263263,,,,,,0.009351687215293315,,0.0018779905628529471,,,0.40355113261921227,,0.20851881519501428,0.1582792725454532,Control
