,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa40544,taxa572511,taxa577309,taxa816,taxa830,taxa841,condition
0,0.01508410391198003,0.10772224269593421,0.0007488080822930643,0.000396009049932569,0.00010363781992382451,0.024749737842671163,0.048808943182303555,0.02381765968584827,0.00018459451951288237,0.0919479373921612,,0.055775358237534566,0.007715223137524074,0.25572218177146505,0.00030644345795367286,0.10960444457247412,0.023668162958386262,0.011859245933871122,0.000310747904148592,0.013635823323012587,0.018633782022182466,0.13011496513564136,0.0001087700442331513,0.0589811773190121,Control
1,,0.026556575882465672,,,,,0.02377261142608664,0.011785084031997503,,0.006790608264566142,,0.013472057497187963,0.004134950676319575,0.11787571614134765,,0.018693852448083588,0.03661295398578575,0.013271250702291891,0.0007657497908057979,0.02453214226154929,,0.5745791035572261,,0.12715734333428633,Control
2,,0.028754628608489544,0.0003041410591320106,,0.0039971235133199985,0.0014793073907946634,0.168146715955398,0.022947459604213773,0.002644012961550472,0.004112303167985798,0.027235703867877475,0.006415339837849304,,0.09765776886214297,,0.016602006551997433,0.12181444791331192,0.004720251432178325,,0.011445407848375054,,0.38388099126170355,0.07558701004967526,0.022255380114004485,Control
3,0.0021193555981308316,0.017514810212573464,,6.516002835088869e-05,0.039968887512907905,0.00035387258829440606,0.1392758518418435,0.009138037811303179,,0.02848919684388103,0.008182091125672013,0.05755296591674055,0.003957416152680331,0.286943767580227,,0.003196378973920127,0.03742559232576909,0.043844368638695175,0.002244882798106274,0.00703990772153183,0.007866447275551944,0.11579085388280164,0.12784717086226116,0.06118298430875765,Control
4,0.005051764721862541,0.025273109347017667,0.0010648729400727355,0.0002365343456066556,0.0005201413679132495,0.010410087323328166,0.28638220250009777,0.0047028180139873765,0.0,0.13083276717315462,0.00015761149959730614,0.022313151333034978,0.008877297925312758,0.04818790101061056,0.005510547675370896,0.04329398198076673,0.01956818196189081,0.004239819596893953,,0.007472845974220566,0.000689462488580192,0.1303529069017209,0.18281224348611344,0.06204975043284615,Control
5,,,,0.014967334657644691,,,0.20333446203891897,0.008368824549017736,0.0009065259181759678,0.00020259169431584406,,0.019882340661426953,,0.040836814650379326,,,0.0343239848019245,0.03561966758524672,,0.007783856441799473,0.007866865614724017,0.2631709257495276,0.3479224694324885,0.014813336204409675,Control
6,0.0020457113795617206,0.028154643449794077,0.0027111293383715244,,0.0001908291787525146,0.011069786117753121,0.20570030469435258,0.0026493639177930487,0.0008349058862107061,0.13596183777758306,,0.027682538836560792,0.0014012959220820749,0.06305199315995956,0.00722045670729559,0.027683442169951337,,,0.013578004193273594,0.0056722561925762255,,0.3887088746182286,,0.07568262645989968,Control
7,0.003719077047207288,0.0019366895049561313,,0.0005283043365567255,,0.0019050296203803959,0.16513827774385267,0.005577096535944924,0.0019011920586136392,0.0722755190262315,0.004566538604032543,0.06545489257945074,0.009244526397707953,0.07185562580958561,,0.019855544581194894,0.1408370777542781,0.019950844031736,0.010332635056990194,0.030097837038259377,0.011338715833508022,0.28026672973059835,,0.08321784670891505,Control
8,0.0008161308917211824,0.010439701192361903,0.0460434649603091,,0.1994424115851214,0.0029244760802852915,0.00493080235421232,6.801095627527824e-05,,0.058353546963309924,,0.0013602191255055647,0.000544088233784382,,0.01292208461021364,0.0921210694767562,0.018158946626247993,0.0025164091754693095,3.400562403317817e-05,0.4842039508253449,3.400562403317817e-05,0.06243424519057757,,0.00265243050443771,Control
9,0.0017132957616420915,0.010372266114825513,0.00040326743301802054,9.732559784611789e-05,0.005360534942736348,0.010290946603159387,0.005649611304550808,0.0019136403973849278,0.004707078417683438,0.056432948087965576,,0.007437244057042252,0.008033551334794792,0.08394719538457522,0.00014158403748474991,0.0012706039418585904,0.07203426290737772,0.011803575458867094,0.02200342702121687,0.002970042085264313,,0.6191519373970816,,0.07426566171362448,Control
