,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa906,condition
0,0.002231345642228493,0.015276367980864855,0.0014046378228093597,0.0004060013669686312,,0.0012696733396195892,,0.0032657376141381547,0.08698682525060586,0.0036822138365185286,0.00021654749168507984,0.03632911512248831,,0.00475145484662495,0.0005063182514887891,0.00018381356852338178,0.012209854059076975,0.03495247739395266,0.0002702311256702648,,0.017831628382748797,0.0007227650234102945,0.02025393869671446,,0.09646828163421445,1.208637162893469e-05,0.00015027388725308803,0.0007911537428773501,,0.0033708890473098862,0.007979523269186259,,4.663325053497302e-05,0.003047679325999458,0.0599392377810308,0.032544066407360274,0.5245042119997929,0.028395016466674142,,,Control
1,0.0009963427742041466,0.01454151885664975,0.002283596650092571,0.00025993305512962147,,0.00031694476947288086,,0.0035656034301476337,0.21084243738095654,0.01345991077515347,,0.06267696335226461,,0.025375056355827368,,0.0007640578778887787,0.0029071938087498147,0.11919585430994435,0.0018238703305387843,,0.1131798571256167,0.00013622268028920382,0.004380921398100796,0.007779929535539187,0.08036401525532573,,,6.215790448751819e-05,0.0010140012697971918,0.014109945224355729,,0.0016619166995282865,,0.0028789402158009435,0.2186898728225057,0.025583325698136195,0.000926516037344792,0.07022309440615188,,,Control
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5555829999999999,,0.444417,,,Control
3,0.001643692399066791,0.015258615604602581,,3.0205212382306467e-05,,0.03733567652556662,,0.0007141447856853736,0.1282674005414564,0.010291739637171327,,0.026447765322788967,0.006788138402927363,0.052714095969180516,0.08116201587756822,0.001968525558491326,0.008242260041453347,0.23216519505244726,,,0.003045132892764377,,0.0309171197448524,0.03621584624428186,,0.001995883141423449,,0.0009276152933973643,0.021430343932616953,0.006066264337305777,0.007250776487530434,,,,0.10609758826125781,0.11162809145772186,0.018661837900727573,0.0527340293753318,,,Control
4,0.0057962943794638245,0.07877124521271091,,,,0.0006102887899803335,,0.023537004450885003,0.034906634923920925,0.03633795673325744,,0.1071183107338785,,0.05875851361142739,,,0.003727771452230619,0.19707380188386298,,,0.03557023082496636,0.000666494151744126,0.01609067384328745,0.010099679122244075,0.2572932408653349,0.00046040782527688646,3.136321291791739e-05,0.00044736569713280203,,0.013189835420763896,,,,,0.0333636269537315,,0.016220784597867716,0.031914294586481734,0.0016388572611530901,0.03637532346547976,Control
5,0.0018929237957761318,0.03800876184453193,,,,,,0.0012951746284434993,0.1301243670066736,0.004430400384962396,7.858894576529536e-05,0.03630706429244387,0.004642199651102113,0.04921859031798588,0.009361856731734678,,,0.10563835568472213,,,0.0548300879218974,,0.034631185883532624,,,0.0136833229628156,,0.0019309838873116812,,0.0158829905233458,,,,,0.21523084628465097,0.2420786405840516,,0.0407336586682527,,,Control
6,0.004449383196983416,0.00786742460201277,,,,0.0006252976846064431,,0.006320053489270654,0.1894858846677028,0.019683768957728297,0.001365393715829955,0.03841136292672906,,0.052373647829599516,,,0.0018609416188451163,0.04551657156632359,,,,,0.05745662368538739,0.05686040961401847,,0.013406931259958446,0.00010496726608607991,0.0052894285469386485,,0.02145971269281591,,,0.001255101281122922,,0.462414089413063,,,0.013793005984977492,,,Control
7,0.0006122346290050898,0.00864767464461986,,0.00022298122859207737,0.003929866621110053,,0.00027613962885697664,0.0005444678134002181,0.08938432833549687,0.0019952660618512185,,0.016156095787379386,0.0004441364052666581,0.0013176993531312524,0.0005412214988802242,,0.0008268971766396827,0.04839595541673952,,0.0031209256216590854,0.00034268907651685066,0.0004321656204741808,0.004529014544706417,0.00048786020395782535,,,,,,0.0014427839094797658,0.006088259987590961,,,,0.04373150868815212,0.18225925635861712,0.5652908920994038,0.006940721891075596,0.0003113418519331599,0.011727615545464023,Control
8,0.0012540893336892244,0.015016871729089974,0.00034964638427362866,0.0015531063544711606,0.01953351724618386,,,0.00024302094476012415,0.01677968490714372,0.008277799672164745,,0.013450399222657011,0.0034894769905744333,0.024375608311802358,0.00013113005144348367,,,0.165384866194693,,,0.0019596601433094518,,0.020674804358013596,0.05390275435888443,,0.004955905874747817,,0.0003158259694611781,0.0004725744788314581,0.0037673309374168422,0.01704842556855763,,,,0.18378560206211375,,0.42189853632535324,0.008202766955470061,,0.013176595624893933,Control
9,0.0009968952742249312,0.0714009390641352,0.00011380137508802012,0.010337196814468094,,,0.018742752468768147,0.005826415684930993,0.13856569947824338,0.002339131199267282,0.002359290981646605,0.06548362542551754,,0.0717057215728877,0.0029550185153882956,,0.0020259984847955286,0.09248258415486436,0.0008443250868689795,,0.000103781128224924,0.0018866693379372393,0.02356988710641156,0.023743929251331293,0.053314751342206104,0.014528165064958042,0.00030394748818058216,0.0023880395470514417,0.0014660575469934668,0.008746482624951585,,,0.0004957636424169933,,0.3458989217140778,0.0005159234247963175,0.0004800175402035567,0.03637826765916417,,,Control
