,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,,0.035553222603149616,,,,,,,,,,,0.3275813500706468,0.013554716745758208,,,0.009758504998735304,0.0002693425954784061,0.014135322175259405,,,,0.10607845484025859,,,,,,0.011340234579174472,0.012354319576812153,0.04638525023243457,,,,,,,0.025241552717535157,,,,,,0.0006901650867597053,0.29522479879804353,0.08294982390462112,,,0.018882941075333098,,,,,,,,Control
1,,,,,0.03720357472742068,,,,,,,0.00046614747576628117,,,,0.10613574821799124,0.020186319474336654,,,0.00215757343977034,,,,,,0.008359571226390514,0.021146517619841137,,0.023790447833953017,,,0.025778140063364874,,,0.0008153477415031697,,,,,,,0.0009848186107738336,,,,,0.03303851010075105,0.5758860187353534,,,,0.14405126473278385,,,,,,,,Control
2,,,0.00047063285465547266,,0.04960679187805935,,,0.00615919579685616,,,,0.001393442373587772,,,0.0042397519974769786,0.11639163224722372,0.003497143853835085,,,0.029012015791197613,0.0005628123989092595,0.041930132164576486,,0.0004942608346457172,0.0009173335064023713,0.07213551305674061,,,,0.0247065516433615,0.0012182099726300785,0.06062767272509707,0.025829337027275613,,0.020126475607913447,,0.00105261129741948,,,,0.009834310057913905,,,4.482217663385454e-05,,,,0.4440792642672943,,,,0.08567008647029414,,,,,,,,Control
3,,,,9.529234152073153e-05,0.022382756608183185,0.0036381439034117655,,,7.598609248023663e-05,,0.039581733728006746,0.0032933157119932996,,,,0.4195753802169588,0.009847219430387188,0.013537707014352595,9.147238850202402e-05,0.007349589607993325,,0.01749858532685841,,0.0003363623495932214,0.026901244819446817,0.04479122046776254,0.0013102438854166892,,,0.006196480006211037,,0.027973928923889294,0.0308984643066171,0.01631316098737733,0.0005187909167298766,,7.072075183282894e-05,,0.01137798817115413,,0.0126589113361029,0.011933636472415856,0.0002565563040942772,0.00011779909173906252,,0.0017901125781451402,0.0051607565282738984,0.06693404272958149,,,0.1697401285961373,0.02421509515348106,,,,,0.003537173253349711,,,Control
4,,,,,0.007633291297028368,,,6.493577427111111e-05,,,,,,0.09132680577082807,,0.27415843438836773,0.008584266608082864,,,0.00545693139828772,,0.00710530883332868,,,0.007912252146622955,0.0942671219048798,,,,0.00045131374579080645,,0.0749448855087222,0.012605025017467925,0.001059403893638034,,,,,0.0011036047244113597,,0.009094953094523427,,,,,,,0.35498020976075717,,,,0.04925125613299171,,,,,,,,Control
5,,,0.0020095455724751087,,0.038030134046022325,,,,,,,,,,0.0014186839381015199,0.12944335905917168,0.003712726050776319,,,0.03745066870033952,0.005682435947467422,0.05156225150828855,0.010080684697238086,,0.0008361385143941801,0.11189615455338717,,0.000469917237276788,,0.05514325288888219,,0.03129667280731556,,,0.013618462316220728,,0.0016700183049037,,,,0.012298238205636894,,,,,,,0.2088785713119685,0.2458210271382595,,,0.038681057201874376,,,,,,,,Control
6,,,,,0.009934201946359637,0.007598350138965237,,0.0008852743754058912,,,,,,,,0.09749570949867184,0.027232332724490518,,,0.015147960223629157,,0.0009426815941750132,,,,0.15540735723982013,,,,0.0069981744912297975,,0.04554798861114196,0.005886330239971353,,,,,,,,0.02947967748767249,,,,,,,0.473785957133836,,,,0.123658004294631,,,,,,,,Control
7,,,,,0.01777239282379017,,,,,,,,,,,0.042127164533126135,0.020562253955194294,,,,0.01520426049121627,0.025581771620141667,,,,0.23351210071092993,,,,0.012062348328200053,,0.036475342701718656,0.0076060519794649995,0.08949718444648397,,,,,0.09895861876935794,,,,,,,,,0.340047509291744,0.008055140784714813,,,0.05253785956391727,,,,,,,,Control
8,0.02263103121334593,,0.00022799631679608863,,0.07323387154716167,,,,,,,0.0014542616688052114,0.0011578333980553426,,0.002204037859950976,0.3049144942184366,0.008937367461300132,,8.705514271092802e-05,0.016907541267443538,0.05696701205151725,0.005908068887726193,0.002446359706560255,,0.005131074189935369,0.15585625454835572,,,0.043741462535213264,0.042914769268608974,,,0.021224153989307427,,,,,0.00043329217865742896,0.016816519054938188,,0.06535119366926187,,,,,,,0.10375926145502422,0.0005435987582189973,,,0.047151489612668525,,,,,,,,Control
9,,,0.0052702518835995036,,0.026032871777552632,0.0010827204497799938,,0.0002786018399059881,,,,0.005306798127860428,0.008520539191746905,,0.02648975044888101,0.0782661611339095,0.006999162574702143,0.0016858853342857627,0.00046821711830130635,0.12266478610424733,,0.041419852972738334,0.0006960996552302232,0.0009725755363287893,0.004046813207994901,0.09583953910832832,0.0006084291634574812,0.0003170715707069603,,0.036208722991211896,,0.06606761196918859,0.01794258615397449,0.13673762104804504,0.0004789481484721039,0.0,0.0003782181954537688,,,,0.007338303622552818,,,0.00023152703774164047,,,0.00043754256979421536,0.2765234620813987,9.435207659606863e-05,,,0.02789673023485973,,,,,0.002698246671153453,,,Control
