,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa846,taxa872,taxa906,taxa946234,condition
0,,0.000996895274224931,0.07140093906413518,0.00011380137508802011,0.010337196814468092,,,0.018742752468768144,0.005826415684930992,0.13856569947824332,0.002339131199267282,0.0023592909816466047,0.06548362542551753,,0.07170572157288768,0.0029550185153882956,,0.002025998484795528,0.09248258415486435,0.0008443250868689794,,,0.00010378112822492399,0.001886669337937239,0.023569887106411558,0.02374392925133129,0.05331475134220611,0.014528165064958038,0.00030394748818058195,0.0023880395470514413,,0.0014660575469934664,0.008746482624951582,,,0.0004957636424169933,,,0.34589892171407777,0.0005159234247963174,0.00048001754020355665,0.03637826765916416,,,,,Control
1,,,0.16734696653060674,,,,,,,,,,,,,,,,0.25354194929161017,,,,,,,,,,,,,0.11180197763960448,,,,,,,0.42369391526121697,,,0.04361519127696174,,,,,Control
2,,0.0007112574500824317,0.009098191632033683,0.04012684461871505,,,0.17381390968201058,0.029872879020344707,0.0025486786749415167,0.004297190493452903,5.927149655615303e-05,,0.05085507170162178,,0.0011854299311230604,,0.00014817886853823366,0.0004741724810406286,,0.011261586888626097,,,0.08028344183458332,,0.015825508144079115,0.00219304867842179,0.017159111094939256,2.963587542592759e-05,,0.0012447037163405331,0.00011854299311230606,0.0006223505866917558,0.4219833740854529,2.963587542592759e-05,2.963587542592759e-05,2.963587542592759e-05,,0.07838665019213993,0.05441139709638927,,0.0002667231331290505,0.002311591162942691,,2.963587542592759e-05,0.0005927149655615302,,Control
3,8.118340015015909e-05,0.006115346100144862,0.07714709445013757,0.00025019797267120987,0.004647497849042791,,0.018563400307288237,,0.00412403614857086,0.15356756725178478,0.009885539463693999,0.00032261840034858506,0.014719577830203405,,0.12839265529951335,0.0026237548269373366,0.0006376825140827012,0.014104054556856484,0.024250468718303473,2.820267002735055e-05,,,0.005881465386560903,0.006923956939357613,0.05341585703180193,0.03934121383083112,2.8807012956508056e-05,0.023476305426052696,0.000417399516404788,0.014185540128471221,,,0.01696148864973472,,,0.0007273267152410652,,,0.35365644595189955,,,0.02030572097204934,0.00012358812901271113,0.004594114223633878,,0.0004998923262347886,Control
4,,0.0018197890321121732,0.005489742937540214,0.00666898013982501,,,0.00020271015914383902,0.00023318827590714075,0.017758412241484462,0.06807686253765913,0.005166347618058467,0.00044254634642552546,0.08044831877900982,,0.03417312818083383,0.00013428780976582275,0.00011137808441354224,0.00720306311210005,0.19321489618979562,0.0044726124972347256,,,0.08496368246016087,0.0006583477771992392,0.0368687028298727,0.002692813208929434,0.12296283705038516,,5.553562886735853e-05,0.0025362293271689812,,0.00010452562191977977,0.010483551686539317,,6.842234937801631e-05,0.0004914340639183384,,0.0019992826392249063,0.2115794956730791,,,0.09869888101332991,5.8399344536393584e-05,,,0.00016159538418126425,Control
5,,,,,,0.022418162788628692,,,,0.054892866965785866,0.018870100572539333,,,0.016972493967296668,,,,,0.19427615398036271,,,,0.01106784498380184,,,,,,,,,,,,,,,,0.0027869633754392586,0.3219538690836704,0.3523845897486897,0.00437695453378548,,,,,Control
6,,,,,,,,,,0.10534956846264125,0.02507626899743793,,0.008810716959375084,,0.0029068251358961806,,,0.004076064080330791,0.033799105674396986,,,,0.0899522448689619,,0.0158028459249215,0.002960313018067611,0.018673738702353185,,,,,,0.01993178190413576,0.008349242812809663,,,,,0.3533649729727067,0.20575997759463457,,0.10518633289133111,,,,,Control
7,,,0.008909710322006896,,0.0006840473072223664,,,,,0.2983989522671508,0.010833988556668377,,0.004771118731151961,,0.007457427071154619,,,0.007101352462927433,0.10706757162620478,,,,0.0012253603338038452,,0.08411065360942677,0.015023749040583255,0.0008235030317861864,,,,,,0.01973796140554041,,,,,,0.3755223003286167,,,0.058332303905755556,,,,,Control
8,7.471075397525999e-05,,0.0568663232266623,9.161684599947195e-05,0.0,,0.0346231702951662,,0.010775659600797563,0.00035350942124879117,0.0037104316459366255,0.0006326117907742544,0.053189501296606156,,0.09459079968447359,0.00011358464222254977,0.0016437378215396977,,0.06498964982725416,0.0002008484226109971,,,,,0.00011682413290982391,,0.004145535738871135,,,0.007294826857321492,,0.0006258291071477742,0.04311681117494706,,,0.003407134330340584,,,0.5442273490761782,5.810836420297999e-05,,0.07236566641992546,,,,0.0027857595228878117,Control
9,,,0.10475718236738205,,,0.06594834337430736,,,,0.06559229421542676,0.07536640449760298,,,0.03089661238128752,0.0009821472714045994,0.005634052092858616,,,0.10257331725226433,,,,,,0.013137569999804732,0.020213060315226065,,,,,,0.0065433900117616685,,,,,0.002668083661996758,,0.4336113729662716,,,0.07207616959240472,,,,,Control
