,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,,0.24880779909903086,,,,,0.05188376022397268,,,,0.0303478170541811,,,,0.03261052729830189,,,,,,0.18457272212222045,,,,,,,,,,,,,,,,,,,,0.19867188091991791,0.0891194699968837,0.1639860232854914,,,,,,,Control
1,,,,9.546323145210435e-05,0.022422896116559884,0.0036446682699249246,,7.612236007448408e-05,,0.03965271655466889,0.0032992216902390866,,,0.42032781432432514,0.009864878673783002,0.013561984493378802,9.163642802444686e-05,0.007362769794813008,,0.017529965939380956,,0.0003369655558731917,0.026949487435880354,0.0448715455859167,0.0013125935756865181,,0.006207592295258779,,0.02802409520921445,0.03095387522800509,0.01634241575137114,0.0005197212763237535,,7.084757697149675e-05,,0.011398392577076994,0.01268161285077825,0.011955037335121656,0.0002570163923710502,0.00011801034353938362,,0.005170011430765265,0.06705407707637183,,0.1700445274435588,0.02425852063639948,,,,0.0035435165468911665,,,Control
2,,,,,0.03638417793447219,,0.00781601725529319,,,0.021362869324490705,0.000881919851756898,,,0.11714674367382816,0.0025388850917625176,,0.00018312528266497226,0.0022884494498688376,,0.013333000378273943,0.000822933369012962,,0.01739032496311033,0.020444262757856484,,,0.00251946271329805,0.00013749810785955837,0.03740462353316083,,0.044950371712467005,,,0.0001329764959419047,,0.0005305700529737666,0.00834884811422578,,2.4766101639875606e-05,0.00010800486648759027,,,0.6621777336715089,,,0.003072435298045647,,,,,,,Control
3,0.0008448607299420089,,0.0009695978587361552,,0.015147482838860506,0.0001256402938457531,,,,,0.10525987269788245,,0.0,0.004990388316817455,0.00023090919819415164,,0.00010496784933119623,,,0.03041588944296392,5.569517818242249e-05,0.00013788319787864594,0.014127207385561964,0.061624858152911056,3.000515004782761e-05,,0.004317530353370351,0.005605845123651325,0.0663770115994491,,0.05475919813394059,,,0.010274807033769142,2.558967646219412e-05,0.015178290802287539,0.06480329667286037,,0.00046533070492232984,,,,0.5403004288227666,5.228322132079661e-05,0.0,0.0031758293764668905,0.0002407436620894262,,4.3954032511533416e-05,,,0.0003146024929763865,Control
4,,,0.0023151696084617,,0.2110080072224018,,0.0008166238349517055,,,,,,0.006752740460325521,0.06127961672027042,0.01898281088900174,,0.0007080826267382752,0.003651006160585589,0.04873079625953454,0.028040154091582923,0.00824482300499105,,0.012146356226500265,0.09847888422100137,,0.015342269003688144,0.020055399104381148,0.0007657387316682824,0.018155209824107846,0.019102124145289286,,,,0.00020538704994639624,,,0.01628354082349743,,,2.410886949920235e-05,,,0.406088771935224,,,0.0024654653268290686,,0.000356913859522234,,,,,Control
5,,,,,0.027021264555974575,,0.0015598790656691207,,,,,,,0.05742743738051066,0.006817713322581819,,,0.011043442586507253,0.003304676100514538,0.037895956864599636,,,,0.22010088639367525,,,0.0023681625823036537,,0.019285731608240677,0.04225466538941906,,,,,,0.1658229152772557,0.057883265226933774,,0.0004077289648231457,,,,0.323128488684637,,,0.02367778599635419,,,,,,,Control
6,,,,,0.017772392823790166,,,,,,,,,0.04212716453312613,0.020562253955194294,,,,0.01520426049121627,0.025581771620141667,,,,0.23351210071092993,,,0.012062348328200051,,0.036475342701718656,0.007606051979464996,0.08949718444648397,,,,,0.09895861876935791,,,,,,,0.340047509291744,0.008055140784714813,,0.05253785956391727,,,,,,,Control
7,,,,,,,0.010508664907170787,0.00334522914566493,,,,,,0.19919165576606893,0.018164275707891902,,0.004222304896002444,0.0007622067795476694,,0.012625566077768928,,,0.011441118260506158,0.03957294058341834,,,0.0014669263331261331,,0.030730666861314537,0.025581393631702226,,,,,,0.024551686659387763,0.0052934659597038795,0.005508542021632705,,,,,0.17858169414749447,0.4096434241417025,,0.018808238119895567,,,,,,,Control
8,,0.00012325896708985577,0.0031115324196300084,,0.022850114473487514,0.0006163957020344588,,,,,0.006699155121309215,,0.006813840428658777,0.20193086886678202,0.014208268921613143,,0.0004830500764266115,0.00999275172718897,,0.20912366505596175,0.001163697793220676,0.0006557336702546255,0.021810179980282597,0.09345833796479071,0.0,0.0,0.005668197754185307,0.007780747514193441,0.02791845864560787,0.08014072099031619,,0.030633686252065993,0.0004595481620796914,0.0028595676898505815,,,0.021089589095757286,2.40062472728197e-05,0.0,0.0024845457261516587,0.0002748614446152675,,0.21970053517792762,5.053415917513728e-05,1.5836053873246605e-05,0.0076260181725274516,2.7334844583756884e-05,,,,,0.00020496090108558664,Control
9,,,,,0.02154018996190639,,,,,,,,,0.03282877208471036,0.009138608135321514,,,0.0002264167694859479,,0.00778290790904995,,,,0.033659658360638875,,0.020157315574569637,0.00041881397855440095,,0.08905408197386469,,,,,,,0.0019086218012278574,,,0.0016747373233575813,,,,0.3794415232797511,,0.2542422806713304,0.1349508251402892,,,,0.008529160156622738,0.004446086879319343,,Control
