,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa946234,condition
0,,,,0.017932554333838887,,0.04090981562024017,,,,0.003379425575549409,,,,0.010175303212523126,0.0018728724945411227,0.00017096929270104768,0.0071975037269282486,,0.01095609670427856,,,0.006175532250676188,0.06931611068936437,,,0.008024529743396338,,0.13298578344806825,,0.04484180585657841,,,,,,0.010456846136539109,0.021353053005741328,,,,0.6091807879883652,,,0.005071009920670248,,,,,,Control
1,,0.002393239099543789,,0.06287262855691722,,,,,,0.00035519434755589826,0.0019080498705363476,,0.018140119066145103,0.26101888904791043,0.005494991968024592,3.479029679873021e-05,0.06393977403806393,0.01870436768218918,0.01980349107087241,0.010513856850219857,,0.002706039283036564,0.19643393208059096,,0.07097085135606117,0.02767328536438877,,,0.022844725488933872,,,,0.0009522541716586576,0.0021123126610223053,0.018449065234723047,0.05757096231002571,,,,,0.08320526545933919,,,0.0519019146954422,,,,,,Control
2,,,,0.06891569263437464,,,,,,,,,,0.035299483745883466,0.0025175392472915194,,,,,,,,0.07514449641034011,,0.013831618781978031,,,0.033015962729995886,,,,,,,,,,,,,0.5500135441712695,,0.1569053356358761,0.06435632664299079,,,,,,Control
3,,,,0.03587841744564904,,,,,0.051702244873127266,,,,,0.17668305525050304,0.010920071202933222,,0.016572494078224604,0.0066526092666157844,,,,,0.2010700288642938,,0.001408531222924541,0.0015564657682460104,,0.005340116612946062,,,,,,0.0048103021162496755,,0.01373351540343901,,,,,0.0017638429156358552,0.34605105220125265,0.11360773485746235,0.012249517920497227,,,,,,Control
4,,,,0.031276781116426865,,,,,,,,,0.007357878865827028,0.19314469658748298,0.006520152747770773,,0.029420977396649912,,0.03470988250858576,,,0.002025617136783202,0.2112541132332324,,,0.013037495344432692,0.0010129591122010034,0.02040320248834866,0.014156638023532406,,,,,,,0.00496302794584879,0.010806737176703406,3.924175298430521e-05,,,0.16802596017594357,0.2353993330106343,,0.016445305376611936,,,,,,Control
5,0.0003111828976469272,0.005939182560161184,7.992018502635647e-05,0.03786699298381708,0.003321948247734769,2.6808669660739826e-05,,,,0.0029294288579850684,,,0.051432989150480814,0.13031947234063562,0.031797611337416744,0.0003632827651008178,0.0711826831775699,,0.06952469341504211,0.0024906771586694887,7.688524129117836e-05,0.004945541981263876,0.07287891323116094,0.0007016789915731753,,0.019305378264259022,,,,0.02729304668087425,,0.0002549352737549599,0.0023862750941793624,,4.137639958959467e-05,0.0657501338916011,,,0.0016138819135765375,0.0004913573907253334,0.3900135378723547,,2.7010999243085032e-05,0.00576730357995893,0.000698947542211515,,,,0.00016692190543479514,Control
6,,,,0.005332417102187535,,,,,,,,0.09727777798962058,,0.2369844970559317,0.004039652150597734,,,,,,,,0.11746369611363727,,,,,0.07305913162881962,0.010362489967850963,,,,,,,0.032351937120426534,,,,,0.3734006511690076,,,0.04972774970192049,,,,,,Control
7,7.336117707260028e-05,0.0032679944754542166,0.0,0.01849706902848306,0.0020276986566670173,0.0,,,0.004288206763023615,0.021896814189292155,0.014160097401399532,,0.016196351297375306,0.02334051082264508,0.009312591868565858,0.00022147375760547407,0.08324247847421583,0.0013432795119663735,0.0005081812149402282,0.01950936771969187,0.00026307360874431,0.002066838876504586,0.16924081341076536,0.00026114867989983945,0.011819704747997407,0.049877259051042164,1.5399430755764496e-05,0.007292379046294004,0.003151643220855106,,0.0,,0.0009411832644547454,0.004943645034565841,6.416429481568539e-05,0.00526788860436777,0.0032686361184023727,,,0.00016885903585661205,0.01087659655469819,0.4063931164544522,0.02105583416524124,0.0766081042712567,,0.00023024287789695107,2.534489645219573e-05,0.008282647996282748,,Control
8,,,,0.08434055864646778,,,,,,,,,,0.19312120255539303,0.02872832545600344,0.002509458274131907,0.0045529540348859966,,0.003357555528405418,,,,0.16019683711922705,,,0.0018582684262436536,,0.04393391849459792,0.06289439623227755,,,,,,,0.02597937402670374,0.01488868064595552,,,,0.34292897751410445,,,0.030709493045602512,,,,,,Control
9,,,,,,6.850862301620158e-05,,,,,,,,0.17974899291817445,0.006702393170379425,,,,,,,,0.006324176926153886,0.0016240394731281513,,0.0025492099161975364,,0.07786724549021214,0.004593624786176582,0.04534946542498504,,,,,,0.00895740111525147,,,,,0.6587114237419471,,,0.0075035184143780525,,,,,,Control
