,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,8,4,0.1038961038961039,0.05194805194805195
1,taxa1017280,11,11,0.14285714285714285,0.14285714285714285
2,taxa102106,33,28,0.42857142857142855,0.36363636363636365
3,taxa117563,5,3,0.06493506493506493,0.03896103896103896
4,taxa1263,65,68,0.8441558441558441,0.8831168831168831
5,taxa1301,36,33,0.4675324675324675,0.42857142857142855
6,taxa133925,5,3,0.06493506493506493,0.03896103896103896
7,taxa1348911,35,33,0.45454545454545453,0.42857142857142855
8,taxa1350,6,1,0.07792207792207792,0.012987012987012988
9,taxa1357,7,5,0.09090909090909091,0.06493506493506493
10,taxa135858,15,15,0.19480519480519481,0.19480519480519481
11,taxa1485,35,37,0.45454545454545453,0.4805194805194805
12,taxa1578,12,16,0.15584415584415584,0.2077922077922078
13,taxa158846,9,2,0.11688311688311688,0.025974025974025976
14,taxa1678,36,32,0.4675324675324675,0.4155844155844156
15,taxa1730,75,73,0.974025974025974,0.948051948051948
16,taxa189330,73,70,0.948051948051948,0.9090909090909091
17,taxa191303,7,7,0.09090909090909091,0.09090909090909091
18,taxa207244,44,38,0.5714285714285714,0.4935064935064935
19,taxa216851,64,59,0.8311688311688312,0.7662337662337663
20,taxa2172,23,29,0.2987012987012987,0.37662337662337664
21,taxa2316,1,3,0.012987012987012988,0.03896103896103896
22,taxa239759,63,56,0.8181818181818182,0.7272727272727273
23,taxa239934,31,32,0.4025974025974026,0.4155844155844156
24,taxa244127,23,22,0.2987012987012987,0.2857142857142857
25,taxa283168,58,47,0.7532467532467533,0.6103896103896104
26,taxa292632,73,73,0.948051948051948,0.948051948051948
27,taxa29465,30,24,0.38961038961038963,0.3116883116883117
28,taxa29521,4,6,0.05194805194805195,0.07792207792207792
29,taxa32207,4,1,0.05194805194805195,0.012987012987012988
30,taxa33024,16,19,0.2077922077922078,0.24675324675324675
31,taxa33042,63,61,0.8181818181818182,0.7922077922077922
32,taxa35832,28,24,0.36363636363636365,0.3116883116883117
33,taxa375288,70,65,0.9090909090909091,0.8441558441558441
34,taxa397864,59,45,0.7662337662337663,0.5844155844155844
35,taxa39948,36,25,0.4675324675324675,0.3246753246753247
36,taxa40544,30,25,0.38961038961038963,0.3246753246753247
37,taxa447020,15,12,0.19480519480519481,0.15584415584415584
38,taxa459786,36,25,0.4675324675324675,0.3246753246753247
39,taxa52225,10,9,0.12987012987012986,0.11688311688311688
40,taxa561,35,30,0.45454545454545453,0.38961038961038963
41,taxa570,4,2,0.05194805194805195,0.025974025974025976
42,taxa572511,67,66,0.8701298701298701,0.8571428571428571
43,taxa577309,24,32,0.3116883116883117,0.4155844155844156
44,taxa577310,19,21,0.24675324675324675,0.2727272727272727
45,taxa61170,29,19,0.37662337662337664,0.24675324675324675
46,taxa644652,7,3,0.09090909090909091,0.03896103896103896
47,taxa674963,6,8,0.07792207792207792,0.1038961038961039
48,taxa724,16,18,0.2077922077922078,0.23376623376623376
49,taxa816,77,74,1.0,0.961038961038961
50,taxa830,20,30,0.2597402597402597,0.38961038961038963
51,taxa836,5,2,0.06493506493506493,0.025974025974025976
52,taxa838,38,31,0.4935064935064935,0.4025974025974026
53,taxa841,77,75,1.0,0.974025974025974
54,taxa84108,3,3,0.03896103896103896,0.03896103896103896
55,taxa84111,6,6,0.07792207792207792,0.07792207792207792
56,taxa846,9,10,0.11688311688311688,0.12987012987012986
57,taxa872,16,14,0.2077922077922078,0.18181818181818182
58,taxa904,9,10,0.11688311688311688,0.12987012987012986
59,taxa906,9,6,0.11688311688311688,0.07792207792207792
60,taxa946234,16,9,0.2077922077922078,0.11688311688311688
