,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa816,taxa830,taxa838,taxa841,condition
0,0.013162825425209398,0.07633248725949643,3.262959906577731e-05,4.6178221515235026e-05,0.03289424882429006,0.06328719613403606,0.02007138091737496,,0.06321708201286012,0.0020237125732006675,0.06060513341497883,0.006436385999801964,0.32222914581919426,,0.016015939502691035,0.018476595149886716,0.0011649557202792053,0.06374672024544685,0.00034357048428083187,0.005513386095432657,0.001519252197332524,0.006011636686011465,0.0318969573068229,0.16805259665559028,0.007771715647383099,0.01914826810781858,Control
1,0.0009518478133673131,0.044091610998909174,0.0018576227749570468,,0.0005946209837397441,0.11513021637152282,0.005404583448425335,0.0032233691886830364,0.04523640239812438,0.014157992677228523,,0.010398512863518583,0.06678573506639356,0.004130225672614968,0.2885577315544742,0.011675790749652883,,,0.0005482236752595058,,,0.0165232820396127,0.12442373785801902,,0.19598698971883233,0.05032150414666481,Control
2,,0.015199653424563656,,,,0.3685951106779533,0.01943818332649313,,0.004235319229921426,,0.0011391242858884215,,0.06254676925022061,,0.006954094143767472,0.04123964267656231,0.07510813598679507,,0.0010471219259337824,,,0.019387476851331603,0.2654085408525353,0.103800140317438,,0.01590068705059587,Control
3,,,,0.014773102225730242,,0.2006957726558588,0.008260221569155131,0.0008947618507779782,0.00019996264389553184,0.019624325759832698,,,0.0403068716777251,,,0.033878559400971946,0.035157427993675015,,,,0.02074186546488982,0.0076828446450470395,0.2597557332595675,0.3434074486287653,,0.014621102224107826,Control
4,0.0015664353541531037,0.015336681364135548,3.041422530858108e-05,0.016122827437905662,0.026956970447237077,0.05760628949739259,0.0028860633799575194,0.0005899948706820021,0.04304270486035761,0.09094675373355168,,0.009701726870392658,0.03803730428035011,,0.005381262864395299,0.254910253375157,0.012966529556050953,0.11297446191481388,0.017757592048241896,0.00986910786035103,,0.005498706984421342,0.2728649213833377,,,0.0049529976918069015,Control
5,0.0001307100408175488,0.048786106372478696,0.00017067170190340932,0.0017775351526039724,0.0005820238891821657,0.1610171669225899,0.005973104891570354,0.00010835174436191543,0.0020702163817720594,0.007708047995270156,0.002209019923569023,0.005317935987286728,0.041194705960074345,,0.005090103934716202,0.01083345456723342,0.008409653361423177,,0.0007909373832133102,0.00010460850015893612,0.00273944774400742,0.015150831495939994,0.27563935116830696,0.37919670788754156,0.0010460850015893614,0.023953221992389268,Control
6,,0.08561525686434243,,,,0.19603997919953467,0.02916251685630932,0.0025473854830715017,0.004621766033377275,0.0034083006280011363,,,0.16261800465786047,,0.001886353744734305,0.04459792272350113,0.0638449635047525,,,,,0.026372018589471583,0.34811190448909796,,,0.03117362722594568,Control
7,,0.03722223880954773,,0.007996048758887243,,0.11984506223120643,0.002597364914105922,0.00018734332862206562,0.002341160822157564,0.013640108209170191,0.0008418885384991592,0.017790887839168167,0.0209151690063907,,0.0025774951671308543,0.0382661890077616,,0.04598574340397992,,0.00013603943167056842,0.0005427910245093853,0.008541152663996899,0.6774301121074253,,,0.0031432047357702127,Control
8,,0.073908504144706,0.00010976884751822992,,,0.16710857257419134,0.001020643170886485,0.0034865071304186466,0.014863116176034438,0.01028824056692089,0.00038936874214013636,0.0022163987202195048,0.21079657388644682,0.0003620300857771056,0.07129818023961917,0.08368952979167947,0.066273666577747,,,,,0.02260068081538785,0.25464922846997967,,,0.0169389900603273,Control
9,,0.04739469200224349,0.006815233274549516,0.0004346525812552348,0.00010834386085157423,0.11287131452605946,0.005080347934921312,6.896544384265234e-05,0.01908682515237851,0.00012047667041648527,,0.013121314259989079,0.021695698493296618,0.01508544584350166,0.08158601363770367,0.02867153185235009,0.02003893141876179,0.03853646388200949,0.0019626415893554817,,0.0006474024612574911,0.017687188498096536,0.49022404190714997,,,0.0787624747100099,Control
10,,0.013144712845635769,,0.0016001534111154605,,0.0301387457851437,0.028201469692528323,,0.0029545681933471546,0.00236907396908257,,0.007727382830944112,0.14580089729705065,,0.0011277647789844328,0.02618125681266467,0.04890714327088647,,0.00047820298361800985,,,0.004728932739582001,0.2269725351976704,,0.4442142595105237,0.015452900681222587,Control
11,,,,,,,,,,,,,0.22975706892712067,,,0.03976281192884358,0.010992903297870988,,,,,,0.49207814762344426,,,0.22740906822272047,Control
12,,,,,,,,,,,,,,,,,,,,,,,,0.5555829999999999,,0.444417,Control
13,,0.009934201946359637,0.007598350138965237,0.0008852743754058912,,0.09749570949867184,0.027232332724490518,,0.015147960223629159,0.0009426815941750127,,,0.15540735723982013,,0.0069981744912297975,0.04554798861114195,0.005886330239971352,,,,,0.02947967748767249,0.473785957133836,,,0.123658004294631,Control
14,,0.023097995645242196,,,,0.062295064207771714,0.024021902726041,,,0.002061186885511248,,,0.026246544376163052,,,0.08958393805754777,,,,,,0.005675247139037131,0.4655731234909774,,0.1642863765711014,0.1371586209006071,Control
15,0.00012443979963180056,0.005758142162784051,0.002041934894913194,,0.00904447505401525,0.0003167540774102961,0.0,,0.004004682707104487,0.008162085001321978,,0.0015441825922132243,,6.221966995499253e-05,0.0,0.004230934798608599,0.003999028128773692,0.011793473594230917,0.00037897397722619624,0.00091632556780981,,9.615771354151714e-05,0.040352312217452425,9.050129632346043e-05,0.906755308915394,0.00032806783129004047,Control
16,,0.002941275424328312,,,,0.0021454739884761973,0.026988334701322846,,0.4850121600892397,,,,0.008138339633036226,,,0.0072502350456662605,,0.0813249237456903,,,,0.013197993267765076,0.19083206707330874,,0.13057136987903567,0.0515978271521306,Treat
17,0.0008450001015641692,0.010256395640813374,,,0.0028370367960063765,0.0046953638697346135,0.00498274094835467,,0.890716878413523,0.007782609888140948,,0.00020343057633306455,0.024386031622072736,,0.004747756479227748,0.0022844492484539497,0.0012693473698202275,0.0325705855145861,8.296044313718331e-05,0.00017120652540479395,,0.0017579331048224469,0.004273093899420817,,0.002233568596323854,0.003903610962260078,Treat
18,0.00010190447413714532,0.0046317292259380576,0.00040331491799126584,0.00015263923214505943,0.0003100630036246068,0.01004958311928227,0.003045343752182942,9.908419774852533e-05,0.8894244435776273,0.0007203838542128014,0.014034669426789386,0.0027303253328190454,0.022710872278012967,0.00035631626378279,0.002846847506676168,0.0019607601424601762,0.002807126509668747,,0.0009111595930661979,0.00025655661011106054,1.053754874422364e-06,0.001740174238077941,0.028793916946818567,,0.006934832478312016,0.0049768995636404,Treat
