,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,4,9,0.06060606060606061,0.13636363636363635
1,taxa1017280,14,11,0.21212121212121213,0.16666666666666666
2,taxa102106,36,31,0.5454545454545454,0.4696969696969697
3,taxa117563,6,3,0.09090909090909091,0.045454545454545456
4,taxa1263,62,59,0.9393939393939394,0.8939393939393939
5,taxa1301,40,35,0.6060606060606061,0.5303030303030303
6,taxa133925,8,5,0.12121212121212122,0.07575757575757576
7,taxa1348911,34,32,0.5151515151515151,0.48484848484848486
8,taxa1350,5,2,0.07575757575757576,0.030303030303030304
9,taxa1357,5,5,0.07575757575757576,0.07575757575757576
10,taxa135858,13,11,0.19696969696969696,0.16666666666666666
11,taxa1485,38,31,0.5757575757575758,0.4696969696969697
12,taxa1578,16,18,0.24242424242424243,0.2727272727272727
13,taxa158846,2,4,0.030303030303030304,0.06060606060606061
14,taxa1678,38,36,0.5757575757575758,0.5454545454545454
15,taxa1730,65,64,0.9848484848484849,0.9696969696969697
16,taxa189330,61,62,0.9242424242424242,0.9393939393939394
17,taxa191303,11,6,0.16666666666666666,0.09090909090909091
18,taxa207244,34,40,0.5151515151515151,0.6060606060606061
19,taxa216851,58,56,0.8787878787878788,0.8484848484848485
20,taxa2172,29,25,0.4393939393939394,0.3787878787878788
21,taxa2316,3,3,0.045454545454545456,0.045454545454545456
22,taxa239759,55,60,0.8333333333333334,0.9090909090909091
23,taxa239934,33,36,0.5,0.5454545454545454
24,taxa244127,25,20,0.3787878787878788,0.30303030303030304
25,taxa283168,50,53,0.7575757575757576,0.803030303030303
26,taxa292632,63,65,0.9545454545454546,0.9848484848484849
27,taxa29465,33,28,0.5,0.42424242424242425
28,taxa29521,3,4,0.045454545454545456,0.06060606060606061
29,taxa32207,1,4,0.015151515151515152,0.06060606060606061
30,taxa33024,17,16,0.25757575757575757,0.24242424242424243
31,taxa33042,57,55,0.8636363636363636,0.8333333333333334
32,taxa35832,28,31,0.42424242424242425,0.4696969696969697
33,taxa375288,60,58,0.9090909090909091,0.8787878787878788
34,taxa397864,50,48,0.7575757575757576,0.7272727272727273
35,taxa39948,27,24,0.4090909090909091,0.36363636363636365
36,taxa40544,28,29,0.42424242424242425,0.4393939393939394
37,taxa447020,13,14,0.19696969696969696,0.21212121212121213
38,taxa459786,35,29,0.5303030303030303,0.4393939393939394
39,taxa52225,13,12,0.19696969696969696,0.18181818181818182
40,taxa561,32,36,0.48484848484848486,0.5454545454545454
41,taxa570,3,2,0.045454545454545456,0.030303030303030304
42,taxa572511,58,60,0.8787878787878788,0.9090909090909091
43,taxa577309,26,26,0.3939393939393939,0.3939393939393939
44,taxa577310,21,22,0.3181818181818182,0.3333333333333333
45,taxa61170,23,24,0.3484848484848485,0.36363636363636365
46,taxa644652,3,5,0.045454545454545456,0.07575757575757576
47,taxa674963,8,6,0.12121212121212122,0.09090909090909091
48,taxa724,24,21,0.36363636363636365,0.3181818181818182
49,taxa816,64,66,0.9696969696969697,1.0
50,taxa830,20,26,0.30303030303030304,0.3939393939393939
51,taxa836,4,3,0.06060606060606061,0.045454545454545456
52,taxa838,29,31,0.4393939393939394,0.4696969696969697
53,taxa841,65,65,0.9848484848484849,0.9848484848484849
54,taxa84108,2,1,0.030303030303030304,0.015151515151515152
55,taxa84111,4,9,0.06060606060606061,0.13636363636363635
56,taxa846,11,11,0.16666666666666666,0.16666666666666666
57,taxa872,16,13,0.24242424242424243,0.19696969696969696
58,taxa904,11,9,0.16666666666666666,0.13636363636363635
59,taxa906,13,7,0.19696969696969696,0.10606060606060606
60,taxa946234,9,11,0.13636363636363635,0.16666666666666666
