,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa846,taxa872,condition
0,0.0003084492963727839,0.014611576880753211,0.0011795300696479968,0.000274662298960868,,0.00932105288600735,0.04261351261580495,0.005287717074960874,0.0009245162091820586,0.02013871381737452,0.00923227105280804,0.0001069748318057279,,0.009412017879039431,0.0006340519914316175,,,,0.0019408290913324922,0.004710531199173312,,,0.004017637852248941,,0.001149381671957364,0.00014741526870799045,0.04297529338809255,,,,0.0023394117008010635,,0.0043766117047515435,0.0028669047003950995,,,,0.015362791783210152,0.006855537714865812,0.7916854877568916,0.007527119263422667,,,Control
1,0.004501425803965223,0.06125050817270612,0.005317623927928046,0.0017285676493302693,,,0.0013221301874778396,1.3594910146203692e-05,0.012785358422756793,0.02290702078420074,0.008599636643297857,,0.0031044732591642035,0.11129095554796703,0.0062833660634991064,0.04531304395375435,0.0014807374725168824,0.0001518601814850013,0.0038081860895469535,0.0659885861162534,0.001165134151048716,,0.1303449773906574,0.0029136410019267515,0.017336732933629546,0.006866436654214063,,0.0023559475768180392,,0.0028446594208145323,,8.640320670698349e-05,0.012524336147949679,,,0.0013207203449441588,0.0,0.38254465902807266,5.6192295270975246e-05,0.00031721457007808604,0.08309400417132122,0.00038186592055114367,,Control
2,,0.026904690596676006,0.006156252267829833,0.00800163384852436,,,0.10539401429976941,0.002491551596653307,0.0013725495923130036,0.10455967759800903,0.015249140555683747,,0.0008052410769110827,0.0016349719075563474,0.0466265813584444,0.002624672505712966,0.022299605849770872,,0.007302889498861003,0.28149848534243305,0.00012042667891304136,,0.008297869998052057,0.0001323345408204877,0.08885916167304114,,,,,,,0.03698334764149068,0.01806748432487254,,0.0012403273898123975,8.178229687378183e-05,0.0006534720067510837,0.20778207983614785,,,0.004859755718076652,,,Control
3,,0.012232021600897309,,0.0014890482066340742,,0.05054923582915821,,,,0.028046089237333927,0.026243326157603296,,,0.002749420423767235,0.008253569821057976,0.002204579461282246,,,0.007190838994850606,0.13567734389571395,,,0.001049459451816693,,0.024363384931416092,0.045511320022961516,,0.00044499939206896547,,,,,0.004400583572958208,0.010631289674390915,,,,0.2112129025526876,,0.4133706442711203,0.014379942502280894,,,Control
4,0.002500844359123874,0.0015675971054650633,0.00029160722131957057,0.0003870044408655444,,,,2.5203195556905737e-05,0.0021593514738714203,0.10726875781676588,0.004686440482914055,,0.0009691774291428298,0.04968080985990669,0.0037323641420181327,0.04450426095430338,0.028906086540483367,0.0005980030945774911,0.010548266358618353,0.040102970675665386,,0.10708129603163188,0.01170823822685313,0.0009438700881497388,0.08778741666933107,0.013234489594152528,,0.006213525013702936,,0.0004569901739822414,,,0.012591391525706687,0.007240815596237309,,,,0.17861671323877,,0.22084977052073862,0.052840061666595675,,0.002506676503550265,Control
5,0.0010763065627025306,0.0050702643517605344,0.00018929711495497528,,,,0.0005408201466071434,0.0006843276883008143,0.006897117370249458,0.02680763146136165,0.0038280083246450547,6.018058200057162e-05,0.0008599382494897732,0.039836928737334916,,0.049639620962969824,0.00625918307375845,0.00017792519895821178,0.013661495296253507,0.1165460371388662,0.002141039936558798,,0.002918255044903973,0.00012972035150290436,0.019893808444603672,0.022568523341612357,,0.02309535502517923,,0.0006923786022808241,,,0.004126495960453911,0.012030480760328316,0.0002878201747853425,0.0002061033978882453,0.0006292795639624987,0.12956939686577915,,0.43951952145367307,0.06984671059782062,0.00021002821845349996,,Control
6,,0.07699480009354437,0.032538611896563305,,,,,,,0.20213350922594472,0.031046303445990197,,0.002874582604926575,0.002675303902556467,0.016069469468373104,0.015243248812795865,,,,0.035312794544570585,0.0008409256997724876,,0.0014368349390227455,,0.048891939424953665,0.03449854075254535,0.007438318424446801,,,,,,0.008631860942611588,,,,,0.41074940758954714,0.049620903960646466,,0.0230026442711886,,,Control
7,0.0017572022156046054,0.0015520111847348713,,0.0005646140199351057,,,,,0.001120995388047607,0.10921915277467463,0.004412805587698792,,0.000593271985140376,0.03931706088910972,0.00367051218349101,0.03737561400993087,0.02328193935432666,,0.009847293687661109,0.0421661836844264,,0.0923411744305089,0.013004255134673674,0.00014328982602635114,0.09359441330163104,0.012111272938877458,,0.005609874847018571,,0.00010389815021692516,,,0.020433129191357674,0.006868636889616604,,,,0.2066874977073628,,0.22048708953456966,0.05373681108335862,,,Control
8,0.00472440982913581,0.003149606552757206,0.008661445916265022,,,,0.013648326943299554,0.00472440982913581,0.05958002939347444,0.006036741907615687,0.00026246721272976724,,,0.010761151736751497,,0.10314972220236035,0.00026246721272976724,0.022834619611307037,0.02047245056325975,,0.0005249344254595344,,0.001574803276378603,0.0007874008411555099,0.033070844892936914,0.05433068513887909,0.006824147530973946,,,0.023359546066428656,,,0.002362200929398947,0.04461938631237085,0.02493440513517267,,,0.2800521692729623,,0.2656170902740135,0.0034120697803180153,,0.00026246721272976724,Control
9,,0.06432635959573084,,0.008614379137834109,,,,,,0.05749238658745213,0.018044293277144397,,,,,0.0009245291412717737,,,,0.005375696126764836,,,0.010325728683455944,,0.03220443175430012,,0.08479642968361367,,,,,,0.008717913459866295,,,,,0.6982712599237243,,,0.010906592628841591,,,Control
