item,value,type
0,MicrobiotaLoads_ori,-0.022558622182188515,MicrobiotaLoadsFoldChange_ori
1,taxa577309,6.119334353394662,TaxaFoldChange
2,taxa459786,5.7179414057877125,TaxaFoldChange
3,taxa1678,-1.9603334009726847,TaxaFoldChange
4,taxa838,-9.32289293979528,TaxaFoldChange
5,taxa32207,-1.239869044889501,TaxaFoldChange
6,taxa158846,9.993981329336489,TaxaFoldChange
7,taxa644652,4.386528034940359,TaxaFoldChange
8,taxa33024,-3.7746113347725463,TaxaFoldChange
9,taxa100883,6.222156396225746,TaxaFoldChange
10,taxa1301,-0.4895305772979608,TaxaFoldChange
11,taxa84111,4.567886910610701,TaxaFoldChange
12,taxa283168,-7.218625703103397,TaxaFoldChange
13,taxa29521,-4.812754161455541,TaxaFoldChange
14,taxa397864,-1.7429966363852358,TaxaFoldChange
15,taxa35832,0.9869210508998378,TaxaFoldChange
16,taxa561,6.639653155053813,TaxaFoldChange
17,taxa946234,-9.660161549578524,TaxaFoldChange
18,taxa191303,2.0296870846050616,TaxaFoldChange
19,taxa906,-3.645769898698399,TaxaFoldChange
20,taxa29465,3.065372162726065,TaxaFoldChange
21,taxa133925,-6.835265154276085,TaxaFoldChange
22,taxa830,-3.127981828771615,TaxaFoldChange
23,taxa244127,-4.440876401524093,TaxaFoldChange
24,taxa1357,-8.543491595135379,TaxaFoldChange
25,taxa117563,-9.529293122043716,TaxaFoldChange
26,taxa1263,8.560340493677646,TaxaFoldChange
27,taxa841,-7.547756111515516,TaxaFoldChange
28,taxa872,5.764939568800081,TaxaFoldChange
29,taxa572511,-6.451484029996995,TaxaFoldChange
30,taxa40544,9.736423568597338,TaxaFoldChange
31,taxa577310,8.503796479295064,TaxaFoldChange
32,taxa239934,6.389279562320964,TaxaFoldChange
33,taxa207244,-1.969411767790348,TaxaFoldChange
34,taxa1017280,-7.05567982548782,TaxaFoldChange
35,taxa570,5.11313067142116,TaxaFoldChange
36,taxa239759,-8.598295548365584,TaxaFoldChange
37,taxa1485,5.683739163852284,TaxaFoldChange
38,taxa1578,-1.9701612934670507,TaxaFoldChange
39,taxa836,6.373683562169305,TaxaFoldChange
40,changedTaxaCount,40.0,changedTaxaCount
41,totalTaxaCount,61.0,totalTaxaCount
42,MicrobiotaLoads,3.634988129392383,MicrobiotaLoadsFoldChange
43,taxa100883,0.03876557417763719,ranksums_on_loads
44,taxa1017280,0.00010751117672950025,ranksums_on_loads
45,taxa102106,0.760247378548103,ranksums_on_loads
46,taxa117563,0.002699796063260186,ranksums_on_loads
47,taxa1263,1.0315349242097573e-26,ranksums_on_loads
48,taxa1301,0.9294590705068122,ranksums_on_loads
49,taxa133925,0.00616989932054416,ranksums_on_loads
50,taxa1348911,0.1803671365164461,ranksums_on_loads
51,taxa1350,0.6309540411841708,ranksums_on_loads
52,taxa1357,0.00616989932054416,ranksums_on_loads
53,taxa135858,0.011848940928347476,ranksums_on_loads
54,taxa1485,6.65958246843753e-09,ranksums_on_loads
55,taxa1578,0.007804573862012056,ranksums_on_loads
56,taxa158846,0.03168638853979375,ranksums_on_loads
57,taxa1678,4.414807055566355e-05,ranksums_on_loads
58,taxa1730,0.5023108920809451,ranksums_on_loads
59,taxa189330,0.6041673458085028,ranksums_on_loads
60,taxa191303,0.002621821769090596,ranksums_on_loads
61,taxa207244,0.0032612363043614772,ranksums_on_loads
62,taxa216851,0.4063386160328872,ranksums_on_loads
63,taxa2172,0.6830170441395118,ranksums_on_loads
64,taxa2316,0.22067136191984693,ranksums_on_loads
65,taxa239759,8.431669194481131e-25,ranksums_on_loads
66,taxa239934,3.9252297357726704e-11,ranksums_on_loads
67,taxa244127,2.4694984247303284e-07,ranksums_on_loads
68,taxa283168,5.083487766264701e-21,ranksums_on_loads
69,taxa292632,0.16161247228699582,ranksums_on_loads
70,taxa29465,7.201165508659064e-06,ranksums_on_loads
71,taxa29521,0.004483250402085382,ranksums_on_loads
72,taxa32207,0.6985353583033387,ranksums_on_loads
73,taxa33024,2.7203743987101067e-07,ranksums_on_loads
74,taxa33042,0.4561279976284205,ranksums_on_loads
75,taxa35832,0.12254039177076677,ranksums_on_loads
76,taxa375288,0.737643187801162,ranksums_on_loads
77,taxa397864,0.0006693377667001392,ranksums_on_loads
78,taxa39948,0.5988571654138131,ranksums_on_loads
79,taxa40544,2.0048960802803032e-13,ranksums_on_loads
80,taxa447020,0.25767742934471405,ranksums_on_loads
81,taxa459786,7.08856234510162e-11,ranksums_on_loads
82,taxa52225,0.18005767658452898,ranksums_on_loads
83,taxa561,2.214707362074336e-08,ranksums_on_loads
84,taxa570,0.05270504179022665,ranksums_on_loads
85,taxa572511,6.252204189516632e-26,ranksums_on_loads
86,taxa577309,2.768832576971148e-11,ranksums_on_loads
87,taxa577310,5.010843542919833e-10,ranksums_on_loads
88,taxa61170,0.822483370232168,ranksums_on_loads
89,taxa644652,0.020921335337794014,ranksums_on_loads
90,taxa674963,0.3717512896455607,ranksums_on_loads
91,taxa724,0.7964303032729557,ranksums_on_loads
92,taxa816,0.3990779700361693,ranksums_on_loads
93,taxa830,0.006653612007949345,ranksums_on_loads
94,taxa836,0.06407750645105953,ranksums_on_loads
95,taxa838,5.268646903139538e-10,ranksums_on_loads
96,taxa841,4.518792221050139e-29,ranksums_on_loads
97,taxa84108,,ranksums_on_loads
98,taxa84111,0.003813531882582069,ranksums_on_loads
99,taxa846,0.31063545633740075,ranksums_on_loads
100,taxa872,0.00020539483890082976,ranksums_on_loads
101,taxa904,0.9092690452142216,ranksums_on_loads
102,taxa906,0.8589549227374823,ranksums_on_loads
103,taxa946234,1.4088255283626364e-05,ranksums_on_loads
104,qml_loads_delta,3.66,qml_loads_delta
105,taxa100883,0.6640540221910344,logged_relative_abundance_diff
106,taxa100883,4.324054022191034,qml_logged_loads_diff
107,taxa100883,0.04550026389635839,qml_diff_pvalue
108,taxa100883,0.893929766752772,mwu_diff_pvalue
109,taxa100883,0.893929766752772,mwu_logged_pvalue
110,taxa1017280,-10.888474497519198,logged_relative_abundance_diff
111,taxa1017280,-7.228474497519198,qml_logged_loads_diff
112,taxa1017280,0.0001241544606016335,qml_diff_pvalue
113,taxa1017280,0.0001241544606016335,mwu_diff_pvalue
114,taxa1017280,0.0001241544606016335,mwu_logged_pvalue
115,taxa102106,-3.937415121947069,logged_relative_abundance_diff
