,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa846,taxa872,taxa906,taxa946234,condition
0,,0.00788168726325018,0.1056294172845777,0.0001929091387813903,0.00023449312768799915,,0.001383326889505459,,0.009172819406618791,0.0719505446691152,0.03205750274555751,0.00024331704728525517,0.019649550426367735,0.005648119937149351,0.08752557415317758,0.04034113476011718,,0.011988968274864892,0.17043857111734353,0.0002479825679918503,0.04592687871390662,0.05208962586986605,0.00035792657768639666,0.031191338683941805,0.052325336089912286,0.0035312920530765858,8.479076762420731e-05,,0.0005955638606331883,0.0004500198994600572,0.0022097326007519194,0.015843499773417972,0.004188927623980127,0.0001306345797846639,5.385633685221781e-05,0.000257719306857788,0.06868569441813045,0.13587720511779222,0.014392117136214135,0.006144795043675359,0.0001605547669247849,0.0009165719701195713,,0.0,Control
1,,,0.06891569263437464,,,,,,,0.03529948374588347,0.00251753924729152,,,,,,,,0.07514449641034013,,0.013831618781978031,,,0.03301596272999589,,,,,,,,,,,,,0.5500135441712695,,0.15690533563587614,0.06435632664299079,,,,,Control
2,,,0.0002391724963235519,,,0.03203108330529343,0.13149098662696213,,,0.052299501582341604,0.058255912291259045,,0.007447093707017214,0.02609436184000749,,,,,0.14435013527028512,,,0.016466321704209738,,0.002696182846337163,,,,,,0.004040750931171689,,0.004758890185730708,0.002307372098414301,,,0.0028468573739170787,0.0070353812599229905,0.26204932487138005,0.23393515751757601,0.0021836407463301064,,,0.009471873345520626,,Control
3,0.00048090543250730965,0.01448449620667222,0.14234249913515573,0.0016632758106913828,0.003619848846342145,,0.000982316166655258,,0.10262852462926467,0.11687001770903138,0.007414961912677407,0.0002749342682662706,0.18966179820477616,,0.07371237672462591,0.0035080388433663253,,0.0022171229878407642,0.08351574720452039,0.00021668288897868602,,0.04642043233949271,0.00017914084418388542,0.01946320384830443,0.024101992758261973,,0.012300324524452979,0.0006725942970981528,0.008559994278918825,,0.0012120571581712655,0.02696845029805629,,,,,0.07047192696684862,0.00018189528768785176,1.3568184667686082e-05,0.04550452886621086,7.120746539883371e-05,,,0.0002851359108735534,Control
4,,0.0028330957417105275,0.013936312561061386,,0.0003151161673004421,,0.036663226970607636,,0.0016856375482578849,0.1190911268556177,0.008758968172555092,,0.030915764403367005,0.005530909203721382,0.05714638814113502,0.09823304050992265,,0.0016654977803025948,0.24921945684673283,,,0.0021916746471344825,,0.019172347081437394,0.03416498030015375,,0.0025685324262978574,,0.001352619364997185,,0.020737044305963764,0.00962741937862713,0.008020204866195145,,,,0.10346958361029754,0.10095801214387322,0.01800841089602133,0.05299169641435844,,0.0007429336623506872,,,Control
5,,0.0020104903365396267,0.038048013463392906,,,,,,0.0014193509155624871,0.1295042153222516,0.0037144715449826796,,0.037468275688936785,0.005685107477466853,0.051586492890508436,0.010085424011826485,,0.0008365316150196044,0.11194876120596962,,,0.055169177836513934,,0.031311386567586696,,,0.013624864875081093,,0.00167080344424225,,,0.01230402007675876,,,,,0.20897677309983853,0.24593659698445966,,0.038699242643061904,,,,,Control
6,,0.004446727896851633,0.007862729485261157,,,,0.000624924519843861,,0.006316281811687499,0.1893728033995239,0.019672022090355117,0.0013645788770190305,0.03838843981749666,,0.05234239231668301,,,0.0018598310472654174,0.04548940821510667,,,,,0.05742233475730697,0.05682647649420004,,0.013398930279875302,0.0001049046237864326,0.005286271925066372,,,0.021446905978847138,,,0.0012543522625624564,,0.46213813022092404,,,0.013784774603460517,,,,0.0005967793768767695,Control
7,,,,,,0.04711976230419017,,,,,,,,,,,,,0.2664087868729705,,,,,,,,,,,,,,,,,,,0.6864714508228394,,,,,,,Control
8,,,,,,0.022418162788628692,,,,0.05489286696578587,0.018870100572539333,,,0.01697249396729667,,,,,0.19427615398036271,,,0.011067844983801837,,,,,,,,,,,,,,,0.002786963375439258,0.3219538690836704,0.35238458974868975,0.004376954533785481,,,,,Control
9,0.00042341485148757234,0.015597293409049553,0.13897921829723375,0.0016310295050075358,0.003432914195811671,,0.0008747785512785884,0.0,0.103445419775381,0.11613562494848846,0.007246707952079761,0.0002557217616669101,0.19318468354151488,,0.07450061324261315,0.003306940372254178,0.00014311034368515152,0.0020629106134629404,0.08092201414497331,0.0002550077399949243,,0.045855797815175285,0.00019737599075607138,0.020165706069510618,0.02422971342026174,,0.012061050076991937,0.0005709113283006367,0.008934145169174176,,0.0011413126411212837,0.02570080207074445,,,,,0.0720803857838693,,1.397442415172185e-05,0.04634786075026949,6.395594119072703e-05,,,0.0002396052724992309,Control
10,,0.0020588497386852325,0.05506931070566543,0.001949756235057041,,,,,0.00546143675841521,0.01847585778930139,0.01130767789179277,0.0029061661646448047,0.040270035183411816,0.0014032795263182276,0.10318570186834483,0.0010388608014325663,,0.010296267074621876,0.1838008560156489,0.0223360118260991,,0.0041943979628074925,0.00044565856801303806,0.028956705824271057,0.014251587784797373,0.05432684918282305,0.017768617018324176,,0.00018104879325529663,,0.0008398484155354399,0.009250140100884749,,,,0.0008549862745032738,0.3572020029203958,,,0.052168089574950116,,,,,Control
11,,0.0003720618238159791,0.01817374220655922,0.02436238069999628,,,,0.0018000763422513734,0.0014033322844230315,0.11277241619162678,0.033431933610275445,0.001968281196261546,0.019318063393321653,,0.0011193342338116539,,,0.011896938366938076,0.07245992895173232,0.004347221948539472,,0.07165618196514867,,0.014940166404980817,0.000973881727203824,,,,,0.002085090122657499,,0.01600769841926035,0.030930394271771508,,,,0.09669239781098042,0.2278850738303516,0.18845850611743586,0.04694489808065667,,,,,Control
12,,,0.06336425188353498,0.008277856355118686,,0.0023058408927486354,,,,0.04554528376048801,0.0007711583675583216,,0.005535627516581195,,,,,,0.029379534746487485,0.00038769406625875223,0.032992166681625586,0.00027493472234687996,,0.0012238463831898824,0.0021432528543176093,,,,,,,0.039704287846853634,0.0016877793837129288,,,0.008379164384141064,0.009023429802923904,0.10138736290661195,0.5857213451477891,0.06189518229771148,,,,,Control
13,,,0.02780448373978143,,,,,,,0.10232748196031394,0.014975835041659953,,0.00043484370735089387,,,,,,0.007207774904243265,,,,,,0.005517807229481655,,,,,,0.22494935766649193,,0.1321793252926564,,,,0.4619791696196216,,,0.022623920838398925,,,,,Control
14,,,0.01779339712914812,,,,,,,0.05213409348791169,0.025087675335587686,,,0.01577894593310731,0.027770023743434156,,,0.0065245171169526035,0.23883006772288684,,,0.01703600450654644,,0.040049498001135095,0.006452920788315801,0.09694997628874398,,,,,0.07606476410819733,,,,,,0.33284047171522685,,,0.04668764412280621,,,,,Control
15,,,,,,,,,,0.06762440676244066,,,,,,,,,0.02798380279838027,,,,,,,,,,,,,,,,,,0.30636503063650306,,0.5231790523179052,0.07484770748477074,,,,,Control
16,4.657690398416385e-05,0.004571890838445556,0.07894468584082547,0.0005221516078224686,,0.01526343529181043,0.000955847955008345,,,0.04872383368776724,0.02057800303567014,3.769052098718521e-05,0.03628351034599694,0.0012076288065894058,0.047036340199340984,0.009286678801175861,0.0010986429369597946,0.0076687442417259595,0.4404213984102567,,,0.02675986133156831,0.0025327212964722074,0.042055573600701106,,,0.015392747485766465,,0.0015307050068128936,0.026655165439937244,0.007166510388896721,0.014019648099233322,,0.0003983550998645593,0.0007549339854099892,3.52391049880187e-05,0.11707758527352695,4.412548798499733e-05,2.7374145324026124e-05,0.032830180199504407,,3.278768898885218e-05,,3.9426940653261506e-05,Control
17,,0.0010276544872800254,0.0009663026078031444,4.601442071241977e-05,,,0.0010583309949126424,9.20287278460042e-05,0.006273288453558371,0.059864678207150676,0.0032823601935579125,,0.12089558389540658,,0.01592102682035523,1.533814023747326e-05,0.00024540978948423085,0.0019786228165260974,,6.135256094989304e-05,,0.0037118244856844326,0.0005368349083115639,0.04426587454260918,0.007224261325957856,0.062242110388149384,1.533814023747326e-05,,0.00912618435498976,1.533814023747326e-05,1.533814023747326e-05,0.004248666208726116,0.0001380425806642474,0.0014571255941366662,3.067628047494652e-05,,0.19528517787911176,,0.4314303417659766,0.021795437762139793,,0.0067180972463371435,1.533814023747326e-05,,Control
18,,0.0032807580254537584,0.0002768448093698734,,,0.003238328092606479,0.001134370556147194,,0.0009034214909710364,0.016700799657199745,0.011559741135399794,0.00024953841694340634,0.010088241657371991,,0.033599780708663894,,0.0004384776476173072,0.010581332089842233,0.009989833620050454,,0.061262101457951294,0.003515382951148863,,0.04987144990642309,0.01342004163174599,,0.027308492918192144,,0.007449393903112719,,,0.0053105682040165605,0.09166104785130197,,0.00036632575685968086,,0.25937817042969763,,0.3724833483518491,0.0023232488725610663,,0.0026077604767276016,,0.0010011993807750395,Control
19,,0.0007112574500824318,0.009098191632033684,0.04012684461871506,,,0.1738139096820106,0.029872879020344703,0.0025486786749415167,0.004297190493452904,5.927149655615302e-05,,0.05085507170162178,,0.0011854299311230606,,0.00014817886853823363,0.00047417248104062847,,0.011261586888626099,,0.08028344183458333,,0.01582550814407912,0.0021930486784217905,0.017159111094939263,2.96358754259276e-05,,0.0012447037163405331,0.00011854299311230605,0.0006223505866917559,0.4219833740854529,2.96358754259276e-05,2.96358754259276e-05,2.96358754259276e-05,0.07838665019213995,0.05441139709638928,,0.00026672313312905055,0.0023115911629426915,,2.96358754259276e-05,0.0005927149655615303,,Control
