taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa2316,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
,,,,0.12731684636080356,,,,,,0.016574093479326292,,,,,0.040603868778216354,0.01925622963771603,,,0.0054988554354351675,0.009648231346759486,,0.005981246734231176,0.007832068643876448,,0.0024473250997110924,0.22740797372548371,,,,,0.009107162618971276,,0.033567847120063145,0.038158975903541205,,,,,0.003931793113316959,,,0.008143798819316893,,,,,0.007392747996758656,,0.38513675387950036,0.00465426529170283,,0.0032747883254819763,0.013343490575330673,,,,,,0.030721637114456867,,Control
,,0.0017572022156046056,,0.001552011184734871,,,0.0005646140199351057,,,,,,,0.0011209953880476067,0.10921915277467462,0.004412805587698792,,0.000593271985140376,0.03931706088910972,0.003670512183491011,,0.03737561400993087,0.023281939354326663,,0.009847293687661109,0.04216618368442641,,,,0.09234117443050892,0.013004255134673676,0.00014328982602635116,0.09359441330163103,0.012111272938877458,,0.0056098748470185715,,0.00010389815021692516,,,,0.020433129191357674,0.006868636889616604,,,,,,0.20668749770736278,,,0.22048708953456964,0.05373681108335862,,,,,,,,Control
0.000702640200051856,,0.0001154260847718774,,0.12929759687396986,,,0.0002239866775127138,,,,0.0002940361508919294,,,,0.2617758474779454,0.03397710551499612,,0.03757794881196415,,,,0.00036312016445427976,,,0.006146546287415458,0.04625957803184151,,,,0.006646010832673691,0.024528472107275892,,0.004995825459025188,0.012618345259801484,,,,,,0.0004398205832385663,,0.12354345636545358,,7.766587860115172e-05,0.0009904544987906544,,,,0.26547677677592846,,,,0.0439493399633962,,,,,,,,Control
,,,,,0.00024718600828973477,,0.0008685273279683601,,,,,,,,0.1844963216757574,0.009636673400166319,,0.0008291371735016598,,,,,,,0.0024846490940878345,0.0004064859316784421,0.0017117835698243176,,,,0.004452826760259037,,0.07138273561246473,0.003943107930250983,0.033558365363838154,,,,,,,0.004593301259175348,,,,,,,0.6717341162527256,,,,0.00965478264001205,,,,,,,,Control
,3.0497330613680997e-05,0.009478017718539726,,0.007826351883726981,0.0007215995911310898,,5.935722065749992e-05,,,,0.002557989190231398,0.00026106943085738325,,0.11917804167634205,0.09973548170994233,0.04135243585147473,,0.00010428449629309041,0.14163758589271264,0.00027273619491765053,,0.006698257671127634,0.0015752178282073086,0.0003419180589943229,0.004058601132474366,0.07911181539249398,4.738343649038356e-05,,,0.04979876367096573,0.04245627547563299,0.004265020984312603,0.03344093705811491,0.005664827991473436,,,0.0005531478925065295,0.002297636139623329,,0.00108337161703499,,0.015649326546278625,0.051228556308562156,0.0038655878253018748,8.422584931228006e-05,,,,0.21191448835048024,,,0.0003151049696628315,0.023057107684334617,,,,,0.03927697992917455,,,Control
,,,,0.0009985989015412085,,,,,,,,,,,0.22035575760866663,,,,0.009828289188881891,,,0.0013050985643915792,,,,0.19856678157654029,,,,,,,0.007334591931948875,0.0015451983002818697,,,,,,,,,,,,,,,0.18006580192761787,0.3614126024461373,,,0.01858727955399249,,,,,,,,Control
,1.9575176295147644e-05,0.002872707572798214,,0.055894796948411644,0.00730941118979637,,0.0003731391852549278,,,0.0057255372603895,0.0004027037556388364,3.945306150207593e-05,,0.012510353906070032,0.17939640044796884,0.011442598671249141,,0.00032188047619340716,0.04967473422914317,0.0014932630618138662,,0.024681875636886935,0.025296980145625186,0.001031127456495432,0.007339480275033246,0.10971785410459663,0.00020220955306946334,,,0.02693090194844645,0.15245026215096275,0.0047824980972222325,0.031443181890419176,0.007754191484172715,,0.0,5.4184895208733445e-05,0.002594921694754185,5.216683579686255e-05,0.0016748884088822464,,0.009291650047106552,0.04195222627773684,0.0007434530873332363,0.000256999866101758,,,0.0005433624966462375,0.18119045526512206,,,,0.04240548242164304,,,8.627203985748061e-05,,,,4.6818978355404684e-05,Control
,,,,0.005332417102187535,,,,,,,,,0.09727777798962056,,0.23698449705593178,0.004039652150597734,,,,,,,,,,0.11746369611363727,,,,,,,0.07305913162881963,0.010362489967850963,,,,,,,,0.03235193712042653,,,,,,,0.37340065116900756,,,,0.049727749701920496,,,,,,,,Control
,1.8408820856034584e-05,0.0016221120653751135,,0.009820241424057564,0.00038180504692571167,,9.214581047274766e-05,,,,0.0050752407156739315,,,0.009743249836278457,0.005348932079892656,0.001811794114527072,,0.004456561946241565,0.05342951755769258,,,0.007041424830529514,0.00015510194367653445,,0.007605995905512099,0.07947942295567759,0.00013404876181355568,,,0.04038742736525125,0.0012029808457744587,0.004952277928851026,0.06820051131771256,0.011175374733923887,,0.020832377718898936,,0.006539911594943291,,0.0005143282158506457,,0.002811972812307426,,8.960315565837827e-05,0.00034803859099088584,,,,0.5861999138955375,,,,0.07031315234987583,,3.9156884141289027e-05,,,,,0.00017696877508011142,Control
,,,,0.08754128659279384,0.0016900815894239343,,0.0011316398678829027,,,,0.03442705302684622,,,0.0009370853026008982,0.059632910385592694,0.014128805797077178,,0.002313305062395606,0.0077694146408851346,0.06500749333344497,,0.011988286956994963,0.008732559161751346,,0.0023317244295228963,0.2559538511129065,0.0006894704013328922,,,,0.011665215443802092,0.0001373080094943465,0.06078767911787975,0.04826564913617354,,0.0006308633241096955,,,0.0015957869883916126,,,0.006316901025205229,0.026714152353283456,6.164208657939794e-05,,,,0.00041893594665081487,0.10724153232389619,0.10561204626610124,,0.06684189485053102,0.009377550977691634,,,5.787448875790671e-05,,,,,Control
