,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa100883,5,9,0.06756756756756757,0.12162162162162163,-22.579996709040124,-11.068803833434105,-11.511192875606017,-13.780213577573482,-8.910751590556602,0
1,taxa1017280,16,16,0.21621621621621623,0.21621621621621623,-9.1488656486656,-13.248952167888397,4.100086519222797,3.0960404844205476,5.1849773416473806,1
2,taxa102106,37,34,0.5,0.4594594594594595,-11.39095426102883,-9.058880496745227,-2.332073764283604,-3.024560591838784,-1.688872116053109,2
3,taxa117563,6,4,0.08108108108108109,0.05405405405405406,-9.661850668667299,-13.90042971717929,4.2385790485119905,2.960366519344893,5.703854083857419,3
4,taxa1263,67,65,0.9054054054054054,0.8783783783783784,-7.010420330559396,-5.193772365761946,-1.8166479647974487,-2.473722991380381,-1.1374160927109112,4
5,taxa1301,35,40,0.47297297297297297,0.5405405405405406,-19.52922744618405,-9.908053532651843,-9.621173913532207,-10.93396724924416,-8.273554430450433,5
6,taxa133925,5,4,0.06756756756756757,0.05405405405405406,-18.31992894346577,-15.174054149945352,-3.145874793520413,-4.371700486396701,-1.9491918240884272,6
7,taxa1348911,40,38,0.5405405405405406,0.5135135135135135,-12.042776655604753,-10.65071551091355,-1.392061144691204,-2.2811394938231637,-0.47033916006929904,7
8,taxa135858,15,17,0.20270270270270271,0.22972972972972974,-8.09704792302791,-6.434302108777606,-1.6627458142503055,-3.04433000533085,-0.3445496039344273,8
9,taxa1485,41,37,0.5540540540540541,0.5,-9.833155898641817,-9.226113406496832,-0.6070424921449826,-1.8215348666079274,0.6396802863134792,9
10,taxa1578,12,12,0.16216216216216217,0.16216216216216217,-12.478530666512816,-11.062186978274319,-1.4163436882384968,-3.840526565551592,0.7269340739297429,10
11,taxa158846,5,6,0.06756756756756757,0.08108108108108109,-2.33285960474037,-2.965695279830806,0.6328356750904364,-2.1361430311383405,2.8600731845890768,11
12,taxa1678,39,42,0.527027027027027,0.5675675675675675,-12.747709488994841,-8.658365211635722,-4.0893442773591175,-4.958857973988825,-3.2028243796290403,12
13,taxa1730,71,72,0.9594594594594594,0.972972972972973,-5.5642617395322596,-3.316940887349936,-2.2473208521823236,-2.6788479635087765,-1.7772451754752552,13
14,taxa189330,71,73,0.9594594594594594,0.9864864864864865,-8.608264845211382,-6.618414594142723,-1.9898502510686606,-2.4530734678350408,-1.515717287020693,14
15,taxa191303,6,9,0.08108108108108109,0.12162162162162163,-15.51903590451993,-11.484738909700845,-4.034296994819083,-6.439070527397822,-1.6396730344693948,15
16,taxa207244,40,42,0.5405405405405406,0.5675675675675675,-12.878660218316634,-11.57802797706191,-1.3006322412547238,-2.438366452512489,-0.16588337884410947,16
17,taxa216851,59,64,0.7972972972972973,0.8648648648648649,-8.233714251594233,-5.933490783165441,-2.3002234684287926,-3.0163714277360327,-1.5887388313924289,17
18,taxa2172,32,34,0.43243243243243246,0.4594594594594595,-10.10654513839092,-7.734924201483774,-2.3716209369071457,-3.428070835645741,-1.3613608517862965,18
19,taxa239759,58,60,0.7837837837837838,0.8108108108108109,-8.037336554624286,-6.180275427080645,-1.8570611275436426,-2.58852362367594,-1.2228282289499437,19
20,taxa239934,39,29,0.527027027027027,0.3918918918918919,-1.7950899145787385,-8.783033532950048,6.987943618371309,6.074925410425102,7.9583082490924895,20
21,taxa244127,24,25,0.32432432432432434,0.33783783783783783,-13.647762579139568,-11.298302303542693,-2.3494602755968743,-3.03602550158121,-1.6900837947914213,21
22,taxa283168,53,53,0.7162162162162162,0.7162162162162162,-13.894771640913222,-7.449438734615385,-6.445332906297835,-6.989774620936216,-5.935732361045366,22
23,taxa292632,71,73,0.9594594594594594,0.9864864864864865,-5.785973811321214,-3.5874223098429927,-2.198551501478222,-2.72799089266424,-1.6638249803931717,23
24,taxa29465,29,35,0.3918918918918919,0.47297297297297297,-11.868421928346653,-10.63168522263946,-1.2367367057071914,-2.259144836572576,-0.17152092520308496,24
25,taxa29521,6,7,0.08108108108108109,0.0945945945945946,-10.708554469642221,-9.712418744200976,-0.9961357254412457,-3.041924133800641,1.282332972006081,25
26,taxa33024,17,16,0.22972972972972974,0.21621621621621623,-6.75093559714122,-5.542009801441829,-1.2089257956993906,-2.414316960420602,0.24142452257851885,26
27,taxa33042,65,64,0.8783783783783784,0.8648648648648649,-8.19192558908654,-6.476543150204728,-1.715382438881813,-2.4085238278330507,-0.9879693102214465,27
28,taxa35832,26,30,0.35135135135135137,0.40540540540540543,-11.957720123813672,-11.317939156120104,-0.6397809676935661,-1.6038341566278191,0.2561619205655671,28
29,taxa375288,65,69,0.8783783783783784,0.9324324324324325,-3.1778357425041106,-5.24698859993655,2.06915285743244,1.5100582062260834,2.6631692357038843,29
30,taxa397864,52,57,0.7027027027027027,0.7702702702702703,-8.491927411496189,-6.569954524262081,-1.9219728872341095,-2.633425037760932,-1.23102915244711,30
31,taxa39948,26,29,0.35135135135135137,0.3918918918918919,-1.9363678585155022,-5.224139888672538,3.287772030157037,2.1276782178999687,4.47501884853799,31
32,taxa40544,29,31,0.3918918918918919,0.4189189189189189,-10.444979671743429,-9.234039758437609,-1.21093991330582,-2.3135453266454675,-0.0062299600593763,32
33,taxa447020,17,14,0.22972972972972974,0.1891891891891892,-14.671886483119131,-12.735862091327089,-1.936024391792043,-3.2278695963704367,-0.7146276721857433,33
34,taxa459786,37,36,0.5,0.4864864864864865,-12.1489403000263,-10.002195040509152,-2.1467452595171497,-3.027412778269277,-1.2510467475411828,34
35,taxa52225,17,10,0.22972972972972974,0.13513513513513514,-13.845342044883425,-11.20718478879705,-2.6381572560863753,-4.983821892387052,-0.3262124728186238,35
36,taxa561,41,32,0.5540540540540541,0.43243243243243246,-11.63811723926594,-9.440635559575036,-2.1974816796909065,-3.7112457112924564,-0.6112822857011826,36
37,taxa572511,66,71,0.8918918918918919,0.9594594594594594,-8.492789402510374,-6.639267790230623,-1.8535216122797498,-2.3036178780146948,-1.4101813942236952,37
38,taxa577309,31,25,0.4189189189189189,0.33783783783783783,-8.376185388223126,-7.043077244125197,-1.3331081440979295,-2.4551231013061727,-0.267627128372713,38
39,taxa577310,26,20,0.35135135135135137,0.2702702702702703,-15.1377396371106,-12.459174892563082,-2.678564744547517,-3.851065937520383,-1.4206742054146635,39
