,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa946234,condition
0,,,0.031276781116426865,,,,,,,0.007357878865827026,0.19314469658748296,0.006520152747770772,,0.02942097739664992,,0.03470988250858576,,,0.002025617136783201,0.2112541132332324,,,0.013037495344432692,0.0010129591122010034,0.02040320248834866,0.014156638023532403,,,,,,,0.00496302794584879,0.010806737176703406,3.9241752984305204e-05,,,,0.16802596017594354,0.23539933301063426,,0.016445305376611936,,,,,Control
1,,,0.019187041574357744,4.559152394102732e-05,,,,0.0009415640813907815,,0.0069203134234696205,0.15627146883475054,0.0007720303825254055,0.0005179906553025187,0.08556433595215081,,0.022797013911674508,,0.00016139608131983808,0.007053227843380074,0.16070438382846738,7.490781279097852e-05,0.02254933821868595,0.0040124714205306885,0.0013812040857099784,0.05842496412406111,0.026127803370121275,,0.007139716111908934,,0.001888448912715184,,0.00010203320460943872,0.0053075002230020185,1.4397323349798098e-05,,0.0001958244632432684,,,0.3569409443705162,,,0.054673313778707926,0.00018205311047389625,,0.0,4.872137684315734e-05,Control
2,3.192192146751292e-05,0.010047113854093188,0.08341643742650447,0.0006689093543874298,8.737071362699152e-05,,,0.0010311402489619678,,0.004251004970491915,0.10802979351698941,0.016635363146058752,0.00010042968150006498,0.029514407461769872,0.003634124202392445,0.014504574888102263,0.0011500183136478029,0.0014963918900907519,0.0022633471461284,0.5339055372303919,0.0,0.012979888567619854,0.07002840429154995,0.008300528722370698,0.014930027769998824,0.00013753373307594038,,0.0006033035872155608,,0.004822386636239963,2.6117935746146934e-05,,0.02744103720541404,0.002314339306394687,,0.0006577159533533668,,,0.035462352757546174,6.933690084989009e-05,0.0016048020519576947,0.008222485842938759,,0.00019961565177412297,0.0014200072922934887,1.2229827055735471e-05,Control
3,,,0.0005594967732069756,,,,0.022684468617552182,0.13204847112211393,,,0.051916650995935246,0.06994908217731555,,0.0069176119045208165,0.017919085297685346,,,,,0.16830675508403303,,,0.012997683487044264,,0.005810810531558098,,,,,,0.0004275526588237239,,0.010785527270172363,0.0026202840569767138,,,,0.001391147655486375,0.004598412537687249,0.24787205243874466,0.240379031941428,0.0028158754497155506,,,,,Control
4,,0.004482159045913543,0.006753191137561121,,,,,0.0010867925261460122,,0.007964347538440228,0.18797867822350106,0.019595354963742723,0.0004659850635849522,0.04598862753586189,,0.052522942301537166,,,0.001337341715600158,0.05350287701505654,,,,,0.059013137743059794,0.05434863231612995,,0.01384506892177128,0.00022767999849427636,0.0050884961796814135,,,0.021986197330153508,,,0.0013324845422989465,0.010105450244280402,,0.43936674198321024,,,0.012156796435158611,,,,0.0008510172388163839,Control
5,,,0.08275101981961636,,0.001752007498087917,,,,,,0.029190007860085437,0.0024087456180905994,,,,0.0025468895186592584,,,,0.039635602607390505,,0.028608795128057887,,,0.038213627946208584,,,,,,,,0.01714063301165299,,,,,,0.5045438755615878,,0.18926521057617604,0.06394358485438674,,,,,Control
6,,,0.023601236624802506,,,,,,,,0.03771654991203511,0.008804189084248232,,,,0.006475107682908977,,,,0.05175912056382634,,0.01696970188183577,0.001382717950562362,,0.08222906534325052,,,,,,,,0.004417848692278897,,0.0009958041277899662,,,,0.3655874651673714,,0.2682126334100441,0.13184855955904592,,,,,Control
7,,0.001836722572981627,0.024865786109927564,0.024993453925707867,,0.0019345392570786686,0.010994719241843231,0.00031937612167693124,0.004735690952989632,0.0022364591806432453,0.17300744987153172,0.009290312584730993,0.002097429342422952,0.04104241391331294,,0.18368361932060276,,,0.007252172341222193,0.05807253618416804,0.005316910046351889,,0.05693344178900208,0.0017823914474958357,0.018257943732166142,0.06044926469638868,,0.003677989954939252,0.00016867438767737022,0.00029551587455294324,,,0.03415361970794439,0.010404617112755164,,,,0.000643503634556042,0.24265974616208957,0.00014440097610101874,,0.01874929955713936,,,,,Control
8,1.3493924667098741e-05,0.009314079274762885,0.06651595043231673,0.0004623713732521789,0.000244526271240153,,,6.399391546669557e-05,,0.015282380818999446,0.03013837406385898,0.014706844486607277,0.00011398277275617502,0.05677568803681797,,0.0344399714583048,0.08138502869503526,0.00034205054497054855,0.0047639687676979976,0.15790243074652074,0.00018922162544545286,0.07728543126378783,0.06767816580762162,0.0008572731231688643,0.014614533774680083,0.007322805346047609,,0.00019187951969806323,2.3307688061352376e-05,0.0013911009611354528,0.019301116928946312,0.00013033904507993107,0.008419800085461521,0.011505921992848217,3.557489230416941e-05,2.371659486944628e-05,,,0.08034292969460793,6.716294322942331e-05,0.20081720025597571,0.03641948931628737,,0.00019300401342032145,0.0007248895440484634,,Control
9,,0.0018902618132712009,0.015621529931418462,,5.8116492320582356e-05,,,0.03564841211697313,,0.00031562038999321536,0.1242206944788518,0.008150252811830603,,0.02540962966868306,0.007297640104003074,0.051331722627793674,0.07701045913657413,0.0022208438921805735,0.0035296354416558245,0.2559263046236504,,,0.002850863309806501,,0.03338003687292965,0.03910496937739221,,0.002002220029650606,,0.0009583623322077119,,0.014857771335317498,0.006278922115147191,0.0070161160799072225,,,9.078793546402708e-05,,0.10327432999623208,0.11402740777849045,0.01275041236246696,0.054569350685092666,,,0.00020732626069531747,,Control
