,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa946234,condition
0,,0.0009704425808750701,0.015160679458456483,0.00012574975276915623,,,,0.10535157602004445,,0.0,0.004994735986787035,0.00023111036830816972,0.00010505929824004583,,,0.030442388031998287,5.574370030901095e-05,0.00013800332292717303,0.014139515132255193,0.06167854626857696,3.00312907971068e-05,,0.004321291823594389,0.005610728984976522,0.06643483983278095,,0.05480690482652059,,,0.010283758535565788,0.015191514262050837,0.06485975387197751,,0.00046573610510429497,,,,0.5407711432842098,5.232877092071118e-05,0.0,0.003178596186809494,0.00024095340007444546,,4.399232564927349e-05,0.0003148765774211699,Control
1,,0.0025008443591238746,0.0015675971054650633,0.00029160722131957057,0.00038700444086554447,,,,2.5203195556905747e-05,0.0021593514738714203,0.1072687578167659,0.004686440482914056,0.0009691774291428301,0.04968080985990669,0.0037323641420181327,0.04450426095430338,0.028906086540483367,0.000598003094577491,0.010548266358618354,0.04010297067566538,,0.10708129603163193,0.011708238226853131,0.0009438700881497387,0.08778741666933107,0.013234489594152528,,0.006213525013702936,,0.00045699017398224143,,0.012591391525706687,0.00724081559623731,,,,,0.17861671323877,,0.22084977052073865,0.05284006166659568,,,0.0025066765035502664,,Control
2,0.0003111255502856166,0.005938088038416115,0.03786001454077018,0.003321336051602337,2.6803729137089848e-05,,,0.0029288889985762665,,0.051423510653319154,0.13029545598908587,0.03179175141028073,0.0003632158163444892,0.07116956504324402,,0.06951188082879962,0.0024902181560571774,7.687107224221993e-05,0.004944630575833109,0.07286548250151414,0.0007015496803579441,,0.019301820509282988,,,,0.02728801689221583,,0.0002548882921715713,0.0023858353316440575,4.136877440403677e-05,0.06573801691244505,,,0.0016135844940528086,0.00026419373775878735,0.0004912668393163976,0.3899416629478599,,2.7006021432464106e-05,0.005766240733495678,0.0006988187343703915,,,0.00016689114368376694,Control
3,,0.00529514544027956,0.026155835685815882,0.001087834581605292,0.00027991779042335326,,,0.0053318643074099495,0.008560785185676427,0.02661487238210243,0.07863584424609249,0.007032222484193086,0.0004704286993851778,0.12324418209384612,,0.041615495890843464,0.000699387618804861,0.0009771694086472221,0.004065927963075263,0.09629222847720041,0.0006113030234172795,,0.036379751609578154,,0.06637967634098625,0.01802733633200691,0.1373834887968804,0.00048121041660351913,0.0,0.000380004674789843,,0.007372965434018028,,,0.00023262063470138399,,0.0004396092624308623,0.27782959556965,9.479774007069958e-05,,0.028028497909465714,,,,,Control
4,,,0.030039770286112405,,0.000351652832151262,,,,,,0.049420895349606746,0.005207121922133316,,0.0013207463254141045,,0.009463663994814478,0.0011994500383785708,,0.0031015673395489523,0.03826546735140195,,0.021571161445996447,0.0013572416117765501,,0.10014764098937766,,,,,,0.0017161296610492306,0.005909576384421558,,0.00224259810688416,,,,0.32369084598201797,,0.2585143077482578,0.14648016263065686,,,,,Control
5,,0.0018929237957761318,0.03800876184453194,,,,,,,0.0012951746284434996,0.1301243670066736,0.004430400384962396,7.858894576529537e-05,0.03630706429244387,0.004642199651102113,0.04921859031798588,0.00936185673173468,,,0.10563835568472213,,,0.0548300879218974,,0.03463118588353262,,,0.0136833229628156,,0.0019309838873116812,,0.015882990523345807,,,,,,0.215230846284651,0.24207864058405162,,0.04073365866825271,,,,,Control
6,0.00037350573600269493,0.00020664610828844754,0.006707066860470133,0.0006708893790700581,,,,0.0010369858980270477,4.212089142421696e-05,0.005698499877138942,0.03250565612524541,0.005777057877048205,0.0005906059450542614,0.021931992928156074,0.004236245219913175,0.1441072416164963,0.0007520862782010787,0.0006059318597652416,0.016882560763445728,0.30477966561695996,0.0004911397436187611,,0.005866475962216241,0.004453649917336483,0.03384236007718984,0.1308975210891184,0.11679869451625577,0.0003496541468829577,0.00017721223235345258,0.0013583226263380616,,0.0063888765120004454,,,0.0002683557516280232,0.00020035334860579347,,0.14301412836194494,,,0.008762261873600179,2.506954260670262e-05,0.00018076459669043475,,2.040072090666894e-05,Control
7,,0.0008610169781039374,7.175145173597608e-05,0.0007892651943221296,,5.381356113149609e-05,,0.0218841446328271,7.175145173597608e-05,0.0013632805713960313,0.0007533898558409451,,,0.0013991525894188983,,0.0004843220501834647,,,0.00032288136678897654,,0.0001435024607441765,,,0.00010762712226299218,0.0004843220501834647,0.00044844671170228036,0.027570429501462667,,,1.793789060448e-05,,3.587567052701608e-05,0.0011121432406527884,,,1.793789060448e-05,0.00017937890604479998,0.004681779818440159,,0.9370023462404959,5.381356113149609e-05,,,8.968923165851217e-05,,Control
8,,0.00012996006102098705,0.0002599201220419741,0.001819438519255485,,4.332009817494015e-05,,,4.332009817494015e-05,0.001386242207582751,0.0019494067529106402,,,0.0032056807268382357,,0.0153352475048248,0.00047652061291667485,8.664019634988028e-05,0.012909376179917493,,4.332009817494015e-05,,,0.0008664019634988028,0.04492286848720925,0.03604225069638484,,0.001126322085540777,,0.003942128466911886,,8.664019634988028e-05,0.05657599404358248,0.001126322085540777,,,0.00012996006102098705,0.38009053484881733,0.0005631610427703885,0.4364058218624395,0.0004332009817494014,,,,,Control
9,,,0.0602399778429892,0.00031072627504606973,,,,,,,0.04421948341429216,0.04734065476869589,0.008402409373350874,0.0066735094310413435,0.007060934601744259,0.028626829737320895,,,0.006359658759457347,0.1413507229853589,0.027271446361771253,,0.006710296680600804,,0.03758114864104877,0.013119240275769316,0.03668565627848492,0.0018674820468143453,,,,0.007271881761546863,,,,,0.0011690282401100756,0.44972160618977225,,,0.06801730633478452,,,,,Control
