,taxa1263,taxa1730,taxa189330,taxa216851,taxa239759,taxa292632,taxa33042,taxa375288,taxa572511,taxa816,taxa841,condition
0,0.042232023028904005,0.06947937253297004,0.007320538434060854,0.0018567981279142892,0.013304684821494283,0.05379628682258208,0.0019081057697313039,0.14079460129923513,0.008308098350317213,0.45506737007499,0.20593212073780093,Control
1,0.01819635403659396,0.2579116203591671,0.019726610864482984,0.031190562825244156,0.012194619361969907,0.13057260113485342,0.1305960839373991,0.0077744514387971825,0.021542535985340158,0.2869058366623142,0.08338872339383795,Control
2,,,,,,,,,,0.874337,0.12566300000000002,Control
3,0.013855927831252486,0.14918621525309927,0.004455857889365778,0.0006479344605641197,0.009197977624150588,0.028864166404438,0.0012207785937664558,,0.012759160432460469,0.7585800045246461,0.021231976986256652,Control
4,0.0520376173643475,0.09685842317377444,0.06051942203518948,0.014106967428934155,0.0220955979880441,0.1809876062276677,0.022737058585620397,0.11987777304084837,0.007094657523548835,0.3920870927857105,0.031597783846314426,Control
5,0.0008087467998786179,0.1768474853511005,0.19698871468828558,0.02518188042741638,,0.4881109314674691,0.05567983438211114,0.00911697324057274,0.01609188877418795,0.023789700602495346,0.007383844266482772,Control
6,,0.14182348131132674,,,,0.05868828316879565,,,,0.6425158796520875,0.1569723558677902,Control
7,0.08219327938180744,0.23037231156466342,0.0479811603521186,0.0017127060482668684,0.005645700858654825,0.03462679915706624,0.0008920072096203891,0.05178186093016726,0.024957692541796965,0.4985617896526452,0.021274692303192753,Control
8,0.0005617324434762648,0.05969200728324397,0.0009754223833164926,,1.1602258263937983e-06,0.0005876554617053551,0.0025604746237912813,0.0021630586326024156,7.61964527594045e-05,0.9333486299904554,3.366250282309009e-05,Treat
9,0.0002675775903329895,0.03583073813512205,0.00032947589111533975,1.6855905687797828e-07,5.071166773733417e-07,0.0008020648270631721,,0.000924136475834982,8.722389417286723e-05,0.9617243203296566,3.3787180967665766e-05,Treat
10,,0.017614166410994905,0.00041226031527900176,,,0.00018310595228390706,,0.0013099544852758916,,0.9804507720974984,2.9740738667838474e-05,Treat
11,0.000242250945840543,0.009557566446553242,0.00024164046004750947,,4.132647306099444e-08,7.198872603076208e-05,0.0063943866397289575,0.000822942987256037,0.00022481250936548004,0.9824360559454,8.314013304426632e-06,Treat
12,0.0,0.000979495390875514,,3.7064951996369856e-07,8.041872417351591e-07,,,0.001376271520262951,2.212726031470666e-06,0.9976396027440828,1.2427819855145399e-06,Treat
13,0.0003927968381024432,0.03762126107170611,0.0009183630726495482,1.1637699725598014e-05,7.25136927711422e-07,0.0068487593339297045,0.03970001778309839,0.0011283059857932027,0.0010105294350775875,0.9122821700220995,8.543362089027751e-05,Treat
14,0.006556709792916954,0.1529969357241165,0.0022002059255664575,,,0.0015821480460931367,,0.00500074404119823,0.004346102213929583,0.8272751818291106,4.197242706847285e-05,Treat
15,0.0005519639446620947,0.10484419576680018,0.00018723846855088936,9.44048853531701e-06,2.0948981005958093e-06,0.003928733926802559,0.20129113672512372,0.0013193709548570266,0.0009660782611159956,0.6866938634924052,0.00020588307304635571,Treat
