,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
0,,,0.03512539821429737,,,,,0.10491906570467296,0.007446624189784525,0.0003125544031593472,0.002158365247264398,,,,,,0.011454735691134112,,0.0024730944822548744,,,0.008042320984672719,,,,,0.24236533052938825,0.01763798971387394,0.10958874033636778,,,0.4347923796792413,,,0.023683400823888433,,,Control
1,0.00011960828135682255,0.005615400839408687,0.1708846254865871,0.000870736114406792,,7.933305854201463e-05,0.014305312768554323,0.08275888725544849,0.003574045591349329,2.6782515927227446e-05,0.04939385789663715,0.003454944554612339,0.0753468259725883,0.06486776082036472,0.00020959347691534809,0.0021506157391715706,0.21349520253111012,0.0009813154415305718,0.010098530238424247,0.0007480843653309666,0.022289850329359005,0.07884600225805016,,,7.162294032054005e-05,0.0009162866812678722,0.002185717066864073,0.0035590311506022458,,0.0003395495485167813,0.0002528107185251923,0.189639488060324,,0.0,0.0029065116716479773,1.166662625617862e-05,,Control
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8743369999999999,,,0.12566300000000002,,,Control
3,,,0.038441390632950684,0.004297228340537812,0.0004353214845466155,,2.1232617906787114e-05,0.06953323205761922,0.01214400109353264,0.001058778752635459,0.01280083899474857,,0.04053296194914166,,,0.019653692832892852,0.0520750552972371,0.004721880698673553,0.015453648614117452,,0.025839250913240252,0.08905931791324141,,0.0006037035389914845,,,0.00018993157709653346,0.016100556833327225,,,,0.5435032573054203,,7.056412319270544e-05,0.053464154428949785,,,Control
4,,,,,0.014659276220750243,,,0.1991494218847931,0.008196576980016029,0.0008878677560017857,0.00019842194184446063,,0.019473121323043702,,,,0.03999630927138596,,,,0.0336175268153872,0.03488654179030724,,,,,0.020582050441232232,0.007623648715887046,0.0077049493898273735,,,0.25775432848108504,0.34076151161699086,,0.014508447371447582,,,Control
5,,0.00047063285465547255,0.04960679187805934,,0.006159195796856159,0.0013934423735877718,0.004239751997476978,0.11639163224722372,0.003497143853835085,,0.029012015791197613,0.0005628123989092592,0.041930132164576486,,0.0004942608346457172,0.0009173335064023713,0.07213551305674061,,0.024706551643361496,0.0012182099726300779,0.06062767272509706,0.02582933702727561,,0.020126475607913443,,0.0010526112974194796,,0.009834310057913902,,,4.4822176633854535e-05,0.4440792642672943,,,0.08567008647029414,,,Control
6,3.989036661892712e-05,0.00016953405813044023,0.06996841537757349,1.088844190873776e-05,0.00019670428233261767,0.00315663054214061,0.00021278254234738929,0.0036165908919302795,0.0004381834659721943,7.398034829581636e-05,0.0321065553101303,0.0013039672394258473,0.09560713443277426,0.0018203032604065513,0.0004128449422780289,0.004468840433852512,0.5482269444365861,0.0005268174183321064,0.009621617485168824,0.0006521871419915915,0.016945163160757976,0.059264466414448276,0.0008665978625683248,,5.037176397032889e-05,0.0006783397548004291,7.591380994316232e-05,0.005983249709421066,,9.57572321132919e-05,0.000587772340793171,0.1368616091244736,4.579251270029899e-05,,0.005914153895813282,,0.0,Control
7,,,0.08722816881001878,,,,,0.05999292409206635,0.1325510129435138,,0.03495309801289146,,0.015619858767962071,,,,0.2629540911156568,,0.029805765616992493,,0.024700844025743168,0.007768685383765532,0.19483909208816297,,,,,0.018188553364409568,,,,0.03430699274014282,,0.01327478477784906,0.08381612826082525,,,Control
8,,0.0022129000743249245,0.03587412943015333,,,,0.0016360729113643168,0.12781421542516994,0.003995465511848072,,0.03926102430738365,0.005331054104127833,0.05275497892243755,0.010961667960204577,0.000598811314852606,0.0008251248037221018,0.10830790345669969,,0.05464479414769549,,0.034210319504719665,,,0.014350514701387934,,0.0018369094391627121,,0.009993543439502746,,,,0.2174551084132014,0.23909511587137627,,0.038840346260665265,,,Control
9,,,0.008335858527036128,,0.0004424775582709184,,,0.1069939878669616,0.011177278654244322,,,0.0036468483171127474,,,,,0.029904176723402377,,,,0.00589135472528988,,,,,,,0.0005477609475997594,0.00130619128924641,,,0.03859477665093539,0.46112687910583416,0.3240696606621956,0.007962748971870763,,,Control
10,,0.0003732172222258337,0.009198457974162058,,0.000532636798764101,,0.000481663807948629,0.09516017643258613,0.002301007480131626,,0.014331974707078138,0.0006010479180164448,0.001183935418252479,0.0005079757768918382,,0.000786469910922119,0.0497409715637781,,0.0009897427690324016,0.0002956227098913501,0.005825882660794248,0.0008001934084493613,,,,,,0.002569389563352359,0.006423525500476866,,,0.04539908395138085,0.1970395010755404,0.559431669725562,0.006025853624762636,,,Control
11,,0.0013969481604913809,0.044023168855494295,0.0002791176284124171,0.0007344099518197778,0.00017240849011381683,0.0015033434483832208,0.17492452420801421,0.007016439693539726,,0.03983828753174858,0.0015603596056113945,0.03329649427003313,,,0.020132980509680508,0.11435558037531071,0.0025541146102176725,0.005129571048095064,,0.02282131847718946,0.01762646654448819,,0.009930540720311791,,2.814191980619946e-05,0.0018063137077094426,0.012848721802371746,,,,0.15892966131147207,,0.2980857008290045,0.031005386300680827,,,Control
12,,0.0025387387634360293,0.014869247947884986,,0.00042907974781157646,0.032268299728347646,0.0010716840364768554,0.12189479423514198,0.009499862168538178,,0.03143653889207872,0.00556818799094526,0.05483377221104511,0.0972302222005618,,0.005407968435326076,0.23807834005229986,,0.003011274765876891,,0.028816268884560185,0.0344994941103068,0.0002463197984360825,0.002611233543354975,,0.0014063378104444263,0.021193249862803125,0.005069456395760578,0.007039913249944032,,,0.10482095363126254,0.10153533587471196,0.020004091792199908,0.0533474261560963,0.0012719077143482295,,Control
13,3.806150258959994e-05,0.005230130314296403,0.03856709893918557,,1.4395754561109433e-05,0.009815614376996455,0.0032308653702489915,0.01863159628196921,0.006665670596780366,0.0001413401356908926,0.030070331985730756,0.0003121261329840545,0.028200956008973353,0.0059173094770960276,0.0011329022604606423,0.0031478716640292634,0.21634528871667297,0.0,0.019410275733229218,0.0009105314759901716,0.025587472203651932,0.007789630040013656,,0.003414738417143163,,0.00884499153158832,0.0004046079501645151,0.018989090853570093,0.0403322147541216,2.9227744108919152e-05,0.0006586057711707565,0.15163528137701934,0.1418821576618677,0.1859647936553984,0.024725689987425532,0.0018918420785724646,6.728924669851907e-05,Control
14,,0.0010780139384833538,0.00507830745663098,0.00018959740236439352,,0.0005416780650219301,0.00690805846413807,0.02685015717130755,0.0038340808033688464,0.00086130239404771,0.0399001231929533,,0.04971836570869413,0.006269112194288049,0.0001782074467731248,0.013683166915666551,0.11673091743975568,0.0021444363292410797,0.0029228843560673494,0.00012992613059420696,0.019925366560017706,0.02260432443351098,,0.023131991845194984,,0.0006934769421940602,,0.004133041938622855,0.012049565054890516,0.000288276752132996,0.00020643034558334817,0.12977493649343785,,0.44021674379917713,0.06995751042584122,,,Control
15,,0.002833095741710527,0.013936312561061384,,0.00031511616730044216,0.03666322697060763,0.0016856375482578847,0.11909112685561768,0.00875896817255509,,0.030915764403367,0.005530909203721381,0.05714638814113501,0.09823304050992264,,0.0016654977803025946,0.2492194568467328,,0.002191674647134482,,0.01917234708143739,0.03416498030015374,,0.002568532426297857,,0.0013526193649971848,0.02073704430596376,0.009627419378627128,0.008020204866195143,,,0.10346958361029752,0.1009580121438732,0.018008410896021326,0.052991696414358434,0.0007429336623506872,,Control
16,,,0.01777239282379017,,,,,0.04212716453312613,0.020562253955194294,,,0.01520426049121627,0.025581771620141667,,,,0.23351210071092993,,0.012062348328200053,,0.036475342701718656,0.007606051979464998,0.08949718444648398,,,,0.09895861876935794,,,,,0.34004750929174393,0.008055140784714813,,0.05253785956391728,,,Control
17,,0.0013971439770700976,0.01527900114998113,0.00027695615357456856,,0.004451971364375392,0.03871873374795348,0.017123044738197896,0.007027977739737827,4.499397445558304e-05,0.05029394036555374,,0.05586366744669733,0.0026567725862658115,0.00035184477322023494,0.008150394994400074,0.01136594410126968,5.229029463756948e-05,0.0055131805997331975,0.005942042085985512,0.07358369304867415,0.06632344911647645,0.07397445152953165,0.01595228936232999,0.0002963116696128938,0.007877593689818024,5.401303690276072e-05,0.020480162724154097,,8.988661113086072e-05,0.0024229863271013306,0.47942599849128315,,,0.03399537980792031,,0.0010138844919551989,Control
18,,0.0015400484834942065,0.015078332351251474,2.990189249683732e-05,0.01585123566035047,0.000521262720552975,0.026502875683185014,0.05663590172743031,0.002837447150172861,0.0005800563064758106,0.042317643157078186,,0.08941474015811031,,,0.009538299626862772,0.0373965594033926,,0.0052906145737985286,0.005398604854471229,0.25061624668818866,0.012748106154546923,0.11107138783875892,0.01745846238205548,0.00015880329393590633,0.00970286105550246,,0.0054060803275954375,0.009639723613575017,,,0.268268465252031,,,0.004869563601072792,0.0011267760436139312,,Control
19,1.4939790944788987e-05,0.010312077519406165,0.07364309631694542,0.0005119142003278831,0.00027072712075708517,7.085082675331745e-05,0.016919879146145674,0.033367683534482905,0.016282674426303535,0.00012619596138969483,0.06285917040019964,,0.03813019461907212,0.0901053877752897,0.00037870106440351475,0.005274425284917093,0.17482158550795007,0.00020949661393033643,0.07492984240218256,0.0009491294459318216,0.016180472674613054,0.008107439732939918,,0.00021243930002552212,2.580509345009006e-05,0.0015401566301264282,0.00014430479889852995,0.009321976828610603,0.012738774925824505,3.938672158171641e-05,2.6257814387810944e-05,0.08895162846550804,7.435941402065426e-05,0.22233464792175625,0.040321816678578884,0.0008025610423446872,,Control
