item,value,type
117,taxa1348911,-9.814740959736705,qml_logged_loads_diff
118,taxa1348911,0.0004486680403783123,qml_diff_pvalue
119,taxa1348911,0.0004486680403783123,mwu_diff_pvalue
120,taxa1348911,0.0004486680403783123,mwu_logged_pvalue
121,taxa1485,-0.9406226181117638,logged_relative_abundance_diff
122,taxa1485,1.8093773818882362,qml_logged_loads_diff
123,taxa1485,0.17964055015107683,qml_diff_pvalue
124,taxa1485,0.5100675275575344,mwu_diff_pvalue
125,taxa1485,0.5100675275575344,mwu_logged_pvalue
126,taxa1678,-7.5744841028724155,logged_relative_abundance_diff
127,taxa1678,-4.8244841028724155,qml_logged_loads_diff
128,taxa1678,0.00015366942972786825,qml_diff_pvalue
129,taxa1678,5.548185695864912e-05,mwu_diff_pvalue
130,taxa1678,5.548185695864912e-05,mwu_logged_pvalue
131,taxa1730,-10.26539260440461,logged_relative_abundance_diff
132,taxa1730,-7.51539260440461,qml_logged_loads_diff
133,taxa1730,6.014797005320149e-07,qml_diff_pvalue
134,taxa1730,6.795615128173358e-08,mwu_diff_pvalue
135,taxa1730,6.795615128173358e-08,mwu_logged_pvalue
136,taxa189330,3.8086321794184954,logged_relative_abundance_diff
137,taxa189330,6.558632179418495,qml_logged_loads_diff
138,taxa189330,2.2074802078030947e-07,qml_diff_pvalue
139,taxa189330,3.5844433953527394e-07,mwu_diff_pvalue
140,taxa189330,3.5844433953527394e-07,mwu_logged_pvalue
141,taxa207244,-3.7947721411829747,logged_relative_abundance_diff
142,taxa207244,-1.0447721411829747,qml_logged_loads_diff
143,taxa207244,0.4790843272053482,qml_diff_pvalue
144,taxa207244,0.0018831973747520166,mwu_diff_pvalue
145,taxa207244,0.0018831973747520166,mwu_logged_pvalue
146,taxa216851,-2.721017271823734,logged_relative_abundance_diff
147,taxa216851,0.028982728176266015,qml_logged_loads_diff
148,taxa216851,0.7769213274105322,qml_diff_pvalue
149,taxa216851,0.004371922909826481,mwu_diff_pvalue
150,taxa216851,0.004371922909826481,mwu_logged_pvalue
151,taxa2172,-13.722296825884957,logged_relative_abundance_diff
152,taxa2172,-10.972296825884957,qml_logged_loads_diff
153,taxa2172,0.004310358499535043,qml_diff_pvalue
154,taxa2172,0.004310358499535043,mwu_diff_pvalue
155,taxa2172,0.004310358499535043,mwu_logged_pvalue
156,taxa239759,-2.360559382605164,logged_relative_abundance_diff
157,taxa239759,0.38944061739483615,qml_logged_loads_diff
158,taxa239759,0.9878778646454345,qml_diff_pvalue
159,taxa239759,0.006535625721180682,mwu_diff_pvalue
160,taxa239759,0.006535625721180682,mwu_logged_pvalue
161,taxa239934,-1.613398803551854,logged_relative_abundance_diff
162,taxa239934,1.136601196448146,qml_logged_loads_diff
163,taxa239934,0.755813423086601,qml_diff_pvalue
164,taxa239934,0.39861511972572516,mwu_diff_pvalue
165,taxa239934,0.39861511972572516,mwu_logged_pvalue
166,taxa244127,-3.5471971490542975,logged_relative_abundance_diff
167,taxa244127,-0.7971971490542975,qml_logged_loads_diff
168,taxa244127,0.3854182323682295,qml_diff_pvalue
169,taxa244127,0.01767227638672243,mwu_diff_pvalue
170,taxa244127,0.01767227638672243,mwu_logged_pvalue
171,taxa283168,7.747047046902419,logged_relative_abundance_diff
172,taxa283168,10.49704704690242,qml_logged_loads_diff
173,taxa283168,2.316463851638489e-06,qml_diff_pvalue
174,taxa283168,2.316463851638489e-06,mwu_diff_pvalue
175,taxa283168,2.316463851638489e-06,mwu_logged_pvalue
176,taxa292632,-6.9229338286409945,logged_relative_abundance_diff
177,taxa292632,-4.1729338286409945,qml_logged_loads_diff
178,taxa292632,4.754941470391921e-06,qml_diff_pvalue
179,taxa292632,4.58088962837063e-07,mwu_diff_pvalue
180,taxa292632,4.58088962837063e-07,mwu_logged_pvalue
181,taxa29465,-6.863889718306942,logged_relative_abundance_diff
182,taxa29465,-4.113889718306942,qml_logged_loads_diff
183,taxa29465,0.03588879230160968,qml_diff_pvalue
184,taxa29465,0.002915636250090396,mwu_diff_pvalue
185,taxa29465,0.002915636250090396,mwu_logged_pvalue
186,taxa33024,-9.23369417731862,logged_relative_abundance_diff
187,taxa33024,-6.48369417731862,qml_logged_loads_diff
188,taxa33024,0.014214038869082046,qml_diff_pvalue
189,taxa33024,0.014214038869082046,mwu_diff_pvalue
190,taxa33024,0.014214038869082046,mwu_logged_pvalue
191,taxa33042,-9.204354589059145,logged_relative_abundance_diff
192,taxa33042,-6.454354589059145,qml_logged_loads_diff
193,taxa33042,7.682850844928992e-07,qml_diff_pvalue
194,taxa33042,3.978029368445416e-07,mwu_diff_pvalue
195,taxa33042,3.978029368445416e-07,mwu_logged_pvalue
196,taxa35832,4.787768545244293,logged_relative_abundance_diff
197,taxa35832,7.537768545244293,qml_logged_loads_diff
198,taxa35832,0.0007603058428726115,qml_diff_pvalue
199,taxa35832,0.003990582516115276,mwu_diff_pvalue
200,taxa35832,0.003990582516115276,mwu_logged_pvalue
201,taxa375288,-8.83753308793141,logged_relative_abundance_diff
202,taxa375288,-6.08753308793141,qml_logged_loads_diff
203,taxa375288,6.208592851368702e-07,qml_diff_pvalue
204,taxa375288,1.5398434476269312e-07,mwu_diff_pvalue
205,taxa375288,1.5398434476269312e-07,mwu_logged_pvalue
206,taxa397864,-1.4416956006417934,logged_relative_abundance_diff
207,taxa397864,1.3083043993582066,qml_logged_loads_diff
208,taxa397864,0.31822483718735983,qml_diff_pvalue
209,taxa397864,0.07388616616611003,mwu_diff_pvalue
210,taxa397864,0.07388616616611003,mwu_logged_pvalue
211,taxa39948,-2.107255542349052,logged_relative_abundance_diff
212,taxa39948,0.6427444576509478,qml_logged_loads_diff
213,taxa39948,0.5508020125828832,qml_diff_pvalue
214,taxa39948,0.026179598354081145,mwu_diff_pvalue
215,taxa39948,0.026179598354081145,mwu_logged_pvalue
216,taxa40544,5.0232530949390615,logged_relative_abundance_diff
217,taxa40544,7.7732530949390615,qml_logged_loads_diff
218,taxa40544,0.0038806884459565358,qml_diff_pvalue
219,taxa40544,0.01133197564519805,mwu_diff_pvalue
