,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
0,,,,,,,0.023304777036258703,0.0010645839938328101,0.1347634435428185,0.008114533641345354,,0.0001135649811705653,0.032367523141746644,,0.01989241497185383,0.0002920815137961406,,0.00034109587901450455,0.1560009971265955,,,0.04472636001582493,,0.019662678928744442,0.01463214117500364,0.07176013792983167,,,0.00021680587314380642,,,0.027485531991796458,,0.0003442031291612721,0.002334046029600868,,0.3856327970052524,,,0.05695028209320809,,,Control
1,,0.0017786485468848934,0.03960262357975907,0.0010148329047473092,0.0008437607736515059,,0.000628483687483299,0.0008671695441863013,0.1564406044771573,0.007448064664220521,,0.0010842231888325954,0.057133284627763445,,0.02085355692610656,0.0021914371344404363,0.0005545997554828514,0.013003990045838345,0.0985323223391883,0.0008820090326503234,,0.3158564218879111,0.0030807614078828824,0.021454869719219113,0.004639743724124296,,,,0.0011610332171498924,5.549132658025139e-05,3.5635673001630363e-05,0.013206204202020618,,0.00043504782025157536,0.00023805883606367736,0.0001822539991637635,0.19224870815460196,6.959929096506105e-05,1.661604694210917e-05,0.04413869989151498,0.00032124357421411064,,Control
2,,,0.03971008812849558,,,,,,0.0874357951755443,0.007786552649681555,,0.002947052582312063,0.006507082498966952,,0.012528724560015213,,,0.024693743900110303,0.04987302826707767,,,7.302112501146582e-05,,0.10061510795073016,0.034886392633388844,,,,,,,0.01323742958837992,,,,,0.569896871164828,,,0.049809109775458035,,,Control
3,,,0.0525184437146453,0.0014262295013895852,0.00509234210573303,,0.0004474160529142667,0.00036395375441239435,0.14307970898648115,0.013532103710833448,,2.3460795350028837e-05,0.002820589692281565,,0.012760492685007056,0.00035191193025043256,,0.006292891212914814,0.08411234938896046,0.003520884052597027,,,,0.0826642162246556,0.003349080440631108,0.0826429354147142,3.010456040490426e-05,,,,,0.006718403602913788,0.013047939332459405,,,,0.4131996247933685,,,0.07200491804708188,,,Control
4,,0.001840669653744765,0.0013436441076513424,6.045045892406923e-05,0.00012662342256556327,,,0.0009073811571029393,0.11550927794892114,0.004279184982149947,,0.0004641471553533095,0.038724085377273294,0.003990874789932054,0.042073727502232816,0.02199012899149906,,0.0053114207876330645,0.04741292844913047,,0.09374846532828031,0.012032762692099281,,0.09352809687388931,0.013817976072855186,,0.005004798580319412,,,,,0.014729310960490164,0.005788261498905025,,,,0.20434960300383634,,0.2172866254868291,0.0551986562310377,0.00048089848734431654,,Control
5,,,0.08835347748037468,0.0049247365305947356,0.0007205690095702618,,,,0.0882540707422806,0.015362236283895669,,0.0003028945123117894,0.018677040699840053,0.033863107884668245,0.005750944675631763,0.006306666774694886,,0.0017294902709160814,0.3273732917258485,0.0016300835328219858,,0.019880412759213196,,0.03141595705628914,0.0017880748062191851,0.011565563677754308,,,,,,0.05248966616578966,0.005866971140052978,,,0.0020984481953781786,0.22682810237834516,,,0.054818193697508934,,,Control
6,,,0.026302882984957962,,0.00038806032441431927,,,,0.06934139429714771,0.016140636762275482,,0.0005380417848965689,0.001122136821538201,0.031117812133366517,0.023885087268342122,0.0011003437649088415,,0.02138094170470429,0.17028806617358852,,,0.01618689560889441,,0.04699991334176067,0.008601369940323005,0.07653176661815657,0.0012559790844222922,,,,0.0880133151464108,0.006281026193917703,,0.0003600994215691022,,,0.37064129872637064,,,0.0235229318980344,,,Control
7,,,,,0.005248501334125008,,,,0.10786051778100893,0.022336220379642887,,,0.0016043321665937522,,0.0014844952658682898,,,0.0043286382947584825,0.021091503302769706,,,0.004706938754888339,,0.04657406865172109,,0.04260890778581806,,,,,,0.012025027540043847,0.00579465696530586,,,,0.6376784544213188,,0.04962792625688084,0.03702981109925617,,,Control
8,,0.0016536383685369124,0.01781841110730352,,0.017143968594525726,,0.0004416040808020162,0.022996284699703155,0.059154515305637353,0.008700692770194739,,0.001172991874727664,0.035595453440203005,,0.08741444553097882,,,0.009808647671959577,0.03913051130186825,,,0.004967489605210402,0.004427268030413433,0.2523343519424713,0.013136659369309262,0.11188584564855111,0.015031126715489233,0.00011136190860353178,0.00678275951775135,,,0.006186604123283396,0.009854871461452596,,,,0.2674991938652029,,,0.006584310775989197,0.00016699228983145411,,Control
9,,,,,,0.02504255505398051,,,0.05132691284086049,0.048210011836175376,,,0.00268419399711335,0.019424209272541938,,,,,0.16087532105573865,,,0.013848906014627406,,,,,,,,,,,,,,,0.004605238866299343,0.30346949706004006,0.3705131540026228,,,,Control
10,,0.0009963427742041466,0.014541518856649746,0.00228359665009257,0.00025993305512962147,,0.0003169447694728808,0.0035656034301476324,0.21084243738095648,0.013459910775153464,,,0.0626769633522646,,0.025375056355827364,,0.0007640578778887786,0.0029071938087498147,0.11919585430994434,0.0018238703305387838,,0.11317985712561666,0.00013622268028920376,0.004380921398100796,0.007779929535539185,0.0803640152553257,,,6.215790448751818e-05,,0.0010140012697971916,0.014109945224355724,,0.0016619166995282863,,0.002878940215800943,0.21868987282250565,0.025583325698136188,0.0009265160373447919,0.07022309440615186,,,Control
