,Dialister,Acidaminococcus,Clostridium_XI,Catenibacterium,Rothia,Anaerostipes,Anaerotruncus,Coprobacillus,Senegalimassilia,Parabacteroides,Holdemania,Ruminococcus2,Comamonas,Erysipelotrichaceae_incertae_sedis,Roseburia,Coprococcus,Pseudomonas,Sphingobium,Lactococcus,Corynebacterium,Lactobacillus,Novosphingobium,Lachnoanaerobaculum,Sphingomonas,Olsenella,Fusobacterium,Collinsella,Enterococcus,Atopobium,Enterobacter,Dorea,Pseudobutyrivibrio,Gardnerella,Herbaspirillum,Methanobrevibacter,Leptotrichia,Aggregatibacter,Burkholderia,Peptostreptococcus,Clostridium_III,Haemophilus,Kluyvera,Clostridium_XVIII,Clostridium_XlVb,Leuconostoc,Pseudoflavonifractor,Weissella,Howardella,Parvimonas,Holdemanella,Ruminococcus,Hydrogenophaga,Asaccharobacter,Gemella,Abiotrophia,Akkermansia,Parasutterella,Arthrobacter,Rhodopseudomonas,Alistipes,Acinetobacter,Hungatella,Lachnospiracea_incertae_sedis,Pelomonas,Actinomyces,Staphylococcus,Oscillibacter,Citrobacter,Gordonibacter,Caulobacter,Eubacterium,Acetanaerobacterium,Veillonella,Clostridium_sensu_stricto,Campylobacter,Blautia,Finegoldia,Escherichia/Shigella,Devosia,Scardovia,Alloprevotella,Methyloversatilis,Porphyromonas,Ezakiella,Sphingosinicella,Bifidobacterium,Flavisolibacter,Intestinimonas,Bacillus,Intestinibacter,Oribacterium,Flavonifractor,Megamonas,Butyricicoccus,Terrisporobacter,Ramlibacter,Stomatobaculum,Gemmiger,Turicibacter,Barnesiella,Eisenbergiella,Christensenella,Odoribacter,Cloacibacillus,Mogibacterium,Curvibacter,Catabacter,Hydrogenoanaerobacterium,Bilophila,Cronobacter,Allisonella,Rhizobacter,Sphingopyxis,Eggerthella,Granulicatella,Bosea,Klebsiella,Acidovorax,Streptococcus,Proteus,Brevundimonas,Anaerofilum,Murimonas,Limnobacter,Methylophaga,Aeromicrobium,Desulfovibrio,Paraprevotella,Faecalibacterium,Clostridium_XlVa,Achromobacter,Anaerococcus,Bacteroides,Clostridium_IV,Prevotella,Phascolarctobacterium,Solobacterium,Sutterella,Fusicatenibacter,Ralstonia,Megasphaera,Oxalobacter,Raoultella,Romboutsia,Bradyrhizobium,Coprobacter,Butyricimonas,Pyramidobacter,Slackia,Lactonifactor,Peptoniphilus,group
29,0.0,0.0,0.0,0.0,0.00030876903617799725,5.1461506029666196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007204610944163561,0.0,0.0009263071185350209,5.1461506029666196e-05,0.0,0.0,0.0005146150702976912,0.0,5.1461506029666196e-05,5.1461506029666196e-05,0.0,5.1461506029666196e-05,0.0,0.00020584602411866478,0.00020584602411866478,0.00036023055220869263,0.0,0.0,0.0,5.1461506029666196e-05,0.0,0.0,0.0,0.00036023055220869263,0.0,0.0,0.0,0.0,0.00030876903617799725,0.0,0.0,0.0,0.0,0.0,0.00020584602411866478,0.0,0.0,0.00030876903617799725,0.0,0.0004116920582383588,0.00030876903617799725,0.0,0.0,0.0,0.0,0.0,5.1461506029666196e-05,0.0,0.0025730753414874275,0.0,0.0004631535642680251,0.0,0.0,0.00015438451808899863,0.0,0.0,0.0,0.0,0.001646768212951377,0.00020584602411866478,0.0,0.0,0.0,0.11089954714410048,0.0004631535642680251,0.0,5.1461506029666196e-05,0.0004631535642680251,0.0,0.0,0.0,0.02820090572430031,0.00015438451808899863,0.0,0.0,0.00030876903617799725,0.001132153152654715,0.0,0.0,0.0,0.0,0.00010292301205933239,0.00015438451808899863,5.1461506029666196e-05,0.09185878962309416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015438451808899863,0.0,5.1461506029666196e-05,5.1461506029666196e-05,0.0,0.0006689995883866899,0.00010292301205933239,0.63575545495147,0.0,0.09257925072751154,0.0,0.015695759569071866,0.0,0.0,5.1461506029666196e-05,0.0,0.0,0.0,0.0,0.0,0.00020584602411866478,5.1461506029666196e-05,0.0,0.0,0.0,0.0,5.1461506029666196e-05,0.0,0.0,0.0,5.1461506029666196e-05,0.0,0.0,0.0008233841064756885,0.009314532731383994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
30,0.0,0.0,0.0,0.0,0.00033961622997622686,0.0042452029197028365,0.0033961623397622685,0.0,0.0,0.01918831719865682,0.0013584649299049076,0.004754627269667177,0.0,0.0005094243499643404,0.026829682458121923,0.0,0.0001698081199881134,0.0,0.0,0.0,0.0,0.0,0.0001698081199881134,0.0,0.0,0.00033961622997622686,0.07131940906500765,0.0006792324699524538,0.0001698081199881134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001698081199881134,0.0,0.003905586689726609,0.008830022079381898,0.0,0.0001698081199881134,0.0,0.0,0.0,0.0,0.1529971132892902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025301409408228906,0.0,0.0025471217498217015,0.038206826287325524,0.0,0.0,0.0,0.004754627269667177,0.0,0.0010188486999286807,0.0,0.0064527084395483115,0.0,0.0,0.0,0.0,0.01782985226875191,0.0,0.0006792324699524538,0.0001698081199881134,0.0,0.0,0.0,0.0,0.0,0.0,0.11835625739171507,0.0,0.0028867379897979284,0.0,0.003056546099786042,0.0,0.008490405839405673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002377313639833588,0.0,0.0,0.0,0.0,0.0,0.0001698081199881134,0.0,0.0005094243499643404,0.0006792324699524538,0.0,0.0,0.0,0.011207335709215486,0.0,0.0,0.0008490405799405674,0.0,0.002716929869809815,0.0,0.0005094243499643404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1592800135888504,0.10273391069280866,0.0,0.0,0.14722363728969434,0.004584819149679063,0.0,0.018509084728704366,0.0,0.0010188486999286807,0.011377143829203601,0.00033961622997622686,0.0,0.0,0.0,0.0010188486999286807,0.0001698081199881134,0.0,0.005094243499643403,0.0,0.0,0.0,0.00033961622997622686,yCRC(Fudan cohort)
31,0.0030922290898763105,0.0,0.0,0.0,0.0001344447399946222,0.0014788921799408444,0.0,0.0,0.0,0.013310029579467598,0.0,0.0029577843498816885,0.0,0.0,0.1337725194946491,0.02379671954904813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001344447399946222,0.005915568699763377,0.0,0.0001344447399946222,0.0,0.012906695349483731,0.0013444474299462222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021511158899139553,0.010217800479591288,0.0,0.0,0.0001344447399946222,0.0,0.0,0.0,0.007797795109688088,0.0,0.0,0.0,0.0,0.0013444474299462222,0.0022855606299085774,0.0,0.0,0.003226673839870933,0.0,0.0002688894899892444,0.009411132019623555,0.0,0.0,0.0,0.00981446624960742,0.0,0.0,0.0,0.0006722237199731111,0.0,0.0,0.0,0.0,0.005915568699763377,0.0,0.0029577843498816885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024200053799032,0.0,0.0024200053799032,0.0,0.0004033342299838666,0.0,0.0022855606299085774,0.246974993290121,0.0,0.0,0.0,0.0,0.02809895132887604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003764452809849422,0.005108900239795644,0.0,0.0,0.0,0.0001344447399946222,0.0,0.0,0.0,0.0,0.0002688894899892444,0.0,0.0001344447399946222,0.0,0.0,0.0,0.0,0.0,0.0026888948598924444,0.0,0.033476741058660935,0.05364345253785426,0.0,0.0,0.31755848348729765,0.0010755579499569777,0.0,0.0,0.0,0.010217800479591288,0.03361118579865555,0.0,0.0,0.0002688894899892444,0.0,0.0002688894899892444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
32,0.017859312359259326,0.0,0.0,0.0,0.0,0.0003644757654954602,0.0003644757654954602,0.0,0.001457903051980626,0.0030372980224593338,0.00012149191849808177,0.01044830519085933,0.0003644757654954602,0.0,0.05940954926569806,0.01943870732973803,0.0,0.0,0.0,0.0,0.0010934272864851656,0.0,0.00012149191849808177,0.0,0.0,0.0007289515209897056,0.00024298383699616354,0.0,0.00012149191849808177,0.0,0.002915806103961252,0.0,0.0007289515209897056,0.0,0.0,0.00024298383699616354,0.0,0.0,0.0003644757654954602,0.0,0.0003644757654954602,0.0,0.0012149192049832472,0.00801846677089162,0.0,0.0003644757654954602,0.0,0.0,0.0,0.0,0.09221236788025544,0.0,0.0,0.0,0.0,0.0,0.00012149191849808177,0.0,0.0,0.012878143600825826,0.0,0.0,0.05369942898627485,0.0,0.0,0.0,0.021018102300216744,0.0,0.0,0.0,0.0040092333904464175,0.0,0.00024298383699616354,0.0003644757654954602,0.0,0.004859676829934204,0.0,0.0006074596024916236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01834528004325287,0.0,0.0019438707359741678,0.0,0.0009719353679870839,0.0,0.00024298383699616354,0.019560199248236116,0.0,0.0,0.0,0.0,0.09063297290977675,0.00012149191849808177,0.0,0.0,0.0,0.004616692992938041,0.0,0.0,0.0,0.0,0.0,0.0012149192049832472,0.0006074596024916236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012149191849808177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17106062446569031,0.013364111284819367,0.0,0.0,0.022961973026189696,0.0009719353679870839,0.3263272992265936,0.0,0.0,0.00242983841996771,0.0035232657064528756,0.0,0.0,0.0,0.0,0.00024298383699616354,0.0,0.0,0.00024298383699616354,0.0010934272864851656,0.0,0.0,0.0,yCRC(Fudan cohort)
33,0.00015067047951208707,0.0,0.0,0.06991110441418698,0.0003013409690271876,0.0003013409690271876,0.0003013409690271876,0.0,0.00015067047951208707,0.006629501278586074,0.0,0.004520114505398774,0.0,0.0,0.14449299384329384,0.05710411330555411,0.0,0.0,0.0,0.0,0.0003013409690271876,0.0,0.0,0.0,0.0,0.0,0.0036160916083202246,0.0,0.0,0.0,0.0036160916083202246,0.00015067047951208707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049721259639410615,0.0024107277422144874,0.0,0.0,0.0,0.0003013409690271876,0.0,0.0010546933865936499,0.014916377881820172,0.0,0.0,0.0,0.0,0.0,0.001205363866105737,0.0,0.0,0.002260057252699387,0.0,0.0,0.0614735573314408,0.0,0.0,0.0,0.07337652554299513,0.0,0.00015067047951208707,0.0,0.02350459545408146,0.008136206113718998,0.0,0.004670784994913874,0.0,0.00693084224761326,0.0,0.0,0.0,0.0,0.019888503845761234,0.0,0.0,0.0,0.0,0.008136206113718998,0.0,0.0006026819380543752,0.0,0.0,0.0,0.0006026819380543752,0.0,0.0,0.0,0.0,0.0,0.02380593641310563,0.0,0.0010546933865936499,0.0,0.0,0.0007533524175664623,0.0,0.00015067047951208707,0.0,0.0,0.0003013409690271876,0.00015067047951208707,0.00015067047951208707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001205363866105737,0.0,0.00015067047951208707,0.00015067047951208707,0.0,0.0,0.0,0.0,0.0036160916083202246,0.002260057252699387,0.265029380753958,0.03375018834098775,0.0,0.0,0.020641856263327693,0.006629501278586074,0.0821154135947685,0.026668675603859392,0.0,0.00015067047951208707,0.0025613982217265745,0.0,0.0,0.00015067047951208707,0.0,0.0,0.0,0.0,0.001958716283672199,0.0,0.0004520114485392746,0.0,0.0,yCRC(Fudan cohort)
34,0.09972131345780495,0.0,0.0,0.00012116805834399396,0.00012116805834399396,0.00012116805834399396,0.00012116805834399396,0.0,0.0,0.017084696476624313,0.00024233611668798792,0.0015751847784816145,0.0,0.0,0.09305707015884165,0.009935780924275358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007270083600688104,0.001938688963518443,0.0,0.0,0.0,0.009087604505862554,0.0,0.0,0.0,0.0,0.00024233611668798792,0.0,0.0,0.0010905125451056389,0.0,0.0,0.0,0.01138979764441298,0.007027747484000116,0.0,0.0,0.00012116805834399396,0.0,0.0007270083600688104,0.0,0.011026293469380995,0.0,0.0,0.0003635041850368286,0.0,0.0,0.033442384583174965,0.0,0.0,0.009572276749243377,0.0,0.00024233611668798792,0.015873015873174683,0.0,0.0,0.0,0.03756209862689985,0.0,0.0,0.0,0.006179571065587312,0.0,0.0,0.00012116805834399396,0.0,0.0031503695669680763,0.0,0.02556646068076205,0.0,0.0,0.0,0.0,0.0003635041850368286,0.00012116805834399396,0.0,0.04204531685566155,0.0,0.0033927056836560643,0.0,0.007027747484000116,0.00024233611668798792,0.0023021931385504247,0.06530958439787318,0.0,0.0,0.0,0.0,0.0850599781880799,0.0,0.0,0.00012116805834399396,0.0,0.0010905125451056389,0.0,0.0,0.0,0.0,0.0,0.002665697323587254,0.0010905125451056389,0.004362050160412863,0.0,0.0,0.00012116805834399396,0.0,0.0,0.00012116805834399396,0.0,0.00024233611668798792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021083242462005197,0.0,0.21143826491177192,0.029928510841174916,0.0,0.0,0.09802496062097933,0.002423361206899266,0.01514600751310587,0.0015751847784816145,0.00012116805834399396,0.0,0.0016963528368256087,0.0,0.0,0.0,0.0,0.00024233611668798792,0.0,0.0,0.005089058520481672,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
35,0.0,0.0,0.0,0.0,0.0,0.002779649600083389,0.0,0.0,0.0,0.00387466307011624,0.0,0.006822776280204683,0.0,0.00016846361000505392,0.16079851750482393,0.0010950134800328504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03217654987096529,0.001853099730055593,0.0,0.0,0.0,0.0062331536401869945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001600404310048012,0.0,0.012550539080376516,0.009770889490293127,0.0,0.0005896226400176886,8.423181000252695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011876684640356301,0.0,0.0,0.0008423180600252695,0.0,0.00016846361000505392,0.07698787062230963,0.0,8.423181000252695e-05,0.0,0.0,8.423181000252695e-05,0.0,0.0,0.006317385440189521,0.0,0.001600404310048012,0.0,0.0,0.010781671160323449,0.0,0.0031165768200934973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005053908400151618,0.0,0.0,0.0,0.0,8.423181000252695e-05,0.003537735850106132,0.0,0.0049696765501490905,0.0,0.0,8.423181000252695e-05,0.005390835580161724,0.0,0.0,0.0,0.0,0.0007580862500227426,0.0,0.0,0.0,0.0,0.0,0.0008423180600252695,0.001600404310048012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02215296496066459,0.0,0.0002526954200075809,0.0,0.0,0.0,0.0,0.0,0.0,0.006654312670199629,0.12836927220385108,0.11362870620340887,0.0,0.0,0.295400943408862,0.0010107816700303234,0.00016846361000505392,0.05205525606156166,0.0,0.0,0.009939353100298181,0.0002526954200075809,0.0,0.0,0.0,0.0,0.0,0.0,8.423181000252695e-05,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
36,0.004796522520047966,0.0,0.0,0.0,0.00022483699000224838,0.015513752530155137,7.494566000074946e-05,0.0,0.003297609230032976,0.00974293637009743,7.494566000074946e-05,0.008468860080084689,0.0,7.494566000074946e-05,0.1334782283013348,0.003522446230035224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005246196500052463,0.0,0.0005246196500052463,0.00022483699000224838,0.0038971745500389716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000824402310008244,0.0,0.004571685530045717,0.003822228880038222,0.0,0.0004496739900044968,0.0,0.0,0.0,0.0,0.03207674436032077,0.0,0.0,7.494566000074946e-05,0.0,0.0,0.0,0.0,0.0,0.004946413850049464,0.0,0.00022483699000224838,0.07824327363078243,0.0,0.00014989133000149892,0.0,0.012740762950127408,0.0,0.00029978266000299785,0.0,0.007644457770076445,0.0,0.006520272800065203,0.00037472832000374736,0.0,0.007344675110073446,0.0,0.00022483699000224838,0.00029978266000299785,0.0,0.0,0.0,0.0,0.0,0.0,0.023083264630230835,0.0,0.0017237502800172377,0.0,0.0,0.0,0.0025481525900254813,0.00037472832000374736,0.0,7.494566000074946e-05,0.0,0.0,0.010417447350104175,0.0,0.010342501690103426,0.00037472832000374736,0.0,0.0005246196500052463,0.0,0.0,0.0,0.0,0.0,0.0031477179000314773,0.00014989133000149892,0.0,0.0,0.0,0.00022483699000224838,0.00014989133000149892,0.0,0.00022483699000224838,0.0,0.005396087840053961,0.0,0.00029978266000299785,0.0,0.0,0.0,0.0,0.0,0.0,0.015363861200153638,0.4007344675040074,0.024507232260245072,7.494566000074946e-05,0.0,0.07157310950071574,0.029978265760299782,0.0,0.0,0.0,0.0068200554600682,0.04399310500043994,0.00014989133000149892,0.00014989133000149892,0.0,0.0,0.0013490219600134903,0.0,0.0,0.000974293640009743,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
38,0.0,0.0,0.0,0.0,0.0,0.001149507869679771,0.0,0.0,0.0,0.000718442412299408,0.0,0.003592212081498477,0.0,0.0,0.2878080321872736,0.004238810262568662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035203678402685352,0.0,0.0,0.010201882324656622,0.004669875709948306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028737696491976317,0.00021553272368982234,0.007328112655457551,0.0010776636284498301,0.0,0.0,0.0,0.0,0.0,0.0,0.019541633744553234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000646598171069467,0.0,0.0,0.1479991378337427,0.0,7.184424122994079e-05,0.0,0.001149507869679771,0.0,0.0,0.0,0.01005819383219602,0.0,7.184424122994079e-05,0.008190243550216842,0.0,0.003592212081498477,0.0,0.000359221206149704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750269416204634,0.0,0.0004310654473796447,0.0,0.00028737696491976317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674617429449453,0.00014368848245988159,0.000359221206149704,7.184424122994079e-05,0.0,7.184424122994079e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.184424122994079e-05,0.0,0.0,0.0,7.184424122994079e-05,0.00014368848245988159,0.0,0.09016452332361735,0.0,0.00028737696491976317,0.0004310654473796447,0.00021553272368982234,0.0,0.0,0.0,0.0,0.0,0.0,7.184424122994079e-05,0.24348013510838284,0.01472806954214433,0.0,0.0,0.01523097924075463,0.0010776636284498301,7.184424122994079e-05,0.0021553272468989425,0.0,0.002299015729358824,0.0063222932682376635,0.0,0.0,0.0,0.0,0.000359221206149704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
39,0.0041448909700201935,0.0,0.0,0.0,0.0,0.004325103619149626,0.0,0.0,0.0,0.018021265093137857,0.00018021264912943227,0.042349972965870716,0.0,0.008109569290910954,0.0034240403634916514,0.006127230130465575,0.00018021264912943227,0.0,0.0,0.0,0.0014417012030462709,0.0,0.00018021264912943227,0.00018021264912943227,0.0,0.0,0.010091908451356334,0.002342764458704245,0.0,0.0027031897669739222,0.0075689313435226575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018021264912943227,0.0,0.0012614885539168387,0.0,0.0,0.0,0.0009010632556579741,0.0,0.0,0.0,0.0005406379573991096,0.0,0.00018021264912943227,0.0,0.0,0.0,0.0,0.0,0.0,0.0019823391604453806,0.0,0.0,0.07100378446776402,0.0,0.0005406379573991096,0.0,0.0014417012030462709,0.0005406379573991096,0.0,0.0,0.00036042529825886454,0.0,0.00036042529825886454,0.00018021264912943227,0.0,0.037484231389321984,0.0,0.1627320237656074,0.0005406379573991096,0.0,0.0,0.0,0.0,0.0,0.0,0.1627320237656074,0.0,0.0,0.0,0.00018021264912943227,0.0,0.00036042529825886454,0.002342764458704245,0.0,0.00018021264912943227,0.0,0.0,0.0,0.0005406379573991096,0.0,0.0,0.0,0.0014417012030462709,0.0,0.0,0.0,0.0,0.0,0.0007208506065285418,0.08469994594175226,0.006667868087864683,0.0,0.0,0.0018021265113159482,0.0,0.0,0.02180573076489918,0.0,0.047936565148948,0.0,0.0007208506065285418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03153721391799666,0.05820868624943376,0.0,0.0,0.1564245810460773,0.0007208506065285418,0.00018021264912943227,0.0,0.0,0.0007208506065285418,0.024869345830131975,0.0005406379573991096,0.0,0.0,0.0,0.0027031897669739222,0.00018021264912943227,0.0,0.00018021264912943227,0.0,0.0,0.0,0.0,yCRC(Fudan cohort)
