,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
204,Thermomonas,2,0,0.013513513513513514,0.0,0.0
205,Roseomonas,6,0,0.04054054054054054,0.0,0.0
206,Eggerthia,3,5,0.02027027027027027,0.034722222222222224,0.0
207,Selenomonas,0,15,0.0,0.10416666666666667,0
208,Pseudocitrobacter,13,0,0.08783783783783784,0.0,0.0
209,Tsukamurella,8,0,0.05405405405405406,0.0,0.0
210,Granulicatella,101,75,0.6824324324324325,0.5208333333333334,5.722637000431078e-05
211,Thiothrix,2,0,0.013513513513513514,0.0,0.0
212,Yaniella,6,0,0.04054054054054054,0.0,0.0
213,Bosea,23,17,0.1554054054054054,0.11805555555555555,0.0
214,Klebsiella,106,80,0.7162162162162162,0.5555555555555556,0.0002267912249978299
215,Photobacterium,0,0,0.0,0.0,0
216,Acidovorax,15,7,0.10135135135135136,0.04861111111111111,0.0
217,Streptococcus,146,137,0.9864864864864865,0.9513888888888888,0.003525379970348727
218,Proteus,9,8,0.060810810810810814,0.05555555555555555,0.0
219,Porphyrobacter,6,0,0.04054054054054054,0.0,0.0
220,Exiguobacterium,4,1,0.02702702702702703,0.006944444444444444,0.0
221,Carnobacterium,4,2,0.02702702702702703,0.013888888888888888,0.0
222,Brevundimonas,99,93,0.668918918918919,0.6458333333333334,0.00010116854999339016
223,Providencia,2,0,0.013513513513513514,0.0,0.0
224,Schwartzia,4,0,0.02702702702702703,0.0,0.0
225,Mobiluncus,2,0,0.013513513513513514,0.0,0.0
226,Ethanoligenens,0,3,0.0,0.020833333333333332,0
227,Pedobacter,3,1,0.02027027027027027,0.006944444444444444,0.0
228,Anaerofilum,38,26,0.25675675675675674,0.18055555555555555,0.0
229,Anoxybacillus,6,0,0.04054054054054054,0.0,0.0
230,Blastococcus,8,0,0.05405405405405406,0.0,0.0
231,Murimonas,9,10,0.060810810810810814,0.06944444444444445,0.0
232,Fretibacterium,11,5,0.07432432432432433,0.034722222222222224,0.0
233,Chryseobacterium,6,2,0.04054054054054054,0.013888888888888888,0.0
234,Parascardovia,1,2,0.006756756756756757,0.013888888888888888,0
235,Limnobacter,9,8,0.060810810810810814,0.05555555555555555,0.0
236,Anaeroglobus,2,10,0.013513513513513514,0.06944444444444445,0.0
237,Victivallis,0,4,0.0,0.027777777777777776,0
238,Methylophaga,11,9,0.07432432432432433,0.0625,0.0
239,Aeromicrobium,7,7,0.0472972972972973,0.04861111111111111,0.0
240,Desulfovibrio,79,54,0.5337837837837838,0.375,2.778683000421119e-05
241,Celeribacter,1,0,0.006756756756756757,0.0,0
242,Cellulosilyticum,0,0,0.0,0.0,0
243,Paraprevotella,48,44,0.32432432432432434,0.3055555555555556,0.0
244,Luteolibacter,1,0,0.006756756756756757,0.0,0
245,Faecalibacterium,145,134,0.9797297297297297,0.9305555555555556,0.10572745879946449
246,Clostridium_XlVa,148,144,1.0,1.0,0.013423225215203394
247,Sandaracinobacter,4,0,0.02702702702702703,0.0,0.0
248,Methylophilus,0,1,0.0,0.006944444444444444,0
249,Sphingorhabdus,5,6,0.033783783783783786,0.041666666666666664,0.0
250,Kocuria,8,1,0.05405405405405406,0.006944444444444444,0.0
251,Achromobacter,10,9,0.06756756756756757,0.0625,0.0
252,Lysinibacillus,4,1,0.02702702702702703,0.006944444444444444,0.0
253,Actinobacillus,4,4,0.02702702702702703,0.027777777777777776,0.0
254,Mitsuokella,18,5,0.12162162162162163,0.034722222222222224,0.0
255,Gluconobacter,0,0,0.0,0.0,0
256,Anaerococcus,24,20,0.16216216216216217,0.1388888888888889,0.0
257,Bacteroides,146,140,0.9864864864864865,0.9722222222222222,0.042274488391910406
258,Clostridium_IV,142,128,0.9594594594594594,0.8888888888888888,0.0010673719699424208
259,Methylobacterium,23,3,0.1554054054054054,0.020833333333333332,0.0
260,Prevotella,117,96,0.7905405405405406,0.6666666666666666,0.0004762843550220749
261,Phascolarctobacterium,126,109,0.8513513513513513,0.7569444444444444,0.004116282465108928
262,Solobacterium,32,41,0.21621621621621623,0.2847222222222222,0.0
263,Sutterella,50,50,0.33783783783783783,0.3472222222222222,0.0
264,Fusicatenibacter,134,112,0.9054054054054054,0.7777777777777778,0.0021607522649238512
265,Tissierella,6,0,0.04054054054054054,0.0,0.0
266,Sediminibacterium,0,0,0.0,0.0,0
267,Ralstonia,73,53,0.49324324324324326,0.3680555555555556,0.0
268,Peptostreptococcaceae_incertae_sedis,1,3,0.006756756756756757,0.020833333333333332,0
269,Megasphaera,65,45,0.4391891891891892,0.3125,0.0
270,Oxalobacter,18,30,0.12162162162162163,0.20833333333333334,0.0
271,Raoultella,33,12,0.22297297297297297,0.08333333333333333,0.0
272,Romboutsia,141,114,0.9527027027027027,0.7916666666666666,0.00186374186486943
273,Bradyrhizobium,21,18,0.14189189189189189,0.125,0.0
274,Mycoplasma,11,1,0.07432432432432433,0.006944444444444444,0.0
275,Butyrivibrio,2,4,0.013513513513513514,0.027777777777777776,0.0
276,Coprobacter,26,28,0.17567567567567569,0.19444444444444445,0.0
277,Cloacibacterium,7,0,0.0472972972972973,0.0,0.0
278,Butyricimonas,90,81,0.6081081081081081,0.5625,0.00012258644000490347
279,Pyramidobacter,20,14,0.13513513513513514,0.09722222222222222,0.0
280,Slackia,25,22,0.16891891891891891,0.1527777777777778,0.0
281,Lactonifactor,38,20,0.25675675675675674,0.1388888888888889,0.0
282,Peptoniphilus,34,12,0.22972972972972974,0.08333333333333333,0.0
